"","clust_L12raincytot","clust_L12day1rain","clust_L12maxdays","clust_floodmax","clust_cells_own","clust_price","clust_thinn","clust_roof","clust_hhsize","clust_hh_age","clust_hh_gender","clust_asset","clust_dist_road","clust_dist_admarc","clust_percent_ag","clust_nutri_reten_constrained","clust_elevation","logFCS","RCSI","HDDS","ipc_lag1","ipc_lag12"
"1",1090.0613,43,17,0,0.125,3.8242149,0.359375,0.125,5.4375,41.625,1.25,-0.32768595,1.395625,5.1768751,0.60000002,0,1311.875,4.3694477,15,6,1,NA
"2",1090.0613,43,17,0,0.125,3.8242149,0.359375,0.125,5.4375,41.625,1.25,-0.32768595,1.395625,5.1768751,0.60000002,0,1311.875,3.4339871,17,3,1,NA
"3",1090.0613,43,17,0,0.125,3.8242149,0.359375,0.125,5.4375,41.625,1.25,-0.32768595,1.395625,5.1768751,0.60000002,0,1311.875,3.6635616,0,6,1,NA
"4",1090.0613,43,17,0,0.125,3.8242149,0.359375,0.125,5.4375,41.625,1.25,-0.32768595,1.395625,5.1768751,0.60000002,0,1311.875,3.4339871,8,4,1,NA
"5",1090.0613,43,17,0,0.125,3.8242149,0.359375,0.125,5.4375,41.625,1.25,-0.32768595,1.395625,5.1768751,0.60000002,0,1311.875,3.5973122,4,5,1,NA
"6",1090.0613,43,17,0,0.125,3.8242149,0.359375,0.125,5.4375,41.625,1.25,-0.32768595,1.395625,5.1768751,0.60000002,0,1311.875,4.0430512,0,5,1,NA
"7",1090.0613,43,17,0,0.125,3.8242149,0.359375,0.125,5.4375,41.625,1.25,-0.32768595,1.395625,5.1768751,0.60000002,0,1311.875,3.6109178,0,4,1,NA
"8",1090.0613,43,17,0,0.125,3.8242149,0.359375,0.125,5.4375,41.625,1.25,-0.32768595,1.395625,5.1768751,0.60000002,0,1311.875,3.4499876,7,5,1,NA
"9",1090.0613,43,17,0,0.125,3.8242149,0.359375,0.125,5.4375,41.625,1.25,-0.32768595,1.395625,5.1768751,0.60000002,0,1311.875,3.7256935,4,6,1,NA
"10",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.5553482,0,5,1,NA
"11",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.9702919,1,6,1,NA
"12",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.2188759,42,3,1,NA
"13",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.8286414,18,6,1,NA
"14",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.9608133,15,6,1,NA
"15",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.871201,2,7,1,NA
"16",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.3672957,9,3,1,NA
"17",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.4499876,18,3,1,NA
"18",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.8501475,22,4,1,NA
"19",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.9512436,9,5,1,NA
"20",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.9512436,22,3,1,NA
"21",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.6375861,20,6,1,NA
"22",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,4.1190372,13,6,1,NA
"23",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.5553482,42,5,1,NA
"24",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.6375861,20,4,1,NA
"25",855.86176,58,40,0,0.4375,3.9174085,0.25,0.1875,5.6875,36.5625,1.3125,-0.20254904,0.75687504,5.4087501,0.60000002,0.9375,496,3.8066626,23,5,1,NA
"26",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,3.3499041,12,4,1,NA
"27",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,4.4006028,0,6,1,NA
"28",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,4.3174882,2,7,1,NA
"29",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,3.5115454,17,4,1,NA
"30",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,3.9512436,0,7,1,NA
"31",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,4.4659081,17,7,1,NA
"32",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,4.1743875,0,7,1,NA
"33",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,4.2341065,0,7,1,NA
"34",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,4.4998097,1,7,1,NA
"35",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,3.7376697,9,6,1,NA
"36",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,3.9120231,5,7,1,NA
"37",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,3.3843904,11,4,1,NA
"38",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,4.2413268,0,6,1,NA
"39",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,3.6375861,2,6,1,NA
"40",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,3.7376697,0,4,1,NA
"41",1300.2437,53,29,0,1.5,3.683867,0.25,0.5,6.375,40.4375,1.375,0.54827529,0.16312499,17.038126,0.45000002,1,526.75,4.2046928,5,7,1,NA
"42",1036.9712,52,29,0,0.625,4.0613909,0.5,0.25,5.4375,46.875,1.1875,-0.077412121,5.80375,7.7243748,0.4375,0,564.1875,4.1108737,2,6,1,NA
"43",1036.9712,52,29,0,0.625,4.0613909,0.5,0.25,5.4375,46.875,1.1875,-0.077412121,5.80375,7.7243748,0.4375,0,564.1875,3.7376697,6,5,1,NA
"44",1036.9712,52,29,0,0.625,4.0613909,0.5,0.25,5.4375,46.875,1.1875,-0.077412121,5.80375,7.7243748,0.4375,0,564.1875,3.4177268,30,5,1,NA
