cellphone,number_celphones,rcsi,logFCS,hdds,asset_index,housing_index,nutri_reten_constrained,nutri_avail_constrained,dist_km,maize_price,maize_mktthin,rice_price,rice_mktthin,tmean,floodmax,raincytot,day1rain,maxdaysnorain
0.5,0.625,1.875,4.1049085,5.625,-0.39868098,1.0790704,1,1,68.351639,31309.334,0,107381,0,25.67607302,0,694.3630366,35,153
1,2,0,3.5263605,3,,-0.88582069,1,1,68.351639,73152.781,0,181291.67,0,26.26387413,0,634.3034703,52,156
1,2,0,4.1351666,7,-0.39868104,-0.88582069,1,1,68.351639,30735.666,0,110601,0,25.39685897,0,577.069145,64,160
0.80000001,1.2,11,2.6033206,1.8,,0.37170622,1,1,68.351639,64277.668,0,179166.33,0,26.26387413,0,634.3034703,52,156
0.125,0.125,3.5,4.1442909,6.625,-0.39868069,-0.09987174,1,1,101.88775,41413,0,111042,0,24.32437109,0,679.0961406,64,157
0.25,0.25,2.375,2.2457247,1.875,,0.29311079,1,1,101.88775,48133,0,121875,0,24.05967183,0,641.8083996,69,165
1,1,0,2.7725887,3,,-0.88582069,1,1,101.88775,48931,0,125000,0,24.05967183,0,641.8083996,69,165
0,0,0,4.4716387,5,-0.39868098,-0.88583499,1,1,101.88775,38214,0,129615,0,24.32437109,0,679.0961406,64,157
1,1,10,1.7917595,1,,-0.88583499,1,1,101.88775,48083.25,0,102500,0,24.05967183,0,641.8083996,69,165
0.25,0.25,4.75,4.0104165,4.625,-0.39868101,1.0790704,1,1,85.40641,33393,0,119035.5,0,25.11020824,0,584.6878574,36,146
0.5,0.5,4.25,2.2944071,1.875,,1.4720494,1,1,85.40641,84531.25,0,198052.06,0,25.69136951,0,599.5079809,44,149
1,1,0,4.2972856,7,-0.39868096,-0.88583499,1,1,85.40641,29869.75,0,92948,0,24.8483373,0,548.294364,64,154
1,3,7,2.7725887,2,,-0.88582069,1,1,85.40641,58708.375,0,139114.5,0,24.86144268,0,525.2300676,68,162
0.5714286,0.71428573,3.2857144,2.3014691,1.7142857,,-0.43671212,1,1,56.884155,81770.836,0,179583.33,0,25.31382422,0,520.9794941,69,159
1,2,8,2.6390574,3,,-0.88582069,1,1,56.884155,59814.891,0,156944.44,0,25.31382422,0,520.9794941,69,159
0.25,0.25,0.5,4.1034207,5.875,-0.39868101,-0.88583499,1,1,56.884155,40000,0,133333.33,0,25.39685897,0,538.0979872,66,157
1,2,0,0,1,,-0.88583499,1,1,61.438313,82078.125,0,182187.5,0,24.40978454,0,526.5067808,69,160
0.40000001,0.5,9.5,4.0174208,5,-0.39868072,0.057321627,1,1,61.438313,33393,0,119035.5,0,24.64752952,0,611.2165678,36,149
1,3,5.5,2.3810868,2,,-0.88582069,1,1,61.438313,84531.25,0,198052.06,0,25.2884034,0,637.4463228,66,149
0,0,5,2.3025851,1,,2.2580109,1,1,61.438313,76458.352,0,178687.45,0,24.40978454,0,526.5067808,69,160
0.40000001,0.5,5.1999998,2.4434402,1.6,,0.057321627,1,1,61.438313,71729.5,0,185833.5,0,25.2884034,0,637.4463228,66,149
0.11111111,0.22222222,5.6666665,4.0194011,5.3333335,-0.39868101,0.51143301,1,1,28.666489,38182,0,120000,0,23.46235324,0,503.3084487,65,165
0.53846157,0.92307693,3.5384614,2.653398,2.1538463,,0.081506595,1,1,28.666489,83000,0,190000,0,23.84624824,0,469.8495201,69,168
1,1,0,2.8903718,2,-0.39868098,-0.88582069,1,1,28.666489,42000,0,163750,0,23.46235324,0,503.3084487,65,165
1,1,0,4.2626801,5,-0.39868104,2.2580109,1,1,28.666489,42000,0,148100,0,23.46235324,0,503.3084487,65,165
1,1,0,3.0445225,2,,-0.88583499,1,1,19.80728,82262.5,0,183750,0,25.4837142,0,470.5954293,89,164
0.30000001,0.5,6,4.0246458,4.9000001,-0.10801987,1.31486,1,1,19.80728,29495.801,0,92533.398,0,25.35993447,0,488.044645,65,163
0.5,1.125,3.625,2.3924806,2.375,,0.68609512,1,1,19.80728,88980,0,225110,0,25.4837142,0,470.5954293,89,164
1,2,0,3.9415817,6,-0.39868104,-0.88583499,1,1,19.80728,40213.281,0,151650,0,25.35993447,0,488.044645,65,163
0.22222222,0.22222222,2,4.0565248,5.1111112,-0.39868098,2.2580109,1,1,61.060646,45591,0,140000,0,,,,,
0.2,0.2,0.40000001,2.8810289,2.5999999,,1.9436263,1,1,61.060646,58125,0,152083.2,0,,,,,
0.25,0.375,9.75,4.1662798,5.75,-0.39868098,0.4849484,1,1,23.532375,33786,0,125857,0,23.62151261,0,716.2175589,35,157
0.5,0.83333331,9.833333,2.6224575,2.3333333,,-0.36185831,1,1,23.532375,86000,0,201111.09,0,24.38012044,0,760.8546118,65,147
0,0,16,3.8525376,4,-0.39868098,2.2580109,1,1,34.58548,39607.25,0,117500,0,,,,,
0.5,0.5,16.625,3.0036337,2.5,,1.865032,1,1,34.58548,80418.125,0,179557.3,0,,,,,
1,1,4,2.8332133,2,,-0.88583499,1,1,34.58548,53947.938,0,131614.63,0,,,,,
0,0,6.125,4.0150781,5.25,-0.39868098,1.865032,1,1,41.823093,33786,0,125857,0,,,,,
0.25,0.33333334,5.25,2.3899167,1.6666666,,1.2100623,1,1,41.823093,86000,0,201111.09,0,,,,,
1,1,1,1.3862944,1,,2.2580109,1,1,41.823093,90000,0,158909.09,0,,,,,
0,0,18,3.831645,6,-0.39868096,2.2580109,1,1,87.188705,39166.668,0,125666.66,0,23.50277944,0,539.164673,45,166
0.5,0.83333331,9.333333,4.0523014,5.6666665,-0.39868098,1.2100639,1,1,87.188705,30052,0,112133.34,0,23.50277944,0,539.164673,45,166
0.5714286,0.71428573,6.4285712,2.2713687,1.8571428,,0.91064835,1,1,87.188705,71783.336,0,183916.67,0,22.6977349,0,843.0063626,28,166
0.36363637,0.54545456,15.090909,3.8867538,4.7272725,-0.39868101,1.4005997,1,1,80.073021,40000,0,125000,0,23.77552652,0,332.906896,57,178
0,0,0,2.1972246,2,,2.2580109,1,1,80.073021,49750.25,0,130000,0,23.02673986,0,455.6017549,28,166
0.53846157,0.69230771,9.7692308,2.7402194,2.4615386,,1.5325091,1,1,80.073021,69750,0,173750,0,23.02673986,0,455.6017549,28,166
1,1,0,4.3502779,8,-0.39868096,-0.88582069,1,1,35.592255,40000,0,125000,0,22.11805275,643.6367416,465.4326847,44,168
1,3,0,3.1771851,3.5,,-0.88582069,1,1,35.592255,67916.75,0,167500,0,22.13566216,643.7107268,794.7835545,80,171
1,1.8888888,1.8888888,4.3653932,7.4444447,-0.075723611,-0.88582069,1,1,35.592255,31083,0,117917,0,22.11805275,643.6367416,465.4326847,44,168
1,1.875,1.75,2.6369846,2.125,,-0.88582116,1,1,35.592255,70050,0,186500,0,22.13566216,643.7107268,794.7835545,80,171
1,3,0,2.74084,1,,-0.88582069,1,1,35.592255,69750,0,173750,0,22.13566216,643.7107268,794.7835545,80,171
1,2.25,0.25,4.344996,7.375,-0.39868069,-0.69398791,1,1,18.019566,40000,0,125000,0,,,,,
1,2,3,3.1926847,2.6666667,,-0.88582706,1,1,18.019566,69750,0,173750,0,,,,,
1,1,0,1.6094379,1,,-0.88582069,1,1,14.142997,67916.75,0,167500,0,22.46466712,629.1837703,807.4534813,29,175
0.875,1.75,3,4.3508081,7.375,-0.035353914,-0.88582605,1,1,14.142997,31083,0,117917,0,22.39079983,733.7998424,487.365537,44,161
1,1.9090909,1.3636364,2.9546475,2.7272727,,-0.88582331,1,1,14.142997,70050,0,186500,0,22.46466712,629.1837703,807.4534813,29,175
0.5,0.5,3,2.65906,2.5,,-0.88583499,1,1,69.011818,52823.543,0,133645.84,0,23.94703857,0,676.5055176,29,177
0.75,1,2.5,4.1702471,6.5,-0.39868101,-0.099868163,1,1,69.011818,46569,0,127760.5,0,24.26247969,0,391.4224513,57,169
