"ea_id","FNID"
3207301,"TZ2009L101"
3323303,"TZ2009L101"
21402004,"TZ2009L101"
3207301,"TZ2009L101"
3323303,"TZ2009L101"
3513005,"TZ2009L101"
4127004,"TZ2009L101"
13124001,"TZ2009L101"
21402004,"TZ2009L101"
21402004,"TZ2009L101"
21402004,"TZ2009L101"
21407003,"TZ2009L101"
21408363,"TZ2009L101"
30326201009,"TZ2009L101"
30217102005,"TZ2009L101"
7303001,"TZ2009L103"
4603001,"TZ2009L104"
4617003,"TZ2009L104"
4619002,"TZ2009L104"
4711002,"TZ2009L104"
2309002,"TZ2009L104"
4603001,"TZ2009L104"
4603001,"TZ2009L104"
4603001,"TZ2009L104"
4617003,"TZ2009L104"
4619002,"TZ2009L104"
4711002,"TZ2009L104"
4711002,"TZ2009L104"
4711002,"TZ2009L104"
21309003,"TZ2009L104"
21407003,"TZ2009L104"
21514002,"TZ2009L104"
40513101003,"TZ2009L104"
40706103001,"TZ2009L104"
40613103001,"TZ2009L104"
40720105002,"TZ2009L104"
4127004,"TZ2009L105"
4204005,"TZ2009L105"
4212002,"TZ2009L105"
4309003,"TZ2009L105"
3323303,"TZ2009L105"
4127004,"TZ2009L105"
4127004,"TZ2009L105"
4204005,"TZ2009L105"
4204005,"TZ2009L105"
4212002,"TZ2009L105"
4309003,"TZ2009L105"
7101004,"TZ2009L105"
7109087,"TZ2009L105"
7121174,"TZ2009L105"
30318103005,"TZ2009L105"
40105302005,"TZ2009L105"
40119103003,"TZ2009L105"
40205104003,"TZ2009L105"
3314001,"TZ2009L106"
4115002,"TZ2009L106"
4208352,"TZ2009L106"
4334001,"TZ2009L106"
3314001,"TZ2009L106"
4115002,"TZ2009L106"
4208352,"TZ2009L106"
4334001,"TZ2009L106"
4334001,"TZ2009L106"
4510004,"TZ2009L106"
4603001,"TZ2009L106"
4617003,"TZ2009L106"
7104024,"TZ2009L106"
40133103003,"TZ2009L106"
40220101001,"TZ2009L106"
40323104002,"TZ2009L106"
4424003,"TZ2009L107"
4502005,"TZ2009L107"
4510004,"TZ2009L107"
6106018,"TZ2009L107"
4424003,"TZ2009L107"
4424003,"TZ2009L107"
4424003,"TZ2009L107"
4424003,"TZ2009L107"
4424003,"TZ2009L107"
4502005,"TZ2009L107"
4510004,"TZ2009L107"
4510004,"TZ2009L107"
6106018,"TZ2009L107"
7104136,"TZ2009L107"
7107028,"TZ2009L107"
7107052,"TZ2009L107"
7107052,"TZ2009L107"
7124036,"TZ2009L107"
7124036,"TZ2009L107"
7318007,"TZ2009L107"
13317003,"TZ2009L107"
53126312,"TZ2009L107"
53215009,"TZ2009L107"
53215009,"TZ2009L107"
40403201002,"TZ2009L107"
60105302305,"TZ2009L107"
40502202005,"TZ2009L107"
60115304001,"TZ2009L108"
2502007,"TZ2009L109"
2502007,"TZ2009L109"
2502007,"TZ2009L109"
10103305,"TZ2009L109"
20505101001,"TZ2009L109"
3114002,"TZ2009L110"
3114002,"TZ2009L110"
30119301009,"TZ2009L110"
2211303,"TZ2009L111"
2224305,"TZ2009L111"
2310357,"TZ2009L111"
2313019,"TZ2009L111"
2314016,"TZ2009L111"
3106003,"TZ2009L111"
3112002,"TZ2009L111"
3204003,"TZ2009L111"
3402001,"TZ2009L111"
3414003,"TZ2009L111"
3431003,"TZ2009L111"
3504002,"TZ2009L111"
2211303,"TZ2009L111"
2211303,"TZ2009L111"
2224305,"TZ2009L111"
2224305,"TZ2009L111"
2310357,"TZ2009L111"
2313019,"TZ2009L111"
2314016,"TZ2009L111"
2314016,"TZ2009L111"
2401001,"TZ2009L111"
2401001,"TZ2009L111"
2401001,"TZ2009L111"
3106003,"TZ2009L111"
3106003,"TZ2009L111"
3112002,"TZ2009L111"
3204003,"TZ2009L111"
3204003,"TZ2009L111"
3314001,"TZ2009L111"
3402001,"TZ2009L111"
3402001,"TZ2009L111"
3402001,"TZ2009L111"
3414003,"TZ2009L111"
3431003,"TZ2009L111"
3504002,"TZ2009L111"
4127004,"TZ2009L111"
4127004,"TZ2009L111"
4309003,"TZ2009L111"
6112001,"TZ2009L111"
7107052,"TZ2009L111"
7122050,"TZ2009L111"
7123064,"TZ2009L111"
7202001,"TZ2009L111"
7206012,"TZ2009L111"
7209001,"TZ2009L111"
7321156,"TZ2009L111"
9201360,"TZ2009L111"
11412003,"TZ2009L111"
13404026,"TZ2009L111"
16101320,"TZ2009L111"
17712001,"TZ2009L111"
21402004,"TZ2009L111"
21408330,"TZ2009L111"
21408330,"TZ2009L111"
21408363,"TZ2009L111"
20318204003,"TZ2009L111"
20601102004,"TZ2009L111"
30411103004,"TZ2009L111"
30426103001,"TZ2009L111"
30611201003,"TZ2009L111"
20213102005,"TZ2009L111"
20310207005,"TZ2009L111"
20611102003,"TZ2009L111"
30111102004,"TZ2009L111"
30403102003,"TZ2009L111"
30419106001,"TZ2009L111"
30503103001,"TZ2009L111"
30602202009,"TZ2009L111"
