case_id,cellphone,number_celphones,slope,ag_percent,elevation,terrain_rough,ea_id,lat_modified,lon_modified,reside,region,hh_a01,ward,FS_month,FS_year,survey_round,rCSI,HDDS,FCS,country,asset_index,distance_index,housing_index,nutri_reten_constrained,nutri_avail_constrained
0101014002017101,1,1,1.299999952316284,0,1197,High-altitude plains,1114002,-5.085750102996826,35.85438919067383,rural,1,1,141,12,2010,Tanzania NPS 2010/2011,5,6,62.5,Tanzania,-.39868096,-.68350542,2.2580109,1,1
0101014002028401,0,0,1.200000047683716,8,1193,High-altitude plains,1114002,-5.085750102996826,35.85438919067383,rural,1,1,141,12,2010,Tanzania NPS 2010/2011,9,8,75,Tanzania,-.39868096,-.73119354,2.2580109,1,1
0101014002029701,1,2,1.700000047683716,8,1199,High-altitude plains,1114002,-5.085750102996826,35.85438919067383,rural,1,1,141,12,2010,Tanzania NPS 2010/2011,0,7,66.5,Tanzania,-.39868104,-.73552883,-.88582069,1,1
0101014002029704,1,2,5.900000095367432,0,30,Lowlands,1114002,-5.085750102996826,35.85438919067383,urban,7,3,72,1,2011,Tanzania NPS 2010/2011,0,7,62.5,Tanzania,-.39868104,-.71818835,-.88582069,1,1
0101014002040901,0,0,1.700000047683716,8,1200,High-altitude plains,1114002,-5.085750102996826,35.85438919067383,rural,1,1,141,12,2010,Tanzania NPS 2010/2011,1,5,59.5,Tanzania,-.39868098,-.71818769,-.88583499,1,1
0101014002047101,0,0,1.700000047683716,8,1200,High-altitude plains,1114002,-5.085750102996826,35.85438919067383,rural,1,1,141,12,2010,Tanzania NPS 2010/2011,0,7,56.5,Tanzania,-.39868096,-.72252297,-.88583499,1,1
0101014002055101,1,1,9.300000190734863,39,1239,Mid-altitude plateaus,1114002,-5.085750102996826,35.85438919067383,rural,1,1,141,12,2010,Tanzania NPS 2010/2011,0,4,56.5,Tanzania,-.39868096,-.68350571,2.2580109,1,1
0101014002076101,1,1,2.299999952316284,10,1207,High-altitude plains,1114002,-5.085750102996826,35.85438919067383,rural,1,1,141,12,2010,Tanzania NPS 2010/2011,0,3,49,Tanzania,-.39868098,-.73552901,2.2580109,1,1
0101014002076201,0,0,2.299999952316284,6,1213,High-altitude plains,1114002,-5.085750102996826,35.85438919067383,rural,1,1,141,12,2010,Tanzania NPS 2010/2011,0,5,63,Tanzania,-.39868104,-.7268585,2.2580109,1,1
0102003003000401,0,0,6.599999904632568,35,1055,Mid-altitude plateaus,1203003,-6.456620216369629,36.72285842895508,rural,1,2,31,7,2011,Tanzania NPS 2010/2011,0,6,59.5,Tanzania,-.39868119,.80350989,-.88583499,1,1
0102003003002201,0,0,5.599999904632568,55,1057,Mid-altitude plateaus,1203003,-6.456620216369629,36.72285842895508,rural,1,2,31,7,2011,Tanzania NPS 2010/2011,0,7,69.5,Tanzania,-.39868104,.70379865,2.2580109,1,1
