ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,ADMIN0,ADMIN1,ADMIN2,ADMIN3,LZCODE,LZNAME,FNID_OLD,EFF_PERD
"30201076",-15.04730,35.29220,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"30601190",-15.80090,34.53620,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"30901732",-15.78600,35.68010,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"30920609",-15.79890,35.66460,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"31001333",-16.31530,34.69170,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"31003100",-15.99020,34.37460,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"31003759",-16.18340,34.60840,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"31110462",-16.73630,35.05600,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"10304012",-12.57092,34.09348,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"10405213",-10.62127,34.06323,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"10734370",-16.10333,34.51492,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"10741504",-10.87504,33.45158,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"20106042",-13.05323,33.27236,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"30801679",-14.03646,34.87269,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"31001333",-16.31530,34.69170,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"21051203",-13.02818,33.29977,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"31001749",-16.69083,34.92958,MW2012C3999918,"2012",MW,Malawi,,,,MW18,National Parks and Reserves,"0","3"
"30501020",-15.69450,35.05230,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"30507667",-15.69180,35.04840,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31531161",-15.74870,34.99570,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31531303",-15.75190,35.00370,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31532674",-15.73080,35.07130,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31533095",-15.79260,35.08380,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31534553",-15.77930,35.07620,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31535633",-15.77840,35.03500,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31536118",-15.77760,35.04020,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31536257",-15.78330,35.02700,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31536751",-15.75450,35.04460,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31538278",-15.76800,35.03050,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31539670",-15.76950,34.99690,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
"31540419",-15.75360,34.99290,MW2012C3030519,"2012",MW,Malawi,Southern,Blantyre,,MW19,Blantyre,"10920219","3"
