field_1,ea_id,lat_modified,lon_modified,FNID,EFF_YEAR,COUNTRY,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR,LZNAMESP,LZNAMEPT,CLASS
29,3207301,-3.78653,37.71141,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
31,3323303,-4.34103,37.84385,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
344,21402004,-4.33612,36.95252,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
481,3207301,-3.78653,37.71141,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
485,3323303,-4.34103,37.84385,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
507,3513005,-3.61621,37.69152,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
514,4127004,-4.10240,37.72093,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
1263,13124001,-3.61854,37.71281,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
1800,21402004,-4.33612,36.95252,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
1801,21402004,-4.34595,37.01022,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
1802,21402004,-4.15807,36.80136,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
1807,21407003,-4.55530,37.19750,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
1817,21408363,-4.10196,36.44780,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
2034,30326201009,-4.07999,37.77076,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
2245,30217102005,-3.88178,37.65970,TZ2009L101,2009,TZ,1,TZ01,Southern Maasai Pastoralist,,,,
852,7303001,-4.56491,39.03297,TZ2009L103,2009,TZ,3,TZ03,Tanga Maize and Cattle,,,,
48,4603001,-5.72716,38.18618,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
49,4617003,-5.63383,38.40159,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
50,4619002,-5.42298,37.98640,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
51,4711002,-5.49977,37.55692,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
450,2309002,-5.62676,37.66859,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
544,4603001,-5.72716,38.18618,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
546,4603001,-5.82781,38.06034,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
548,4603001,-5.75214,38.28888,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
549,4617003,-5.63383,38.40159,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
551,4619002,-5.42298,37.98640,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
553,4711002,-5.49977,37.55692,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
554,4711002,-5.48206,37.60680,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
556,4711002,-5.44761,37.58734,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
1798,21309003,-5.63171,37.74251,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
1803,21407003,-5.33624,38.12407,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
2156,40513101003,-5.81653,38.66630,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
2157,40706103001,-5.71372,37.63525,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
2364,40613103001,-5.51735,38.47284,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
2365,40720105002,-5.84193,37.25707,TZ2009L104,2009,TZ,4,TZ04,Tanga Maize and Sisal Employment,,,,
39,4127004,-4.71856,38.28436,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
40,4204005,-5.02784,38.56097,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
42,4212002,-4.98131,38.50667,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
43,4309003,-5.07731,38.59898,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
489,3323303,-4.34477,37.88517,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
511,4127004,-4.71856,38.28436,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
513,4127004,-4.74055,38.33339,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
517,4204005,-5.02784,38.56097,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
520,4204005,-5.01660,38.52295,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
522,4212002,-4.98131,38.50667,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
524,4309003,-5.07731,38.59898,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
641,7101004,-4.46436,38.23232,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
695,7109087,-5.01558,38.37559,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
753,7121174,-4.85195,38.45092,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
2033,30318103005,-4.35388,37.97533,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
2152,40105302005,-4.85992,38.39956,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
2360,40119103003,-4.62723,38.23038,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
2361,40205104003,-5.16200,38.57696,TZ2009L105,2009,TZ,5,TZ05,Usambara-Pare Highland,,,,
30,3314001,-4.36689,38.05556,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
38,4115002,-4.70836,38.64593,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
41,4208352,-5.17263,38.47192,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
44,4334001,-5.23670,38.69999,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
483,3314001,-4.36689,38.05556,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
508,4115002,-4.70836,38.64593,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
521,4208352,-5.17263,38.47192,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
528,4334001,-5.23670,38.69999,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
543,4510004,-5.33995,38.91324,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
545,4603001,-5.22701,38.76525,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
550,4617003,-5.27025,38.83916,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
649,7104024,-5.18054,38.82402,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
2153,40133103003,-4.60976,38.39539,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
2154,40220101001,-4.94260,38.20529,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
2362,40323104002,-4.95425,38.67434,TZ2009L106,2009,TZ,6,TZ06,"Tanga Maize, Orange, and Jackfruit Midlands",,,,
45,4424003,-4.99453,39.08352,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
46,4502005,-5.44185,38.97126,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
47,4510004,-5.53957,38.86110,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
66,6106018,-6.44118,38.90188,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
531,4424003,-4.99453,39.08352,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
533,4424003,-5.01963,39.12272,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
534,4424003,-5.01086,39.11627,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
535,4424003,-5.02746,39.05648,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
536,4424003,-6.44905,38.90713,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
537,4502005,-5.44185,38.97126,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
539,4510004,-5.53957,38.86110,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
542,4510004,-5.56830,38.91321,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
604,6106018,-6.44118,38.90188,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
653,7104136,-5.08743,39.10034,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
671,7107028,-5.04985,39.04774,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
676,7107052,-5.08227,39.09102,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
678,7107052,-5.09144,39.09897,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
788,7124036,-5.08240,39.07848,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
789,7124036,-5.08058,39.09165,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
883,7318007,-5.08824,39.10849,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
1277,13317003,-5.12133,39.02125,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
1866,53126312,-5.16983,39.09774,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
1887,53215009,-5.09478,39.09815,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
1890,53215009,-5.74469,38.83911,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
2155,40403201002,-5.08786,39.07396,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
2322,60105302305,-6.44766,38.88947,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
2363,40502202005,-5.42358,38.97919,TZ2009L107,2009,TZ,7,TZ07,"Tanga-Pwani Coastal Maize, Paddy Belt",,,,
2323,60115304001,-6.07236,38.24466,TZ2009L108,2009,TZ,8,TZ08,"Handeni-Bagamoyo Maize, Cassava, and Fruit Midlands",,,,
23,2502007,-2.14105,35.74726,TZ2009L109,2009,TZ,9,TZ09,"Loliondo Midland Maize, Beans, and Livestock",,,,
467,2502007,-2.14105,35.74726,TZ2009L109,2009,TZ,9,TZ09,"Loliondo Midland Maize, Beans, and Livestock",,,,
468,2502007,-2.08472,35.75674,TZ2009L109,2009,TZ,9,TZ09,"Loliondo Midland Maize, Beans, and Livestock",,,,
2161,20505101001,-2.27918,35.69720,TZ2009L109,2009,TZ,9,TZ09,"Loliondo Midland Maize, Beans, and Livestock",,,,
27,3114002,-3.09666,37.63921,TZ2009L110,2009,TZ,10,TZ10,"Lower Rombo Maize, Beans, and Finger Millet",,,,
476,3114002,-3.09666,37.63921,TZ2009L110,2009,TZ,10,TZ10,"Lower Rombo Maize, Beans, and Finger Millet",,,,
2032,30119301009,-2.98140,37.54011,TZ2009L110,2009,TZ,10,TZ10,"Lower Rombo Maize, Beans, and Finger Millet",,,,
14,2211303,-3.35091,36.89004,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
16,2224305,-3.41634,36.64163,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
18,2310357,-3.37513,36.68608,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
19,2313019,-3.38642,36.65679,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
20,2314016,-3.37486,36.67036,TZ2009L111,2009,TZ,11,TZ11,"Kilimanjaro-Meru Maize, Coffee, and Plantains",,,,
