"","ea_id","FNID"
"1",30201076,"MW2012C3999918"
"2",30601190,"MW2012C3999918"
"3",30901732,"MW2012C3999918"
"4",30920609,"MW2012C3999918"
"5",31001333,"MW2012C3999918"
"6",31003100,"MW2012C3999918"
"7",31003759,"MW2012C3999918"
"8",31110462,"MW2012C3999918"
"9",10304012,"MW2012C3999918"
"10",10405213,"MW2012C3999918"
"11",10734370,"MW2012C3999918"
"12",10741504,"MW2012C3999918"
"13",20106042,"MW2012C3999918"
"14",30801679,"MW2012C3999918"
"15",31001333,"MW2012C3999918"
"16",21051203,"MW2012C3999918"
"17",31001749,"MW2012C3999918"
"18",30501020,"MW2012C3030519"
"19",30507667,"MW2012C3030519"
"20",31531161,"MW2012C3030519"
"21",31531303,"MW2012C3030519"
"22",31532674,"MW2012C3030519"
"23",31533095,"MW2012C3030519"
"24",31534553,"MW2012C3030519"
"25",31535633,"MW2012C3030519"
"26",31536118,"MW2012C3030519"
"27",31536257,"MW2012C3030519"
"28",31536751,"MW2012C3030519"
"29",31538278,"MW2012C3030519"
"30",31539670,"MW2012C3030519"
"31",31540419,"MW2012C3030519"
"32",31545384,"MW2012C3030519"
"33",31546760,"MW2012C3030519"
"34",31550254,"MW2012C3030519"
"35",10733640,"MW2012C3030519"
"36",20402198,"MW2012C3030519"
"37",20603533,"MW2012C3030519"
"38",20906524,"MW2012C3030519"
"39",20903583,"MW2012C3030519"
"40",21048764,"MW2012C3030519"
"41",21053745,"MW2012C3030519"
"42",21077725,"MW2012C3030519"
"43",30108401,"MW2012C3030519"
"44",30202252,"MW2012C3030519"
"45",30306555,"MW2012C3030519"
"46",30306087,"MW2012C3030519"
"47",30503685,"MW2012C3030519"
"48",30403444,"MW2012C3030519"
"49",30704313,"MW2012C3030519"
"50",30706619,"MW2012C3030519"
"51",30620196,"MW2012C3030519"
"52",30620196,"MW2012C3030519"
"53",30703381,"MW2012C3030519"
"54",30709438,"MW2012C3030519"
"55",30801672,"MW2012C3030519"
"56",31002169,"MW2012C3030519"
"57",31002169,"MW2012C3030519"
"58",31002169,"MW2012C3030519"
"59",31108703,"MW2012C3030519"
"60",31441389,"MW2012C3030519"
"61",31441389,"MW2012C3030519"
"62",31441389,"MW2012C3030519"
"63",31533095,"MW2012C3030519"
"64",31532674,"MW2012C3030519"
"65",31536118,"MW2012C3030519"
"66",31536751,"MW2012C3030519"
"67",31540419,"MW2012C3030519"
"68",31540419,"MW2012C3030519"
"69",31540419,"MW2012C3030519"
"70",31540419,"MW2012C3030519"
