ea_id,FS_year,lat_modified,lon_modified,FNID
3207301,2011,-3.786530018,37.71141052,TZ2009L101
3323303,2011,-4.341030121,37.84384918,TZ2009L101
21402004,2011,-4.336120129,36.95251846,TZ2009L101
3207301,2013,-3.78652519,37.71140703,TZ2009L101
3323303,2013,-4.34103384,37.84384739,TZ2009L101
3513005,2012,-3.616205404,37.69152255,TZ2009L101
4127004,2013,-4.102399331,37.72092768,TZ2009L101
13124001,2013,-3.618542995,37.71281172,TZ2009L101
21402004,2013,-4.336118139,36.95252207,TZ2009L101
21402004,2013,-4.345951521,37.01022054,TZ2009L101
21402004,2013,-4.158071005,36.80136363,TZ2009L101
21407003,2013,-4.555301683,37.19749918,TZ2009L101
21408363,2013,-4.101962193,36.44780417,TZ2009L101
30326201009,2014,-4.079988227,37.77075839,TZ2009L101
30217102005,2015,-3.881778444,37.65969776,TZ2009L101
7303001,2013,-4.564908124,39.03297,TZ2009L103
4603001,2011,-5.727159977,38.18618011,TZ2009L104
4617003,2011,-5.63383007,38.40158844,TZ2009L104
4619002,2010,-5.422979832,37.9864006,TZ2009L104
4619002,2011,-5.422979832,37.9864006,TZ2009L104
4711002,2010,-5.499770164,37.5569191,TZ2009L104
2309002,2013,-5.626757303,37.6685927,TZ2009L104
4603001,2013,-5.727161722,38.18617914,TZ2009L104
4603001,2013,-5.827812157,38.0603394,TZ2009L104
4603001,2013,-5.752144561,38.2888786,TZ2009L104
4617003,2013,-5.633830076,38.40159297,TZ2009L104
4619002,2012,-5.422981054,37.98639633,TZ2009L104
4711002,2012,-5.49977308,37.55691699,TZ2009L104
4711002,2012,-5.482059887,37.60679571,TZ2009L104
4711002,2012,-5.447612185,37.58733824,TZ2009L104
21309003,2013,-5.631711736,37.74251419,TZ2009L104
21407003,2013,-5.336242644,38.1240672,TZ2009L104
21514002,2013,-5.505319433,37.54459806,TZ2009L104
40513101003,2014,-5.816526471,38.66630364,TZ2009L104
40706103001,2015,-5.71372408,37.63525024,TZ2009L104
40613103001,2015,-5.517354307,38.47283863,TZ2009L104
40720105002,2015,-5.841926505,37.25706709,TZ2009L104
4127004,2010,-4.718560219,38.28435898,TZ2009L105
4127004,2011,-4.718560219,38.28435898,TZ2009L105
4204005,2011,-5.027840137,38.56097031,TZ2009L105
4212002,2010,-4.981309891,38.50667191,TZ2009L105
4212002,2011,-4.981309891,38.50667191,TZ2009L105
4309003,2011,-5.077310085,38.59897995,TZ2009L105
3323303,2013,-4.344765641,37.88516685,TZ2009L105
4127004,2012,-4.718563217,38.2843607,TZ2009L105
4127004,2012,-4.740545109,38.33338687,TZ2009L105
4204005,2013,-5.027844189,38.56096952,TZ2009L105
4204005,2013,-5.016603479,38.52295354,TZ2009L105
4212002,2012,-4.981311533,38.50666669,TZ2009L105
4212002,2013,-4.981311533,38.50666669,TZ2009L105
4309003,2013,-5.077311689,38.59898009,TZ2009L105
7101004,2013,-4.464358832,38.23232103,TZ2009L105
7109087,2013,-5.015576261,38.37559123,TZ2009L105
7121174,2013,-4.85194843,38.45092266,TZ2009L105
30318103005,2015,-4.353882604,37.97532875,TZ2009L105
40105302005,2015,-4.859922212,38.39955566,TZ2009L105
40119103003,2015,-4.627231118,38.23037962,TZ2009L105
40205104003,2015,-5.162004328,38.57696193,TZ2009L105
3314001,2010,-4.366889954,38.05556107,TZ2009L106
4115002,2010,-4.708360195,38.64593124,TZ2009L106
4208352,2011,-5.172629833,38.47192001,TZ2009L106
4334001,2010,-5.236700058,38.69998932,TZ2009L106
4334001,2011,-5.236700058,38.69998932,TZ2009L106
3314001,2012,-4.366893228,38.05555525,TZ2009L106
4115002,2012,-4.708355431,38.64592733,TZ2009L106
4208352,2013,-5.172634224,38.47192239,TZ2009L106
4334001,2012,-5.236699128,38.69998659,TZ2009L106
4334001,2012,-5.194471584,38.77062489,TZ2009L106
4510004,2012,-5.33995286,38.91324326,TZ2009L106
4603001,2013,-5.227010811,38.7652483,TZ2009L106
4617003,2013,-5.270253201,38.83916112,TZ2009L106
7104024,2013,-5.180535364,38.82402401,TZ2009L106
40133103003,2015,-4.609761651,38.39538955,TZ2009L106
40220101001,2015,-4.942596892,38.20528978,TZ2009L106
40323104002,2015,-4.95424963,38.67433872,TZ2009L106
4424003,2011,-4.994530201,39.08351898,TZ2009L107
4502005,2010,-5.441850185,38.97126007,TZ2009L107
4502005,2011,-5.441850185,38.97126007,TZ2009L107
4510004,2011,-5.539569855,38.86109924,TZ2009L107
6106018,2011,-6.441180229,38.90187836,TZ2009L107
4424003,2013,-4.994529925,39.08351964,TZ2009L107
4424003,2013,-5.019632489,39.12271592,TZ2009L107
4424003,2013,-5.010856981,39.11627,TZ2009L107
4424003,2013,-5.027461055,39.05647903,TZ2009L107
4424003,2013,-6.449050406,38.90712587,TZ2009L107
4502005,2012,-5.441849409,38.97125989,TZ2009L107
4510004,2013,-5.539572098,38.86110406,TZ2009L107
4510004,2013,-5.56830163,38.91320638,TZ2009L107
6106018,2013,-6.441177002,38.90187649,TZ2009L107
7104136,2013,-5.087427547,39.10033933,TZ2009L107
7107028,2013,-5.04984808,39.04773534,TZ2009L107
7107052,2013,-5.082271906,39.09102258,TZ2009L107
7107052,2013,-5.091444647,39.09896793,TZ2009L107
7124036,2013,-5.082397293,39.07847867,TZ2009L107
7124036,2013,-5.080579671,39.09164566,TZ2009L107
7318007,2013,-5.08823544,39.10848894,TZ2009L107
13317003,2013,-5.12133181,39.02124579,TZ2009L107
53126312,2013,-5.169828077,39.09773888,TZ2009L107
53215009,2013,-5.094778941,39.09815303,TZ2009L107
53215009,2013,-5.744692106,38.83910776,TZ2009L107
40403201002,2015,-5.087859089,39.07395573,TZ2009L107
60105302305,2015,-6.447658018,38.88947433,TZ2009L107
40502202005,2015,-5.423581238,38.97919113,TZ2009L107
60115304001,2015,-6.072360897,38.24465779,TZ2009L108
2502007,2011,-2.1410501,35.74726105,TZ2009L109
2502007,2013,-2.141051746,35.74726146,TZ2009L109
2502007,2013,-2.084717,35.75673616,TZ2009L109
10103305,2013,-2.070320199,35.56346521,TZ2009L109
20505101001,2015,-2.279175245,35.69719671,TZ2009L109
3114002,2011,-3.096659899,37.63920975,TZ2009L110
3114002,2013,-3.096664691,37.6392104,TZ2009L110
30119301009,2015,-2.98140299,37.54010587,TZ2009L110
2211303,2011,-3.350909948,36.89004135,TZ2009L111
2224305,2011,-3.416340113,36.64162827,TZ2009L111
2310357,2011,-3.375129938,36.68608093,TZ2009L111
2313019,2011,-3.386420012,36.65679169,TZ2009L111
2314016,2011,-3.374860048,36.67036057,TZ2009L111
3106003,2011,-3.196660042,37.61537933,TZ2009L111
3112002,2010,-3.11116004,37.59643936,TZ2009L111
3112002,2011,-3.11116004,37.59643936,TZ2009L111
3204003,2010,-3.640010118,37.65587997,TZ2009L111
3204003,2011,-3.640010118,37.65587997,TZ2009L111
3402001,2010,-3.263109922,37.57698822,TZ2009L111
3402001,2011,-3.263109922,37.57698822,TZ2009L111
3414003,2011,-3.330019951,37.38288116,TZ2009L111
3431003,2010,-3.309959888,37.47369003,TZ2009L111
3431003,2011,-3.309959888,37.47369003,TZ2009L111
3504002,2011,-3.205410004,37.18751144,TZ2009L111
2211303,2013,-3.350912909,36.8900371,TZ2009L111
2211303,2013,-3.359423393,36.75015282,TZ2009L111
