ea_id,FS_year,lat_modified,lon_modified,FNID
4040006,2011,-1.255215526,30.05681992,UG2011L101
4040008,2010,-1.404995441,29.94939041,UG2011L101
4040008,2011,-1.404995441,29.94939041,UG2011L101
4040010,2011,-1.166219115,29.79429436,UG2011L101
4040012,2011,-1.157262325,30.06245041,UG2011L101
4080002,2010,-1.150600314,29.67283821,UG2011L101
4080002,2011,-1.150600314,29.67283821,UG2011L101
4080004,2011,-1.340851307,29.76825714,UG2011L101
4040008,2011,-1.467933893,29.92314529,UG2011L101
4040008,2011,-1.241295576,29.77417564,UG2011L101
4040010,2011,-1.380214214,30.01063347,UG2011L101
4080004,2011,-1.150315404,29.59143066,UG2011L101
4110007,2011,-1.19142282,29.81025314,UG2011L101
4040006,2009,-1.255216002,30.05681992,UG2011L101
4040006,2010,-1.255216002,30.05681992,UG2011L101
4040008,2009,-1.404994965,29.94939041,UG2011L101
4040008,2010,-1.404994965,29.94939041,UG2011L101
4040010,2010,-1.166218996,29.79429436,UG2011L101
4040012,2010,-1.157261968,30.06245041,UG2011L101
4040012,2009,-1.157261968,30.06245041,UG2011L101
4080002,2009,-1.150599957,29.67283821,UG2011L101
4080002,2010,-1.150599957,29.67283821,UG2011L101
4080004,2010,-1.340850949,29.76825714,UG2011L101
40430010,2012,-1.380214214,30.01063347,UG2011L101
40430006,2012,-1.255215526,30.05681992,UG2011L101
40430008,2011,-1.404995441,29.94939041,UG2011L101
40430008,2012,-1.404995441,29.94939041,UG2011L101
40430008,2012,-1.467933893,29.92314529,UG2011L101
40430008,2012,-1.241295576,29.77417564,UG2011L101
40430010,2012,-1.166219115,29.79429436,UG2011L101
40430012,2012,-1.157262325,30.06245041,UG2011L101
40830002,2012,-1.150600314,29.67283821,UG2011L101
40830004,2012,-1.340851307,29.76825714,UG2011L101
40830004,2012,-1.150315404,29.59143066,UG2011L101
40830004,2011,-1.340851307,29.76825714,UG2011L101
41130007,2012,-1.19142282,29.81025314,UG2011L101
4020007,2011,-0.303979516,30.37849617,UG2011L102
4020011,2011,-0.260062784,30.12967491,UG2011L102
4020011,2010,-0.260062784,30.12967491,UG2011L102
4020016,2011,-0.5497967,30.06752205,UG2011L102
4020020,2010,-0.553773463,30.30369186,UG2011L102
4020020,2011,-0.553773463,30.30369186,UG2011L102
4020025,2011,-0.528355837,29.95417976,UG2011L102
4020025,2010,-0.528355837,29.95417976,UG2011L102
4020030,2011,-0.661935747,30.30426788,UG2011L102
4020030,2011,-0.567364752,30.4266243,UG2011L102
4100026,2011,-0.560572207,30.67880058,UG2011L102
4100029,2011,-0.32303834,30.59479332,UG2011L102
4100029,2010,-0.32303834,30.59479332,UG2011L102
4100038,2010,-0.745038807,30.42481422,UG2011L102
4100038,2011,-0.69743824,30.47741508,UG2011L102
4110004,2011,-0.760570765,30.17909431,UG2011L102
4110006,2011,-0.867663264,30.35411453,UG2011L102
4110007,2011,-0.982336581,30.45973778,UG2011L102
4110009,2010,-0.987176836,30.12983513,UG2011L102
4110009,2011,-0.987176836,30.12983513,UG2011L102
4120003,2011,-0.964900792,29.95968819,UG2011L102
4120005,2011,-0.640430748,29.80598259,UG2011L102
4130005,2011,-0.105038173,30.26421928,UG2011L102
4130005,2010,-0.105038173,30.26421928,UG2011L102
4170014,2010,0.014829836,30.52032661,UG2011L102
4170014,2011,0.014829836,30.52032661,UG2011L102
4170014,2011,0.080801003,30.48955345,UG2011L102
4170017,2011,-0.227396414,30.40216827,UG2011L102
4180023,2011,-0.855295062,30.65958214,UG2011L102
4180023,2010,-0.855295062,30.65958214,UG2011L102
4020002,2011,-0.492146403,30.51416779,UG2011L102
4020016,2011,-0.603493631,29.99411011,UG2011L102
4020025,2011,-0.536995411,30.01731682,UG2011L102
4100038,2011,-0.654303014,30.38421822,UG2011L102
4120005,2011,-0.591850042,29.88896561,UG2011L102
4020007,2010,-0.303979993,30.37849426,UG2011L102
4020011,2009,-0.260062993,30.12967491,UG2011L102
4020011,2010,-0.260062993,30.12967491,UG2011L102
4020016,2010,-0.549796999,30.06752014,UG2011L102
4020020,2009,-0.553772986,30.30369186,UG2011L102
4020020,2010,-0.553772986,30.30369186,UG2011L102
4020025,2010,-0.528356016,29.95417976,UG2011L102
4020025,2009,-0.528356016,29.95417976,UG2011L102
4020030,2009,-0.567364991,30.4266243,UG2011L102
4020030,2010,-0.567364991,30.4266243,UG2011L102
4100026,2010,-0.560572028,30.67880058,UG2011L102
4100029,2010,-0.323038012,30.59479332,UG2011L102
4100029,2009,-0.323038012,30.59479332,UG2011L102
4100038,2010,-0.745038986,30.42481422,UG2011L102
4100038,2009,-0.745038986,30.42481422,UG2011L102
4110004,2009,-0.760571003,30.17909431,UG2011L102
4110004,2010,-0.760571003,30.17909431,UG2011L102
4110006,2009,-0.867663026,30.35411453,UG2011L102
