"ea_id","FS_year","FCS","HDDS","rural","FS_month","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","Radio","Television","Bicycle","Motorcycle","Car","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron","clust_cassava_price","clust_bean_mktthin","clust_maize_mktthin","clust_cassava_mktthin","lhz_cassava_price","lhz_bean_mktthin","lhz_maize_mktthin","lhz_cassava_mktthin","raincytot","day1rain","maxdaysnorain","lhz_day1rain","gdd","tmean","lhz_raincytot","lhz_maxdaysnorain","floodmax","lhz_floodmax"
"1010002",2010,47.5,3,0,12,0,0,0,0.289080739021301,32.5606498718262,0.8136,4.0912,22,0,1,0,0,31,0,0,1,0,1,0,1,3,0,1,1,900,1,1,0,702.971125796045,1,1,0.0283361728202892,474.492035784655,3,28,3,123,25.1292158118216,558.706113194177,2,0,0
"1010002",2011,20,3,1,1,0,0,0,-0.530627489089966,32.3274917602539,40.4345,65.5281,0,0,0,0,0,45,0,0,0,0,0,0,1,1,1,1,1,500,1,1,0,648.602821796044,1,1,0,1823.75459526993,3,143,3,488,23.6911040495437,1866.82998025793,18,0,0
"10130002",2012,52,5.4,1,4,0,0,0,-0.269274953752756,32.3096862792969,24.63892,48.91718,19.8,0.2,0.2,0.2,0,36.2,0.4,0.6,0.2,0,0.2,0,0.8,0.8,0.8,1,1,1172,0,0,0,1196.61220908604,0.0149797118965425,0.0149797118965425,0.0149797118965425,2040.79275131641,17,40,8,489,23.5420240139154,2043.69424268678,19.6666666666667,0,0
"1020001",2010,75.6666666666667,6.11111111111111,0,5.44444444444444,0,0,0,0.333187888065974,32.5706558227539,1.12368888888889,0.8444,0,0,1,0,0,51.2222222222222,0.111111111111111,1,1,0.222222222222222,0,0.333333333333333,1,3.55555555555556,0,1,1,641.666666666667,1,1,0,874.930923664025,1,1,0,473.592501981084,3,24,3,123,24.6040531313516,418.717351084538,6,0,0
"1020001",2011,56,6,0,5,0,0,0,0.33318766951561,32.5706558227539,1.1476,0.7923,0,0,1,0,0,41,0,1,1,0,0,0,1,5,0,1,1,1000,0,0,0,1188.23795302833,0.0205466463526634,0.0449391356896276,0,1821.39181201197,3,112,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020002",2010,47,5.33333333333333,0,7.5,0,0,0,0.313044875860215,32.5691452026367,1.20075,1.9591,5.33333333333333,0,1,0,0,47.8333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0,0,0,0.666666666666667,2,0.5,1,1,650,1,1,0,865.82224541889,1,1,0,444.927437671191,12,7,3,123,24.4207064629403,416.357539152678,5.5,0,0
"1020002",2011,46,6,0,5,0,0,0,0.419838577508926,32.6081809997559,0.1846,6.4744,60,0,1,0,0,28,0,1,1,0,1,0,1,2,0,1,1,1000,0,0,0,1104.15618323881,0.0327405701665489,0.0224695678448138,0,1761.94285869109,3,47,3,488,22.9124040767525,1690.80902028259,27.5,0,0
"1020003",2010,66,7,0,12,0,0,0,0.303095519542694,32.5733451843262,1.8695,0.0807,0,0,1,0,0,31,0,1,1,1,0,0,1,1,0,1,1,900,1,1,0,1001.56601018777,1,1,0.214879216470717,476.562611580329,3,18,3,123,24.6040531313516,418.717351084538,6,0,0
"1020004",2011,48.375,4.75,0,2.5,0,0,0,0.345752984285355,32.5462989807129,0.3481,3.654025,3,0,1,0,0,34.5,0,1,0.25,0,0.25,0.25,0.75,1.5,0,1,1,625,0.75,0.75,0,896.382286782982,0.75,0.75,0,1904.95517054467,3,47,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020005",2010,62.3333333333333,6.66666666666667,0,1,0,0,0,0.378048986196518,32.5941314697266,0.19,5.78,7.33333333333333,0,1,0,0,52.6666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0.666666666666667,1,0,1,1,975,1,1,0,1199.45486802827,1,1,0,452.851280350042,3,11,3,123,24.6040531313516,418.717351084538,6,0,0
"1020005",2011,62.3333333333333,6.66666666666667,0,2,0,0,0,0.378049045801163,32.5941276550293,0.200733333333333,5.78493333333333,7.33333333333333,0,1,0,0,53.3333333333333,0,0.666666666666667,0.666666666666667,0,0,0,1,1.66666666666667,0,1,1,500,1,1,0,747.284996510649,1,1,0,1717.49714172054,3,65,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020006",2010,63.25,6.25,0,3,0,0,0,0.371428996324539,32.5650634765625,0.8375,4.53,2,0,1,0,0,49.5,0.25,0.5,0.5,0,0.25,0.25,1,4.25,0.25,1,1,662.5,1,1,0,922.565909941346,1,1,0,468.580578155683,3,7,3,123,24.6040531313516,418.717351084538,6,0,0
"1020006",2011,63.25,6.25,0,3,0,0,0,0.371428996324539,32.5650596618652,0.810775,4.51905,2,0,1,0,0,49.5,0,0.75,0.75,0,0.25,0.25,1,3,0.25,1,1,650,1,1,0,876.490495528599,1,1,0,1820.71381910796,3,43,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020007",2010,55.1666666666667,5.83333333333333,0,6.5,0,0,0,0.36514088511467,32.5970153808594,2.49861666666667,5.2121,22.8333333333333,0,1,0,0,37.5,0,0.833333333333333,0.833333333333333,0.333333333333333,0.166666666666667,0.166666666666667,1,2.16666666666667,0,1,1,631.25,1,1,0,852.792868252418,1,1,0,468.584993073566,3,11,3,123,24.6040531313516,418.717351084538,6,0,0
"1020007",2011,54.5,6,0,4.25,0,0,0,0.36514076590538,32.5970153808594,2.16325,5.3665,35,0,1,0,0,39.5,0,1,0.75,0.5,0,0.25,1,2.75,0,1,1,850,0.25,0.25,0,1071.73325190428,0.265409984764498,0.272469567844814,0,1701.10121394462,3,54,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020008",2010,40.5,6,0,11,0,0,0,0.356909781694412,32.5883522033691,0.719433333333333,3.7581,0,0,1,0,0,37.3333333333333,0,1,0,0,0,0,1,1.33333333333333,0.666666666666667,1,0.666666666666667,500,1,1,0,587.574851757851,1,1,0,474.151376176992,3,8,9,123,25.3284462471319,450.662808713672,17,0,0
"1020008",2011,56,6,0,5.5,0.5,0,0,0.570968315005302,32.9566287994384,10.30505,14.1148,31,0,1,0,0,43.5,0,1,0.5,0.5,0,0,1,1,0.5,1,1,884.375,0,0,0,1012.43676859107,0.0215081070987386,0.0224695678448138,0.0112347839224069,1788.09660523049,3,39,4,488,23.7323004446395,1810.03835926291,59,0,0
"1020009",2010,29,6,0,4,0,0,0,0.362533986568451,32.5747261047363,0.01,2.99,0,0,1,0,0,35,0,0,1,0,0,0,1,2,0,1,1,700,1,1,0,977.096399937814,1,1,0,463.322731905022,3,7,3,123,24.6040531313516,418.717351084538,6,0,0
"1020009",2011,51,6,0,5,0,0,0,0.362534463405609,32.5747261047363,0.1904,2.98726666666667,0,0,1,0,0,44.6666666666667,0,0.666666666666667,1,0,0,0,1,2.33333333333333,0,1,1,1000,0,0,0,1188.23795302833,0.0205466463526634,0.0449391356896276,0,1778.17163710017,3,45,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020010",2010,33,5,0,6,0,0,0,0.345997989177704,32.5832252502441,0.31,2.46,0,0,1,0,0,51,0.5,0.5,0.5,0,0,0,1,1.5,0,1,1,475,1,1,0,773.900576511127,1,1,0,447.059608432636,12,6,3,123,24.6040531313516,418.717351084538,6,0,0
"1020010",2011,33.5,5.25,0,4.5,0,0,0,0.345997929573059,32.5832252502441,0.286975,3.201225,0.5,0,1,0,0,43,0,0.5,0.5,0,0,0,1,1.5,0.25,1,1,716.5,0.5,0.5,0,918.486891333813,0.5,0.5,0,1811.60225498113,3,40,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020011",2010,49.6666666666667,5.66666666666667,0,1,0,0,0,0.289272993803024,32.6159744262695,2.30333333333333,5.70333333333333,42,1,0,0,0,41.6666666666667,0.333333333333333,1,0.666666666666667,0.333333333333333,0,0,1,3.66666666666667,0,1,1,975,1,1,0,1135.48581024698,1,1,0,461.626663060556,3,4,3,123,25.0178460594115,416.273935849018,6,0,0
"1020011",2011,59.2,6.2,0,5.8,0,0,0,0.279154181480408,32.6169441223144,3.10938,6.81658,45.6,0.8,0,0,0,38.4,0,1,0.8,0.4,0.2,0.2,1,3.2,0,1,1,856.6,0,0,0,989.768259510756,0.0330525052343162,0.00449391356896276,0.00449391356896276,1845.71777928919,3,40,3,488,23.4362111451196,1736.61404428831,30.5,0,0
"1020012",2010,60.6,5.4,0,2,0,0,0,0.312797009944916,32.6114730834961,3.43,3.886,10,1,0,0,0,37,0.4,0.4,0.2,0,0,0,0.6,1.6,0.4,1,1,663,1,1,0,965.366114122156,1,1,0,474.013387017592,3,16,3,123,24.6040531313516,418.717351084538,6,0,0
"1020012",2011,62.1666666666667,5.66666666666667,0,4,0,0,0,0.314343169331551,32.5971946716309,3.18881666666667,3.95008333333333,14.8333333333333,0.833333333333333,0.166666666666667,0,0,38.3333333333333,0,0.5,0.5,0,0,0,0.833333333333333,1.66666666666667,0.333333333333333,1,1,750,0,0,0,1033.96660603188,0.0205466463526634,0,0,1894.09737065835,3,65,3,488,22.9908989077709,1732.87144601946,26,0,0
"1020013",2010,38.5,4.5,0,5.64285714285714,0,0,0,0.303221029894692,32.6197471618652,2.92484285714286,3.75180714285714,11.1428571428571,0.928571428571429,0.0714285714285714,0,0,38.9285714285714,0.285714285714286,0.785714285714286,0.642857142857143,0.0714285714285714,0.142857142857143,0.0714285714285714,0.928571428571429,1.78571428571429,0.357142857142857,0.857142857142857,0.857142857142857,645.535714285714,1,1,0,880.518093020178,1,1,0,532.33063253609,3,16,3,123,24.6040531313516,418.717351084538,6,0,0
"1020014",2010,55.4,5.4,0,10.4,0,0,0,0.274927857518196,32.5811897277832,1.90576,4.6292,24.8,0,0.8,0,0,47.2,0,0.6,1,0,0,0,1,1.8,0,1,1,860,1,1,0,848.281312213145,1,1,0.0997751098681712,460.891090135809,3,10,3,123,25.0178460594115,416.273935849018,6,0,0
"1020014",2011,45.1666666666667,5,0,5.33333333333333,0,0,0,0.285813391208649,32.5787391662598,1.70773333333333,3.60263333333333,17,0.333333333333333,0.666666666666667,0,0,36.3333333333333,0,1,1,0,0.333333333333333,0,1,1.33333333333333,0,1,1,883.333333333333,0,0,0,1058.6920488509,0.0431880955299631,0.0224695678448138,0.00748985594827127,1823.80657216505,3,56,3,488,23.4362111451196,1736.61404428831,30.5,0,0
"1020015",2010,46.5,5.5,0,12,0,0,0,0.301654934883118,32.6005477905273,3.05525,3.666725,7.5,1,0,0,0,41,0,0.5,0.5,0,0,0.25,1,3.5,0.25,1,1,900,1,1,0,1001.56601018777,1,1,0.214879216470717,472.27269648921,3,8,3,123,24.6040531313516,418.717351084538,6,0,0
"1020015",2011,32.5,7,0,7,0,0,0,0.326390743255615,32.5551452636719,0.504,3.9294,7,0,1,0,0,23,0,1,1,0,0,0,1,1,0,1,1,1000,0,0,0,1131.12665010052,0,0,0,1840.91797996116,3,34,3,488,22.9908989077709,1732.87144601946,26,0,0
