HHID,FCS,HDDS,rural,FS_month,FS_year,ea_id,region2,region3,region4,lat_modified,lon_modified,dist_road,dist_popcenter,percent_ag,nutri_severe_constraint,nutri_moderate_constraint,nutri_reten_severe_constraint,dummy_terrain_rough,head_age,female_head,Radio,Television,Bicycle,Motorcycle,Car,Cellphone,num_cell,floor_dirt_sand_dung,roof_not_natural,roof_iron,clust_cassava_price,clust_bean_mktthin,clust_maize_mktthin,clust_cassava_mktthin,lhz_cassava_price,lhz_bean_mktthin,lhz_maize_mktthin,lhz_cassava_mktthin,raincytot,day1rain,maxdaysnorain
1013000201,20.0,3,1,1,2011,1010002,0,0,0,-0.5306274890899659,32.3274917602539,40.4345,65.5281,0,0,0,0,0,45,0,0,0,0,0,0,1,1,1,1,1,500.0,1.0,1.0,0.0,648.602821796044,1.0,1.0,0.0,1823.7545952699302,3,143
1013000206,48.5,4,0,12,2010,1010002,0,0,0,0.289080739021301,32.5606498718262,0.8136,4.0912,22,0,1,0,0,31,0,0,1,0,1,0,1,3,0,1,1,900.0,1.0,1.0,0.0,702.971125796045,1.0,1.0,0.0283361728202892,474.492035784655,3,28
1021000108,68.0,5,0,11,2010,1020001,0,0,0,0.33318766951561,32.5706558227539,1.0973,0.8722,0,0,1,0,0,70,0,1,1,0,0,1,1,4,0,1,1,600.0,1.0,1.0,0.0,772.9432002011681,1.0,1.0,0.0,473.592501981084,3,24
1021000109,56.0,6,0,5,2011,1020001,0,0,0,0.33318766951561,32.5706558227539,1.1476,0.7923,0,0,1,0,0,41,0,1,1,0,0,0,1,5,0,1,1,1000.0,0.0,0.0,0.0,1188.2379530283301,0.0205466463526634,0.0449391356896276,0.0,1821.39181201197,3,112
1021000111,71.0,6,0,10,2010,1020001,0,0,0,0.33318766951561,32.5706558227539,1.139,0.8115,0,0,1,0,0,48,0,1,1,1,0,0,1,4,0,1,1,600.0,1.0,1.0,0.0,783.0198265634891,1.0,1.0,0.0,473.592501981084,3,24
1021000113,88.0,7,0,10,2010,1020001,0,0,0,0.33318766951561,32.5706558227539,1.1269,0.8459,0,0,1,0,0,48,0,1,1,0,0,0,1,2,0,1,1,600.0,1.0,1.0,0.0,783.0198265634891,1.0,1.0,0.0,473.592501981084,3,24
1021000201,42.0,5,0,11,2010,1020002,0,0,0,0.31304475665092496,32.5691452026367,1.4203,1.5445,2,0,1,0,0,42,0,1,1,0,0,0,1,2,0,1,1,600.0,1.0,1.0,0.0,780.271172761366,1.0,1.0,0.0,444.927437671191,12,7
1021000203,53.0,5,0,11,2010,1020002,0,0,0,0.31304475665092496,32.5691452026367,1.344,1.5936,4,0,1,0,0,59,0,0,0,0,0,0,1,2,1,1,1,600.0,1.0,1.0,0.0,780.271172761366,1.0,1.0,0.0,444.927437671191,12,7
1021000207,62.0,5,0,11,2010,1020002,0,0,0,0.31304475665092496,32.5691452026367,1.4802,1.6065,12,0,1,0,0,45,0,0,0,0,0,0,1,1,1,1,1,600.0,1.0,1.0,0.0,780.271172761366,1.0,1.0,0.0,444.927437671191,12,7
1021000312,66.0,7,0,12,2010,1020003,0,0,0,0.303095519542694,32.5733451843262,1.8695,0.0807,0,0,1,0,0,31,0,1,1,1,0,0,1,1,0,1,1,900.0,1.0,1.0,0.0,1001.56601018777,1.0,1.0,0.21487921647071698,476.56261158032896,3,18
