"y2_hhid","FCS","HDDS","rCSI","lat_modified","lon_modified","dist_road","dist_admarc","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","head_educated","floor_dirt_sand_dung","cell_phone","number_celphones","roof_not_natural","roof_iron","asset_index"
"0001-001",42,4,28,-9.50446,33.2302,9,4,93,41,0,0,0,0,70,0,0,1,0,0,0,0,-0.937514550464697
"0002-001",22.5,4,12,-9.66792,33.3937,4,4,69,26,0,1,0,0,29,0,1,1,0,0,0,0,-0.937514550464697
"0003-001",47,6,28,-9.50446,33.2302,10,5,92,31,0,0,0,0,82,0,0,1,0,0,0,0,-0.937514550464697
"0004-001",54,7,18,-9.66792,33.3937,3,3,70,37,0,1,0,0,40,1,0,0,0,0,1,1,-0.0541713049401865
"0005-001",49,5,0,-9.50446,33.2302,9,4,92,37,0,0,0,0,42,0,0,1,0,0,0,0,-0.937514550464697
"0006-001",44,6,4,-9.66792,33.3937,4,5,72,53,0,1,0,0,67,1,0,1,1,2,0,0,-0.937514550464697
"0006-003",41,6,2,-9.66792,33.3937,4,5,72,53,0,1,0,0,26,0,0,1,0,0,0,0,-0.937514550464697
"0007-001",46.5,8,0,-9.50446,33.2302,10,4,92,37,0,0,0,0,45,0,0,1,0,0,0,0,-0.0541713049401865
"0008-001",64,8,0,-9.66792,33.3937,6,7,71,41,0,1,0,0,48,0,0,0,1,1,1,1,-0.345495163361213
"0008-003",81,7,0,-9.66792,33.3937,0,1,69,51,0,1,0,0,27,0,1,0,1,1,1,1,3.2891434261671
"0009-001",33,6,0,-9.50446,33.2302,9,4,92,41,0,0,0,0,33,1,0,1,0,0,0,0,-0.937514550464697
"0010-001",28.5,4,0,-9.66792,33.3937,5,5,70,35,0,1,0,0,49,0,0,1,0,0,0,0,-0.937514550464697
"0010-002",51,7,3,-13.633598,33.946516,1,1,41,12,0,0,0,0,36,1,0,0,1,1,1,1,-0.937514550464697
"0011-001",28,6,0,-9.50446,33.2302,9,4,92,37,0,0,0,0,42,0,0,1,0,0,0,0,-0.937514550464697
"0011-004",48,8,0,-9.967245,33.908173,0,3,2,60,0,0,0,0,22,0,0,0,1,1,1,1,-0.937514550464697
"0012-001",51,7,0,-9.66792,33.3937,5,6,69,18,0,1,0,0,54,0,1,0,1,1,1,1,-0.0541713049401865
"0012-003",88,7,0,-9.52838,33.21675,7,3,90,22,0,1,0,0,26,0,1,0,1,1,1,1,-0.64619069204367
"0012-010",77,7,0,-9.758098,33.352994,1,1,68,45,0,1,0,0,20,0,1,1,1,1,0,0,1.16848606588948
"0013-001",47,8,0,-9.688123,33.282754,0,9,78,20,0,1,0,0,35,0,1,1,1,1,1,1,1.45980992431051
"0014-001",31,5,32,-9.66792,33.3937,3,4,70,45,0,1,0,0,80,1,0,1,0,0,0,0,-0.937514550464697
"0015-001",28,4,0,-9.50446,33.2302,10,5,92,39,0,0,0,0,39,1,0,1,0,0,0,0,-0.937514550464697
"0016-001",43,7,0,-9.66792,33.3937,6,7,71,41,0,1,0,0,25,0,1,0,1,1,1,1,-0.937514550464697
"0016-002",51,7,0,-13.994993,33.814167,4,5,5,0,0,0,0,0,42,0,1,0,1,2,1,1,3.2891434261671
"0017-001",42,4,0,-9.50446,33.2302,6,2,93,31,0,1,0,0,50,0,0,0,0,0,1,1,-0.345495163361213
"0018-001",26.5,5,24,-9.66792,33.3937,6,7,71,41,0,1,0,0,28,0,1,1,0,0,1,1,-0.937514550464697
"0019-001",38.5,6,0,-9.50446,33.2302,10,5,91,24,0,0,0,0,29,0,0,1,0,0,0,0,-0.937514550464697
"0020-001",36,6,0,-9.66792,33.3937,3,4,70,49,0,1,0,0,63,1,0,1,0,0,0,0,-0.0541713049401865
"0021-001",42,5,2,-9.50446,33.2302,7,2,93,33,0,1,0,0,81,1,0,1,0,0,0,0,-0.937514550464697
"0022-001",43.5,7,2,-9.66792,33.3937,3,4,69,31,0,1,0,0,26,0,1,1,0,0,0,0,-0.937514550464697
"0023-001",58,7,0,-9.50446,33.2302,10,5,92,33,0,0,0,0,69,0,0,1,1,1,0,0,-0.64619069204367
"0024-001",44.5,7,3,-9.728369,33.371926,3,3,67,47,0,1,0,0,53,0,1,1,1,2,0,0,-0.0541713049401865
"0025-001",33.5,7,0,-9.50446,33.2302,8,3,93,41,0,1,0,0,28,0,0,1,1,1,0,0,-0.345495163361213
"0026-001",66,8,0,-9.66792,33.3937,6,7,70,41,0,1,0,0,36,0,0,1,0,0,0,0,-0.937514550464697
"0027-001",36,6,0,-9.50446,33.2302,10,5,92,33,0,0,0,0,30,0,1,0,1,1,1,1,-0.0541713049401865
"0028-001",42,4,17,-9.66792,33.3937,6,7,70,31,0,1,0,0,38,0,0,1,0,0,0,0,-0.937514550464697
"0029-001",40,7,0,-9.50446,33.2302,10,5,92,39,0,0,0,0,27,0,0,1,1,3,1,1,-0.0541713049401865
"0030-001",79,8,0,-9.66792,33.3937,3,4,70,45,0,1,0,0,25,0,0,0,0,0,1,1,-0.345495163361213
"0031-001",37,4,5,-9.50446,33.2302,9,4,92,37,0,0,0,0,38,0,0,1,0,0,0,0,-0.345495163361213
"0032-001",82,7,0,-9.66792,33.3937,6,7,70,31,0,1,0,0,60,0,1,0,1,1,1,1,-0.345495163361213
"0033-001",27,3,0,-9.80998,33.3873,0,15,62,37,0,1,0,0,28,0,0,1,0,0,0,0,-0.0541713049401865
"0034-001",43,5,0,-9.686266,33.239743,0,9,78,37,0,1,0,0,54,0,1,0,1,1,1,1,1.45980992431051
"0035-001",65.5,7,0,-9.80998,33.3873,4,11,63,20,0,1,0,0,78,0,0,1,1,1,0,0,-0.0541713049401865
"0036-001",34.5,6,0,-9.89498,33.381,0,11,59,47,0,1,0,0,38,0,1,1,1,1,1,1,-0.0541713049401865
"0037-001",32.5,5,17,-9.80998,33.3873,1,13,64,43,0,1,0,0,34,1,1,1,0,0,0,0,-0.937514550464697
"0038-001",47.5,7,0,-9.89498,33.381,0,11,58,53,0,1,0,0,36,0,0,1,0,0,0,0,-0.937514550464697
"0039-001",21,2,22,-9.80998,33.3873,0,15,62,20,0,1,0,0,87,1,0,1,0,0,0,0,-0.937514550464697
"0040-001",51.5,5,0,-9.89498,33.381,2,10,59,39,0,1,0,0,34,0,0,1,0,0,0,0,-0.64619069204367
"0041-001",42,3,5,-9.80998,33.3873,5,10,62,4,0,1,0,0,39,0,0,1,0,0,0,0,-0.345495163361213
