"y3_hhid","FCS","HDDS","rCSI","rural","FS_month","FS_year","clusterid","region2","region3","region4","region5","region6","region7","region8","region9","region10","region11","region12","region13","region14","region15","region16","region17","region18","region19","region20","region21","region51","region52","region53","region54","region55","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","slope","head_age","female_head","asset_index","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron"
"0001-001",25.5,4,13,1,11,2012,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,23,0,0,0,0,0,1.309072,72,0,-0.974219159450205,1,1,1,0,0
"0002-001",28,3,0,1,11,2012,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,23.5,8,0,0,0,0,1.18688,40,0,-0.974219159450205,0,0,1,0,0
"0003-001",69,5,0,1,11,2012,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,8,0,0,0,0,1.675673,53,0,-0.471759940995738,1,3,1,1,1
"0003-010",53,6,0,0,12,2012,1114002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.7,0,0,1,0,0,1.518553,28,0,2.70500815870839,1,2,0,1,1
"0005-001",55,6,0,1,11,2012,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,23.4,8,0,0,0,0,1.675673,34,0,-0.471759940995738,1,1,0,1,1
"0006-001",24.5,3,7,1,11,2012,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,23.3,8,0,0,0,0,1.675673,54,1,-0.974219159450205,0,0,1,0,0
"0007-001",57,5,0,1,11,2012,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,21.9,39,0,0,0,0,9.259116,34,0,-0.471759940995738,1,1,1,0,0
"0008-001",28,3,42,1,11,2012,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8,10,0,0,0,0,2.321705,71,0,-0.974219159450205,1,1,1,1,1
"0009-001",17,2,0,1,11,2012,1114002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,22.6,6,0,0,0,0,2.321705,59,0,-0.455868827063573,0,0,1,0,0
"0010-001",24,5,0,1,7,2013,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,54.3,35,0,0,0,0,6.589404,46,0,-0.455868827063573,0,0,1,1,1
"0011-001",57,4,0,1,7,2013,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2,56.1,55,0,0,0,0,5.590868,50,0,-0.974219159450205,0,0,1,0,0
"0011-004",69,6,10,1,10,2013,1203003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7,50.6,8,0,1,0,0,20.58162,21,0,-0.974219159450205,1,1,1,1,1
"0012-001",13,3,0,1,7,2013,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6,53.5,24,0,0,0,0,5.608376,68,0,-0.455868827063573,0,0,1,0,0
"0013-001",23,3,0,1,7,2013,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6,53.3,24,0,0,0,0,4.733373,73,0,-0.471759940995738,0,0,1,1,1
"0014-001",48,6,0,1,7,2013,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,53.7,28,0,0,0,0,5.608376,39,0,0.609391231195273,1,1,0,1,1
"0014-007",36.5,6,16,1,7,2013,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,52.6,2,0,0,0,0,7.53659,49,0,-0.974219159450205,0,0,1,0,0
"0015-001",34,5,0,1,6,2013,1203003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,14.4,4,0,0,0,0,3.719265,22,0,-0.974219159450205,1,1,0,1,1
"0016-001",54,6,3,1,7,2013,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1,53.6,26,0,0,0,0,5.538346,35,0,1.98506194814803,1,1,0,1,1
"0017-001",78.5,6,0,1,7,2013,1203003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,51.8,2,0,1,0,0,4.768358,35,0,-0.455868827063573,0,0,1,1,1
"0019-001",52,6,0,1,12,2012,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,58,33,0,0,0,0,2.478875,53,0,-0.99011027338237,0,0,1,0,0
"0019-003",50.5,7,0,1,12,2012,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,58,33,0,0,0,0,2.478875,23,0,-0.974219159450205,0,0,1,0,0
"0020-001",34,4,0,1,12,2012,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1,67.4,2,0,0,0,0,1.885179,29,0,-0.99011027338237,0,0,1,0,0
"0021-001",26.5,4,7,1,12,2012,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,58.4,31,0,0,0,0,2.478875,52,1,-0.471759940995738,1,1,1,0,0
"0022-001",34,3,13,1,12,2012,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.9,58.5,31,0,0,0,0,2.793253,40,1,-0.974219159450205,0,0,1,0,0
"0023-001",94,7,0,1,12,2012,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2,57.7,43,0,0,0,0,2.339168,38,0,-0.471759940995738,1,1,1,1,1
"0024-001",37,4,0,1,12,2012,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4,57.9,22,0,0,0,0,3.859092,47,0,-0.455868827063573,1,1,1,1,1
"0025-001",68,6,7,0,10,2013,1217003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,35,35,0,0,0,0,4.995791,30,0,-0.471759940995738,1,3,0,1,1
"0026-001",21,2,0,1,12,2012,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,56.5,55,0,0,0,0,4.610933,33,0,-0.99011027338237,0,0,1,1,1
"0027-001",21,2,0,1,12,2012,1217003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,56.8,53,0,0,0,0,4.610933,39,0,-0.974219159450205,1,1,1,0,0
"0028-001",48.5,5,0,1,4,2013,1313004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,81.2,12,0,0,0,0,4.540973,54,0,-0.471759940995738,1,1,1,1,1
"0029-001",41.5,4,0,1,4,2013,1313004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,79.9,0,0,0,0,0,2.443947,47,1,-0.974219159450205,0,0,0,1,1
"0030-001",42.5,5,0,1,4,2013,1313004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,81.4,2,0,0,0,0,4.540973,44,0,-0.455868827063573,0,0,1,0,0
"0031-001",32,5,0,1,4,2013,1313004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,81.2,8,0,0,0,0,4.540973,36,1,-0.974219159450205,1,1,1,1,1
"0032-001",46,4,0,0,4,2013,1313004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,82.2,14,0,0,0,0,9.558449,45,1,-0.99011027338237,1,2,1,1,1
"0033-001",42,3,0,1,4,2013,1313004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,80.2,12,0,0,0,0,15.28429,71,0,-0.455868827063573,0,0,1,1,1
