"FCS","HDDS","rCSI","rural","FS_month","FS_year","clusterid","region2","region3","region4","region5","region6","region7","region8","region9","region10","region11","region12","region13","region14","region15","region16","region17","region18","region19","region20","region21","region22","region23","region24","region25","region51","region52","region53","region54","region55","lat_modified","lon_modified","head_age","female_head","Refrigerator","Radio","Television","Bicycle","Motorcycle","Car","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron","HHID"
43,6,0,1,11,2014,20203304004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3646767196,37.0461802548,67,0,0,1,0,1,1,0,1,3,1,1,1,"1000-001"
67,6,0,1,11,2014,20203304004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3646767196,37.0461802548,41,0,0,1,0,1,0,0,1,2,0,1,1,"1001-001"
77,5,0,1,11,2014,20203304004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3646767196,37.0461802548,72,0,0,1,0,0,0,0,1,2,0,1,1,"1002-001"
68,6,0,1,10,2014,20203304004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3646767196,37.0461802548,56,1,0,1,0,0,0,0,1,1,1,1,1,"1003-001"
61,6,0,1,10,2014,20203304004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3646767196,37.0461802548,37,0,0,1,0,1,0,0,1,2,0,1,1,"1005-001"
83,7,0,1,10,2014,20203304004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3646767196,37.0461802548,52,0,0,1,0,1,1,0,1,4,1,1,1,"1006-001"
79,6,0,1,10,2014,20203304004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3646767196,37.0461802548,23,0,0,0,0,0,0,0,1,2,1,1,1,"1007-001"
67,6,0,1,11,2014,20203304004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3646767196,37.0461802548,35,0,0,0,0,0,0,0,1,2,0,1,1,"1009-001"
65,6,0,0,12,2014,20210303304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37468934538,36.8331376997,31,1,0,1,0,0,0,0,1,1,0,1,1,"1019-001"
92,7,0,0,12,2014,20210303304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37468934538,36.8331376997,36,0,0,1,1,0,0,0,1,2,0,1,1,"1020-001"
70,7,0,0,12,2014,20210303304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37468934538,36.8331376997,27,0,0,0,1,0,1,0,1,2,0,1,1,"1021-001"
74,7,0,0,12,2014,20210303304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37468934538,36.8331376997,35,0,1,1,1,1,0,0,1,4,0,1,1,"1022-001"
97,7,0,0,12,2014,20210303304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37468934538,36.8331376997,28,0,0,0,1,0,0,0,1,2,0,1,1,"1023-001"
62,7,19,0,12,2014,20210303304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37468934538,36.8331376997,28,0,0,1,1,0,0,0,1,3,0,1,1,"1024-001"
59,7,9,0,12,2014,20210303304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37468934538,36.8331376997,53,0,0,1,1,0,0,0,1,2,0,1,1,"1025-001"
52,5,0,0,12,2014,20210303304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37468934538,36.8331376997,22,1,0,0,0,0,0,0,1,1,0,1,1,"1026-001"
77,6,0,0,10,2014,20318204003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35515776775,36.6077888251,31,0,1,1,1,0,0,0,1,1,0,1,1,"1038-001"
45,5,0,0,10,2014,20318204003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35515776775,36.6077888251,31,0,0,1,0,0,0,0,1,1,0,1,1,"1039-001"
103,7,7,0,10,2014,20318204003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35515776775,36.6077888251,35,0,1,0,1,0,0,1,1,2,0,1,1,"1040-001"
92,7,0,0,10,2014,20318204003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35515776775,36.6077888251,69,0,0,1,1,1,0,0,1,1,0,1,1,"1041-001"
79,7,0,0,10,2014,20318204003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35515776775,36.6077888251,29,0,0,1,1,0,0,1,1,2,0,1,1,"1042-001"
71,7,0,0,10,2014,20318204003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35515776775,36.6077888251,37,0,0,0,1,0,0,1,1,6,0,1,1,"1043-001"
73,7,0,0,10,2014,20318204003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35515776775,36.6077888251,40,0,0,0,0,0,0,0,1,2,0,1,1,"1044-001"
68,6,10,0,10,2014,20318204003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35515776775,36.6077888251,50,0,0,0,0,0,0,0,0,0,0,1,1,"1045-001"
17.5,1,0,1,11,2014,20406105001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91261559182,34.7587649295,74,0,0,0,0,0,0,0,0,0,1,0,0,"1057-001"
46,6,0,1,11,2014,20406105001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91261559182,34.7587649295,25,0,0,0,0,1,0,0,1,2,1,0,0,"1058-001"
94,7,0,1,11,2014,20406105001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91261559182,34.7587649295,50,0,0,1,0,1,0,0,1,5,1,0,0,"1059-001"
42,3,21,1,11,2014,20406105001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91261559182,34.7587649295,48,0,0,0,0,0,0,0,1,2,1,1,1,"1060-001"
