"HHID","FCS","HDDS","rural","FS_month","FS_year","ea_id","region1","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","Radio","Television","Bicycle","Motorcycle","Car","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron"
"1013000201",20,3,1,1,2011,"1010002",1,0,0,0,-0.530627489089966,32.3274917602539,40.4345,65.5281,0,0,0,0,0,45,0,0,0,0,0,0,1,1,1,1,1
"1013000204",31,5,1,1,2011,"1010002",1,0,0,0,-0.530627489089966,32.3274917602539,40.4835,65.554,0,0,0,0,0,34,0,1,0,0,0,0,1,1,NA,NA,NA
"1013000206",47.5,3,0,12,2010,"1010002",0,0,0,0,0.289080739021301,32.5606498718262,0.8136,4.0912,22,0,1,0,0,31,0,0,1,0,1,0,1,3,0,1,1
"1021000108",68,5,0,11,2010,"1020001",0,0,0,0,0.33318766951561,32.5706558227539,1.0973,0.8722,0,0,1,0,0,70,0,1,1,0,0,1,1,4,0,1,1
"1021000109",56,6,0,5,2011,"1020001",0,0,0,0,0.33318766951561,32.5706558227539,1.1476,0.7923,0,0,1,0,0,41,0,1,1,0,0,0,1,5,0,1,1
"1021000111",71,6,0,10,2010,"1020001",0,0,0,0,0.33318766951561,32.5706558227539,1.139,0.8115,0,0,1,0,0,48,0,1,1,1,0,0,1,4,0,1,1
"1021000113",88,7,0,10,2010,"1020001",0,0,0,0,0.33318766951561,32.5706558227539,1.1269,0.8459,0,0,1,0,0,48,0,1,1,0,0,0,1,2,0,1,1
"1021000201",42,5,0,11,2010,"1020002",0,0,0,0,0.313044756650925,32.5691452026367,1.4203,1.5445,2,0,1,0,0,42,0,1,1,0,0,0,1,2,0,1,1
"1021000202",15,4,0,5,2011,"1020002",0,0,0,0,0.313044756650925,32.5691452026367,1.4453,1.508,4,0,1,0,0,43,0,0,0,0,0,0,1,1,NA,NA,NA
"1021000203",53,5,0,11,2010,"1020002",0,0,0,0,0.313044756650925,32.5691452026367,1.344,1.5936,4,0,1,0,0,59,0,0,0,0,0,0,1,2,1,1,1
"1021000207",62,5,0,11,2010,"1020002",0,0,0,0,0.313044756650925,32.5691452026367,1.4802,1.6065,12,0,1,0,0,45,0,0,0,0,0,0,1,1,1,1,1
"1021000212",53,7,0,5,2011,"1020002",0,0,0,0,0.313044756650925,32.5691452026367,1.4074,1.5642,2,0,1,0,0,49,0,1,1,0,0,0,1,1,NA,NA,NA
"1021000213",57,6,0,5,2011,"1020002",0,0,0,0,0.313044756650925,32.5691452026367,1.4433,1.5182,2,0,1,0,0,50,0,1,1,0,0,0,1,4,NA,NA,NA
"1021000312",66,7,0,12,2010,"1020003",0,0,0,0,0.303095519542694,32.5733451843262,1.8695,0.0807,0,0,1,0,0,31,0,1,1,1,0,0,1,1,0,1,1
"1021000401",17.5,1,0,1,2011,"1020004",0,0,0,0,0.345752984285355,32.5462989807129,0.036,4.0233,0,0,1,0,0,34,0,1,0,0,0,0,1,1,0,1,1
"1021000402",16,5,0,1,2011,"1020004",0,0,0,0,0.345752984285355,32.5462989807129,0.0683,4.0583,0,0,1,0,0,45,0,1,0,0,1,1,1,3,0,1,1
"1021000405",76,7,0,1,2011,"1020004",0,0,0,0,0.345752984285355,32.5462989807129,0.0558,3.9988,0,0,1,0,0,30,0,1,0,0,0,0,0,0,0,1,1
"1021000503",56,6,0,2,2011,"1020005",0,0,0,0,0.378049045801163,32.5941276550293,0.2583,5.8982,6,0,1,0,0,76,0,1,1,0,0,0,1,1,0,1,1
"1021000504",54,7,0,2,2011,"1020005",0,0,0,0,0.378049045801163,32.5941276550293,0.1458,5.7432,8,0,1,0,0,38,0,0,0,0,0,0,1,1,0,1,1
"1021000506",77,7,0,2,2011,"1020005",0,0,0,0,0.378049045801163,32.5941276550293,0.1981,5.7134,8,0,1,0,0,46,0,1,1,0,0,0,1,3,0,1,1
