"HHID","FCS","HDDS","rural","FS_month","FS_year","ea_id","region2","region3","region4","lat_modified","lon_modified","dist_road","dist_popcenter","percent_ag","nutri_severe_constraint","nutri_moderate_constraint","nutri_reten_severe_constraint","dummy_terrain_rough","head_age","female_head","Radio","Television","Bicycle","Motorcycle","Car","Cellphone","num_cell","floor_dirt_sand_dung","roof_not_natural","roof_iron"
"1013000201",52,5,1,2,2012,10130002,0,0,0,-0.530627489089966,32.3274917602539,40.4345,65.5281,0,0,0,0,0,46,1,0,1,0,0,0,0,0,1,1,1
"1013000202",30.5,4,1,3,2012,10130002,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,0,0,0,0,0,1,1,0,1,1
"1013000204",46,6,1,3,2012,10130002,0,0,0,-0.530627489089966,32.3274917602539,40.4835,65.554,0,0,0,0,0,35,0,1,0,0,0,0,1,1,1,1,1
"1013000206",45.5,6,1,9,2012,10130002,0,0,0,0.289080739021301,32.5606498718262,0.8136,4.0912,22,0,1,0,0,32,0,1,0,0,1,0,1,1,0,1,1
"1013000210",40.5,5,1,2,2012,10130002,0,0,0,-0.530627489089966,32.3274917602539,41.3587,66.6363,9,0,0,0,0,39,0,1,0,0,0,0,1,1,1,1,1
"1013000212",83.5,6,1,3,2012,10130002,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0,1,0,1,0,0,1,0,1,1,0
"101300021302",76,5,1,4,2012,10130002,0,0,0,-0.0435730405151844,32.0053062438965,0.1043,42.7763,68,1,0,1,0,29,1,0,0,0,0,0,1,1,1,1,1
"101300021302",76,5,1,4,2012,10130002,0,0,0,-0.0435730405151844,32.0053062438965,0.1043,42.7763,68,1,0,1,0,NA,0,0,0,0,0,0,1,1,1,1,1
"1021000102",92,7,0,6,2012,10210001,0,0,0,0.33318766951561,32.5706558227539,1.1306,0.8804,0,0,1,0,0,41,0,1,1,0,0,1,1,5,0,1,1
"1021000108",81,7,0,6,2012,10210001,0,0,0,0.33318766951561,32.5706558227539,1.0973,0.8722,0,0,1,0,0,72,0,1,1,0,0,1,1,5,0,1,1
