"","mkt","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01"
"1","Arusha",80714.29,65083.33,46875,49136.36,52346.15,56375,57000,52000,49187.5,51010,50890,50150,55200,55300,51400,55600,52000,52400,51900,55900,53300,55800,57700,67700,99200,87100,98900,86700,76700,84800,86818.1818,87500,87500,89000,93864,1e+05,120000,102000,130000,103200,99071.4286,106666.6667,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96875,100755,106750,121250,122500,120000,106000,107222,121667,107083,117885,NA,137308,186154,140000,128273,178346,133500,116154,103750,105625,114000,122000,116111.1111,126250,96818.1818,105416.5,120520.75,117633.2,112222.3333,110208.5,110513.8333,113958.25,121833.25,126875,136958.25,132500,132625,146875,136500,144615.38,133125,127955,127917,137885,136786,149423,162083,161250,151458,157955,171875,174167,138897,130540,136800,145063,170128,161000,168208,143055.5556,131617,124833,131970,122472,133035,137660,151354,153299,152882,155952
"2","Babati",55281.25,48333.33,43066.67,49850,50125,60958.33,61843.75,56600,59625,58780,51200,52410,54200,48900,45500,36500,39600,40400,39700,44000,45700,65400,54300,57900,72600,66000,58500,47800,62500,81333.3333,83100,87000,90333,99423,109591,117000,120000,111000,102000,93000,98142.8571,90666.6667,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115455,118200,105300,238500,123333,120000,85950,124636,134000,135250,137538,NA,151000,99346,96500,108500,111154,121150,116167,115500,115500,115100,115750,128333.3333,140900,134090.9091,130833.25,120000,136333.4,122500,116875,113472.1667,112666.75,137791.75,131875,139479.25,145208.5,145208,157167,115000,115000,115000,115000,115000,115000,118571,135769,145000,145000,140000,144400,160000,179444,124295,121154,132533,152083,171500,166818,155667,127250,126375,84625,99286,104583,113333,132083,125000,187409,185833,161250
"3","Bukoba",51625,48625,30687.5,33522.73,37153.85,40645.83,48125,50000,47500,48270,49770,50322,40700,33600,37800,44400,43800,47300,49700,54600,63500,73500,63400,65800,46700,55200,60000,63200,60400,71875,69000,71250,107500,107885,104000,120000,120000,130000,130000,124500,121875,118333.3333,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,87900,91000,135000,116111,136000,95000,95000,91250,95750,98000,NA,91000,90500,90000,90000,90000,99000,100479,102500,95000,106100,107500,105277.7778,101388.8889,89545.4545,91666.75,118750,105000,110000,110000,110833.3333,121041.75,146250,138333.25,125000,1e+05,1e+05,103636,105000,108636.36,119791.75,99091,98542,104231,1e+05,91538,98182,85000,101667,130455,138333,125000,120972,123704,120000,120000,162857,156500,102361,109444.4444,125000,125000,125000,119375,126071,123125,130000,150000,187500,155000
"4","Dar Es Salaam",80000,68208.33,63333.33,57318.18,56730.77,59583.33,60625,60750,62500,62000,62500,63000,64000,63100,66600,60000,57300,55500,53700,56200,53300,65600,71800,73300,95800,95500,95000,81300,73200,96200,87727.2727,102500,1e+05,105000,108864,130000,150000,130000,130000,100950,95531.25,106250,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+05,110550,66500,32229,125000,150000,128542,133222,125944,141625,151538,NA,140308,139808,135944,138682,130385,135250,137500,150800,145625,138500,155833,156875,158750,167954.5455,162083.25,155208.25,151583.4,151527.6667,150625,145555.5,149166.5,147500,152916.75,150520.75,157083.25,156458,167708,164250,171298.075,176458.375,157007,146250,159423,165119,165865.5,167500,178333,181250,174818,188333,205625,175411,175000,171041.5,164562.5,186768,194773,201097.3333,192175.9259,183555.6667,177989.5,176486.3333,177866,178584.6667,185470.3333,179110,188095.3333,188923,186709.3333
"5","Dodoma",76428.57,55833.33,50020.83,50545.45,50884.62,55000,70000,64250,46250,55714.29,53900,59937.5,59700,50800,50800,41900,38100,50600,53400,54000,55200,81700,64400,74600,102000,84800,80500,86700,86100,93072.2222,87754.5455,11000,1e+05,105000,108182,120000,120000,1e+05,1e+05,91500,90625,95000,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110000,138500,149666.6,42500,43875,150000,140000,132500,122000,147500,156667,NA,161615,163077,167500,155455,160000,160000,165000,155500,161250,164000,170000,140000,140000,140000,105000,105000,104700,106666.6667,107083.25,105000,111666.75,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,157885,164091,165000,162083,168636,170833,184444,184036,185500,171917,191042,193885,188864,187056,186750,175883,187222,170720,169021,169611,170417,175833,178550,179806,188433
"6","Iringa",48722.22,71111.11,76083.33,53875,45791.67,38000,36000,44615.38,48181.82,51062.5,51150,100812.5,49800,50000,45100,36400,41700,45800,45800,46500,45800,45800,50700,54200,72700,78700,69300,54500,55000,62500,93350,90000,95000,99000,92273,125000,130000,130000,130000,65650,62857.1429,72750,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77167,118889,123333.4,45000,39806,37500,101000,97857,105556,122083,132308,NA,136538,116731,107778,113000,114615,113800,106023,138333.3333,135000,124000,140833,145000,154000,145000,95208.25,116250,109666.6,114444.3333,130000,124166.6667,119166.75,120000,120000,121666.75,115000,115000,135000,125000,124230.77,128750,125000,125000,131923,155000,153846,160000,160000,148333,143636,145000,149444,155926,163333,163750,157222,155000,170000,170000,186500,181000,154444,150000,140000,140000,144000,150000,160500,169167,165000
"7","Kigoma",56650,58409.09,60681.82,60000,65625,61458.33,59318.18,55020.83,56041.67,58250,67500,75000,83400,66500,65200,67000,62300,65900,66700,75800,94100,98500,118300,126500,142000,126200,97800,83500,79100,94000,87500,95000,1e+05,119286,112727,110000,120000,120000,1e+05,98888.8889,85000,96666.6667,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121250,238500,131666.6,97875,49900,43100,121538,124375,124792,131250,147083,NA,126731,116923,118056,140000,142692,140000,132308,131000,147500,159000,135000,152777.7778,220000,95227.2727,130000,137500,139666.6,125833.3333,118750,109861.1667,110000,124166.75,135000,121875,117083.25,117917,119167,126000,154615.38,100416.75,126364,128750,120000,140000,148462,150000,142727,142292,146818,157708,134722,136667,139167,159167,171111,170250,169242,172727,166666.6667,155000,150000,140000,131515,131250,131042,154545,158194,166500,162500
"8","Lindi",68250,72454.55,78428.57,67687.5,66958.33,62291.67,57750,60000,60000,70000,69500,70357.14,75400,69300,67700,68900,62100,57800,62000,62600,61400,65600,67200,70200,115300,109000,98400,82800,68100,81666.6667,83181.8182,120000,117500,116923,104950,120000,120000,120000,120000,99500,98750,99166.6667,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100938,128000,130916.6,168500,1e+05,42000,122500,121250,127778,135833,135000,NA,147708,146538,145556,130000,138077,142500,148182,146000,137500,149000,152083,157222.2222,170000,171363.6364,167083.25,149500,162000,141666.6667,151458.25,148333.3333,146250,146666.75,152083.25,169583.25,170000,170000,165833,165500,170769.23,165000,170000,163750,167692,179643,183846,180909,175833,172917,170909,183333,194444,191364,186667,190476,146875,132500,143250,177500,157000,175000,177083,169722,175000,180000,171591,175000,205000,196667,244524
"9","Mbeya",48250,54000,50454.55,48437.5,52208.33,52729.17,46295.45,44750,46545.45,50406.25,56500,61375,60300,48700,44000,44400,41300,41100,41200,43100,44500,47200,59700,72500,94200,92900,99500,89700,76660,75400,75272.7273,85000,91250,95500,96591,1e+05,110000,120000,120000,89350,90375,92916.6667,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123333,116111,135666.6,125000,100600,104167,115682,121136,119222,125000,149154,NA,160615,164000,147889,110682,114077,127950,112692,129500,132500,136500,147500,149722.2222,160450,148318.1818,126666.75,114583.25,113083.4,109166.6667,109791.75,112638.8333,110000,109375,119583.5,129375,132708.25,132708,135000,135100,134653.85,132500,125000,115000,116538,118571,123462,127273,125000,122500,122500,122500,122500,117024,113259,127500,133500,142500,142500,143182,172000,157000,152500,137500,135192,135000,135000,135000,135000,135000,136400
"10","Morogoro",65055.56,79681.82,83416.67,75312.5,69520.83,56208.33,54363.64,57482.14,60125,62876.25,61111.11,64625,67500,60200,61200,60900,57900,59000,59700,55800,57800,61000,65700,75400,103800,103400,85000,76500,70900,82825,83333.3333,92500,94833,98000,115162,1e+05,1e+05,138000,110000,98250,87687.5,106583.3333,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112083,130500,131666.6,100938,105000,102500,114833,114646,121563,122708,124231,NA,147308,147115,143056,138182,144135,148950,146038,125000,125375,132000,143750,144444.4444,161000,145000,150000,131875,119166.8,132222.3333,119375,123888.8333,127291.75,133750,144791.75,145000,151250,150833,162292,165250,167250,166520.75,143864,142500,147115,153214,162115,165250,171250,172083,169250,185833,193889,158542,158958.3333,178636,182000,180455,184773,185208,189500,171667,174318,169000,172500,173125,171591,175000,179479,188682,190000
