"","mkt","2008-01-01","2008-01-08","2008-01-15","2008-01-22","2008-01-29","2008-02-05","2008-02-12","2008-02-19","2008-02-26","2008-03-04","2008-03-11","2008-03-18","2008-03-25","2008-04-01","2008-04-08","2008-04-15","2008-04-22","2008-04-29","2008-05-06","2008-05-13","2008-05-20","2008-05-25","2008-06-03","2008-06-10","2008-06-17","2008-06-24","2008-07-01","2008-07-08","2008-07-15","2008-07-22","2008-07-29","2008-08-05","2008-08-12","2008-08-19","2008-08-26","2008-09-02","2008-09-09","2008-09-16","2008-09-23","2008-09-30","2008-10-07","2008-10-14","2008-10-21","2008-10-28","2008-11-04","2008-11-11","2008-11-18","2008-11-25","2008-12-02","2008-12-09","2008-12-16","2008-12-23","2008-12-30","2009-01-06","2009-01-13","2009-01-20","2009-01-27","2009-02-03","2009-02-10","2009-02-17","2009-02-24","2009-03-03","2009-03-10","2009-03-17","2009-03-24","2009-03-31","2009-04-07","2009-04-14","2009-04-21","2009-04-26","2009-05-05","2009-05-12","2009-05-19","2009-05-26","2009-06-03","2009-06-10","2009-06-17","2009-06-24","2009-06-30","2009-07-07","2009-07-14","2009-07-21","2009-07-28","2009-08-04","2009-08-11","2009-08-18","2009-08-25","2009-09-01","2009-09-08","2009-09-15","2009-09-22","2009-09-29","2009-10-06","2009-10-13","2009-10-20","2009-10-27","2009-11-03","2009-11-10","2009-11-17","2009-11-24","2009-12-01","2009-12-08","2009-12-13","2009-12-20","2009-12-27","2010-01-05","2010-01-12","2010-01-19","2010-01-26","2010-02-02","2010-02-09","2010-02-16","2010-02-23","2010-03-02","2010-03-09","2010-03-16","2010-03-23","2010-03-30","2010-04-06","2010-04-13","2010-04-20","2010-04-25","2010-05-04","2010-05-11","2010-05-18","2010-05-25","2010-06-01","2010-06-08","2010-06-15","2010-06-22","2010-06-29","2010-07-06","2010-07-13","2010-07-20","2010-07-27","2010-08-03","2010-08-10","2010-08-17","2010-08-22","2010-08-29","2010-09-05","2010-09-12","2010-09-19","2010-09-26","2010-10-03","2010-10-10","2010-10-17","2010-10-24","2010-10-31","2010-11-07","2010-11-14","2010-11-21","2010-11-28","2010-12-05","2010-12-12","2010-12-26","2011-01-02","2011-01-09","2011-01-16","2011-01-23","2011-01-30","2011-02-06","2011-02-13","2011-02-20","2011-02-27","2011-03-06","2011-03-13","2011-03-20","2011-03-27","2011-04-03","2011-04-10","2011-04-17","2011-04-24","2015-11-29","2015-12-06","2015-12-13","2015-12-20","2015-12-27","2015-11-01","2015-11-08","2015-11-15","2015-11-22","2016-04-03","2016-04-10","2016-04-17","2016-04-24","2016-01-31","2016-02-07","2016-02-14","2016-02-21","2016-01-03","2016-01-10","2016-01-17","2016-01-24","2016-07-03","2016-07-10","2016-07-17","2016-07-24","2016-05-29","2016-06-05","2016-06-12","2016-06-19","2016-06-26","2016-02-28","2016-03-06","2016-03-13","2016-03-20","2016-03-27","2016-05-01","2016-05-08","2016-05-15","2016-05-22","2016-07-31","2016-08-07","2016-08-14","2016-08-21","2016-10-02","2016-10-09","2016-10-16","2016-09-04","2016-09-11","2016-09-18","2016-12-04","2016-12-11","2016-12-18","2016-12-25","2017-04-02","2017-04-09","2017-04-16","2017-01-29","2017-02-05","2017-02-12","2017-02-19","2017-01-01","2017-01-08","2017-01-15","2017-01-22","2017-02-26","2017-03-05","2017-03-12","2017-03-19","2017-04-30","2017-05-07","2017-05-14","2017-05-21"
"1","MISUKU","133.33","133.33","133.33","133.33",NA,"141.67","12","155.00","146.67","136.00","102.22","103.33"," 97.78"," 91.67","106.34","108.44","118.62","116.67","100.00","100.00","100.00",NA,"100.00","10","107.14","24","113.09","118.05","118.05","22","125.00","125.00","138.57","142.86","142.86","144.96","140.83","140.83","140.83","140.83","140.83","146.25","21","146.25","151.67","158.33","168.50","158.50","160.42","160.42","160.05","12",NA,NA,"160.42","160.42","27","162.50","162.50","162.50","24","151.67","135.42","17","106.88","101.67","119.30","124.65","124.65",NA,"128.33","117.11","19","123.13","121.46","120.12","118.34","105.86"," 92.93"," 97.50","100.42","21"," 92.50"," 82.50"," 80.00"," 93.75"," 91.25"," 90.00"," 91.25"," 93.75"," 91.25","101.15","118.13","118.13","125.00","125.00","123.33","10","128.54","130.00","128.33","135.00",NA,NA,NA,"147.92","143.13","143.75","150.17","147.92","157.92","147.92","155.43","150.15","147.92","140.06","134.39","150.00","145.86","140.00","153.13",NA,NA,"142.50","145.63","25","148.72","142.65","142.25","138.75","111.86","115.77","13","100.00","101.25","102.71"," 96.46"," 97.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"384.67","392.53","12","413.23","415.83","320.73","323.81","384.44","381.11","441.16","441.19","490.21","24","428.53",NA,"14","21",NA,"418.67","17","421.16",NA,"10","17","24",NA,"492.14","495.31","19","26","383.33","376.11","13","20","27","487.63","493.12",NA,"22","482.16","481.17","481.17","450.12",NA,NA,"16",NA,"479.74","18",NA,NA,"18","12",NA,NA,NA,"524.47","520.17","515.14","510.29",NA,NA,"15","22",NA,NA,NA,"19","30",NA,"14","21"
"2","NTHALIRE",NA,"104.01","104.01","116.67","107.51","102.97","102.97",NA,NA,"126.47","120.59","126.47","126.47",NA,"126.47","15","120.59","123.10","123.10","13","20",NA,NA,"10",NA,"24","117.65","117.65","117.65","117.65","29",NA,"144.12","137.45","141.65","137.45","134.12","16","128.04","134.12","134.12","134.12","140.79","140.79","140.79",NA,"134.12","11","141.79","197.65","197.67","12","197.65",NA,"13","211.76","222.22","222.22","117.78","17","140.74",NA,NA,"140.00","140.00","140.00","140.00",NA," 79.49",NA," 79.49"," 91.76",NA," 79.49",NA,"10","17","24","102.29"," 96.11"," 88.46","21"," 96.11"," 96.11","107.23","18"," 91.18",NA,NA,"105.99"," 32.49","29",NA,NA,NA,NA,"119.32","132.49","107.23","109.00","114.51","129.41",NA,NA,NA,"175.22","116.47","19","115.87","116.59","119.32","114.53",NA," 92.50",NA,NA,"23","30",NA," 97.96","20",NA,NA,"11","101.80","147.16",NA,NA,"15","22","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"351.17","365.34","358.27","355.20",NA,"366.94","11","11","22",NA,"10","17","24",NA,NA,"14",NA,"399.08","418.25","448.74","462.27",NA,"10","17","24",NA,NA,"12",NA,NA,"28",NA,NA,"20","27",NA,NA,NA,"22",NA,NA,"14","21",NA,NA,"16",NA,"11","18","606.04","618.18","625.54","628.12",NA,NA,NA,"29",NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,"19","30",NA,"14","21"
"3","CHITIPA","145.19","145.19","145.19","145.19","180.74","167.41","167.41","167.41","169.26","169.26","123.92","123.92","117.65"," 82.35"," 82.35"," 82.35"," 84.31"," 84.31"," 90.59"," 90.59"," 90.59",NA,NA," 89.41","120.00","120.00","120.00","122.35","122.35","114.90","114.90","122.35","122.33","122.35","124.71",NA,"124.71","128.04","128.04","128.63","128.63","128.63","136.08","136.08","136.08","136.08","189.80","189.80","189.90","189.80","189.80","189.80",NA,"192.94","207.06","207.06","228.76","234.42","235.35","236.47","237.85","240.80",NA,"237.85","231.14","214.89","212.95","210.37",NA,NA,"205.81","204.77","204.00","182.15","180.25","177.87","176.79","175.26","174.49","171.99","173.56","136.38","177.61","177.78","177.80","177.91","178.19","179.18","178.18","179.18","180.19","180.22","180.30","180.41","180.49","180.27","181.22","182.22","182.32","182.50","182.56","182.59",NA,NA,NA,"184.14","184.39","184.43","184.52","185.65","186.31","186.85","192.31","190.47","188.19","186.56","186.62","185.22","185.10",NA,"182.10",NA,"180.19","147.50","147.20","146.15","146.19","145.16","144.99","143.04","143.02","142.50","141.75","141.82","140.82","140.92",NA,"141.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","436.63","436.27",NA,"438.92",NA,"432.23","15","432.75","448.63","446.76","446.45","445.20","447.24","447.39","14","21","440.85",NA,"441.18",NA,"443.42","445.09","445.90","447.45","443.19","441.62","442.65","442.70","443.39","28",NA,"446.14","447.18","447.45","446.08",NA,"444.17","440.18","448.05","509.52","14",NA,NA,NA,"10",NA,"454.27","458.29",NA,NA,"18","12",NA,NA,NA,"501.45","501.59","502.67","502.27",NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,"14","21"
"4","KARONGA","230.00","230.00","150.00","230.00","200.00","167.03",NA,"177.78","184.04","187.05",NA,"200.00","166.66","170.00",NA,"166.78","142.66","166.75","181.81","166.75","166.66",NA,"166.75",NA,"170.75","189.56","233.33","205.00","220.00",NA,"215.87","200.00","233.33","215.87","110.00","211.11",NA,"218.05","207.56","181.81","222.22","218.27",NA,NA,"200.00","195.00","18","11",NA,NA,"246.15","222.22",NA,"200.00",NA,"236.11","245.85",NA,NA,"17","294.40","222.22","222.22","212.22",NA,"200.00",NA,"192.81","190.90",NA,"166.66",NA,"136.36",NA,"150.00","120.00","150.00","117.22","111.11","183.63","187.05","158.33","172.22","180.00","181.81","180.00","171.81","194.22",NA,"192.22","196.32",NA,"156.72","138.68","139.77","164.13","189.56","184.61","167.05","171.72","184.22","190.00",NA,NA,NA,"225.00","192.30","200.00",NA,"200.00","209.09","218.18","23","210.52",NA,"181.81","215.38","200.00","181.81","157.75","158.30",NA,"166.75","166.66","145.45","129.37","150.00",NA,"200.00","190.98","172.72",NA,NA,NA,"27",NA,NA,"181.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"612.91","620.91",NA,"20",NA,"604.55","576.76","586.14","604.55","375.92","386.66","420.95","450.75","750.18",NA,"14",NA,"757.24","750.16","785.07","750.18","545.45","575.19","580.22","700.52","545.46","546.92","575.92","565.11","560.18","555.14","550.18",NA,"20","27","450.16","494.16","525.91","525.13","650.81","655.11","675.25","680.24","638.68","750.28","681.81","772.22","696.43","875.04","750.19","666.67",NA,NA,NA,"480.02","375.04",NA,"833.33","791.66","650.17","861.11","850.19","818.18","833.33","750.96","755.55","750.14","700.19","390.04","375.19","385.18","400.20"
"5","CHILUMBA",NA,NA,"15",NA,NA,"147.07",NA,NA,"26","199.00","200.00","200.00","188.00","180.71","180.71","150.00","150.00","150.00",NA,NA,NA,NA,NA,NA,"17","24",NA,NA,"200.00",NA,"200.00","200.00","12","250.00","26","200.00","250.00","250.00","200.00","250.00","250.00","250.00","250.00","10","11","250.00",NA,NA,"275.02","280.05",NA,NA,NA,"290.00",NA,NA,"300.02","277.02","300.00","300.09",NA,NA,NA,"17","300.02","31","255.24","14","277.05",NA,"265.31","261.22","249.70","255.22",NA,NA,"17","24","30","148.05","123.85","153.37","122.90","137.74","137.74","136.72","134.76","134.36","130.21","133.41","133.59","136.40","136.41","137.23","138.41","141.87","133.59","136.61","129.81","131.73","136.37","134.19",NA,NA,NA,"152.91","151.29","149.33","138.41","141.92","151.17","161.28","159.05","166.67","168.30","152.91","146.92","144.45","142.74","136.24","129.12",NA,"136.36","138.39","138.39","155.14","120.25","123.37","123.37","132.47","133.78","137.41","137.41","153.36","154.46","149.23","155.24","155.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"403.33",NA,"13","12",NA,"396.13","398.89","407.16","407.16",NA,NA,NA,"24","451.13","453.27","463.93",NA,"444.44","440.21","443.33",NA,NA,"487.04","486.67","481.01","486.67","488.01","493.43","488.89","487.98","456.67",NA,"13","20","27","473.33","471.03","473.07","477.91",NA,"487.73","486.67","489.59","511.13","514.18","536.63",NA,"489.91","18","673.34","674.44","677.81","698.93","621.27","613.37","601.17","748.87","746.15","743.37","744.44",NA,NA,NA,"22","741.57","737.07","741.91","645.16","430.11","419.67","418.19","417.61"
"6","RUMPHI","151.21","151.21","156.44","156.44",NA,"161.48","158.95","158.95","26",NA,"173.58","171.11","144.74","144.74","141.23","145.80","145.80","148.69","154.02","164.02","152.16",NA,"152.22",NA,"192.96","192.96","192.96","192.96","192.96","192.96","192.96","200.37","200.79","19","200.37","200.37","200.37","200.37","200.37","200.37","198.52","198.52","200.99","200.99","200.99","200.99","211.98","211.98","211.98","211.98","211.88","211.98","211.98",NA,"215.06","215.06","236.18","236.18","236.18","236.18","236.18","215.78","193.70","194.96","200.89","200.89","200.89","177.14","177.14",NA,"178.42","181.49","181.49","181.49","177.14","177.92","165.32","166.22","170.66","167.32","169.19","167.54","28","169.13","170.31","168.35","164.94","154.80","163.24","168.51","165.15","170.04","171.16","173.38","168.55","165.45","161.67","161.95","161.20","161.91","152.51","163.83",NA,NA,NA,"165.94","165.22","166.52","166.96","172.52","175.36","175.01","187.04","197.60","191.33","190.58","206.56","168.65","165.11",NA,NA,NA,"167.31","159.34","159.54","25","155.27","161.04","160.76","161.18","163.25",NA,"13",NA,"27",NA,"166.17","156.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"580.57","580.82","580.91","12",NA,"576.32","578.18","579.25","582.50",NA,"816.24","816.54","814.84","739.64","752.36","751.67","759.70","733.44","734.46","734.09","736.11","719.32",NA,"720.78","725.63",NA,"817.30","644.68","711.24","717.31","763.21","764.51","769.65","744.01","773.07","817.30","817.65","861.14","817.30",NA,NA,NA,"730.74",NA,NA,"735.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"776.75",NA,"801.56","803.14",NA,"777.65","774.68","778.32","819.23","831.65",NA,"19","667.13","638.89","591.33","595.46"
"7","HEWE",NA,NA,"126.50","126.50","123.96","124.70","12","123.94","142.01","142.01","118.39"," 94.76"," 94.76"," 90.07"," 90.05"," 94.19"," 94.19"," 94.19",NA," 97.01","100.87",NA,NA,"10",NA,"124.39",NA,"125.77","125.77","130.25","126.33","126.33",NA,NA,"127.17",NA,"126.78","132.20","132.77","134.31","134.31","134.31","131.62","136.84","143.22","143.56","143.66",NA,"143.56","146.56","140.89","143.00",NA,NA,"143.00","148.56","148.80","148.80","151.91","144.94","142.37","142.37","140.47","154.76","146.03","146.03","150.47","155.08","21",NA,"146.19","148.73","147.14","147.14","160.16","161.91","145.31","146.60","146.81","147.25","145.29","143.55","141.56","155.11","153.63",NA,"151.26","152.44",NA,"158.96","163.11","166.07","188.47","190.69","20","189.16","137.92","10","159.76","24","142.76","141.19",NA,NA,NA,"153.52",NA,"153.72","157.98","153.47","156.54","162.07",NA,"162.67","164.00","154.37","147.70","146.96","150.22","144.89","162.67",NA,"146.37","150.82","153.78","164.26","154.37","155.85","160.29","158.22","162.01",NA,NA,NA,"27",NA,"163.56","158.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"486.20",NA,"12",NA,"430.54","11","11","444.02","466.67",NA,NA,"358.12",NA,"500.06","14","508.66",NA,"490.60","490.60","498.46",NA,"10",NA,NA,"604.82",NA,"421.33","19","26",NA,"510.40","510.40",NA,NA,"358.12","466.67",NA,NA,NA,"410.21",NA,NA,NA,NA,"482.82","482.82","500.00","18",NA,NA,"12",NA,NA,NA,NA,"29",NA,NA,NA,NA,NA,"586.12","22",NA,NA,NA,"19",NA,NA,NA,"780.02"
"8","MZUZU","139.81","125.00","130.50","126.50",NA,"139.81","126.80","142.00",NA,"144.22","144.00","135.00","135.00","160.00","129.71","132.00","113.16","134.00","117.50","134.22","114.50",NA,NA,"120.00","102.13","24","120.00","120.16","102.00"," 89.50"," 92.18","123.15","114.00",NA,"26","115.18",NA,"113.30","115.00","118.18","134.15","122.23","122.48","10","107.66","137.50","117.10","108.22","112.16","133.16","16",NA,"134.60","118.14","124.16","131.81","134.21","132.16","10","144.82","172.12","155.22",NA,"144.26","156.16","152.17","156.08","159.18","147.17",NA,"137.06","154.26","159.01",NA,"141.70","141.70","144.90","148.16","142.50","151.38","152.18","152.10","150.78","134.15","132.02","130.30","131.20",NA,NA,"15","22",NA,NA,"135.20","136.47","183.83","150.20","132.16","135.17","134.29","139.59","135.20",NA,NA,NA,"140.20","137.29","135.28","26","129.11","144.81","144.20","144.18","149.26","152.21","16","150.00","135.50","232.50",NA,NA,NA,"152.86"," 51.12"," 51.12","216.18","190.48","300.02","300.02","200.50","190.50","193.70","193.70","191.10","193.20","193.75","198.70","198.70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"750.40","12","12",NA,NA,"750.00","750.40","750.45","750.00","600.30","600.00","600.20","600.40",NA,NA,NA,NA,NA,"650.00","750.30",NA,"722.15","750.50","750.50","751.80","606.15","610.50","610.17","600.18",NA,"600.10","600.00","13","650.20","625.00","604.00","610.00","610.10","600.10","722.15","750.50","750.50","751.80","900.00","905.00","900.00",NA,NA,"18","904.20","904.20","904.20","910.15","600.30","750.50","600.35","900.00","901.00","900.00","982.00","722.15","750.50","750.50","751.80",NA,NA,NA,NA,"600.00","600.00","14","600.50"
"9","MZIMBA","156.50","156.50","156.53","156.53",NA,NA,NA,"19",NA,NA,"217.71","217.70","219.38","241.57","160.00","241.05","243.13","240.15","240.00","240.00","240.00",NA,"240.00","241.05","240.60","243.15","240.60","243.30","243.35","243.36","155.00","244.25","12",NA,"26","244.25","244.30","244.27","244.30","244.32","244.34","244.36","244.35","10","244.37",NA,"244.40","244.42","248.00","281.33",NA,"12",NA,"270.65","270.81","270.80","270.80","270.83","280.05","17","300.00",NA,NA,"17","300.00","315.00","120.60","120.61","300.00",NA,"244.00","12","244.37","244.40","244.40",NA,"240.30","240.50","240.60",NA,"240.55","240.65","245.55","255.07","255.86","255.87",NA,"255.89","255.90","255.91","255.92",NA,"10","255.86","20","10","11","155.94","255.95",NA,"255.97","255.98",NA,NA,NA,"260.02","12","260.02","260.03","260.04","260.05","250.06","260.07","260.10","260.12","260.13","250.15","260.17","260.18",NA,"20",NA,NA,"260.15","260.16",NA,"260.20",NA,NA,"260.23","260.20","260.27","260.26","269.52","269.54","269.63","169.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"685.06",NA,"12",NA,NA,NA,NA,"11","22",NA,NA,NA,"24","693.07","694.00","694.18","694.21","687.03","690.00",NA,NA,NA,NA,"650.33",NA,NA,NA,"12","557.49","26","694.19","694.25",NA,"20",NA,"641.38","645.00","640.00","600.00",NA,NA,"14",NA,NA,"690.00","571.12",NA,NA,NA,"711.02","725.00","727.03","721.05",NA,NA,NA,"29",NA,NA,NA,"740.02","742.21","742.37","739.29",NA,NA,NA,NA,"30",NA,NA,NA
"10","EMBANGWENI",NA,NA,"15",NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,"13","20",NA,NA,"10","17","24",NA,NA,"15",NA,"29",NA,NA,NA,"26",NA,NA,NA,NA,NA,"10",NA," 120.00"," 126.00"," 290.00"," 250.00","11","25"," 200.00","12",NA,"12",NA," 205.00","13"," 245.00",NA," 218.00"," 220.00"," 295.00"," 217.00",NA,NA,"17"," 250.00"," 214.00"," 217.00"," 270.00"," 250.00",NA," 200.00",NA,"19",NA,NA,"10",NA," 232.10"," 245.16"," 243.30",NA," 205.20",NA," 214.53","11"," 229.27"," 233.33",NA,NA,"15","22",NA,"10"," 233.40","20"," 210.20"," 215.61"," 215.30"," 207.72","11"," 205.04"," 210.15",NA,NA,NA," 215.64"," 217.65"," 214.35"," 212.28"," 211.07"," 208.16"," 206.64",NA,NA," 205.70",NA,NA," 108.13"," 210.61"," 206.34",NA,NA,NA," 207.55",NA,NA," 213.66"," 212.63",NA," 215.75"," 215.66",NA,NA,NA,NA," 217.34",NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 534.40","12","12",NA,NA,"11","11","15","22",NA,"10","17","24"," 634.47"," 635.40"," 600.00"," 601.42"," 654.00"," 676.43"," 617.21",NA,NA,"10"," 602.07","24",NA,NA,NA," 566.17","26"," 628.72"," 633.29"," 633.21",NA," 550.50"," 604.00",NA," 628.00","22",NA,NA,"14","21"," 500.00"," 400.00","16",NA,NA,NA,NA,NA,"18","12","1050.66","1022.45","1105.62","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000.00"," 957.34"," 635.45"," 650.11"," 695.79"," 685.40"
