"","mkt","2008-01-01","2008-01-08","2008-01-15","2008-01-22","2008-01-29","2008-02-05","2008-02-12","2008-02-19","2008-02-26","2008-03-04","2008-03-11","2008-03-18","2008-03-25","2008-04-01","2008-04-08","2008-04-15","2008-04-22","2008-04-29","2008-05-06","2008-05-13","2008-05-20","2008-05-25","2008-06-03","2008-06-10","2008-06-17","2008-06-24","2008-07-01","2008-07-08","2008-07-15","2008-07-22","2008-07-29","2008-08-05","2008-08-12","2008-08-19","2008-08-26","2008-09-02","2008-09-09","2008-09-16","2008-09-23","2008-09-30","2008-10-07","2008-10-14","2008-10-21","2008-10-28","2008-11-04","2008-11-11","2008-11-18","2008-11-25","2008-12-02","2008-12-09","2008-12-16","2008-12-23","2008-12-30","2009-01-06","2009-01-13","2009-01-20","2009-01-27","2009-02-03","2009-02-10","2009-02-17","2009-02-24","2009-03-03","2009-03-10","2009-03-17","2009-03-24","2009-03-31","2009-04-07","2009-04-14","2009-04-21","2009-04-26","2009-05-05","2009-05-12","2009-05-19","2009-05-26","2009-06-03","2009-06-10","2009-06-17","2009-06-24","2009-06-30","2009-07-07","2009-07-14","2009-07-21","2009-07-28","2009-08-04","2009-08-11","2009-08-18","2009-08-25","2009-09-01","2009-09-08","2009-09-15","2009-09-22","2009-09-29","2009-10-06","2009-10-13","2009-10-20","2009-10-27","2009-11-03","2009-11-10","2009-11-17","2009-11-24","2009-12-01","2009-12-08","2009-12-13","2009-12-20","2009-12-27","2010-01-05","2010-01-12","2010-01-19","2010-01-26","2010-02-02","2010-02-09","2010-02-16","2010-02-23","2010-03-02","2010-03-09","2010-03-16","2010-03-23","2010-03-30","2010-04-06","2010-04-13","2010-04-20","2010-04-25","2010-05-04","2010-05-11","2010-05-18","2010-05-25","2010-06-01","2010-06-08","2010-06-15","2010-06-22","2010-06-29","2010-07-06","2010-07-13","2010-07-20","2010-07-27","2010-08-03","2010-08-10","2010-08-17","2010-08-24","2010-08-31","2010-09-07","2010-09-14","2010-09-21","2010-09-26","2010-10-05","2010-10-12","2010-10-19","2010-10-26","2010-11-02","2010-11-09","2010-11-16","2010-11-23","2010-11-30","2010-12-07","2010-12-14","2010-09-19","2010-12-28","2011-01-04","2011-01-11","2011-01-18","2011-01-25","2011-02-01","2011-02-08","2011-02-15","2011-02-22","2011-02-27","2011-03-06","2011-03-13","2011-03-20","2011-03-27","2011-04-05","2011-04-12","2011-04-19","2011-04-26","2015-11-29","2015-12-06","2015-12-13","2015-12-20","2015-12-27","2015-11-01","2015-11-08","2015-11-15","2015-11-22","2016-04-03","2016-04-10","2016-04-17","2016-04-24","2016-01-31","2016-02-07","2016-02-14","2016-02-21","2016-01-03","2016-01-10","2016-01-17","2016-01-24","2016-07-03","2016-07-10","2016-07-17","2016-07-24","2016-05-29","2016-06-05","2016-06-12","2016-06-19","2016-06-26","2016-02-28","2016-03-06","2016-03-13","2016-03-20","2016-03-27","2016-05-01","2016-05-08","2016-05-15","2016-05-22","2016-07-31","2016-08-07","2016-08-14","2016-08-21","2016-10-02","2016-10-09","2016-10-16","2016-09-04","2016-09-11","2016-09-18","2016-12-04","2016-12-11","2016-12-18","2016-12-25","2017-04-02","2017-04-09","2017-04-16","2017-01-29","2017-02-05","2017-02-12","2017-02-19","2017-01-01","2017-01-08","2017-01-15","2017-01-22","2017-02-26","2017-03-05","2017-03-12","2017-03-19","2017-04-30","2017-05-07","2017-05-14","2017-05-21"
"1","MISUKU",NA,"133.11","131.11","141.67",NA,"141.67","12","150.00","150.00","150.00","155.56","155.56","149.90","147.50","200.00","183.50","167.00","177.78","152.92","156.25","124.46",NA,"116.25","10","107.08","165.88","104.19","104.10","114.96","22","200.00","118.13","126.67","131.88","139.17","149.58","160.42","160.25","152.50","162.50","162.50","173.33","10","173.33","184.17","184.17","187.67","187.67","187.50","185.50","205.83","12","12",NA,"205.83","205.83","27","239.17","234.17","234.17","24","216.67","192.50","17","184.08","184.08","195.00","202.92","202.92",NA,"192.50","190.00","19","147.75","145.83","125.98","127.89","107.71","102.71","102.71","103.96","109.38","103.95","105.00","106.45","109.38","107.92","111.69","116.25","123.13","122.92","123.33","10","131.88","128.33","130.00","202.35","128.33","132.06","132.08","192.94","141.04",NA,NA,NA,"203.93","172.50","165.56","157.64","201.58","171.38","175.00","162.50","203.92","150.00","160.42","157.92","203.92","146.88","143.75","142.47",NA,NA,"120.00","126.15","131.03",NA,"130.00","126.49","114.58","108.22","114.22","13","118.33","114.58","111.46","104.17","114.79","123.33","121.46",NA,"123.13","126.19",NA,"10","156.25","128.33","159.38","172.62","169.29","132.06","146.88","137.91","158.33","147.92",NA,"12","111.69","148.90","165.56","174.41",NA,NA,"175.00","170.28",NA,NA,NA,NA,NA,"135.29","135.30","142.47","146.74","413.29","412.93","12","453.12","456.65","319.23","321.27","414.54","415.19","592.17","587.25","610.42","24","467.18",NA,"14",NA,NA,"461.53","17","463.49",NA,"10","17","24",NA,"601.24","592.65","19","26","511.84","516.65","13","20","27","613.57","608.32","15","22",NA,"561.74","587.23","564.36","10","10","16",NA,"569.14","569.14","12","12","12","12",NA,NA,"16","617.18","605.26","601.35","589.11",NA,NA,"15","22",NA,NA,"12","19",NA,NA,"14","21"
"2","NTHALIRE","241.67","246.67","246.67","238.15","246.67","237.90","12","19",NA,"237.90","237.90","355.56","355.56",NA,"197.65","15","194.51","178.04","178.04","13",NA,NA,NA,"10","17","24","197.67","197.67","247.06","197.67",NA,NA,"216.47","225.00","225.88","216.47","221.18",NA,"198.33","216.47","221.18","221.18","216.47","221.18","216.47",NA,"221.18","11","216.47","222.75","216.47","12","222.75",NA,"13","264.71","213.33","210.37","213.33","17","216.47",NA,"10","218.04","218.04","221.18","216.47","14","216.47",NA,"208.89","211.76","211.76","208.89",NA,"10","17","24","202.35","203.92","201.58","21","187.67","201.58","203.92",NA,"201.58",NA,NA,"201.58","197.67","29","225.80","10","20","27","224.95","197.67","203.92","201.00","225.07","185.01",NA,NA,NA,"225.50","12","19","208.89","236.10","202.35","203.40","23","243.69",NA,"16",NA,"249.25",NA,"206.28","20",NA,"237.09","11","215.00","25","224.27",NA,"15","22","29",NA,"13",NA,NA,NA,NA,"17",NA,"31",NA,"14","21",NA,"194.44",NA,"19","10",NA,NA,"11","23","30","12","12",NA,"12",NA,NA,"18",NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,"12","19",NA,"412.72","415.65","415.10","420.25",NA,"426.19","11","15","11",NA,"10",NA,"24",NA,NA,"14",NA,"515.79","524.95","538.46","660.00",NA,"10","17","24",NA,NA,NA,NA,NA,"28",NA,NA,"20",NA,NA,NA,NA,"22",NA,NA,"14",NA,"10","10",NA,NA,"11","18","608.14","603.02","611.20","608.19",NA,NA,"16",NA,NA,NA,"19",NA,NA,"15",NA,NA,NA,"12",NA,NA,NA,"14",NA
"3","CHITIPA","148.42","148.68","124.56","124.56","144.97","155.63","155.63","161.11","161.11","177.78","156.30","159.24","159.24","159.24","153.36","155.36","156.49","156.49","156.49","156.49","156.59",NA,NA,"167.41","163.70",NA,"165.88","169.02","169.02","169.20","177.26","177.26","177.26","177.26","184.22",NA,"184.00","194.17","198.33","198.33","198.33","205.67","205.67","205.67","213.58","213.58","213.58","213.58","245.92","245.92","245.92","254.17","12","259.17","259.17","259.17","232.26","234.66","236.64","236.14","237.25","237.87",NA,"237.25","248.19","245.42","246.53","245.14","21",NA,"244.58","243.19","243.14","227.36","229.30","226.02","224.10","223.51","224.51","219.99","221.35","224.52","224.10","224.48","223.48","223.18","223.04","223.13","223.27","223.80","224.80","224.88","225.80","225.84","225.12","224.90","224.95","223.95","224.95","224.98","225.07","225.25",NA,NA,NA,"225.50",NA,"226.02","226.07","236.10","235.40","237.62","242.90","243.69","245.96","248.46","249.02","249.25","249.36",NA,"238.18",NA,"237.09","127.77","226.22","225.24","224.27","224.14","224.07","223.15","222.35","222.28","222.31","221.40","221.12","221.25",NA,"220.28","220.95","219.72","219.85","218.14","218.19",NA,"218.75","218.92","219.30","219.41","202.19","202.31","220.27","220.48","224.60","221.28","219.28",NA,"12","223.13","224.15","224.38","225.17","226.12",NA,"226.28","227.85",NA,NA,NA,NA,NA,"230.35","230.41","231.18","230.14",NA,"509.90","512.51","12","519.56",NA,"510.46",NA,"512.91","557.52","558.28","558.49","560.59","545.50","548.62","14",NA,"525.80","10","530.16",NA,"560.11","562.14","563.05","562.48","560.43","557.40","557.40","558.63","559.47",NA,NA,"554.37","556.45","556.72","562.43",NA,"564.02","561.10","564.04","563.11",NA,"21","10","10",NA,NA,"566.08","601.05",NA,"11",NA,"12",NA,NA,NA,"640.25","641.03","641.15","641.28",NA,NA,NA,"22",NA,NA,"12",NA,NA,NA,NA,"21"
"4","KARONGA","115.06","117.98","112.27","117.98","126.48","134.92","12","143.18","145.87","129.10","143.24","140.94","134.83","180.05","175.43","176.31","216.67","180.76","133.33","140.21","122.22",NA,"106.67",NA,"115.00","130.72","153.84","122.05","125.75","122.22","159.56","132.85","138.97","136.75","160.00","132.18",NA,"162.20","158.38","155.64","173.22","142.12","144.44","156.31","174.17","174.17","183.33","11","173.86","184.97","187.78","194.11","12","246.00","193.37","193.50","170.03","200.04","188.23","203.80","222.22","194.11"," 72.44","180.23","24","174.15","205.55","198.88","171.42",NA,"138.88","125.00","131.57",NA,"111.11","100.00"," 94.11","114.28","111.11","117.98","124.03","134.44","138.92","151.39","144.50"," 42.16","140.60","136.15",NA,"139.19","142.20","29","122.41","135.63","166.75","165.80","134.92","138.88","140.34","143.67","142.85","156.84",NA,NA,NA,"193.61","179.54","156.66",NA,"168.03","196.33","192.30","209.01","212.05","218.66","215.11","241.56","233.33","215.78","179.17","178.27",NA,"140.54","11","128.94","122.22","111.11",NA,"105.55","136.36","113.63",NA,NA,"20",NA,"129.51",NA,"136.81","136.45","140.44","144.44","138.88","137.68",NA,"142.04","148.52","140.44","136.11","206.22","188.88","163.26","143.18","196.10","156.06","144.83",NA,"12","136.15","159.09","167.19",NA,NA,NA,"182.63","154.54",NA,NA,NA,NA,NA,"182.92","166.78","155.55","163.63","508.98","541.95","13",NA,NA,"555.33","553.19","492.95","553.33","662.91","700.24","690.76","685.24","260.92",NA,"14",NA,"505.27","530.17","533.33","330.18","655.55","660.72","555.55","617.97","550.94","560.19","575.92","582.14","600.82","444.44","518.42",NA,"20","27","670.16","622.19","555.55","583.33","611.11","628.94","330.75","314.86","500.11","639.53","545.45","675.92","675.92","542.33","705.88","720.62","12","12",NA,"666.25","604.39",NA,"697.67","644.28","639.53","741.66","769.70","750.28","755.81","681.81","675.42","644.28","697.67","550.04","454.54","465.91","450.28"
"5","CHILUMBA",NA,NA,"15","22",NA,"177.00",NA,NA,NA,"155.21","150.07","150.07","155.00","200.00","200.00","150.00","150.00","150.00",NA,"13",NA,NA,NA,NA,"17",NA,NA,NA,"150.00","155.00","175.29","165.00",NA,"200.00","26","200.00","220.00","200.00","200.00","250.00","250.00","250.00","250.00",NA,"11","250.00","11","11","235.77","220.32","16","12","12","233.20","13",NA,"250.09","255.09","250.09","256.20","282.31",NA,"10","17","287.69","31",NA,NA,"299.71",NA,"175.22","253.98","234.09","265.98",NA,"10",NA,NA,"30"," 79.82"," 87.84","127.30","127.93","134.99","135.21","108.48","109.92","118.42","122.41","112.81","117.80","121.70","123.40","125.51","124.98","123.91","123.12","127.37","111.61","112.78","117.48","119.37",NA,NA,NA,"106.24","112.19","116.21","111.67","123.73","123.51","126.19","120.32","124.67","127.77","131.73","130.43","133.33","138.89","118.48","122.12",NA," 90.13"," 94.98"," 91.84"," 74.41"," 69.92"," 71.27"," 74.88"," 77.64","102.21","112.78","121.22","127.43","138.39",NA,"104.22","110.52","117.02","121.19","127.44","131.51","130.28",NA,"120.04","128.31","134.02","140.02","206.67","203.33","125.44","129.11","180.79","123.23","128.15",NA,NA,"118.42","133.33"," 89.67"," 96.91","103.47",NA,"130.20","22",NA,NA,NA,NA,NA,"154.71","151.11","148.82","144.16","416.13","12",NA,"12",NA,"404.19","401.33","414.71","414.71",NA,"10",NA,"24","421.94","433.04","481.09",NA,"413.37","416.14","417.33",NA,NA,"488.33","501.83","509.01","372.18","423.73","457.11","477.27","479.01","478.81",NA,"13","20","27","304.18","301.11","302.07","326.67",NA,"545.45","552.46","561.54","557.71","556.67","561.21","591.52","594.44","555.56","601.09","603.41","592.33","591.11","556.17","548.19","491.11","667.73","663.39","664.19","659.12",NA,NA,"15","22","642.81","637.41","628.15","564.51","374.51","370.41","367.39","21"
"6","RUMPHI","119.45","119.45","117.00","117.00",NA,"132.22","138.33","138.89","138.89","139.44","139.44","148.89","148.89",NA,"148.89","144.78","144.78","144.78","133.89","133.89","20",NA,"136.44",NA,"140.89","140.89","134.78","134.78","134.78","134.78","134.78","140.00","140.00",NA,"140.00","146.67","146.67","150.33","150.33","150.33","163.56","163.56","163.56","163.56","163.56","153.56","163.56","163.56","163.66","163.56",NA,"163.56","163.56",NA,"175.89","175.89","192.61","192.61","198.71","198.71","198.71","179.35","179.35","179.35","187.82","187.82","187.82","193.36","193.36",NA,"171.37","174.83","174.83","174.83","175.82","178.25","148.34","152.69","154.13","164.66","154.13","152.40","28","167.71","159.74","169.08","160.96","162.08","160.68","103.71","165.44","165.53","174.58","170.65","170.50","163.88","152.33","161.32","164.19","165.96","161.86","161.90",NA,NA,NA,"165.91","12","166.77","166.05","168.69","168.40","174.12","171.91","183.69","188.45","187.79","185.73","179.60","173.55",NA,"20",NA,"172.55","162.22","157.93","157.65","156.89","157.49","159.90","160.86","162.76",NA,NA,"20","27",NA,"158.17","162.72","155.06","142.37","140.19","144.45","144.09",NA,"146.78","144.78","145.52",NA,NA,"194.81","11",NA,"156.16","153.13","159.60",NA,"155.83","162.08",NA,"162.97","153.65",NA,NA,"163.39","161.66",NA,NA,NA,NA,NA,"170.92","12","162.12","166.63","582.46","587.29","589.72",NA,NA,"583.87","591.48","588.13","589.92",NA,"972.61","788.65","785.91","633.43","666.51","671.22","667.06","607.56","609.80","607.32","615.44","715.12",NA,"728.56","726.69","630.15","649.35","623.13","689.74","702.99","670.24","673.43","703.66","703.63","699.53","649.35","645.15","639.96","649.35",NA,NA,NA,"727.36","728.65","724.66","726.10","722.63","728.45","722.36","732.87","731.23","18","12",NA,NA,"16","746.21","751.11","811.41","816.12",NA,"736.12","751.66","749.55","825.44","833.12",NA,NA,"745.09","750.00","631.57","633.34"
"7","HEWE",NA,NA,"145.05","145.05","143.86","143.86",NA,"180.82","183.16","183.16","181.99","184.33","184.33","218.94","153.57","154.23","154.23","154.23","150.64","150.64","153.97",NA,NA,"10","17","163.78","173.57","167.95","167.95","173.67","172.98","172.98","12","19","172.98",NA,"172.98","172.98","174.74","174.74","174.74","174.74","183.74","208.54","208.54","208.54","201.05","25","201.05","203.98","206.78","207.36",NA,NA,"207.36","207.95","212.16","212.16","213.80","224.68","225.26","225.26","220.00","221.57","224.18","224.18","232.14","223.14","21",NA,"219.61","222.22","222.22","221.70","209.28","180.13","197.65","202.35","204.31","204.31","196.34","125.66","192.55","168.78","164.71","149.41","160.00","131.79","131.79","160.00","161.57","29","213.73","213.73","214.51","215.82","216.73","216.73","208.63","24","218.82","218.82",NA,NA,NA,"211.81","211.81","207.64","223.47","210.95","226.67","227.36",NA,"227.09","228.61","228.61","226.53","223.33","223.33","220.14","218.47",NA,"283.60","283.60","218.61","25","204.86","204.86","198.61","194.17","195.70","195.70","13","20",NA,NA,"10","199.58","202.36","202.92",NA,NA,"21",NA,NA,"12","19",NA,NA,NA,"16",NA,"203.90","12","14",NA,"149.50","131.79",NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26",NA,"489.67","13","12",NA,"470.66","11","15","500.20","600.10",NA,NA,"564.31",NA,"513.22",NA,NA,NA,"500.12","500.10","498.66",NA,"10",NA,"24",NA,NA,"560.20",NA,NA,NA,"600.70","600.00","20",NA,"564.31","600.10","15",NA,NA,"560.80",NA,"21",NA,NA,"570.10","570.10","700.00","18","12","11","18","12",NA,NA,NA,"785.09",NA,NA,NA,NA,NA,"598.08","22",NA,NA,"12","19",NA,NA,NA,"540.23"
"8","MZUZU"," 116.24"," 110.00"," 112.18"," 112.18",NA," 116.24"," 116.00"," 120.50",NA," 112.20"," 138.18"," 125.20"," 125.20","  92.15"," 108.00"," 117.20"," 100.00"," 112.00"," 112.25"," 140.15"," 113.00",NA," 102.84"," 106.18"," 112.60","24"," 115.00"," 111.10","  88.46"," 100.00"," 110.00"," 117.85"," 120.00","19","26"," 120.50",NA," 112.00"," 117.00"," 122.00"," 129.18"," 142.23"," 121.44"," 122.34"," 117.20"," 115.25"," 128.22"," 152.10"," 125.16"," 120.55","16","12"," 121.81"," 131.16"," 163.40"," 145.41"," 133.16"," 144.40"," 122.16"," 137.22"," 166.22"," 128.15"," 133.70"," 134.18"," 156.71"," 151.02"," 150.17"," 154.02"," 151.89",NA," 136.02"," 149.18"," 137.81"," 122.14"," 140.20"," 142.81"," 139.81"," 129.18"," 130.88"," 143.16"," 131.16"," 144.07"," 137.71"," 128.26"," 125.44"," 127.18"," 128.45",NA,NA,NA,NA,"29",NA," 124.15"," 126.81"," 116.80"," 122.40"," 118.15"," 122.54"," 131.17"," 133.82"," 131.15",NA,NA,NA," 229.44"," 129.88"," 125.81","26"," 130.18"," 134.29"," 129.31"," 130.17"," 127.81"," 129.83"," 129.92"," 125.00"," 120.50"," 122.00","13",NA,NA," 143.43"," 146.34"," 146.51"," 134.05"," 176.06"," 182.36"," 170.40"," 170.40"," 172.80"," 175.10","13"," 164.80"," 153.54"," 156.40"," 159.06"," 164.50"," 159.25"," 166.67"," 163.90"," 167.43"," 164.10",NA," 147.60"," 151.74"," 165.92"," 151.15"," 208.02"," 211.10","16"," 148.49","30","12"," 151.36",NA,"12",NA," 158.19"," 151.77"," 155.50",NA," 153.86"," 166.42"," 175.82",NA,NA,NA,NA,NA," 152.30",NA," 161.14",NA," 675.00","12","13","12",NA," 750.60"," 750.30"," 750.30"," 750.25"," 750.50"," 750.00"," 750.63"," 750.50",NA,NA,"14",NA,NA," 670.50"," 750.50",NA," 650.80"," 600.30"," 750.20"," 750.00"," 650.80"," 635.25"," 630.89"," 600.55"," 600.00"," 750.50"," 748.90",NA," 750.00"," 750.50"," 650.50"," 635.20"," 630.00"," 600.00"," 650.80"," 600.30"," 750.20"," 750.00"," 750.00"," 750.00"," 750.00",NA,NA,NA," 750.00"," 750.00"," 750.00"," 750.00"," 750.00"," 700.00"," 749.50"," 750.20"," 745.00"," 750.00"," 750.15"," 710.80"," 700.00"," 750.00"," 750.00",NA,NA,NA,NA,"6000.30"," 600.50"," 600.00"," 600.00"
"9","MZIMBA","120.15","120.10","120.10","120.10",NA,NA,"12",NA,NA,NA,"159.00","159.19","160.05","162.00","180.00","156.47","157.50","162.00","159.00","159.00","159.00",NA,"159.00","157.50","130.00","150.00","130.00","150.15","150.20","160.00","160.00","160.00","12","19","26","160.00","180.00","180.00","180.00","180.00","200.00","200.10","200.05",NA,"200.00",NA,"200.00","200.00","200.00","200.10","12","12","12","200.07","210.00","215.00","215.00","216.00","200.15",NA,"200.15",NA,NA,"17","200.20","213.00","300.01","210.00","210.00",NA,"210.00","12","210.07","210.10","210.00","10","210.16","210.20","210.25",NA,"210.30","210.30","210.35","209.40","210.06","210.05",NA,"210.06","210.07","210.08","210.08",NA,NA,"209.79","210.65","10",NA,NA,"17","24",NA,NA,NA,NA,NA,NA,NA,NA,"200.00",NA,"210.20","210.20","210.22","210.22","210.20","210.20","210.20","210.20","210.00",NA,"20",NA,NA,"210.20","210.19","210.20","210.18",NA,NA,"210.20","210.20","210.18","210.20","20",NA,"200.00","200.00",NA,NA,"200.00",NA,"200.00",NA,NA,NA,"200.00","200.00","200.00","173.00",NA,"16","11","155.70","200.00","200.00",NA,"200.00","210.06","11",NA,NA,NA,"200.00","15","210.47",NA,NA,NA,NA,NA,"205.10","201.50","201.51","205.55","500.00","12",NA,"12",NA,NA,"11","11","22",NA,"10","17",NA,"600.00","600.00","600.00","600.00","600.00","600.00",NA,NA,NA,NA,"750.00","24",NA,NA,"12","750.00","26",NA,"600.00",NA,"20",NA,"700.00","700.00","700.00","700.00",NA,NA,"14",NA,"750.00","750.00","554.61",NA,NA,NA,"750.00","750.00","750.00","750.00",NA,NA,"16",NA,NA,"12","19","850.00","850.00","850.00","850.00",NA,NA,NA,NA,NA,NA,"14",NA
"10","EMBANGWENI",NA,NA,NA,NA,NA,NA,"12","19",NA,NA,NA,NA,"25",NA,NA,"15","22",NA,NA,"13",NA,NA,NA,"10","17",NA,NA,NA,"15",NA,NA,NA,"12","19",NA,NA,NA,NA,"23",NA,NA,"14","195.00","197.00","197.00","200.00","11","11","205.00","12","16",NA,NA,"203.00","13","220.00",NA,"209.00","210.00","206.66","205.00",NA,NA,NA,"240.00","200.00","200.00","210.00","200.00",NA,"208.00","12","19",NA,NA,"10",NA,"220.00","215.20","225.00","14","181.80","176.60","144.68","11","222.20","219.90",NA,NA,NA,NA,NA,"10","219.20","10","198.70","210.53","208.21","210.25","11","220.00","225.50",NA,NA,NA,"222.10","215.60","210.55","209.30","205.20","205.17","210.14",NA,NA,"220.30","16","23","222.35","211.28","217.25",NA,NA,NA,"245.23",NA,"244.10","248.32","244.19",NA,"245.38","248.64",NA,"13",NA,NA,"231.66","10",NA,"24","134.55",NA,"148.34","147.32",NA,"10","10","146.55","145.28","11","11","11","23",NA,NA,"12",NA,"12",NA,NA,NA,NA,"162.35","148.11","144.60","145.05",NA,NA,NA,NA,NA,"248.13",NA,"245.18","26","500.00",NA,NA,"12",NA,"11","11","11",NA,NA,"10",NA,"24","600.00","600.00","600.00","600.00","600.00","600.00","600.00",NA,NA,NA,"655.00","24",NA,NA,"12","600.00",NA,"28","520.15","520.15",NA,"625.15","600.00",NA,"650.00","22",NA,NA,"14",NA,"677.31","620.18","16",NA,"11","18","12","12","12",NA,"795.41","805.08","781.25",NA,NA,"12","19",NA,NA,"15","22",NA,NA,"800.00","781.18","825.56","776.84","743.33","730.00"
