"","mkt","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01"
"1","Arusha",63227.27,72727.27,81961.54,73785.71,106375,77791.67,72318.18,74423.08,71916.67,79562.5,74450,68687.5,73000,65500,64600,64000,57500,55600,57700,58600,53300,58900,62500,63400,75300,70300,84000,82500,82700,86577,92863.6364,105000,97500,99000,110455,110000,120000,130000,130000,115500,108357.1429,113750,115000,110000,110000,107000,113000,110000,130000,130000,125000,108000,105000,95000,95000,95000,95000,1e+05,103000,93643,117917,109450,112666.6,125000,135000,130000,130000,134444,142778,151458,156923,158571,165962,167115,183889,194091,183462,161500,145577,148000,153750,160000,163333,172500,186500,170909.0909,173750,167500,158000,133889,130000,134166.6667,130000,130000,130000,128333.25,130000,130000,130000,130000,133846.15,129166.75,135000,127083,128846,131071,143846,150625,150000,156250,159455,175000,171667,169345,159470,162803,170333,182212,174000,158859,185277.7778,185250,168846,161515,158194,163146,164167,160451,159410,162708,156845
"2","Babati",69772.73,72272.73,80000,101312.5,103666.67,87291.67,75900,77916.67,81250,85277.78,82850,85625,86600,77200,82000,77000,64600,57300,60600,63800,63000,66400,68800,71200,90200,79200,88200,82500,76500,89864,90555.5556,1e+05,110444,113846,119545,125000,130000,130000,140000,121000,103928.5714,115000,115000,115000,115000,125000,125000,115000,115000,120000,115000,107000,95000,86708,94417,96538,96429,97556,97000,111786,116318,117500,120450,127000,127000,133000,109250,131591,135833,158333,160712,168214,183923,191731,193889,204167,186154,181500,169375,175750,172500,173800,177083,177500,178750,177727.2727,177500,177500,148250,132500,135000,135000,135000,135000,137916.75,136250,135000,135000,135000,135000,135000,120000,115000,115000,116154,129464,135000,125545,144167,160000,183500,173500,158778,144615,152051,176667,189167,189375,190000,190167,191250,188125,175556,145208,139722,140694,143722,140417,142273,143333,145000
"3","Bukoba",59045.45,64055.56,75257.14,72875,84166.67,77500,70181.82,66615.38,67083.33,72875,78000,74500,75500,67900,43400,60000,58300,39000,39600,43800,45000,46800,49100,49100,53600,63500,71400,74200,75000,85050,80833.3333,90000,110000,109167,108400,120000,120000,130000,130000,116000,116875,115000,115000,85000,86500,88000,90000,90000,1e+05,91000,85500,80000,80000,78923,70625,69231,70000,78231,80000,80000,122500,97000,109133.4,123000,140000,130000,121400,125667,121875,146333,154615,157429,165692,165583,183889,180909,165192,146500,130769,136500,145000,149000,158333,160000,163777.7778,153181.8182,135000,128250,113650,118333.3333,110000,106527.8333,98416.75,100125,102083.25,102500,112500,112500,120909,131389,122272.73,107916.5,105455,105000,124654,119464,135385,144091,145000,154167,157318,154250,150833,132900,137611,147500,147500,181786,178250,182500,181111.1111,141700,141750,123000,119438,121881,114125,108125,117833,135625,161900
"4","Dar Es Salaam",64545.45,77272.73,82115.38,81785.71,91666.67,80833.33,74772.73,61230.77,61875,67500,68650,70750,74500,74100,65900,63300,58800,55200,53200,56400,57400,66700,71200,69900,91100,84500,92800,84600,83700,86708,98272.7273,90000,98125,107955,110818,125000,130000,122000,128000,121400,105937.5,117083.3333,115000,105000,108000,120000,125000,107000,140000,150000,140000,107000,1e+05,102558,96325,94231,87857,88846,92750,98571,99167,111300,218250,130000,120000,125000,124583,132944,127944,142083,155769,158571,183962,188769,204056,221136,179231,159250,170385,148805.5,150625,179500,183333,188875,205550,190000,181041.75,158750,144749.8,144166.6667,146666.75,134444.5,134375,137708.25,134791.75,139375,144166.75,143958,148042,143625,146931.09,132500,131492,123750,123173,131126,151538,155682,162778,179500,180909,178333,170000,164729.6667,166562.6667,162969,170312.5,183194.3333,190580.6667,193321.6667,192569.4444,191493,178208.5,173143.6667,162884.3333,164730,163770,161635,163928.6667,162866.3333,163115
"5","Dodoma",60500,65250,74653.85,102142.86,85125,89583.33,79772.73,73461.54,76666.67,73000,78500,77500,76800,69000,69400,69200,62000,54800,54900,52600,54200,60600,67000,65300,86100,85500,81700,92400,88300,102500,88195.4545,120000,110000,102500,107273,120000,120000,120000,130000,123000,122500,121250,115000,125000,105000,110000,125000,140000,150000,130000,150000,125000,115000,115769,109136,113333,110000,105846,114500,125857,90875,129000,135000,120000,140000,140000,140000,134375,147857,148100,163750,165714,175385,169231,190625,219545,223846,194500,176846,158900,176875,192400,186667,201111.1111,230000,158909.0909,187916.75,190000,190000,163333.3333,152083.25,155000,151250,139583.25,137500,135000,135000,135000,130000,141667,141153.85,133750,130000,130000,130000,130000,163462,163182,161667,165417,171818,179375,169444,163310,171833,164167,180521,192051,185000,180792,188000,175037,188241,169861,172604,163426,155000,160227,161583,156148,148167
"6","Iringa",58708.33,77000,75312.5,89937.5,95083.33,81666.67,78181.82,65961.54,62500,69687.5,69250,71875,76700,68200,71700,70500,60400,58000,54200,56700,54300,55300,65300,64800,88000,80300,82500,99700,1e+05,86250,80000,95000,89286,95000,93182,110000,120000,130000,130000,126500,115000,121666.6667,115000,110000,110000,95000,95000,1e+05,120000,115000,120000,115000,105000,1e+05,94000,82885,80000,88000,82500,1e+05,92250,102778,105500,105000,110000,110000,104545,99375,103944,129375,140000,152857,177000,185385,187944,211818,205769,204500,176923,154444.4444,156250,168000,175833,182777.7778,195000,195000,195000,165625,169333.4,150555.6667,115812.5,126666.6667,135000,135000,135000,127500,125000,125000,129167,135000,134615.38,131250,123182,125000,125000,120714,135000,127500,127500,165000,161818,165000,162778,158889,163611,177917,157593,163485,135833,165606,187050,190000,190000,152500,138889,140000,140000,140000,140000,145000,140000
"7","Kigoma",59807.69,73863.64,81035.71,106250,119375,76666.67,72136.36,72692.31,73125,74687.5,78750,80000,80700,71600,68500,70500,60900,52600,48900,54200,57000,56400,57900,61000,77500,71200,81200,89000,110000,85000,79375,90000,87500,99643,107727,115000,120000,120000,130000,123000,121250,115416.6667,115000,95000,95000,1e+05,110000,105000,110000,120000,110000,48000,90000,89615,81667,80385,85000,86923,89000,1e+05,122500,101111,109333.2,130000,130000,130000,123077,120625,123750,132917,159167,172857,174231,168846,180556,200864,158792,135300,135769,129500,151250,162000,161667,166111.1111,166111.1111,164545.4545,145000,132500,128666.6,125000,114999.75,106111.1667,110000,110000,103125,1e+05,107291.75,107708,113750,117000,126538.46,113611,103636,1e+05,103077,129615,132692,135000,146818,154167,164545,152292,140833,135357,140648,150231,171028,177250,174015,156386,166333.3333,152857,148889,145104,121364,113125,113333,113333,127917,130500,133194
"8","Lindi",65916.67,76937.5,80076.92,94285.71,86666.67,64125,63136.36,61807.69,64958.33,68714.29,71900,76071.43,84400,73900,72500,69800,60400,55000,52900,53400,55700,59000,62500,62500,83400,67600,78500,87200,86000,83750,86500,90000,94688,99615,112500,115000,120000,120000,120000,120000,120000,117500,115000,125000,125000,135000,130000,125000,140000,120000,150000,130000,130000,95769,94250,95962,94286,96731,96250,111429,97875,168500,127000,130000,130000,120000,126667,121667,132778,157500,175000,184286,183077,172308,192222,204545,210385,194000,190000,197500,188750,194000,196500,207333.3333,215000,197954.5455,201666.75,186250,160666.4,143611,146666.75,150000,135833.25,120000,125833.25,117500,115833.25,115833,130000,135500,134230.77,128125,130455,125000,127308,129286,151154,164318,170833,174583,172727,171667,176111,164379,166333,168571,153438,164091,168000,175000,170000,175000,165000,193333,225000,250000,142273,139375,163333,177778,236190
"9","Mbeya",58681.82,65181.82,67884.62,82125,89625,69187.5,68568.18,65892.31,70583.33,71531.25,71260,75187.5,74600,64200,60100,60200,55300,55800,52400,50200,54000,57200,60800,62000,77700,61700,89300,86500,77500,72167,78750,80000,82031,91962,96295,120000,125000,120000,120000,104400,101250,97750,115000,90000,105000,1e+05,105000,115000,110000,1e+05,97500,95000,95000,80692,77396,79000,77857,81481,89850,99893,101042,105722,113000,120000,1e+05,115000,108500,109591,116389,142625,175846,166571,183500,202615,209444,216000,182308,179450,188808,190250,180000,188800,199000,215833.3333,229250,196545.4545,181625,129083.25,127416.6,126666.6667,129791.75,110416.6667,100833.5,100833.25,110000,109062.5,114166.75,114167,128750,139000,139038.46,122708.5,117591,107292,104423,116786,134731,126818,139375,143333,154182,136792,139833,134792,136167,133954,149200,151125,161909,162500,193250,171000,163333,154250,136346,135375,138846,136250,140000,140000,140000
"10","Morogoro",61250,68000,80071.43,89375,92291.67,85000,69545.45,64821.43,64833.33,67187.5,67666.67,67312.5,70000,58900,65800,64500,58400,57800,54500,53500,54700,60800,60200,62800,78200,72600,88300,97100,85400,87875,81111.1111,80000,90000,91769,99227,95000,120000,135000,135000,120750,110625,112916.6667,115000,110000,110000,105000,110000,105000,125000,130000,125000,107000,107000,104231,95625,94792,94529,87914,95700,95714,1e+05,100600,106166.6,110000,120000,115000,111042,107292,100313,115417,129615,135357,153077,157577,152778,169545,177423,156100,160769,155000,150000,160500,180833,181666.6667,181250,187045.4545,174375,148229.25,128500,125000,121875,111250,101666.75,102500,113958.5,115000,112083.25,112708,123125,132750,132884.62,127291.75,104773,92292,101538,108750,128462,130750,137500,158750,162045,163750,159444,148958,141041.6667,170227,184750,176136,180909,185000,185000,195000,207955,180500,182083,162917,142273,139375,156875,150758,146667
