"ea_id","FS_year","mkt","dist_km","X","X2008.01.01","X2008.01.08","X2008.01.15","X2008.01.22","X2008.01.29","X2008.02.05","X2008.02.12","X2008.02.19","X2008.02.26","X2008.03.04","X2008.03.11","X2008.03.18","X2008.03.25","X2008.04.01","X2008.04.08","X2008.04.15","X2008.04.22","X2008.04.29","X2008.05.06","X2008.05.13","X2008.05.20","X2008.05.25","X2008.06.03","X2008.06.10","X2008.06.17","X2008.06.24","X2008.07.01","X2008.07.08","X2008.07.15","X2008.07.22","X2008.07.29","X2008.08.05","X2008.08.12","X2008.08.19","X2008.08.26","X2008.09.02","X2008.09.09","X2008.09.16","X2008.09.23","X2008.09.30","X2008.10.07","X2008.10.14","X2008.10.21","X2008.10.28","X2008.11.04","X2008.11.11","X2008.11.18","X2008.11.25","X2008.12.02","X2008.12.09","X2008.12.16","X2008.12.23","X2008.12.30","X2009.01.06","X2009.01.13","X2009.01.20","X2009.01.27","X2009.02.03","X2009.02.10","X2009.02.17","X2009.02.24","X2009.03.03","X2009.03.10","X2009.03.17","X2009.03.24","X2009.03.31","X2009.04.07","X2009.04.14","X2009.04.21","X2009.04.26","X2009.05.05","X2009.05.12","X2009.05.19","X2009.05.26","X2009.06.03","X2009.06.10","X2009.06.17","X2009.06.24","X2009.06.30","X2009.07.07","X2009.07.14","X2009.07.21","X2009.07.28","X2009.08.04","X2009.08.11","X2009.08.18","X2009.08.25","X2009.09.01","X2009.09.08","X2009.09.15","X2009.09.22","X2009.09.29","X2009.10.06","X2009.10.13","X2009.10.20","X2009.10.27","X2009.11.03","X2009.11.10","X2009.11.17","X2009.11.24","X2009.12.01","X2009.12.08","X2009.12.13","X2009.12.20","X2009.12.27","X2010.01.05","X2010.01.12","X2010.01.19","X2010.01.26","X2010.02.02","X2010.02.09","X2010.02.16","X2010.02.23","X2010.03.02","X2010.03.09","X2010.03.16","X2010.03.23","X2010.03.30","X2010.04.06","X2010.04.13","X2010.04.20","X2010.04.25","X2010.05.04","X2010.05.11","X2010.05.18","X2010.05.25","X2010.06.01","X2010.06.08","X2010.06.15","X2010.06.22","X2010.06.29","X2010.07.06","X2010.07.13","X2010.07.20","X2010.07.27","X2010.08.03","X2010.08.10","X2010.08.17","X2010.08.24","X2010.08.31","X2010.09.07","X2010.09.14","X2010.09.21","X2010.09.26","X2010.10.05","X2010.10.12","X2010.10.19","X2010.10.26","X2010.11.02","X2010.11.09","X2010.11.16","X2010.11.23","X2010.11.30","X2010.12.07","X2010.12.14","X2010.09.19","X2010.12.28","X2011.01.04","X2011.01.11","X2011.01.18","X2011.01.25","X2011.02.01","X2011.02.08","X2011.02.15","X2011.02.22","X2011.02.27","X2011.03.06","X2011.03.13","X2011.03.20","X2011.03.27","X2011.04.05","X2011.04.12","X2011.04.19","X2011.04.26","X2015.11.29","X2015.12.06","X2015.12.13","X2015.12.20","X2015.12.27","X2015.11.01","X2015.11.08","X2015.11.15","X2015.11.22","X2016.04.03","X2016.04.10","X2016.04.17","X2016.04.24","X2016.01.31","X2016.02.07","X2016.02.14","X2016.02.21","X2016.01.03","X2016.01.10","X2016.01.17","X2016.01.24","X2016.07.03","X2016.07.10","X2016.07.17","X2016.07.24","X2016.05.29","X2016.06.05","X2016.06.12","X2016.06.19","X2016.06.26","X2016.02.28","X2016.03.06","X2016.03.13","X2016.03.20","X2016.03.27","X2016.05.01","X2016.05.08","X2016.05.15","X2016.05.22","X2016.07.31","X2016.08.07","X2016.08.14","X2016.08.21","X2016.10.02","X2016.10.09","X2016.10.16","X2016.09.04","X2016.09.11","X2016.09.18","X2016.12.04","X2016.12.11","X2016.12.18","X2016.12.25","X2017.04.02","X2017.04.09","X2017.04.16","X2017.01.29","X2017.02.05","X2017.02.12","X2017.02.19","X2017.01.01","X2017.01.08","X2017.01.15","X2017.01.22","X2017.02.26","X2017.03.05","X2017.03.12","X2017.03.19","X2017.04.30","X2017.05.07","X2017.05.14","X2017.05.21"
10101016,2010,"CHITIPA",17.2052167682867,3,148.42,148.68,124.56,124.56,144.97,155.63,155.63,161.11,161.11,177.78,156.3,159.24,159.24,159.24,153.36,155.36,156.49,156.49,156.49,156.49,156.59,NA,NA,167.41,163.7,NA,165.88,169.02,169.02,169.2,177.26,177.26,177.26,177.26,184.22,NA,184,194.17,198.33,198.33,198.33,205.67,205.67,205.67,213.58,213.58,213.58,213.58,245.92,245.92,245.92,254.17,12,259.17,259.17,259.17,232.26,234.66,236.64,236.14,237.25,237.87,NA,237.25,248.19,245.42,246.53,245.14,21,NA,244.58,243.19,243.14,227.36,229.3,226.02,224.1,223.51,224.51,219.99,221.35,224.52,224.1,224.48,223.48,223.18,223.04,223.13,223.27,223.8,224.8,224.88,225.8,225.84,225.12,224.9,224.95,223.95,224.95,224.98,225.07,225.25,NA,NA,NA,225.5,NA,226.02,226.07,236.1,235.4,237.62,242.9,243.69,245.96,248.46,249.02,249.25,249.36,NA,238.18,NA,237.09,127.77,226.22,225.24,224.27,224.14,224.07,223.15,222.35,222.28,222.31,221.4,221.12,221.25,NA,220.28,220.95,219.72,219.85,218.14,218.19,NA,218.75,218.92,219.3,219.41,202.19,202.31,220.27,220.48,224.6,221.28,219.28,NA,12,223.13,224.15,224.38,225.17,226.12,NA,226.28,227.85,NA,NA,NA,NA,NA,230.35,230.41,231.18,230.14,NA,509.9,512.51,12,519.56,NA,510.46,NA,512.91,557.52,558.28,558.49,560.59,545.5,548.62,14,NA,525.8,10,530.16,NA,560.11,562.14,563.05,562.48,560.43,557.4,557.4,558.63,559.47,NA,NA,554.37,556.45,556.72,562.43,NA,564.02,561.1,564.04,563.11,NA,21,10,10,NA,NA,566.08,601.05,NA,11,NA,12,NA,NA,NA,640.25,641.03,641.15,641.28,NA,NA,NA,22,NA,NA,12,NA,NA,NA,NA,21
10101204,2010,"CHITIPA",24.2858746536766,3,148.42,148.68,124.56,124.56,144.97,155.63,155.63,161.11,161.11,177.78,156.3,159.24,159.24,159.24,153.36,155.36,156.49,156.49,156.49,156.49,156.59,NA,NA,167.41,163.7,NA,165.88,169.02,169.02,169.2,177.26,177.26,177.26,177.26,184.22,NA,184,194.17,198.33,198.33,198.33,205.67,205.67,205.67,213.58,213.58,213.58,213.58,245.92,245.92,245.92,254.17,12,259.17,259.17,259.17,232.26,234.66,236.64,236.14,237.25,237.87,NA,237.25,248.19,245.42,246.53,245.14,21,NA,244.58,243.19,243.14,227.36,229.3,226.02,224.1,223.51,224.51,219.99,221.35,224.52,224.1,224.48,223.48,223.18,223.04,223.13,223.27,223.8,224.8,224.88,225.8,225.84,225.12,224.9,224.95,223.95,224.95,224.98,225.07,225.25,NA,NA,NA,225.5,NA,226.02,226.07,236.1,235.4,237.62,242.9,243.69,245.96,248.46,249.02,249.25,249.36,NA,238.18,NA,237.09,127.77,226.22,225.24,224.27,224.14,224.07,223.15,222.35,222.28,222.31,221.4,221.12,221.25,NA,220.28,220.95,219.72,219.85,218.14,218.19,NA,218.75,218.92,219.3,219.41,202.19,202.31,220.27,220.48,224.6,221.28,219.28,NA,12,223.13,224.15,224.38,225.17,226.12,NA,226.28,227.85,NA,NA,NA,NA,NA,230.35,230.41,231.18,230.14,NA,509.9,512.51,12,519.56,NA,510.46,NA,512.91,557.52,558.28,558.49,560.59,545.5,548.62,14,NA,525.8,10,530.16,NA,560.11,562.14,563.05,562.48,560.43,557.4,557.4,558.63,559.47,NA,NA,554.37,556.45,556.72,562.43,NA,564.02,561.1,564.04,563.11,NA,21,10,10,NA,NA,566.08,601.05,NA,11,NA,12,NA,NA,NA,640.25,641.03,641.15,641.28,NA,NA,NA,22,NA,NA,12,NA,NA,NA,NA,21
10101215,2010,"CHITIPA",22.4777906754386,3,148.42,148.68,124.56,124.56,144.97,155.63,155.63,161.11,161.11,177.78,156.3,159.24,159.24,159.24,153.36,155.36,156.49,156.49,156.49,156.49,156.59,NA,NA,167.41,163.7,NA,165.88,169.02,169.02,169.2,177.26,177.26,177.26,177.26,184.22,NA,184,194.17,198.33,198.33,198.33,205.67,205.67,205.67,213.58,213.58,213.58,213.58,245.92,245.92,245.92,254.17,12,259.17,259.17,259.17,232.26,234.66,236.64,236.14,237.25,237.87,NA,237.25,248.19,245.42,246.53,245.14,21,NA,244.58,243.19,243.14,227.36,229.3,226.02,224.1,223.51,224.51,219.99,221.35,224.52,224.1,224.48,223.48,223.18,223.04,223.13,223.27,223.8,224.8,224.88,225.8,225.84,225.12,224.9,224.95,223.95,224.95,224.98,225.07,225.25,NA,NA,NA,225.5,NA,226.02,226.07,236.1,235.4,237.62,242.9,243.69,245.96,248.46,249.02,249.25,249.36,NA,238.18,NA,237.09,127.77,226.22,225.24,224.27,224.14,224.07,223.15,222.35,222.28,222.31,221.4,221.12,221.25,NA,220.28,220.95,219.72,219.85,218.14,218.19,NA,218.75,218.92,219.3,219.41,202.19,202.31,220.27,220.48,224.6,221.28,219.28,NA,12,223.13,224.15,224.38,225.17,226.12,NA,226.28,227.85,NA,NA,NA,NA,NA,230.35,230.41,231.18,230.14,NA,509.9,512.51,12,519.56,NA,510.46,NA,512.91,557.52,558.28,558.49,560.59,545.5,548.62,14,NA,525.8,10,530.16,NA,560.11,562.14,563.05,562.48,560.43,557.4,557.4,558.63,559.47,NA,NA,554.37,556.45,556.72,562.43,NA,564.02,561.1,564.04,563.11,NA,21,10,10,NA,NA,566.08,601.05,NA,11,NA,12,NA,NA,NA,640.25,641.03,641.15,641.28,NA,NA,NA,22,NA,NA,12,NA,NA,NA,NA,21
10101219,2011,"MISUKU",16.1822705359319,1,NA,133.11,131.11,141.67,NA,141.67,12,150,150,150,155.56,155.56,149.9,147.5,200,183.5,167,177.78,152.92,156.25,124.46,NA,116.25,10,107.08,165.88,104.19,104.1,114.96,22,200,118.13,126.67,131.88,139.17,149.58,160.42,160.25,152.5,162.5,162.5,173.33,10,173.33,184.17,184.17,187.67,187.67,187.5,185.5,205.83,12,12,NA,205.83,205.83,27,239.17,234.17,234.17,24,216.67,192.5,17,184.08,184.08,195,202.92,202.92,NA,192.5,190,19,147.75,145.83,125.98,127.89,107.71,102.71,102.71,103.96,109.38,103.95,105,106.45,109.38,107.92,111.69,116.25,123.13,122.92,123.33,10,131.88,128.33,130,202.35,128.33,132.06,132.08,192.94,141.04,NA,NA,NA,203.93,172.5,165.56,157.64,201.58,171.38,175,162.5,203.92,150,160.42,157.92,203.92,146.88,143.75,142.47,NA,NA,120,126.15,131.03,NA,130,126.49,114.58,108.22,114.22,13,118.33,114.58,111.46,104.17,114.79,123.33,121.46,NA,123.13,126.19,NA,10,156.25,128.33,159.38,172.62,169.29,132.06,146.88,137.91,158.33,147.92,NA,12,111.69,148.9,165.56,174.41,NA,NA,175,170.28,NA,NA,NA,NA,NA,135.29,135.3,142.47,146.74,413.29,412.93,12,453.12,456.65,319.23,321.27,414.54,415.19,592.17,587.25,610.42,24,467.18,NA,14,NA,NA,461.53,17,463.49,NA,10,17,24,NA,601.24,592.65,19,26,511.84,516.65,13,20,27,613.57,608.32,15,22,NA,561.74,587.23,564.36,10,10,16,NA,569.14,569.14,12,12,12,12,NA,NA,16,617.18,605.26,601.35,589.11,NA,NA,15,22,NA,NA,12,19,NA,NA,14,21
10101355,2011,"MISUKU",14.113370625475,1,NA,133.11,131.11,141.67,NA,141.67,12,150,150,150,155.56,155.56,149.9,147.5,200,183.5,167,177.78,152.92,156.25,124.46,NA,116.25,10,107.08,165.88,104.19,104.1,114.96,22,200,118.13,126.67,131.88,139.17,149.58,160.42,160.25,152.5,162.5,162.5,173.33,10,173.33,184.17,184.17,187.67,187.67,187.5,185.5,205.83,12,12,NA,205.83,205.83,27,239.17,234.17,234.17,24,216.67,192.5,17,184.08,184.08,195,202.92,202.92,NA,192.5,190,19,147.75,145.83,125.98,127.89,107.71,102.71,102.71,103.96,109.38,103.95,105,106.45,109.38,107.92,111.69,116.25,123.13,122.92,123.33,10,131.88,128.33,130,202.35,128.33,132.06,132.08,192.94,141.04,NA,NA,NA,203.93,172.5,165.56,157.64,201.58,171.38,175,162.5,203.92,150,160.42,157.92,203.92,146.88,143.75,142.47,NA,NA,120,126.15,131.03,NA,130,126.49,114.58,108.22,114.22,13,118.33,114.58,111.46,104.17,114.79,123.33,121.46,NA,123.13,126.19,NA,10,156.25,128.33,159.38,172.62,169.29,132.06,146.88,137.91,158.33,147.92,NA,12,111.69,148.9,165.56,174.41,NA,NA,175,170.28,NA,NA,NA,NA,NA,135.29,135.3,142.47,146.74,413.29,412.93,12,453.12,456.65,319.23,321.27,414.54,415.19,592.17,587.25,610.42,24,467.18,NA,14,NA,NA,461.53,17,463.49,NA,10,17,24,NA,601.24,592.65,19,26,511.84,516.65,13,20,27,613.57,608.32,15,22,NA,561.74,587.23,564.36,10,10,16,NA,569.14,569.14,12,12,12,12,NA,NA,16,617.18,605.26,601.35,589.11,NA,NA,15,22,NA,NA,12,19,NA,NA,14,21
10101374,2010,"CHITIPA",14.2011296924,3,148.42,148.68,124.56,124.56,144.97,155.63,155.63,161.11,161.11,177.78,156.3,159.24,159.24,159.24,153.36,155.36,156.49,156.49,156.49,156.49,156.59,NA,NA,167.41,163.7,NA,165.88,169.02,169.02,169.2,177.26,177.26,177.26,177.26,184.22,NA,184,194.17,198.33,198.33,198.33,205.67,205.67,205.67,213.58,213.58,213.58,213.58,245.92,245.92,245.92,254.17,12,259.17,259.17,259.17,232.26,234.66,236.64,236.14,237.25,237.87,NA,237.25,248.19,245.42,246.53,245.14,21,NA,244.58,243.19,243.14,227.36,229.3,226.02,224.1,223.51,224.51,219.99,221.35,224.52,224.1,224.48,223.48,223.18,223.04,223.13,223.27,223.8,224.8,224.88,225.8,225.84,225.12,224.9,224.95,223.95,224.95,224.98,225.07,225.25,NA,NA,NA,225.5,NA,226.02,226.07,236.1,235.4,237.62,242.9,243.69,245.96,248.46,249.02,249.25,249.36,NA,238.18,NA,237.09,127.77,226.22,225.24,224.27,224.14,224.07,223.15,222.35,222.28,222.31,221.4,221.12,221.25,NA,220.28,220.95,219.72,219.85,218.14,218.19,NA,218.75,218.92,219.3,219.41,202.19,202.31,220.27,220.48,224.6,221.28,219.28,NA,12,223.13,224.15,224.38,225.17,226.12,NA,226.28,227.85,NA,NA,NA,NA,NA,230.35,230.41,231.18,230.14,NA,509.9,512.51,12,519.56,NA,510.46,NA,512.91,557.52,558.28,558.49,560.59,545.5,548.62,14,NA,525.8,10,530.16,NA,560.11,562.14,563.05,562.48,560.43,557.4,557.4,558.63,559.47,NA,NA,554.37,556.45,556.72,562.43,NA,564.02,561.1,564.04,563.11,NA,21,10,10,NA,NA,566.08,601.05,NA,11,NA,12,NA,NA,NA,640.25,641.03,641.15,641.28,NA,NA,NA,22,NA,NA,12,NA,NA,NA,NA,21
10101470,2010,"CHITIPA",5.0263100032657,3,148.42,148.68,124.56,124.56,144.97,155.63,155.63,161.11,161.11,177.78,156.3,159.24,159.24,159.24,153.36,155.36,156.49,156.49,156.49,156.49,156.59,NA,NA,167.41,163.7,NA,165.88,169.02,169.02,169.2,177.26,177.26,177.26,177.26,184.22,NA,184,194.17,198.33,198.33,198.33,205.67,205.67,205.67,213.58,213.58,213.58,213.58,245.92,245.92,245.92,254.17,12,259.17,259.17,259.17,232.26,234.66,236.64,236.14,237.25,237.87,NA,237.25,248.19,245.42,246.53,245.14,21,NA,244.58,243.19,243.14,227.36,229.3,226.02,224.1,223.51,224.51,219.99,221.35,224.52,224.1,224.48,223.48,223.18,223.04,223.13,223.27,223.8,224.8,224.88,225.8,225.84,225.12,224.9,224.95,223.95,224.95,224.98,225.07,225.25,NA,NA,NA,225.5,NA,226.02,226.07,236.1,235.4,237.62,242.9,243.69,245.96,248.46,249.02,249.25,249.36,NA,238.18,NA,237.09,127.77,226.22,225.24,224.27,224.14,224.07,223.15,222.35,222.28,222.31,221.4,221.12,221.25,NA,220.28,220.95,219.72,219.85,218.14,218.19,NA,218.75,218.92,219.3,219.41,202.19,202.31,220.27,220.48,224.6,221.28,219.28,NA,12,223.13,224.15,224.38,225.17,226.12,NA,226.28,227.85,NA,NA,NA,NA,NA,230.35,230.41,231.18,230.14,NA,509.9,512.51,12,519.56,NA,510.46,NA,512.91,557.52,558.28,558.49,560.59,545.5,548.62,14,NA,525.8,10,530.16,NA,560.11,562.14,563.05,562.48,560.43,557.4,557.4,558.63,559.47,NA,NA,554.37,556.45,556.72,562.43,NA,564.02,561.1,564.04,563.11,NA,21,10,10,NA,NA,566.08,601.05,NA,11,NA,12,NA,NA,NA,640.25,641.03,641.15,641.28,NA,NA,NA,22,NA,NA,12,NA,NA,NA,NA,21
10101562,2010,"CHITIPA",13.7704286407526,3,148.42,148.68,124.56,124.56,144.97,155.63,155.63,161.11,161.11,177.78,156.3,159.24,159.24,159.24,153.36,155.36,156.49,156.49,156.49,156.49,156.59,NA,NA,167.41,163.7,NA,165.88,169.02,169.02,169.2,177.26,177.26,177.26,177.26,184.22,NA,184,194.17,198.33,198.33,198.33,205.67,205.67,205.67,213.58,213.58,213.58,213.58,245.92,245.92,245.92,254.17,12,259.17,259.17,259.17,232.26,234.66,236.64,236.14,237.25,237.87,NA,237.25,248.19,245.42,246.53,245.14,21,NA,244.58,243.19,243.14,227.36,229.3,226.02,224.1,223.51,224.51,219.99,221.35,224.52,224.1,224.48,223.48,223.18,223.04,223.13,223.27,223.8,224.8,224.88,225.8,225.84,225.12,224.9,224.95,223.95,224.95,224.98,225.07,225.25,NA,NA,NA,225.5,NA,226.02,226.07,236.1,235.4,237.62,242.9,243.69,245.96,248.46,249.02,249.25,249.36,NA,238.18,NA,237.09,127.77,226.22,225.24,224.27,224.14,224.07,223.15,222.35,222.28,222.31,221.4,221.12,221.25,NA,220.28,220.95,219.72,219.85,218.14,218.19,NA,218.75,218.92,219.3,219.41,202.19,202.31,220.27,220.48,224.6,221.28,219.28,NA,12,223.13,224.15,224.38,225.17,226.12,NA,226.28,227.85,NA,NA,NA,NA,NA,230.35,230.41,231.18,230.14,NA,509.9,512.51,12,519.56,NA,510.46,NA,512.91,557.52,558.28,558.49,560.59,545.5,548.62,14,NA,525.8,10,530.16,NA,560.11,562.14,563.05,562.48,560.43,557.4,557.4,558.63,559.47,NA,NA,554.37,556.45,556.72,562.43,NA,564.02,561.1,564.04,563.11,NA,21,10,10,NA,NA,566.08,601.05,NA,11,NA,12,NA,NA,NA,640.25,641.03,641.15,641.28,NA,NA,NA,22,NA,NA,12,NA,NA,NA,NA,21
10101568,2010,"CHITIPA",4.06539675065852,3,148.42,148.68,124.56,124.56,144.97,155.63,155.63,161.11,161.11,177.78,156.3,159.24,159.24,159.24,153.36,155.36,156.49,156.49,156.49,156.49,156.59,NA,NA,167.41,163.7,NA,165.88,169.02,169.02,169.2,177.26,177.26,177.26,177.26,184.22,NA,184,194.17,198.33,198.33,198.33,205.67,205.67,205.67,213.58,213.58,213.58,213.58,245.92,245.92,245.92,254.17,12,259.17,259.17,259.17,232.26,234.66,236.64,236.14,237.25,237.87,NA,237.25,248.19,245.42,246.53,245.14,21,NA,244.58,243.19,243.14,227.36,229.3,226.02,224.1,223.51,224.51,219.99,221.35,224.52,224.1,224.48,223.48,223.18,223.04,223.13,223.27,223.8,224.8,224.88,225.8,225.84,225.12,224.9,224.95,223.95,224.95,224.98,225.07,225.25,NA,NA,NA,225.5,NA,226.02,226.07,236.1,235.4,237.62,242.9,243.69,245.96,248.46,249.02,249.25,249.36,NA,238.18,NA,237.09,127.77,226.22,225.24,224.27,224.14,224.07,223.15,222.35,222.28,222.31,221.4,221.12,221.25,NA,220.28,220.95,219.72,219.85,218.14,218.19,NA,218.75,218.92,219.3,219.41,202.19,202.31,220.27,220.48,224.6,221.28,219.28,NA,12,223.13,224.15,224.38,225.17,226.12,NA,226.28,227.85,NA,NA,NA,NA,NA,230.35,230.41,231.18,230.14,NA,509.9,512.51,12,519.56,NA,510.46,NA,512.91,557.52,558.28,558.49,560.59,545.5,548.62,14,NA,525.8,10,530.16,NA,560.11,562.14,563.05,562.48,560.43,557.4,557.4,558.63,559.47,NA,NA,554.37,556.45,556.72,562.43,NA,564.02,561.1,564.04,563.11,NA,21,10,10,NA,NA,566.08,601.05,NA,11,NA,12,NA,NA,NA,640.25,641.03,641.15,641.28,NA,NA,NA,22,NA,NA,12,NA,NA,NA,NA,21
10101706,2010,"MISUKU",21.8919526468229,1,NA,133.11,131.11,141.67,NA,141.67,12,150,150,150,155.56,155.56,149.9,147.5,200,183.5,167,177.78,152.92,156.25,124.46,NA,116.25,10,107.08,165.88,104.19,104.1,114.96,22,200,118.13,126.67,131.88,139.17,149.58,160.42,160.25,152.5,162.5,162.5,173.33,10,173.33,184.17,184.17,187.67,187.67,187.5,185.5,205.83,12,12,NA,205.83,205.83,27,239.17,234.17,234.17,24,216.67,192.5,17,184.08,184.08,195,202.92,202.92,NA,192.5,190,19,147.75,145.83,125.98,127.89,107.71,102.71,102.71,103.96,109.38,103.95,105,106.45,109.38,107.92,111.69,116.25,123.13,122.92,123.33,10,131.88,128.33,130,202.35,128.33,132.06,132.08,192.94,141.04,NA,NA,NA,203.93,172.5,165.56,157.64,201.58,171.38,175,162.5,203.92,150,160.42,157.92,203.92,146.88,143.75,142.47,NA,NA,120,126.15,131.03,NA,130,126.49,114.58,108.22,114.22,13,118.33,114.58,111.46,104.17,114.79,123.33,121.46,NA,123.13,126.19,NA,10,156.25,128.33,159.38,172.62,169.29,132.06,146.88,137.91,158.33,147.92,NA,12,111.69,148.9,165.56,174.41,NA,NA,175,170.28,NA,NA,NA,NA,NA,135.29,135.3,142.47,146.74,413.29,412.93,12,453.12,456.65,319.23,321.27,414.54,415.19,592.17,587.25,610.42,24,467.18,NA,14,NA,NA,461.53,17,463.49,NA,10,17,24,NA,601.24,592.65,19,26,511.84,516.65,13,20,27,613.57,608.32,15,22,NA,561.74,587.23,564.36,10,10,16,NA,569.14,569.14,12,12,12,12,NA,NA,16,617.18,605.26,601.35,589.11,NA,NA,15,22,NA,NA,12,19,NA,NA,14,21
