"FNID","weights","X2006.01.01","X2006.02.01","X2006.03.01","X2006.04.01","X2006.05.01","X2006.06.01","X2006.07.01","X2006.08.01","X2006.09.01","X2006.10.01","X2006.11.01","X2006.12.01","X2007.01.01","X2007.02.01","X2007.03.01","X2007.04.01","X2007.05.01","X2007.06.01","X2007.07.01","X2007.08.01","X2007.09.01","X2007.10.01","X2007.11.01","X2007.12.01","X2008.01.01","X2008.02.01","X2008.03.01","X2008.04.01","X2008.05.01","X2008.06.01","X2008.07.01","X2008.08.01","X2008.09.01","X2008.10.01","X2008.11.01","X2008.12.01","X2009.01.01","X2009.02.01","X2009.03.01","X2009.04.01","X2009.05.01","X2009.06.01","X2009.07.01","X2009.08.01","X2009.09.01","X2009.10.01","X2009.11.01","X2009.12.01","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"TZ2009L101",1,65118.6364862519,66700.7552675611,71758.6531489332,64165.5022878779,60335.6929876826,48516.9231076433,50983.0081626202,51191.8547844214,51001.546361062,52129.7589962141,51620.2938891068,53759.1827820305,59161.0871423308,51392.8256261307,50361.7885298351,49983.555991403,48334.7871373162,53179.9860736721,47074.6844479273,51533.7470322397,52600.5146779465,54757.6148163124,54421.5989512249,66018.5218120617,88126.6682764129,83696.9815016068,78422.4897039539,77789.960045809,76695.1812161589,100990.329286553,90433.2782408443,88281.8951953039,102721.079126811,104923.28847242,104282.801018765,117173.070266504,120175.641471007,121424.747352906,116851.420461945,105934.729209911,104790.898828483,104654.553454318,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130474.520001099,134570.714172364,132590.666102896,125207.489629753,115933.510820906,74520.0671475526,116073.282594277,117136.166127411,131798.685729698,135904.666452874,132906.906406071,NA,145038.161371446,143523.689918688,126257.45917405,153838.027524356,156436.780876516,155900.07473693,145552.353639984,135425.018034778,133533.13038191,136194.052614404,142225.95827782,151728.436626226,161072.667173489,150326.851730762,139318.847169197,138473.619767787,133696.692193447,147792.811333447,113856.646980965,115952.236337535,125617.886245366,128979.783286066,133739.636789159,142182.77210787,144188.788221453,144314.097769701,160442.793596319,149512.360285586,150563.599368805,145009.757702445,138634.332685996,135294.387555811,137836.801790495,146521.584433556,150572.665829701,156576.36651583,156999.535730039,154318.183535849,159860.307723755,170993.300683844,181016.827680766,161659.229296489,163599.368416627,163160.488228678,170444.606700225,178800.450452859,173349.260340023,176400.885462778,157089.040189304,150844.569251632,141400.947511004,145784.72457877,150329.09740963,147213.840068571,142077.583458809,143733.673932256,168628.258490205,167758.918117303,169141.177726931
"TZ2009L102",1,63793.7905824878,69133.5481088043,80171.8436158238,69875,64000,43500,45800,48272.73,48875,49625,51025,53312.5,55891.9326022675,54509.9322994291,54658.9998485808,54978.8782903915,52362.7296519739,54936.0270802284,51341.6079423655,50969.5676248613,51271.4325265579,51895.0269288092,56991.297125416,67880.7431920881,90579.4999242904,92704.3375943394,85207.4457638336,76846.5948565089,69403.7436463458,92232.9466203468,79984.4937599102,68385.136158238,109580.743192088,109645.308740507,101616.300599144,120000,124161.486384176,121677.027231648,105031.081694943,87878.9198192494,87490.7187507441,91630.4618091936,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149385.837103341,129192.568079119,125239.156014152,105722,120000,50000,100823.942608162,85210.5333247753,115740.631916653,120349.409512745,100670.572699252,NA,132683.190530605,130802.971877284,79030.4268813838,132117.885882493,134662.715121331,141425.507754282,130367.753639251,127239.156014152,127045.051153976,131354.054463295,139254.729690943,137318.885523062,148795.068457667,142272.755250077,129930.152704833,127921.806430535,133231.836596386,126228.551539057,116751.169004814,113410.977117397,120645.854463295,122958.224186198,127269.60994746,133491.646006996,141084.519671243,140183.977362506,154567.543892921,146760.946029932,151374.222642728,140579.841180148,126661.520991558,127906.057508745,128841.295944499,134325.629437911,146359.482962407,146499.56475681,148594.679821802,147127.120766581,149760.194821921,168757.770423736,183005.425466652,157805.128518635,157722.955858428,160508.540583602,164673.986498855,171177.772513168,169327.890195331,173500.99988755,164951.85798022,151676.323401047,150283.585997019,156953.382644427,160479.26330111,158118.719698038,153508.762078995,158981.570190074,167562.851625452,170380.13024028,176808.578508835
"TZ2009L103",1,63539.6485994035,68564.4051958475,79551.9851204963,69875,64000,43500,45800,48272.73,48875,49625,51025,53312.5,54862.9675000238,55315.7483433549,55576.3904216656,55511.9565963732,52833.8221084229,54613.7006626581,52345.7787047961,50622.4468674779,50701.1627108565,52490.0910843236,58032.6593975663,68190.6724397519,91038.1952108328,94179.6008132189,86310.7938855167,75259.7571084704,66961.5011747552,88179.7613435515,76854.208358506,62186.5512049625,109890.672439752,109907.50888403,101261.24565302,120000,124781.344879504,120437.310240992,101311.930722977,82424.165060367,82369.1379331002,87653.0368774142,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151379.673939412,126093.275602481,121550.997966953,105722,120000,50000,95665.6041817457,78166.7093272711,111496.956685941,115932.917733536,93322.8940673384,NA,130287.189502766,126797.818195574,67631.8490108055,123496.274070982,127377.766169144,135381.887424838,124693.568973023,123550.997966953,124147.21268832,128874.620481985,137033.528758786,131292.483622901,143402.299548317,137736.517967023,125823.590173288,123143.720198077,132074.759140328,117722.729294474,117458.861448929,112429.534086556,118166.420481985,122157.614953633,125745.780815472,131156.812615476,140128.896226167,138970.170456956,152268.860648848,143795.914903382,149363.265315016,137687.184731513,122291.518599499,124987.515769345,125575.137560919,129543.793061556,144786.034157868,143879.298925362,146399.38897475,144938.896306376,146745.451044046,167827.982680744,183453.087271978,154499.175219655,153340.80423986,157791.452855183,162142.856319034,169051.161987399,168144.456356051,171726.097072029,165726.68109938,150720.253657853,149974.152636152,157306.454043365,160128.671336153,159129.460960519,156468.834337582,162742.375652925,168358.378018355,172199.290952368,178474.386229178
"TZ2009L104",0.999999999999999,63931.4782931636,71257.1882928074,80308.9380987136,71211.6389509305,65380.6042079405,46818.6091591222,48053.3633306225,50681.1658549166,51810.1605637793,53066.5515349495,53653.3254664755,56246.7709964273,57864.9844656688,56808.4195790222,57301.130757404,57048.1362210743,54271.4221086665,55654.9965557311,54494.2808257964,51879.706409336,52378.7077035088,54877.6985946323,60324.127321413,70136.9916750535,94441.7031213517,96928.1371555181,86300.8511141484,75188.5648138968,67357.848372782,85786.815713846,77740.4824737627,68492.8024694273,106078.741494232,106910.011155618,104755.753941148,114928.574535613,118714.279039687,124645.695440606,102685.683168669,85126.5439010619,82448.5993117148,91535.2086030909,105000,99999.9999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141631.282814869,126344.509028227,122939.06937732,104183.75769829,116185.718727676,63853.4566327322,99361.3314264579,85892.1803170968,113025.135567025,116622.625025952,99557.9592854697,NA,134057.140500816,131003.459549845,84236.1130078964,125066.137220626,129774.075552856,137273.274955237,128725.342576816,123075.54572454,123796.765409365,129067.845963047,138251.763411839,133192.131798331,146560.331307344,138539.2510465,131089.238702777,124266.57011754,128555.570683535,119354.996230534,118275.689805062,115245.582064237,119985.516013734,125021.548066943,130334.746710818,134170.203046689,142795.910203742,141761.744909346,154298.031443976,148595.68312728,153506.205130329,144471.378857129,126815.923164896,128794.961887647,130375.625899005,134500.795305961,148896.884965995,148761.309245108,152317.813283491,151464.399693139,151833.504631822,172277.266097903,186333.552610766,154759.614056437,153726.184404087,162469.207545998,166570.253072137,171488.073094504,172201.784450583,174836.143512093,172121.432457133,155967.751255859,156238.477117811,160471.001364102,163276.674837955,163055.514703058,161232.73096684,166928.655266292,171494.304303666,176960.670121968,181891.764221786
"TZ2009L105",1,63508.8486271967,68495.429634675,79476.8632370652,69875,64000,43500,45800,48272.73,48875,49625,51025,53312.5,54738.2651735282,55413.4067918152,55687.5708091435,55576.5614161239,52890.9147398304,54574.6372832739,52467.4761559544,50580.3786127565,50632.0505781,52562.2080924174,58158.8641617305,68228.2333814674,91093.7854045717,94358.3908957848,86444.510838024,75067.4450868868,66665.5209540368,87688.5477614467,76474.8428471792,61435.3323706518,109928.233381467,109939.285440721,101218.215838191,120000,124856.466762935,120287.06647413,100861.199422391,81763.0924861736,81748.4433712511,87171.0048421461,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151621.310989656,125717.666185326,121104.022760538,105722,120000,50000,95040.454892209,77313.0542927139,110982.657247596,115397.674314089,92432.4142855232,NA,129996.813374552,126312.425657973,66250.4326963916,122451.40379434,126494.888721932,134649.449061386,124005.903252095,123104.022760538,123796.01788328,128574.132948261,136764.337001699,130562.131995126,142748.739162467,137186.762351892,125325.907695557,122564.654427931,131934.530622965,116691.891785656,117544.628103243,112310.591054375,117865.932948261,122060.587528993,125561.104933339,130873.849514718,140013.082320919,138823.066784821,151990.278656332,143436.576886178,149119.553398352,137336.617945418,121761.90932131,124633.811893398,125179.305332744,128964.272804016,144595.344768966,143561.743699722,146133.33731239,144673.701033487,146380.08825179,167715.299855598,183507.340296191,154098.520166563,152809.722572756,157462.163591351,161836.103620232,168793.433829723,168001.033656205,171510.993071012,165820.583453668,150604.385664849,149936.651791943,157349.243468168,160086.182398884,159251.954703641,156827.571379719,163198.155144078,168454.789443551,172419.758655861,178676.268778711
"TZ2009L106",1,63516.2069480583,68511.9083609319,79494.8103611178,69875,64000,43500,45800,48272.73,48875,49625,51025,53312.5,54768.0573994556,55390.0755305468,55661.0090655456,55561.1268894387,52877.2749255505,54583.9697877813,52438.4018149891,50590.429002226,50648.5619322284,52544.9788533269,58128.712993322,68219.2598194411,91080.5045327728,94315.6767405396,86412.5649572103,75113.3897244616,66736.2326228043,87805.9019955491,76565.475823645,61614.8036111783,109919.259819441,109931.693807247,101228.495950848,120000,124838.519638882,120322.960722236,100968.882166707,81921.0271778369,81896.7314837361,87286.1655428525,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151563.582270428,125807.401805589,121210.808148651,105722,120000,50000,95189.8072691504,77516.9982315986,111105.526848285,115525.547572965,92645.1559046185,NA,130066.186187865,126428.389205327,66580.4623605958,122701.030342788,126705.814092073,134824.433520899,124170.191225673,123210.808148651,123879.920688226,128645.921444471,136828.64872603,130736.617919428,142904.879141725,137318.102672086,125444.807392406,122702.997141623,131968.032160491,116938.165811331,117524.137871712,112339.00734609,117937.721444471,122083.76803442,125605.225245754,130941.45130583,140040.751043128,138858.210843141,152056.833771169,143522.425159371,149177.777817146,137420.370712407,121888.436545881,124718.314132287,125273.872318802,129102.724097807,144640.901748662,143637.609782517,146196.898846935,144737.057970818,146467.375884333,167742.220541677,183494.378883201,154194.239357986,152936.601560959,157540.833014924,161909.388906589,168855.006822923,168035.298305446,171562.382866025,165798.149548603,150632.067308988,149945.61099627,157339.020786307,160096.333292248,159222.690123161,156741.866683518,163089.266353026,168431.756104541,172367.087436191,178628.037677532
"TZ2009L107",1,64447.0681405138,68354.2832233895,78369.3970544881,69118.5042194461,63562.059357156,44468.9532287837,46693.1441198258,49024.4332264404,49695.8491489124,50370.5418875443,51716.3206593592,53896.1312756028,55072.3351863976,56051.8435682086,56544.630157311,55959.0569791063,53259.0569791063,54560.2458090945,52760.2458090945,50843.4011118386,50668.6882654646,53477.1709373189,59207.2938418661,68601.2290454724,91477.1307218346,94748.1966472756,87200.0402154842,75097.6223400236,66527.7452445708,87319.3228959429,76471.5803218931,62560.4468865158,109397.541909055,109698.770954527,101601.579612682,120602.458090945,126506.145227362,120602.458090945,101807.374272835,81732.0267959823,81464.3044548831,87454.9161818898,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148945.217524932,124129.448058585,117011.787761171,101294.354752219,120301.229045472,56024.5809094489,95936.2885923424,79148.5438552969,110960.559180202,116016.698297825,94394.3669136086,NA,130096.630961621,126253.92530457,67968.7601092317,121553.100362365,125143.99087732,133370.491618189,123584.119941071,123970.017849648,124480.530704626,128632.580995492,137429.793679497,130835.980759507,142539.24020688,138053.272600472,126646.764030787,123491.546056939,132866.503730573,116939.671102046,119691.581175059,114099.887963798,119212.117091144,123418.986808884,126877.571001295,131549.418295676,140833.534383376,139621.363915737,152436.994397785,144045.284895531,150018.118150297,139064.077137164,122934.332300339,125300.999576334,126531.603318307,130101.879338479,145534.387956855,144433.733384224,147595.519923863,146401.095338651,147437.321893777,168755.100940865,184937.251241406,154663.106973188,153193.004000038,157689.002578519,161449.564242625,169413.559356548,169356.408152769,172907.21160915,167576.988274276,152381.516151349,151559.383257878,158579.001966038,161081.050396237,160636.616634153,159197.310158597,164975.15721459,169811.160535485,173809.873101858,179522.717775888
"TZ2009L108",1,67091.912232511,78118.424718799,80680.0834002159,72860.5664578588,67778.0368786151,56668.212657679,55216.8224822178,57927.4235975475,60448.6211294778,62756.8508359137,61300.3622739034,64403.5750166731,67023.0846512958,60595.1584317834,61935.8122522864,60777.3646246189,57818.2430830793,58523.0846512958,58882.4308307929,55854.5046112805,57186.8231230946,61626.8030297255,66531.1953220273,75113.8507907775,102709.90777439,102323.533927211,86362.6152820119,77154.0553353657,71213.4015148627,84647.4979396909,83932.0549792243,93862.6152820119,95537.0633162156,98953.8306974083,114303.824895389,104087.845846036,106813.076410059,136909.90777439,112725.230564024,98617.9061261432,88756.3013618281,106537.909944805,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110436.551954745,127781.582512386,122786.899496324,91575.6066588245,107725.230564024,108972.422589556,116701.00929011,117177.194147865,122159.961755049,125285.659328982,127951.89355059,NA,146354.169302592,146119.337013434,142086.908011433,138250.130764101,142261.403987234,147083.217063644,144874.599072218,128515.547427591,128134.295946074,132885.699933308,145396.448045255,146138.247101997,160693.411561547,148127.822062171,151646.482110637,135054.4243029,123583.935455087,134852.883306535,123633.172756287,126841.163565231,130272.480050943,135623.596012766,145898.874916635,145752.272644893,152044.840746303,151599.471096132,163029.992436738,165113.738471799,167801.600292311,167874.912562652,145654.885265148,143010.980730754,148792.1068891,154836.193493235,162626.048861519,165556.588438453,172215.140404249,173332.10942902,170008.704189024,186173.653820503,195488.165294969,160840.595719226,161144.166556945,177601.161824076,179623.939601992,181315.219027534,186135.615282012,187373.100300047,189864.622223314,173286.972430325,174818.284200791,170020.094678573,173231.179360328,173868.94706552,173482.214628363,175560.034880907,180653.07020544,188714.839028296,189551.604189148
"TZ2009L109",0.999999999999999,78753.4350495251,65301.5613735869,48906.8065378,51471.9116819247,53812.4081546415,55855.7605514511,55938.9454747044,51524.1752905257,49392.5616551214,51906.4781957337,52615.6810194381,50994.3284945969,55434.7865332569,55245.8184923253,51336.7882410462,55283.9412052311,51747.1529641849,52508.3630153493,52044.4840204658,56116.7260306986,54157.8738715155,56919.7511586097,58657.2066355857,67745.1512563955,97222.3749698746,85808.6740670871,96344.4388880115,86176.2454258115,76501.3344718595,85301.1789459906,86653.9937772934,87500,90209.0753837333,91521.5170646661,94865.0936568022,99096.9748720888,118193.949744178,101819.394974418,127110.319590684,101488.767382608,97631.4273009524,104446.732625202,105000,99999.9999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100005.156000878,103057.262563609,108488.323371229,122040.146986922,123222.420102329,119811.899865856,108844.52915292,109504.666918334,122871.003403044,109415.875115445,119430.52750642,NA,137412.209099761,180180.127568817,139096.974872089,128018.527518955,173910.792084265,132642.126128484,116223.442632336,105723.109904486,107103.703646954,115499.021712332,124716.570492295,119823.546536632,127265.9032689,99543.6741866089,105830.401567378,120699.481248442,118615.998367711,113677.163783578,111800.081787943,111821.967551719,114955.302285737,122119.169997507,127127.102040085,136329.857055497,132364.546230813,132478.258416714,145351.14509665,136916.38488648,145101.642910375,134423.098621372,129042.693766569,129647.737960154,138979.014942464,137979.257404022,148572.079421969,162715.84000964,161438.100134144,153419.731787874,159863.633910353,172608.707916428,174693.73455711,142689.976444765,134855.827993825,140813.946693565,152281.511964983,166730.097048696,159397.130397958,169047.090948855,144786.392141662,132735.216015892,128008.668467325,135253.670272623,126312.38526398,136373.032385323,140580.383263664,152789.448743327,154716.839753333,154879.310977914,157672.082263645
"TZ2009L110",1,65500,72954.55,84333.33,69875,64000,43500,45800,48272.73,48875,49625,51025,53312.5,62800,49100,48500,51400,49200,57100,44600,53300,55100,47900,50000,65800,87500,82800,77800,87500,85800,119444.44,101000,110000,107500,107885,104000,120000,120000,130000,130000,124500,121875,118333.33,105000,1e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136000,150000,150000,105722,120000,50000,135455,132500,144231,150000,150000,NA,148769,157692,155556,190000,183571,182000,168462,152000,146500,148000,154167,177777.78,185000,172727.27,157500,160000,141000,183333.3,112000,120000,137291.8,128333.2,137500,149166.8,147500.2,148333,170000,166667,164875,160000,156000,147500,150769,166429,156923,164091,163333,161818,170000,175000,180000,180000,187143,178750,181667,185455,177273,185417,159750,158095,152361,154583,162833,151333,133636,133733,162222,158167,165625
