"FNID","weights","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"UG2011L101",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2100,2000,1950,2055,2000,1642,1515,1600,1718,1825,1934,2467,2859,2200,2158,2100,2000,1875,1867,2000,1900,1950,2000,2091.75,2276.8,2000,2013.4,2250.25,2533.5,2693,2234,1933,1822,2000,1950,2040,1963,1917,1840,1850,2425,1800,2000,1525,1900,1750,2375,2750,2950,2750,2325,2050,2750,3500,3350,2800,2267,2100,2425,2500,2800,2725,2275,2500,2600,2500,2600,2700
"UG2011L102",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999.99791586061,2100.00208413939,2000,1949.98124274545,2054.9838270783,1999.97915860605,1642.01075415928,1515.00487688618,1599.99445618921,1717.98778694315,1824.98436895454,1933.98645309393,2466.96802930168,2858.9641944852,2199.99166344242,2157.97257272556,2099.97499032726,1999.97915860605,1874.99028791042,1866.98086760036,1999.97499032726,1899.97915860605,1949.98749516363,1999.99166344242,2091.74617560421,2276.78499002808,1999.99166344242,2013.40083782404,2250.24790543991,2533.49026706903,2692.97461518217,2233.97011344108,1932.97361479526,1821.98728674969,2000,1950.01425551346,2040.01708994304,1963.0234257268,1916.99649864582,1839.99458123757,1850.00312620909,2424.98228481514,1800.00262601564,1999.99218447727,1525.01146276667,1900.00416827879,1750.02709381213,2375.00521034849,2750.05210348487,2950.05764729566,2749.96873790908,2324.99062137272,2050.01146276667,2749.98957930303,3499.9583172121,3349.96456963029,2799.98261827745,2267.01250483637,2100.02709381213,2425.02396760304,2500.01896566849,2800.00696102558,2724.99132998012,2275.01354690607,2500.00971208958,2600.01354690607,2500,2599.99674874254,2700.00879506825
"UG2011L103",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2100,2000,1950,2055,2000,1642,1515,1600,1718,1825,1934,2467,2859,2200,2158,2100,2000,1875,1867,2000,1900,1950,2000,2091.75,2276.8,2000,2013.4,2250.25,2533.5,2693,2234,1933,1822,2000,1950,2040,1963,1917,1840,1850,2425,1800,2000,1525,1900,1750,2375,2750,2950,2750,2325,2050,2750,3500,3350,2800,2267,2100,2425,2500,2800,2725,2275,2500,2600,2500,2600,2700
"UG2011L104",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2100,2000,1950,2055,2000,1642,1515,1600,1718,1825,1934,2467,2859,2200,2158,2100,2000,1875,1867,2000,1900,1950,2000,2091.75,2276.8,2000,2013.4,2250.25,2533.5,2693,2234,1933,1822,2000,1950,2040,1963,1917,1840,1850,2425,1800,2000,1525,1900,1750,2375,2750,2950,2750,2325,2050,2750,3500,3350,2800,2267,2100,2425,2500,2800,2725,2275,2500,2600,2500,2600,2700
"UG2011L105",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2091.98902841672,2048.23863217412,2181.10353111867,1140.42464647589,1943.87499498681,1687.51105290922,1425.48884319223,1399.38027324092,1498.12024475896,1582.99180949674,1689.1882438025,1693.15967619481,1804.33892301867,2199.99870357657,2317.84486177877,1730.71862907404,1636.91806398949,1602.08400934883,1591.50789940087,1608.5502026855,1633.05112003546,1783.23552083621,2006.09364943527,2102.01297593314,1974.21867017012,2018.39527179896,1954.03310983538,1941.05518169665,2002.80209690098,2023.61166203978,1995.46904704776,1710.84814591772,1694.89103263763,1964.53764324813,2107.68824239218,2116.10252249485,2151.31103486705,2168.14642761097,2165.91517853765,2096.42206086293,1830.56978843141,1883.77189436576,1626.72653975096,1958.68581319944,1585.59414064083,1676.64115371415,1837.96097117432,2005.19326114119,2411.54736356507,2652.47728781359,2549.59554002553,1781.36574541178,1890.12261269269,2121.2615297514,2288.35938324509,2257.4868735838,2101.80775407521,2166.63870500926,2252.58670923258,2255.04438716912,2608.68353546093,2603.43388220477,2603.14956969203,2365.33964710223,2194.39993227859,2246.97469313133,2322.09889561685,2172.21023416431,2263.03573039252
"UG2011L106",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969.52540747215,2130.47459252785,2000,1675.72866724931,1818.51716198385,1695.25407472146,1799.24889744373,1586.31054651518,1518.93758387591,1539.41888778678,1596.44055604109,1735.91514856895,1999.51975062272,2335.44650037147,2078.10162988858,1756.95436233344,1734.30488966575,1695.25407472146,1732.9883988202,1587.2432405943,1634.30488966575,1595.25407472146,1767.15244483288,1878.10162988858,2035.82912271139,2057.32198461439,1878.10162988858,2025.6507861962,2219.62303450951,2391.18365289492,2321.81946301074,1796.99434315057,1547.19165859737,1636.10498558009,2000,2158.44621289052,2289.8916587284,2305.53442001308,1865.8026845532,1760.76605942758,1895.71188879178,2165.96596351324,1838.3979865851,1885.72027802055,1692.6102589032,1960.94918505571,2146.1697028621,2451.18648131963,3511.86481319635,3792.92722932044,2292.88111208219,2187.86433362466,2217.6102589032,2597.62703736073,2890.50814944292,2831.93192702648,2545.8418983177,2449.84755516712,2496.1697028621,2775.45781407032,2777.31879200347,2901.78513904303,2598.22569508413,2473.08485143105,2642.0116011798,2798.08485143105,2500,2552.45963565655,2828.60278046754
"UG2011L107",0.999999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971.35755945322,2128.64244054677,2000,1692.21803507901,1832.73466135701,1713.57559453224,1789.79499322136,1582.02331087946,1523.81110814557,1550.15529839589,1610.18169589918,1747.82413644595,2027.62496201245,2366.92287140638,2085.43023781289,1781.06548240442,1756.29071343868,1713.57559453224,1741.52622705202,1604.06239578059,1656.29071343868,1613.57559453224,1778.14535671934,1885.43023781289,2039.19112159666,2070.51714318211,1885.43023781289,2024.9142610998,2221.46434725049,2399.73980264655,2344.13507414026,1823.26740255923,1570.38670267781,1647.28111266466,2000,2145.91429333995,2274.86801248356,2284.94103174576,1868.88069988141,1765.52965457838,1892.96366082016,2181.5392553524,1836.08947508894,1892.59084794959,1682.53342300727,1957.28488109355,2122.35172710809,2446.60610136694,3466.0610136694,3742.24990552383,2320.36339179835,2196.1090175395,2207.53342300727,2606.78779726612,2927.15118906447,2863.0785107048,2561.12204583988,2438.85464328066,2472.35172710809,2754.38806628793,2760.64620897566,2895.66575142623,2605.84744732541,2461.17586355404,2633.47377294798,2786.17586355404,2500,2555.31779274703,2820.87109910739
"UG2011L108",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976.60120494442,2123.39879505558,2000,1739.41084449974,1873.42535036867,1766.01204944416,1762.73778248682,1569.75318043007,1537.75920515215,1580.88306097428,1649.50903708312,1781.9078321387,2108.06248384734,2457.00870094506,2106.40481977766,1850.07185706851,1819.21445933299,1766.01204944416,1765.96161504098,1652.19906138974,1719.21445933299,1666.01204944416,1809.60722966649,1906.40481977766,2048.813211073,2108.28187800968,1906.40481977766,2022.80631561234,2226.73421096914,2424.22762709042,2408.00267622298,1898.46127890292,1636.7712545963,1679.26735016094,2000,2110.0477581802,2231.87011945579,2226.00245642477,1877.69002430662,1779.16313285548,1885.09819258338,2226.11024202753,1829.48248177004,1912.25451854156,1653.69337280571,1946.79759011117,2054.1843357226,2433.49698763896,3334.96987638961,3597.21067123746,2399.01807416623,2219.70542224987,2178.69337280571,2633.00602472208,3032.02409888831,2952.22048405507,2604.85404923643,2407.39277033351,2404.1843357226,2694.08614313922,2712.92903500582,2878.15197548565,2627.66101256877,2427.0921678613,2609.03838495902,2752.0921678613,2500,2563.49787971329,2798.74291513457
"UG2011L109",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,2150,2000,1500,1667,1500,1900,1632,1467,1425,1450,1609,1700,2000,2000,1500,1500,1500,1642,1408,1400,1400,1650,1800,2000,1916.7,1800,2033.5,2200,2300,2084,1517,1300,1517,2000,2292,2450,2525,1833,1710,1925,2000,1863,1812.5,1800,2000,2400,2500,4000,4333,2000,2100,2325,2500,2500,2500,2383,2567,2750,3000,2955,2967,2517,2600,2733,2925,2500,2522,2911
"UG2011L110",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2258.22180214619,2626.34278513502,2541.90996850066,1920.30245747207,1955.60768746416,1780.20163831472,1728.51659735139,1702.61081285531,1765.69494644349,1880.60786389973,2010.40327662943,2063.48705734647,2113.57761815252,2385.55745432105,2373.78898551183,2167.44030246565,2004.36294896649,1967.37633270895,1998.97688721295,1971.20529301258,2025.97045999508,2044.46376812385,2126.34278513502,2237.11455577096,2354.73527410643,2436.53007940146,2237.11455577096,2571.43110523659,2489.54356093613,2552.18147448324,2375.4097038473,2049.38311279796,1963.51747952925,2095.8965847582,2322.23188406192,2452.83574039265,2601.30888468995,2686.39614366928,2449.44360429238,2208.75891620019,2177.18147448324,2238.17139256751,1827.69459357235,1812.5,1800,2151.30888468995,2456.04032766294,2584.06049149441,3159.39508505585,3305.78079393825,2448.32262130355,2282.13106490457,2329.48322621304,2443.95967233706,2854.73527410643,2780.20163831472,2616.68816635447,2660.02694392049,2778.02016383147,2831.87901701117,2980.21814744832,3209.65461878054,2787.67478261202,2656.04032766294,2882.62767486006,2761.36224322421,2780.20163831472,2621.75178324004,2792.75490863119
