"FNID","weights","X2008.01.01","X2008.01.08","X2008.01.15","X2008.01.22","X2008.01.29","X2008.02.05","X2008.02.12","X2008.02.19","X2008.02.26","X2008.03.04","X2008.03.11","X2008.03.18","X2008.03.25","X2008.04.01","X2008.04.08","X2008.04.15","X2008.04.22","X2008.04.29","X2008.05.06","X2008.05.13","X2008.05.20","X2008.05.25","X2008.06.03","X2008.06.10","X2008.06.17","X2008.06.24","X2008.07.01","X2008.07.08","X2008.07.15","X2008.07.22","X2008.07.29","X2008.08.05","X2008.08.12","X2008.08.19","X2008.08.26","X2008.09.02","X2008.09.09","X2008.09.16","X2008.09.23","X2008.09.30","X2008.10.07","X2008.10.14","X2008.10.21","X2008.10.28","X2008.11.04","X2008.11.11","X2008.11.18","X2008.11.25","X2008.12.02","X2008.12.09","X2008.12.16","X2008.12.23","X2008.12.30","X2009.01.06","X2009.01.13","X2009.01.20","X2009.01.27","X2009.02.03","X2009.02.10","X2009.02.17","X2009.02.24","X2009.03.03","X2009.03.10","X2009.03.17","X2009.03.24","X2009.03.31","X2009.04.07","X2009.04.14","X2009.04.21","X2009.04.26","X2009.05.05","X2009.05.12","X2009.05.19","X2009.05.26","X2009.06.03","X2009.06.10","X2009.06.17","X2009.06.24","X2009.06.30","X2009.07.07","X2009.07.14","X2009.07.21","X2009.07.28","X2009.08.04","X2009.08.11","X2009.08.18","X2009.08.25","X2009.09.01","X2009.09.08","X2009.09.15","X2009.09.22","X2009.09.29","X2009.10.06","X2009.10.13","X2009.10.20","X2009.10.27","X2009.11.03","X2009.11.10","X2009.11.17","X2009.11.24","X2009.12.01","X2009.12.08","X2009.12.13","X2009.12.20","X2009.12.27","X2010.01.05","X2010.01.12","X2010.01.19","X2010.01.26","X2010.02.02","X2010.02.09","X2010.02.16","X2010.02.23","X2010.03.02","X2010.03.09","X2010.03.16","X2010.03.23","X2010.03.30","X2010.04.06","X2010.04.13","X2010.04.20","X2010.04.25","X2010.05.04","X2010.05.11","X2010.05.18","X2010.05.25","X2010.06.01","X2010.06.08","X2010.06.15","X2010.06.22","X2010.06.29","X2010.07.06","X2010.07.13","X2010.07.20","X2010.07.27","X2010.08.03","X2010.08.10","X2010.08.17","X2010.08.22","X2010.08.29","X2010.09.05","X2010.09.12","X2010.09.19","X2010.09.26","X2010.10.03","X2010.10.10","X2010.10.17","X2010.10.24","X2010.10.31","X2010.11.07","X2010.11.14","X2010.11.21","X2010.11.28","X2010.12.05","X2010.12.12","X2010.12.26","X2011.01.02","X2011.01.09","X2011.01.16","X2011.01.23","X2011.01.30","X2011.02.06","X2011.02.13","X2011.02.20","X2011.02.27","X2011.03.06","X2011.03.13","X2011.03.20","X2011.03.27","X2011.04.03","X2011.04.10","X2011.04.17","X2011.04.24","X2015.11.29","X2015.12.06","X2015.12.13","X2015.12.20","X2015.12.27","X2015.11.01","X2015.11.08","X2015.11.15","X2015.11.22","X2016.04.03","X2016.04.10","X2016.04.17","X2016.04.24","X2016.01.31","X2016.02.07","X2016.02.14","X2016.02.21","X2016.01.03","X2016.01.10","X2016.01.17","X2016.01.24","X2016.07.03","X2016.07.10","X2016.07.17","X2016.07.24","X2016.05.29","X2016.06.05","X2016.06.12","X2016.06.19","X2016.06.26","X2016.02.28","X2016.03.06","X2016.03.13","X2016.03.20","X2016.03.27","X2016.05.01","X2016.05.08","X2016.05.15","X2016.05.22","X2016.07.31","X2016.08.07","X2016.08.14","X2016.08.21","X2016.10.02","X2016.10.09","X2016.10.16","X2016.09.04","X2016.09.11","X2016.09.18","X2016.12.04","X2016.12.11","X2016.12.18","X2016.12.25","X2017.04.02","X2017.04.09","X2017.04.16","X2017.01.29","X2017.02.05","X2017.02.12","X2017.02.19","X2017.01.01","X2017.01.08","X2017.01.15","X2017.01.22","X2017.02.26","X2017.03.05","X2017.03.12","X2017.03.19","X2017.04.30","X2017.05.07","X2017.05.14","X2017.05.21"
"MW2012C3010102",1,NA,NA,111.273531401457,NA,NA,152.664351923585,NA,NA,NA,172.298137495877,NA,162.303257131184,146.6971962316,NA,NA,123.994433199843,127.231114582271,134.806147529132,NA,NA,NA,NA,NA,NA,NA,95.1002549635535,NA,NA,170.307113295327,NA,161.455277051601,NA,137.232493299093,186.548792964935,101.963461708086,NA,NA,177.863874503348,172.324980034133,176.185184584073,189.126039835922,188.828638854147,NA,NA,130.980734278022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.048079971403,NA,NA,149.364668504671,NA,NA,NA,131.335071476004,NA,141.429189700035,NA,NA,NA,NA,182.617458820881,NA,NA,NA,NA,NA,107.778604798284,96.9554420431009,100.430187170876,150.61316330233,146.328485766868,117.128711232035,141.345726036959,145.494298908204,146.555474641236,140.801808813014,143.416276629301,NA,NA,151.505567372536,146.496089996276,NA,NA,NA,NA,NA,157.467463363764,137.628110364293,149.522814763951,151.901163673315,157.141479874185,160.92600614688,NA,NA,NA,182.841316361298,166.307174604723,160.341168419167,NA,167.72216115088,174.895085795524,178.047863961859,NA,176.08269376297,NA,NA,163.786619759271,161.398338014538,NA,NA,143.661652950578,NA,NA,139.306733576173,140.562089111462,121.299318517112,NA,NA,146.346918096733,145.139156011094,135.370330042964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392.275520486284,NA,NA,NA,NA,NA,416.494428000058,353.637158540841,438.535161329285,NA,NA,NA,239.994533920779,NA,NA,117.393822395267,NA,NA,NA,476.707436203406,NA,NA,382.568273222558,386.077898145875,425.425202074292,NA,NA,470.61144837571,NA,NA,358.750207201113,NA,NA,100.458896192289,106.191307889058,NA,NA,NA,366.653594972536,NA,NA,417.773583662687,NA,NA,NA,347.728857892255,NA,507.720608348151,375.385725160633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.749066576947,233.575500356789
"MW2012C3010107",1,139.418981988518,139.418981988518,139.418981988518,139.418981988518,NA,154.885041853665,91.7882538647263,161.371354677699,158.267816451993,153.075846622102,113.360886100409,113.901006673153,107.981355152771,86.8850664306078,94.0234167028197,95.0452664350382,101.005078244008,100.056217778376,95.16885999056,95.16885999056,95.16885999056,NA,NA,50.7694822688239,113.742386877938,73.2868693842978,116.637627785891,120.257641024505,120.257641024505,69.6953142270965,119.81461061686,123.639477043038,130.232304595823,132.330065718001,133.541701257031,NA,132.553913182553,134.263551464321,134.263551464321,134.566460349079,134.566460349079,137.203805848424,80.082634674427,141.028672274601,143.666017773946,146.90674121041,179.435524144641,174.569573038839,175.555176140095,175.503835651153,175.323795460238,103.283389338835,NA,NA,184.365204042538,184.365204042538,130.584570489333,199.42407964707,199.90154619423,200.47655967038,133.791635602418,197.429777793984,NA,130.385469828356,170.675691559301,159.797701580106,167.380367894161,168.659067121063,NA,NA,168.108610832244,162.115072606537,113.979904542657,153.431156573555,151.643073448988,149.769132363992,148.348515786585,141.490299325732,134.803302781076,135.743530212879,137.970433612162,80.236656141253,136.195890138517,131.417217863916,130.210998185253,136.958155493568,135.885421086155,135.785448038455,135.880287037261,137.610179703131,136.912230864994,141.744924606421,150.048381975227,150.104856513063,153.488837313903,153.375888238231,153.05100904851,98.4185900558726,156.150914952995,156.953756694538,156.171947153234,159.432938687487,NA,NA,NA,166.515525094784,164.31308573746,164.635310901596,167.805457951569,167.290766477808,172.495564810627,167.906852345112,174.364372321801,170.850485141405,168.594814896934,163.933327358019,161.205137374395,168.082120205364,166.006007860832,NA,168.003339646491,NA,NA,145.067024447099,146.436045676389,87.199002353205,147.421085629768,143.938646272444,143.65672939701,140.952506975611,127.85769635432,129.49331269419,79.1008795127953,121.470592475535,121.56543147434,122.327200824729,NA,119.982000107692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.067282980071,415.171155623412,229.822292434125,NA,427.684518896702,NA,379.473358110891,194.767697652761,407.622228489637,444.995134523966,444.049665234068,467.743402038991,240.246139423607,438.135805481044,NA,14,21,NA,NA,234.776085994078,NA,NA,233.377333337647,237.199357072139,241.401300424801,NA,466.202784986513,468.274098523155,236.529651647156,240.290066794917,200.901840642473,NA,235.376193803279,239.316300662337,242.861085756542,466.298026844609,NA,NA,236.695656657559,464.647759221892,495.72502861505,241.322637809767,NA,NA,NA,12.9195706634814,NA,466.663577466479,244.04703876263,NA,NA,18,12,NA,NA,NA,512.651419445557,510.630937154581,508.737841028935,506.172492786853,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,14,21
"MW2012C3010201",1,NA,NA,103.402993392058,NA,NA,149.242527999864,NA,NA,NA,173.003157140526,NA,171.210342587259,153.437787792393,NA,NA,133.6582958578,137.191239491621,146.524108297999,NA,NA,NA,NA,NA,NA,NA,89.3221065350315,NA,NA,181.435874590602,NA,172.258733092672,NA,140.69071418092,201.446542084067,96.6849789648551,185.87402649466,NA,189.425829926706,182.601598827491,187.220675697349,203.164540912863,202.79812609127,NA,NA,129.797416369548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.634082861418,NA,NA,129.151307542183,NA,NA,NA,106.61758678031,NA,124.382128978273,NA,NA,189.31395904532,NA,177.23547819532,NA,NA,NA,NA,NA,91.7640599043017,78.7843580483657,83.2441240007964,145.652528758056,140.009235070038,112.661323964461,132.930364461798,138.002191147493,139.304978508147,132.190610735342,135.346807052237,NA,NA,145.083534570089,138.67719816209,NA,NA,NA,NA,NA,151.955532135666,127.280271193802,141.912013767626,144.800503896405,151.242946298626,155.898734909577,NA,NA,NA,182.539948342664,162.110936892729,154.751197753203,NA,163.561889078969,172.246180416141,176.005270817151,NA,172.744025403014,NA,NA,158.487984774749,155.87036579777,NA,141.634588721533,134.741783519245,NA,NA,137.405432601323,139.02171854489,115.532555606573,NA,NA,146.661799801618,145.626278870744,133.595174177863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476.575977167501,NA,NA,138.540092310784,NA,458.790705156404,412.842885765779,432.220122446608,439.877645792263,NA,NA,NA,192.375265546175,NA,NA,141.387034033282,NA,NA,555.515738168401,484.951809764968,NA,NA,368.059698263305,372.195788778356,420.314203895931,NA,NA,477.100085056721,NA,NA,435.502952547502,NA,NA,20,27,NA,NA,NA,349.591312565931,NA,NA,511.471880352241,508.155009198108,NA,NA,426.101044701407,NA,520.124171042401,356.147246827636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465.047584284389,285.336350221003,NA,274.886820176097,282.90503331108
"MW2012C3010209",1,NA,NA,94.9650608829976,NA,NA,151.377605557834,NA,NA,NA,183.436213365103,NA,190.349234657114,169.130525230131,NA,NA,140.768605326078,142.427408530937,154.941487096915,NA,NA,NA,NA,NA,NA,NA,107.739702839034,NA,NA,199.307549457055,NA,185.583353410491,NA,141.288650465162,217.965043066168,83.665911732263,197.409754031949,NA,203.127445277523,194.379119256427,200.300546855598,220.73979179233,218.74189479901,NA,NA,123.630431916664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.409792268211,NA,NA,119.748629221865,NA,NA,NA,131.885304289902,NA,130.785823606552,NA,NA,207.545990378795,NA,191.024399009939,NA,NA,NA,NA,NA,84.270962053585,71.1503690423699,80.513187056681,159.229155151866,151.171437089858,138.505274060628,144.329723278889,153.651058043632,156.026042952001,143.028957625199,147.779920949873,NA,NA,159.55704693397,152.049317279389,NA,NA,NA,NA,NA,160.026513352097,160.347494586437,145.682258856272,148.973512397189,157.703261457585,161.791142292712,NA,NA,NA,192.301057811764,167.462620292201,157.852990237044,NA,167.972126497353,176.285453205688,183.923925120215,NA,179.114420676962,NA,NA,165.282422046659,157.525517983687,NA,142.095461721397,129.557217897321,NA,NA,135.969017110925,137.158510718943,141.05824897406,NA,NA,147.90570867153,147.565048684409,139.723415975919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.488907340507,NA,NA,61.0911535523482,NA,497.716980928802,437.945746570415,445.691748719186,456.447209043534,NA,NA,NA,239.848744784717,NA,NA,177.303863597421,NA,596.69973909352,594.099453470926,616.891025738608,NA,NA,469.014785677853,472.343395669956,532.055165785807,NA,NA,471.965791630718,NA,NA,450.213139174635,NA,NA,20,27,NA,NA,NA,441.955825402056,NA,NA,520.015508676298,524.518005243507,NA,NA,541.729212343393,NA,531.510505604834,451.488009912816,703.377395107618,663.125870666608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590.810894371759,357.328545046899,NA,348.44397241615,356.749271186706
"MW2012C3010210",1,195.399876373869,195.399876373869,144.033474078333,195.399876373869,NA,157.953149527685,NA,169.626583053654,170.664530672303,168.778185464839,NA,165.399876373869,142.006472376457,141.964128647617,NA,145.89894887402,134.055603889809,148.825367837006,152.528567147473,142.858841915338,142.801054712756,NA,142.858841915338,NA,147.982710625238,130.302769550613,190.293702650191,173.878858494961,183.510058925374,NA,183.345812207443,173.156002152065,199.413503519063,189.738262894964,121.761250257109,187.433593898122,NA,190.411419815767,183.676000314764,167.142439575889,193.088893535421,192.492603666557,NA,NA,182.701727786791,181.875074652217,71.8669556815223,63.7931957676049,NA,NA,215.333090470571,146.978063632096,NA,NA,NA,209.019037371865,167.519214279727,NA,NA,69.0773558249933,197.618439758913,196.968746024376,191.152546490657,142.346863201683,NA,164.805729221501,NA,168.414174755797,167.187801900991,NA,152.940927499849,NA,94.3545121675519,NA,139.784964018933,120.042950396557,138.668253708459,113.154029125966,104.603014921661,152.802352871432,156.043392885779,109.176850340575,143.686619887502,145.102802797685,145.370167721357,149.129402474875,142.975967111605,156.91758059051,NA,156.975620425518,158.7133486149,NA,142.907868307309,131.324744589666,134.483522023814,150.124591522804,165.854960300417,122.113593810295,153.266501905014,156.787578797122,164.215852803719,170.314401578181,NA,NA,NA,197.411528611749,174.701075010894,179.867001614049,NA,181.359527894394,190.775235068283,193.032542816055,70.3993418000266,188.912371332269,NA,166.866841197983,186.392061523944,182.10400143471,168.942777031557,151.396920509322,156.449553748349,NA,NA,158.012653493252,145.514425594835,92.0138925948142,149.541862436729,NA,179.33012165709,172.285839898698,150.936990546329,NA,NA,NA,53.5755578694554,NA,NA,151.633767219209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.218345749166,539.168236953183,NA,160.744870316578,NA,502.96515374399,486.224143258199,513.947541787622,524.576361611434,399.270698927991,406.177376035305,445.73953721264,298.007652245252,635.055041229492,NA,14,NA,NA,631.513108711842,510.162407639158,632.417171040968,NA,372.897211417678,378.63231376115,458.379981012204,NA,527.313143971869,547.06807111304,369.646324470192,368.98630972787,493.645769729952,487.876870594801,NA,20,27,463.571261324829,493.787763229843,NA,345.049724836915,590.446796839278,592.85340019107,605.784891968972,597.875456203111,NA,NA,443.503303904889,NA,618.872321417748,568.288267792081,NA,NA,NA,NA,NA,NA,NA,NA,721.243781785878,692.687969534522,600.104154413746,NA,NA,530.705837446612,542.938789680469,NA,NA,NA,456.378494746206,261.174493531062,NA,252.327265050715,264.476746880843
"MW2012C3010309",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.697158947528,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.085368157105,NA,NA,173.901594173604,NA,165.985843424988,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.944743396196,NA,NA,103.065722517556,178.75567724502,NA,163.240246479679,NA,NA,155.522199201959,NA,NA,NA,NA,179.50656645336,NA,NA,NA,NA,161.69819079531,NA,NA,NA,NA,205.589601673503,NA,NA,168.146559952038,200.348952983414,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.51805161893,NA,NA,NA,NA,NA,162.153212020065,NA,NA,NA,NA,141.269301046962,NA,NA,NA,156.183600748248,88.6052183269619,129.390879165573,122.210568179368,NA,176.851301515985,NA,NA,180.138480275641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.604236801311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512.525477930369,NA,154.778426670164,NA,NA,NA,NA,270.455302930749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404.587797329673,NA,NA,NA
"MW2012C3010311",1,NA,NA,NA,191.351973667369,NA,NA,NA,103.349367453951,NA,NA,222.400820948701,213.022601859081,213.782781299913,255.159300301341,189.345105859021,254.061239548783,225.921752190834,224.573338658882,227.98372065459,227.98372065459,229.265057955744,NA,NA,NA,NA,222.832167527971,221.678323733851,221.621550807402,230.345879178468,253.066724943812,209.434518657968,243.503482265596,136.70190229709,NA,150.514045976979,251.046287845055,250.784170610696,NA,195.923002207742,197.92524332034,244.731578729948,245.307264313929,250.368292900199,128.914721756982,239.081642491721,NA,232.238638855308,196.546783984187,240.991830194363,209.546466202151,NA,140.776554914759,NA,NA,249.055993036981,251.758033913955,251.725833495188,243.010319718502,250.248924161925,137.288131001219,269.232819244394,NA,NA,126.225918967925,256.338637657658,NA,181.839524130213,178.094001839794,257.768040602501,NA,228.531245782392,112.755038575999,NA,217.631300351515,218.143835271976,NA,207.222003162153,205.202106267802,212.995174591685,NA,214.783506922529,224.200185182947,224.412354776311,236.463252725189,228.155151645166,231.538461031244,NA,230.362106796686,205.570848495705,209.452025115704,192.075903727771,NA,90.2955783630611,203.176448253759,97.9721063277526,92.3187994826375,94.622696403516,180.000092024811,227.103334848256,NA,227.60235108951,232.629489662851,NA,NA,NA,237.898485052758,129.164492249523,235.747139017798,NA,237.388619480679,236.304939051898,232.139397153789,237.629248948729,239.212224600532,264.536409648987,265.053021212194,NA,NA,266.107289113981,NA,NA,NA,NA,230.899378144927,225.067798312107,NA,226.061471852068,NA,NA,222.619074539246,220.292097300869,NA,NA,NA,203.40865924264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.14055803773,NA,12.5475122376,NA,NA,NA,NA,206.680137799752,NA,NA,NA,NA,247.282990682828,764.043264856242,765.887786587667,766.211264764006,767.40366971394,762.104667898061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477.241421874682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.606356540805,NA,NA,NA,821.484472645309,824.263598234131,NA,NA,NA,NA,NA,NA,232.333373643435,NA,NA,NA
"MW2012C3010409",1,NA,NA,103.253678080342,NA,NA,156.061342626822,NA,NA,26,NA,183.514831908352,181.973637162464,161.007253155008,158.265961534574,156.075842685153,147.379344966506,147.379344966506,149.182605215743,NA,NA,NA,NA,NA,NA,126.792966593729,129.425208204572,NA,NA,195.607282991476,NA,195.607282991476,200.230867229141,129.79844375557,105.863973157812,134.800861473906,200.230867229141,219.032593020875,219.032593020875,200.230867229141,219.032593020875,217.87825687517,217.87825687517,219.419451621058,129.171167820734,129.547202336568,219.419451621058,NA,NA,235.685215878218,237.576669492867,NA,NA,NA,NA,NA,NA,260.186043490886,251.537249626688,260.17852280057,260.212365906995,NA,NA,NA,128.04089756206,238.166301554692,137.005496104846,221.327475935615,115.79372908673,214.709608477043,NA,211.093639080876,211.471231947499,207.139314325084,209.215024852491,NA,NA,109.5465606114,112.740371157991,117.766985002693,160.073814879866,152.140595052055,162.211590910623,63.6856755527115,157.326276547949,158.062555819264,156.456028264149,153.591278312109,147.113854496339,150.81957994198,155.311188494203,153.282350680257,157.390198887321,158.092800574745,159.786352252576,157.216319692743,156.583106116618,151.110950795362,152.421285368749,149.396276547949,150.561278312109,146.440802914428,152.68433695066,NA,NA,NA,161.040270258674,159.981839194423,160.055966672802,156.22421457292,161.013343815459,166.263725061959,169.84704609759,176.514793901787,185.969252425233,182.669925100327,176.414779788507,184.133301475619,159.549964716801,156.698107880778,NA,NA,NA,155.671731734917,151.462076893263,151.586869990096,73.9371318907258,142.101271255469,146.874779788507,146.700069452941,150.384049050386,152.168262818352,NA,59.782454114993,NA,74.9293593882888,NA,162.059942741927,156.250824084348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.921642413461,NA,367.356238112325,12,NA,508.562340591748,510.760771656,514.538220170009,516.566107993547,NA,NA,NA,517.456863497299,631.150281836535,639.891836659004,643.469828413728,NA,624.766024923776,623.811843715644,624.754204175907,NA,NA,NA,632.746559497942,633.64443673652,NA,693.475594280797,587.804779480004,627.628725404158,631.074004483632,647.940379516036,NA,485.123483593686,471.75725019053,492.521928771217,687.955407588344,687.308916121382,715.212285440034,689.677645670867,NA,NA,NA,640.059276506466,NA,NA,660.955122719939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766.266157698529,NA,779.67855152358,781.066773920504,NA,NA,NA,493.917574983912,790.027159500278,796.084655492356,NA,254.457772435046,578.002299056863,556.455713438721,526.223383928383,528.582261358801
"MW2012C3010417",1,NA,NA,138.262798172035,139.558913471609,NA,139.753920348771,90.3479787183944,NA,NA,NA,144.542545677341,133.874347255979,121.486174992495,NA,117.822118377899,110.328114727607,121.138289647195,122.752932647139,NA,119.889304048284,116.685787890629,NA,NA,NA,NA,146.325200861132,NA,156.503390234254,156.503390234254,158.420106404706,147.667101295275,NA,NA,NA,163.040545152348,NA,162.102775983743,152.328679300916,164.043065228983,165.324399368454,164.455301200557,164.455301200557,165.147645754768,167.380962364089,170.11057155326,NA,174.778866929456,NA,175.521328295507,182.523721995344,180.052947388283,161.993997484178,NA,NA,163.543307263666,186.270894385251,197.366270199669,197.366270199669,188.004408392176,174.704641520001,186.27344644999,NA,NA,172.134157568592,171.184940032001,171.184940032001,173.084542665217,NA,100.340019957558,NA,154.502435098109,158.287565465597,NA,156.351114783384,NA,153.878862716131,141.574132995013,143.265500514456,153.456416532577,151.442890078585,150.69962294415,142.273570260649,83.5583506221927,155.656007001652,156.715601805286,NA,151.535711774188,NA,NA,158.023421931991,150.695641224853,153.901978913363,NA,NA,NA,NA,147.173096117762,93.923871693785,155.058530138329,97.4899409749782,144.448181824448,150.619860466873,NA,NA,NA,161.576321726085,NA,145.940751102344,157.887479243146,158.643632969852,161.57077414364,163.281902353526,NA,171.895594288982,NA,NA,162.584781900903,145.175367191511,NA,NA,NA,NA,NA,140.507948990592,151.164300132668,97.087371119656,NA,NA,145.636185600518,145.664520251263,148.975129716312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518.277349093404,NA,47.1363957988713,NA,492.513645499724,277.451404793417,277.954072382417,465.869630343404,NA,NA,NA,538.472400911984,NA,NA,360.544673250044,NA,NA,597.754127595238,600.701836830854,606.398792974926,NA,NA,NA,NA,NA,NA,484.349282687013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.910773669232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.280083808099,NA,NA,NA,NA,NA,616.231677192186,NA,NA,NA,NA,19,NA,NA,NA,615.609349354866
"MW2012C3010503",1,NA,NA,NA,NA,NA,NA,110.939157517378,NA,120.716144696514,NA,150.946693551172,153.922829786202,NA,NA,NA,183.022690400504,183.022690400504,169.32397110809,NA,NA,96.9191620943027,NA,NA,NA,NA,86.1386172212798,NA,NA,114.002649651438,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.555325098517,NA,97.4766941464619,97.4766941464619,145.715610893112,105.129615893683,NA,145.16398990148,144.938653872256,107.952037552679,NA,143.587727720359,NA,NA,NA,NA,161.560606832545,NA,NA,NA,NA,156.254689558394,149.506061313413,NA,NA,NA,NA,NA,NA,94.2372435964098,99.125737185978,NA,NA,NA,NA,90.5517674046305,NA,85.4109432297085,NA,NA,154.530123829638,NA,88.2043681380332,NA,NA,NA,NA,NA,105.059273770388,NA,NA,70.9700020650897,NA,80.8616138779351,NA,162.908750739567,165.172941597257,170.872355840847,68.5083853069757,NA,86.5225514256885,NA,NA,87.2993350337285,NA,NA,NA,NA,NA,NA,96.3946072860683,NA,NA,NA,NA,NA,NA,243.951170563481,187.120914888924,NA,NA,NA,NA,NA,NA,217.782350071407,NA,131.465741731529,NA,NA,92.2117565540339,NA,NA,NA,93.6173147502876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358.8155823197,NA,NA,420.838654528448,NA,NA,NA,11,NA,NA,NA,422.402305152141,431.176216756184,725.313097846854,719.741839608734,719.328837421142,717.730255143437,NA,NA,446.597624084702,NA,NA,459.788644817161,NA,450.465266517268,NA,NA,NA,437.019325281138,NA,NA,NA,NA,NA,394.166150346723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.208218471074,NA,877.297947933713,NA,874.65460505822,876.502639352425,719.870439195243,710.366066509854,706.426449503981,595.24122095896,NA,NA,229.211784288947,NA,NA,NA,NA,NA,NA,NA,219.297577375207,675.832517869185,670.215743175882,665.804345748972,679.794584137553
