"","FNID","weights","X2006.01.01","X2006.02.01","X2006.03.01","X2006.04.01","X2006.05.01","X2006.06.01","X2006.07.01","X2006.08.01","X2006.09.01","X2006.10.01","X2006.11.01","X2006.12.01","X2007.01.01","X2007.02.01","X2007.03.01","X2007.04.01","X2007.05.01","X2007.06.01","X2007.07.01","X2007.08.01","X2007.09.01","X2007.10.01","X2007.11.01","X2007.12.01","X2008.01.01","X2008.02.01","X2008.03.01","X2008.04.01","X2008.05.01","X2008.06.01","X2008.07.01","X2008.08.01","X2008.09.01","X2008.10.01","X2008.11.01","X2008.12.01","X2009.01.01","X2009.02.01","X2009.03.01","X2009.04.01","X2009.05.01","X2009.06.01","X2009.07.01","X2009.08.01","X2009.09.01","X2009.10.01","X2009.11.01","X2009.12.01","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"1","TZ2009L101",1,32206.2767657189,30824.8381446243,29930.1110150113,31361.7852915693,29615.4393389647,24587.8837095507,17756.9042785385,14668.4916571461,12206.3130555446,10554.380426268,9407.11515975398,13096.404134049,15334.2839200319,13724.0123956868,13982.5254746418,14293.5104439291,14160.5159535026,14208.4500982828,14079.9187109953,14820.4002589674,16488.5896959738,17619.1015573092,20730.8382553224,24454.8413332724,33195.2717049784,32492.1204313709,31188.988464918,31879.0022025406,28420.5353018399,31683.8720595161,31846.3518504102,27408.1020854562,30739.2071158261,35459.6514632211,33722.8468112911,40460.7925890579,40765.4254122325,43378.3452379483,43007.6656490292,41743.522097409,42102.6772771336,40734.827430866,38815.0029799469,38490.5319261844,38622.27744824,42301.4517497919,43093.9321726619,45505.8004836226,46847.2184004548,43408.9685575739,39332.3208100763,35921.8532819932,33666.5875801418,29717.7217797726,26668.1248111225,25006.4730453572,26366.7740807495,27958.2806101282,29230.2988678839,30034.2527472913,32011.7580699029,35766.1092945963,39063.1220802161,41285.7688481089,49042.6347537331,51963.0036150468,46915.5306214417,34498.3321598037,42063.7833291596,40432.8094729116,39696.5587025797,40534.2589207512,43823.1619163211,42456.7640476628,44208.6481756404,50965.0516036634,58970.0431489047,59995.4845988057,56210.0319058948,54165.8411345945,57024.9042462326,59458.0068529025,62469.0292592956,75183.4595739309,77298.4783211495,76369.666474137,71175.4891204481,69263.5950975337,60655.5556874237,51577.8716628132,50776.1603713348,49044.8196595792,48780.8324013243,49201.5231964658,50500.8470288489,52180.0367002574,56478.0587891979,56204.2451681096,54600.6929619484,54828.1089236052,52901.2213800795,55164.1266256392,46601.3951213224,42628.381260541,37831.9731382568,37283.4649829549,39705.5345783061,37183.5153752923,36278.6503346953,41456.8156424045,52074.5323996419,56229.3722272276,52774.0512306833,53901.9758446075,61558.6141027402,61388.5827249049,65335.8344113416,65565.1792378989,63471.1773858658,65850.2822116791,65831.807702824,67280.6695784865,63024.8262380257,60320.735692765,60245.2258653,64079.6413782294,65720.3232481007,65753.7528129881,67791.8865254797,70046.663400567,80542.050957593
"2","TZ2009L102",1,31751.1791971067,30407.1104082344,33061.0753126935,36875,35545.45,27000,17625,14431.82,11375,8775,7300,12500,14818.0135401135,12950.9324508478,14033.5405446328,15549.0675491522,14932.9189107343,13550.3108169493,14201.2432677971,14568.3243570627,15052.7973525434,19247.8242813551,21848.4459152537,26198.1350983044,34913.0404689252,32399.3783661015,33229.1891073431,35527.3242056476,30913.0404689252,32129.2616399551,28738.8278935063,23838.5136158211,36829.4080505162,39664.5945536716,39232.93643933,44161.4863841789,44993.7836610147,43832.2972768358,44496.8918305074,43332.608093785,43385.0928990112,42158.3839769895,38800,35341.6217853137,40329.1891073431,45329.1891073431,46329.1891073431,45583.8513615821,51658.3782146863,36509.3245084779,30844.7299548064,33670.8108926569,30590.0677005674,28971.6988601257,28570.3084636488,22876.8287110972,24300.2938290856,28463.9535786089,30495.6485627103,31411.5424696592,37185.2223909233,40401.8579802236,41527.6350225968,46783.2228062116,48341.6217853137,52173.9190621495,43003.6780222092,31771,39287.0864880138,35910.2121990879,37200.8988904087,39206.699275414,39955.8321718332,38211.9190621495,41069.0345424309,52148.718465163,59506.3727034802,75728.5536305007,53610.5184608514,51287.8954426585,53924.6961045227,63178.8782903939,71154.0976358695,79271.9067799163,78888.8175112984,77496.8918305074,74838.6888521059,71798.9186176432,59005.0866411434,47724.1602954955,47757.7704237316,44060.3789845382,47550.6570350205,48704.8073280988,50421.0116399551,53328.6046049346,55351.1133227428,55236.0305409629,47019.0496312397,50370.8379858696,52004.0067928573,50339.7081316516,39040.0780827753,34608.7668505377,30365.3370795854,30777.2686998565,37553.0753012008,37411.7101853682,37273.7447148133,43690.5310059873,56016.1932472405,57253.1081694926,57953.4327774428,58437.7187290361,55652.4692838573,51744.1117816438,61551.7009365673,65750.6176194448,66035.2775073976,69889.6118054084,68378.5674734446,64992.0672852791,61341.0915969173,59024.1246166243,60721.3496506928,62089.3044881524,61640.2229965841,62836.5865767072,71478.2998940094,75170.4706291944,82371.8918305073
"3","TZ2009L103",1,32153.5231478378,30643.7835392028,33647.3585527616,36875,35545.45,27000,17625,14431.82,11375,8775,7300,12500,14656.8503313287,12839.3579216891,14008.7462048198,15660.6420783109,14982.5075903604,13513.1193072297,14052.4772289188,14369.9696385584,14718.0737650673,19508.1648493921,22034.4034638515,26421.2841566218,35346.9414156534,32473.7613855406,33725.0759036039,36246.3600602257,31346.9414156534,32018.1829975927,27582.7917997233,23218.6551204951,37997.0974840113,39912.537951802,40337.4003063018,44781.3448795049,45737.6138554059,43956.268975901,44868.8069277029,43419.3882831307,43423.8340549691,42318.5140924144,38800,34349.8481927921,40825.0759036039,45825.0759036039,46825.0759036039,45521.8655120495,52650.1518072078,35393.5792168912,29481.0412650892,33174.9240963961,29784.2516566436,28509.1604509134,28872.4274942707,22498.4670855502,24025.8204873552,28888.3087045091,31016.3296987841,32004.7470496862,38255.4700689532,41176.6810993811,42209.4793674554,47793.592153593,47349.8481927921,51306.1171686931,41067.8599413062,31771,38459.0795099573,34867.7341816487,36554.88236658,38684.2825355533,39078.4844575488,37344.1171686931,40566.3293027215,52441.663590054,59501.6617789158,78294.7678011503,52292.0794412931,50243.4338780342,52963.9154367674,63711.9565963742,73196.5313779687,79974.4130663543,79229.7396837277,77868.8069277029,76266.9358041112,73010.2150962845,59050.5594603605,46408.6965967147,46827.9826807426,43150.8399482642,47297.5378184542,48722.8762032376,50309.9329975927,53470.6451791385,54460.0667357117,54414.718034656,44340.7650446352,48655.1936425063,51588.7809428763,48764.2447870064,36737.3037726393,32403.0623807697,29228.1446840603,29648.2584364698,36546.9209915876,37107.3596641631,37364.1200834318,44145.5071415566,56810.7278665494,56881.1930722971,59138.1063337098,59588.1760963611,54260.1431316561,49955.8200226283,60789.7708741126,66255.0584629411,67218.5873749749,71232.3492779835,68948.8372891445,64246.1295720038,60672.0163370624,58071.8979961046,59562.7101512294,60277.9539931108,59040.9083822841,60652.4531825765,72120.4732951671,76270.8434300971,82743.8069277029
"4","TZ2009L104",1,32511.7623420744,31215.321013729,35459.82315557,36802.2407455111,35207.7639538462,27427.0424732236,18390.5687596958,16187.5214813895,13077.3249206183,11223.7037229782,8012.056590513,11996.4875830149,15067.5689527918,13504.5670813979,14208.8558360352,15588.7162906006,15118.858627825,13726.2859545721,14020.001040305,14628.5714377829,15689.4231043225,20090.9978887877,22564.9980310236,26367.0013024502,36167.4265626385,33897.2743747566,34928.4251626059,36538.2881327646,31468.8582986996,31690.2853227859,27804.7611065465,25250.4184775169,36347.7883249392,37894.2809699422,39690.2604796489,44722.861943905,45590.7202202779,44238.5742295727,45012.8546088408,43254.5312257445,43415.0044345286,42142.1566533112,38800.8569739227,35589.985553139,40838.1398828355,44845.0034442647,46467.1482358779,45510.712174034,53012.7167619619,39647.8378754296,32085.703974779,33519.9971552813,29864.4264956583,29801.1924911297,29646.8452508551,25013.9027772247,25611.3725887173,29224.4835854386,31437.6408590482,33879.9748077962,39959.9367787165,41019.1087334502,47722.5334925976,47035.9455554159,45418.5841860882,48796.5772413538,40690.4138773756,34045.8924407788,38319.9212820672,35991.1868742514,36854.8528329501,38600.6815472416,39465.1935331285,38261.5162209178,41270.062220677,51264.6578227713,58966.2765975224,71364.7295331326,50061.4365864098,48282.8366481264,51895.3092403903,62326.0336483586,72688.3784572211,79791.4962645259,79435.152316282,78589.4815274166,76692.4737207765,73267.0526223392,59232.362534784,46777.5851200152,46971.8547861688,44435.4265842894,48767.8765007366,48603.0694687941,51170.1367308217,53897.5865698003,54899.6770430999,54863.0349186101,44438.6785161334,48141.6002977342,51924.8697251417,53724.9598155926,35439.3538808297,31430.2800155329,30109.9733198837,30548.2950335935,35739.802585207,36300.7565868203,36332.948075765,43066.516279451,55049.4711890856,55565.3371994443,58593.689826474,58770.6209616227,52789.7648911963,51200.6535052951,60337.2523704088,69394.6639925912,68345.6777181064,70729.3435681325,66123.7843439568,64074.4065647875,60662.0198598755,58095.3268031801,59501.7056722346,59136.2794057012,58606.7883110491,59740.8404696157,73722.5041974068,78891.6181324639,88316.8799252779
"5","TZ2009L105",1,32202.2840111533,30672.4664264902,33718.4113842536,36875,35545.45,27000,17625,14431.82,11375,8775,7300,12500,14637.318641637,12825.8359826717,14005.7413294826,15674.1640173283,14988.5173410348,13508.6119942239,14034.4479768957,14345.9306358609,14677.5079480152,19539.7160404326,22056.9400288804,26448.3280346565,35399.5267340543,32482.7760115522,33785.1734103478,36333.5014450043,31399.5267340543,32004.7211560821,27442.6894871267,23143.5332370653,38138.6120880165,39942.5867051739,40471.2524781971,44856.4667629347,45827.7601155217,43971.2933525869,44913.8800577608,43429.9053468109,43428.5291726834,42337.9205794679,38800,34229.6531793044,40885.1734103478,45885.1734103478,46885.1734103478,45514.3533237065,52770.3468206956,35258.3598267175,29315.7731215436,33114.8265896522,29686.5932081848,28453.1045014981,28909.0419002544,22452.6126879046,23992.5565173725,28939.7371459051,31079.4320808652,32076.6386921285,38385.1755128831,41270.5834536684,42292.1134392282,47916.0408235836,47229.6531793044,51200.9465318914,40833.2542993548,31771,38358.7316980718,34741.3941980963,36476.5903396694,38620.9698121986,38972.1569437422,37238.9465318914,40505.4054552599,52477.1661921629,59501.0908526017,78605.7723985498,52132.2951952378,50116.853504455,52847.4765174511,63776.5614161239,73444.05798387,80059.5511999065,79271.0567196141,77913.8800577608,76440.0278918161,73157.0145247889,59056.0704017289,46249.2729356999,46715.2998555979,43040.611104144,47266.8617973556,48725.0660061395,50296.4711560821,53487.8593587265,54352.0790282813,54315.1815391115,44016.1784107116,48447.2712935492,51538.4588965794,48573.3112519869,36458.2259756974,32135.748670773,29090.3260767199,29511.4314379907,36424.9831504043,37070.474819399,37375.0728540359,44200.6466039941,56907.0190967297,56836.1199422391,59281.6792773209,59727.6023120069,54091.404357096,49739.0933889333,60697.4310550006,66316.1926516763,67361.9950504424,71395.0783018692,69017.9494218999,64155.7278974843,60590.9297760882,57956.4957587796,59422.2923267224,60058.4328253521,58725.8922763094,60387.7537141231,72198.2995664004,76404.1997975617,82788.8800577608
"6","TZ2009L106",1,32190.6347124018,30665.6138914786,33701.4363841221,36875,35545.45,27000,17625,14431.82,11375,8775,7300,12500,14641.9848938907,12829.0664650013,14006.4592144447,15670.9335349987,14987.0815711105,13509.6888216671,14038.7552866684,14351.6737155578,14687.1993950039,19532.1782483303,22051.5558916645,26441.8670699974,35386.9637472172,32480.6223566658,33770.8157111054,36312.6827811028,31386.9637472172,32007.9372807124,27476.1608734855,23161.4803611183,38104.8032957255,39935.4078555527,40439.2742925595,44838.5196388818,45806.2235666581,43967.7039277764,44903.1117833291,43427.3927494435,43427.4074774301,42333.2842389679,38800,34258.3685777892,40870.8157111054,45870.8157111054,46870.8157111054,45516.1480361118,52741.6314222108,35290.6646500128,29355.2567944602,33129.1842888946,29709.9244694537,28466.4966454664,28900.294471991,22463.5676124266,24000.5035039032,28927.4505447785,31064.3564966607,32059.4632944098,38354.1880084932,41248.1495486022,42272.3716027699,47886.7870113773,47258.3685777892,51226.0725055656,40889.3031677723,31771,38382.7054663818,34771.5776713287,36495.2948323574,38636.0956483505,38997.5593031268,37264.0725055656,40519.9605728669,52468.6843813355,59501.2272507445,78531.4713049705,52170.4687280985,50147.0944084843,52875.2945597333,63761.1268894383,73384.9222101154,80039.2111262191,79261.185801385,77903.1117833291,76398.6750259294,73121.9431523208,59054.7538007084,46287.3603223652,46742.2205416774,43066.9455176241,47274.1905054626,48724.5428474734,50299.6872807124,53483.7467752498,54377.8780191075,54338.9614784817,44093.7243443197,48496.9453435031,51550.481172463,48618.9265598362,36524.8995415543,32199.6117170032,29123.2518705075,29544.1203297408,36454.1149221671,37079.2868573091,37372.456163349,44187.4734149392,56884.0144731186,56846.888216671,59247.3787338308,59694.2924497646,54131.7171871438,49790.8708418262,60719.4916598866,66301.587282122,67327.7339906253,71356.2012417457,69001.4380677712,64177.3254665697,60610.3019017911,57984.0661307499,59455.8390910022,60110.8779112598,58801.1517463133,60450.9922004363,72179.7063458815,76372.3400629429,82778.1117833291
"7","TZ2009L107",1,32683.8794320107,30766.2930179245,33584.3187792805,36323.8876047767,34900.8620147607,26442.7262658806,17692.7765352307,14526.296272905,11580.480983535,9137.98099979127,7763.89273002369,12662.6636845538,14702.4178754598,12998.8111700102,14060.245809094,15573.4838009026,14873.4838009026,13445.7787718154,13921.6804481778,14245.7787718154,14816.8849127384,19672.2949709128,22166.2703900034,26427.7050290872,35536.1474854564,33090.4089291211,33978.3195518222,36319.2625727181,31421.6804481778,32054.3072613675,27390.6526148362,23361.4748545639,37835.0984225707,39860.9526726111,40449.0860826495,44698.7709545301,45638.5251454361,43759.0167636241,45180.737427282,43290.348605901,43121.2095022566,42277.1005602223,38812.0491618188,34783.1955182218,41240.983236376,45939.754190906,46698.7709545301,45650.614522735,52819.2625727181,35632.5809954869,29240.983236376,33120.491618188,29590.368713641,28341.3610726998,29006.6528263742,22763.5862729658,24292.5834578822,29161.2026795972,31305.4301659145,32214,38442.9847181176,41302.3977677198,42266.2502822634,47827.6849213472,46337.2960999662,50939.754190906,40983.1203926851,32976.3379025434,38771.0847277854,35307.052858623,36964.2199227871,38887.3203066652,39328.2618458195,37626.6015548483,40703.6036150888,52498.4902353795,59729.4160410299,77830.9139883392,52361.0790976182,50500.0502693501,53069.3128420682,63996.3932945504,74022.4301659145,80216.3649698991,79684.3642404717,78750.3341705454,77133.4900165549,73791.4441284272,59908.0411664539,46918.6406096697,47263.103540889,43758.9903762293,47953.7918875381,49277.7429074439,50256.9537097175,53500.6730841195,54184.6687926747,54165.1839546657,44260.7683437351,48528.9541822972,51824.6389413818,48623.9325073337,36754.8860202697,32274.0481812977,29151.3935590666,29602.8597038635,36388.4013376464,36947.9476209428,37398.8917988365,44158.0362928652,56822.6049204863,56423.6484521379,59210.0083183733,59917.8693772334,54091.0740954165,49900.1667394203,60637.6057635014,66486.75934164,67478.8186840738,71298.5174272165,69026.3566343585,64009.8093850469,59378.5253929015,57805.0015313408,59203.4216433853,59660.748737083,58167.1560792395,59871.1356744349,71923.0301614775,76532.9055215663,83436.390529066
"8","TZ2009L108",1,33811.3192831118,32454.6730897482,38732.1638986898,35515.1506562025,33101.7795882203,27315.9035751693,20347.9161728274,20553.1368923932,17540.4224707225,17779.8977277051,10642.9231033203,11128.0863597846,16386.3738471799,15581.7569169208,14827.2523056403,15068.3554020576,15145.7200266763,14154.7292492375,13909.233860518,15300.2246379569,18718.2430830792,21404.616930259,23804.616930259,25904.616930259,37827.4769435972,38413.1768769064,37532.0938738562,36263.9631097555,31236.4861661583,31156.0276676834,29738.1259651401,31332.0938738562,30286.5750166727,32606.3078780499,36663.3376680639,43454.9538871944,43886.8231230936,44318.6923589929,45408.7845846042,42467.0152505713,42722.1269769426,41390.6060620419,38827.2523056403,40953.8306974099,40940.4291825466,41976.9153487049,44591.2154153958,45840.6538205035,52677.5892625756,51978.0385384894,39909.9077743887,35000,30913.6261528201,33251.907243806,31290.719022008,32118.0981295725,30346.6361430068,29916.9530630719,32215.8222989712,37841.2561437678,42730.9482092209,39696.1732082697,59887.8765510625,43735.4287649579,40318.6923589929,43435.5876143307,42625.7276009926,41891.6494517934,39904.701886149,41168.3410431608,39398.1126800703,39623.0545677413,42251.1324234007,42360.6106087091,44000.9914885674,48126.2961720664,58160.9824465522,49966.7306149976,46943.0110059101,45760.6143878843,51058.471372632,58778.3872124634,69980.1459016781,78755.4946291043,80313.5487147495,81507.9424091102,77239.6391032787,73577.2765472574,61327.4979871025,50726.972357662,49636.4415714103,50130.71437989,53983.4175527118,49411.8339653458,53280.7692692447,54753.0259801349,56771.0067081265,56699.1345457313,48666.0624920943,49327.6203053559,53845.1656556202,67681.5607244041,35962.2396060435,32279.3492188469,33816.3396491521,34348.6376217608,35061.6173478478,34532.9013963418,33811.1159876151,39820.2145912733,49652.6473184077,52088.7711628238,55606.1210674539,55707.8245031441,51112.4630587861,56823.2123448937,60136.0665955131,76545.4536024173,69715.3724249227,67583.3576627274,58678.2344817783,64345.9448451791,59061.7307312267,59089.2063876708,60428.3718521334,57984.8981452939,59841.9820432537,59383.235087939,76136.0525895561,83945.3360652609,102391.205552493
"9","TZ2009L109",1,37844.8788770397,34541.3521763184,31185.8723711525,21833.8004651108,20216.5052213036,19716.8625342239,18826.9840375976,17142.3998384699,15404.4803062168,16302.7692728781,17186.5549522386,18453.2252986863,20840.4806048839,21752.1797998838,19934.1192973257,17861.2100511629,17145.1512563954,27203.3850452812,14170.2403024419,15579.9377896512,17462.5445230233,17998.6655281396,20472.2420102326,24788.9680409303,32562.5445230233,35184.6084411627,29509.6974872093,31102.0017077906,29310.3647231395,33616.6708465256,30964.1297923217,30361.2100511629,30451.5125639536,26083.6301534886,34624.5975480804,39045.1512563954,39090.3025127907,44367.882410465,44367.882410465,40671.7503660057,42008.8332039371,39057.191588424,39000,38180.6050255814,38180.6050255814,40451.5125639536,43173.9326662793,44993.3276406979,44083.6301534886,44367.882410465,38180.6050255814,32729.0924616278,33638.7899488371,25000,26173.1099170198,25451.5125639536,26994.2469748012,27338.6282506839,29768.9058305815,31747.1118685781,31944.666577049,30660.9478650492,37999.4119099478,41535.1427174422,43496.663820349,51628.781409884,51231.8260060376,44683.0117831886,44066.23242237,41092.7933518758,41075.5590141584,43265.4994142491,45198.128726385,41435.1970115081,44751.1751403789,51694.220187857,58794.6974872093,50869.0613564534,53534.5808490766,53250.6672359302,54767.5713587211,57431.4503536048,61592.2535008999,68531.4107331397,70271.2411563372,70920.6363998166,68229.9152265656,66885.7887870965,56285.2326396774,47493.8667349268,50675.8281804767,52195.4321294295,51939.3369081727,53433.8505394954,53129.1615633726,53625.0282077766,52988.8223982236,53026.8022683146,51119.6182114968,50815.3915588373,54067.1573768421,50077.292812097,46052.0940593688,41473.9032688956,39962.7823612864,37962.4968525632,37349.5457669469,37237.4601364816,36752.9473649712,40193.0071236837,52802.2624298814,52963.6722492524,55165.8074042291,58551.8593316231,70124.5730790543,66699.7173580266,61856.8222979351,65408.9712127438,68778.2471336044,70182.5061479046,66874.7777446686,60367.8203951303,55753.2431566491,49795.1846056493,52615.0542202271,54022.2246398051,51690.6699800877,53228.4835078446,60696.7662598677,68466.2186750805,77843.2585629757
"10","TZ2009L110",1,29050,28818.18,29125,36875,35545.45,27000,17625,14431.82,11375,8775,7300,12500,15900,13700,14200,14800,14600,13800,15200,15900,17300,17500,20600,24700,32000,31900,29900,30700,28000,32875,36500,28000,28990,38000,31818,40000,40000,43000,42000,42750,43125,41083.3333,38800,42000,37000,42000,43000,46000,45000,44000,40000,37000,36000,32077,26542,25417,26143,25615,27000,27429,30000,35200,36950,40000,55000,58000,56000,31771,44846,42909,41538,42714,45846,44038,44444,50182,59538,58500,62462,58300,60375,59600,57442,74555.5556,76600,75000,65250,63666.75,58699.8,56555.6667,54000,50166.6667,49250,48583.5,51166.75,52375,61333.25,60750,65000,61889,54791.67,60916.75,54500,49417,38000,38357,44308,39455,36667,40636,50682,59750,50000,50714,65000,63750,66667,62364,58091,60875,64550,70000,65833,65417,68500,74250,79091,77500,67167,67783,79875
