"","FNID","weights","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"1","UG2011L101",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,1400,1400,1625,1288,1700,1059,1169,1500,1315,1250,1227,1508,1604,1650,1700,1534,1450,1387,1225,1467,1350,1275,1140,1400.3,1396.8,1140,1126.6,1366.75,1250,1500,1500,1500,1322,1167,1208,1210,1350,1267,1430,1500,662.5,1300,600,500,1275,1050,1425,1550,1725,1350,1450,1525,650,800,900,1833,567,750,800,900,1000,1075,1150,1200,1300,1200,1150,1200
"2","UG2011L102",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1199.97713622843,1399.9721020035,1399.97579376845,1624.98636564081,1287.98649149643,1699.95595053184,1058.98582026644,1168.97994700402,1499.97344446348,1314.96748729731,1249.96530579984,1226.96987855415,1507.9589710668,1603.9697946504,1649.96643850045,1699.96350186924,1533.96878780542,1449.95804812556,1386.95997791179,1224.97164053288,1466.962578928,1349.97052880821,1274.97346543942,1139.98524552576,1400.26642591489,1396.76461359391,1139.98524552576,1126.57790814292,1366.71447725032,1249.97231176287,1499.96643850045,1499.98603002581,1499.96576727046,1321.96778096043,1166.9867012558,1207.99127401012,1209.9796533409,1349.98531684395,1266.98808566766,1429.97147272538,1499.97063368789,662.506817179596,1299.98741443767,600.014683156053,500.012585562331,1274.98007285964,1049.99790240628,1424.97378007848,1549.99790240628,1724.99056082825,1349.99370721883,1449.99580481256,1524.98636564081,650.020262755354,800.016780749775,900.012585562331,1832.98061823401,567.03213513582,750.02202473408,800.018878343497,900.014683156053,1000.01048796861,1075.01048796861,1150.00629278117,1200.00209759372,1299.99895120314,1200.01048796861,1150.01376021482,1200.01606756791
"3","UG2011L103",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,1400,1400,1625,1288,1700,1059,1169,1500,1315,1250,1227,1508,1604,1650,1700,1534,1450,1387,1225,1467,1350,1275,1140,1400.3,1396.8,1140,1126.6,1366.75,1250,1500,1500,1500,1322,1167,1208,1210,1350,1267,1430,1500,662.5,1300,600,500,1275,1050,1425,1550,1725,1350,1450,1525,650,800,900,1833,567,750,800,900,1000,1075,1150,1200,1300,1200,1150,1200
"4","UG2011L104",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,1400,1400,1625,1288,1700,1059,1169,1500,1315,1250,1227,1508,1604,1650,1700,1534,1450,1387,1225,1467,1350,1275,1140,1400.3,1396.8,1140,1126.6,1366.75,1250,1500,1500,1500,1322,1167,1208,1210,1350,1267,1430,1500,662.5,1300,600,500,1275,1050,1425,1550,1725,1350,1450,1525,650,800,900,1833,567,750,800,900,1000,1075,1150,1200,1300,1200,1150,1200
"5","UG2011L105",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922.556576655012,982.633485107959,1022.60001517777,1146.21320439115,866.527329640537,738.105418418627,717.540705781616,773.912916960973,780.472497588934,681.130605992165,655.906464812156,708.919929785861,879.598315281658,1133.80360832746,1027.52633860361,1143.3091350345,859.89754174434,586.122302673174,636.804452503709,746.191029992174,788.945432853996,733.933361805001,730.786194162937,924.577764951606,934.882327193949,953.051437713182,924.577764951606,942.167007842905,840.37104058747,848.405762665162,844.564372236596,902.576638867978,858.456297645514,792.264512931592,788.613460702015,932.032394854275,952.991384360857,1021.03220716073,1019.41767843967,1021.3170782765,670.48677684734,621.628286685424,763.274147754868,677.119815361098,566.102698880941,694.328625458112,780.018117848795,788.315809356239,1082.46499660831,1065.00602818611,1064.59579968951,1159.40589965897,1008.98733114768,842.50148609655,850.680151878742,1022.28786882471,1127.40093009079,901.305679628941,925.161550166498,1000.31293946601,1041.74555341934,953.695784537145,1032.22334843727,1040.29795782952,1022.62755084213,1002.52108690264,1060.2847413499,1114.48400345624,1212.66137860979
"6","UG2011L106",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867.826941446254,994.687919379374,1048.32320222842,1426.91514856887,1091.74362412054,1060.0335569148,852.991754511621,877.662895433595,1114.19165859721,842.643815818067,745.950239589086,789.384851299835,911.916970154929,1165.16586759872,1162.40651955413,1169.74209001512,1080.53806318534,840.508149442667,805.544774568305,812.983509023243,923.333269302859,921.831974983474,889.496404522487,925.641716158986,912.523671998967,882.69362405489,925.641716158986,805.641591496508,850.662775540579,847.73537863216,1012.40651955413,1297.03921376441,1002.65464994522,853.910258771969,973.791083373325,1081.22569508407,914.396452479693,1136.67785230493,1093.90431444172,1015.54554162101,1073.35570460987,761.542425715566,1117.1524448328,813.322147695066,682.847555167199,985.491370985267,1019.52540747213,1044.06759340167,1519.52540747213,1587.8643336246,1258.5762224164,1389.05081494427,1326.91514856887,944.384563819191,1043.79674022293,1082.8475551672,1551.41476504251,1033.87075752692,1069.9832215426,1074.2713327508,1113.32214769507,1152.37296263933,1227.37296263933,1241.4237775836,1230.47459252787,1284.76270373607,1352.37296263933,1349.9133269828,1433.43537876346
"7","UG2011L107",0.999999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,887.797398040005,1019.05554072771,1069.46623609006,1438.82413644587,1103.54268287868,1098.50874851744,865.377101903709,895.178268372702,1137.38670267766,871.042171524778,776.254033356119,815.694553748117,947.753862904817,1191.54885612625,1191.72095125138,1201.62153448588,1107.80048466379,877.15118906423,840.502234367276,837.75420380742,956.018860645293,947.573710317622,912.673127083125,938.529073193889,941.849096608103,913.602027975678,938.529073193889,824.937816161223,881.690269340137,871.919784782392,1041.72095125138,1309.24134595839,1032.55537027641,882.052113201329,985.40692693336,1088.84744732536,932.168326696151,1149.50291617248,1104.31093769424,1040.46280856368,1099.00583234496,755.587931777062,1128.14535671927,800.497083827518,671.85464328073,1002.89681480551,1021.35755945321,1066.96949316514,1521.35755945321,1596.10901753945,1264.07267835963,1392.71511890642,1338.82413644587,926.685975681975,1029.13952437431,1071.85464328073,1568.34384934767,1005.8021891768,1050.74562574128,1057.78196492109,1100.49708382752,1143.21220273394,1218.21220273394,1235.92732164036,1228.64244054679,1285.6787797266,1343.21220273394,1337.89440998693,1419.4010945884
"8","UG2011L108",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,944.9531338941,1088.79602576069,1129.97790505852,1472.90783213868,1137.31175984202,1208.62530383267,900.824145424231,945.307519268587,1203.77125459627,952.318676638399,862.983929780588,890.993303001768,1050.31956871272,1267.05735119955,1275.61927911061,1292.86096603278,1185.82592957286,982.024098888257,940.550990339397,908.648290848462,1049.56549620833,1021.246929469,979.005242546823,975.412875579,1025.77888634027,1002.06232741224,975.412875579,880.163890474556,970.491405733631,941.13590526625,1125.61927911061,1344.16402492979,1118.13166469282,962.594507946181,1018.65163934758,1110.66101256876,983.031687960805,1186.20843461089,1134.09484408427,1111.77638724401,1172.41686922178,738.546083930659,1159.60722966648,763.791565389111,640.392770333523,1052.71144697192,1026.60120494441,1132.51506180516,1526.60120494441,1619.70542224986,1279.80361483324,1403.20240988883,1372.90783213868,876.032360236973,987.190360444698,1040.39277033352,1616.79513368638,925.469540251596,995.687348083666,1010.58915550029,1063.79156538911,1116.99397527794,1191.99397527794,1220.19638516676,1223.39879505559,1288.30060247221,1316.99397527794,1303.49609556465,1379.2347701258
"9","UG2011L109",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655,735,823,1300,966,650,721,691,867,540,423,509,530,884,850,830,790,450,433,549,575,647.5,642.5,788.3,600,553.3,788.3,600,520,590,700,1167,684,554,850,1000,725,1000,983,750,800,825,1000,950,800,800,1000,800,1500,1500,1200,1350,1200,1133,1200,1200,1371,1333,1275,1250,1250,1250,1325,1300,1250,1275,1450,1478,1583
"10","UG2011L110",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848.339130436984,920.867105428707,959.738399497461,1243.95967233711,922.288544422943,678.020163831447,750.140970384705,758.248393195473,829.452980465861,737.261953373386,574.308884689813,709.62437303316,788.906313802569,1140.66470069605,1064.63445494888,955.530333964882,833.151052300428,627.647838691373,645.953245118996,761.953245118996,794.678084438544,817.021991180254,814.824007563398,906.937373662346,842.65461878033,881.528199121569,906.937373662346,897.013736613337,757.986459486011,819.765343417865,816.00347826219,1073.41265280297,852.120982988681,779.282117204833,850,993.275160680453,873.506868306669,1021.2953245119,1020.54701953414,927.461056279273,771.979836168553,733.934467547798,1168.12098298868,950,800,648.691115310187,1000,912.080655325788,1500,1500,1368.12098298868,1265.93950850566,1087.91934467421,1058.46636420835,1087.91934467421,1368.12098298868,1629.90631380257,1146.38570888256,1120.88909892704,1109.89918084277,1221.97983616855,1334.06049149434,1142.8689350956,1131.87901701132,1184.43281663441,1120.88909892704,1309.89918084277,1266.16756143426,1368.36554505112
