"","FNID","weights","X2008.07.30","X2008.08.30","X2008.09.29","X2008.10.29","X2008.11.29","X2008.12.29","X2008.12.31","X2009.01.30","X2009.02.25","X2009.03.27","X2009.04.29","X2009.05.29","X2009.06.26","X2009.07.27","X2009.08.28","X2009.09.30","X2009.10.30","X2009.11.25","X2009.12.24","X2010.01.01","X2010.01.30","X2010.02.01","X2010.02.25","X2010.03.01","X2010.03.27","X2010.04.01","X2010.04.29","X2010.05.01","X2010.05.29","X2010.06.01","X2010.06.26","X2010.07.01","X2010.07.27","X2010.08.01","X2010.08.28","X2010.09.01","X2010.09.30","X2010.10.01","X2010.10.30","X2010.11.01","X2010.11.25","X2010.12.01","X2010.12.24","X2011.01.01","X2011.01.30","X2011.02.01","X2011.02.25","X2011.03.01","X2011.03.27","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"1","UG2011L101",1,1000,1000,1000,1400,1400,1400,1200,1100,800,1100,1100,1100,1000,1600,1600,1600,1600,1500,1100,1325,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1043.75,1000,1000,1000,1266.6667,1600,1600,1600,1000,1600,1400,1200,1225,1300,1350,1800,1850,2000,2000,2475,1993,2000,1665,1738,1867,1845,1834,1602,1883,2000,2000,2083,2200,2000,1992,1934,1800,1800,1800,1920,2000,2000,1920,1706.6,1683.25,1750,2000,2000,2000,1800,1800,1783,1810,1850,1867,1890,1900,1737.5,1683,1400,2000,2275,1850,2225,2650,2800,1650,2000,2000,1650,1725,1825,2500,1733,1750,1800,2000,2000,2000,2000,2000,2000,2000,2000,2200
"2","UG2011L102",1,1000.00416827879,1000.01667311516,1000.01667311516,1400,1400,1400,1200,1100.01667311516,800.029177951528,1100.01667311516,1100.01667311516,1100.01667311516,1000.01667311516,1599.99166344242,1599.99166344242,1599.98749516363,1599.98749516363,1499.99166344242,1100.00833655758,1324.9989579303,1100,1100,1100,1100.00185254983,1099.99583172121,1100.00083365576,1099.99166344242,1099.99166344242,1099.99166344242,1099.99166344242,1099.99166344242,1099.99166344242,1099.99166344242,1043.74088189015,999.991663442421,999.993747581816,999.99583172121,1266.65141630972,1599.97082204847,1599.97811653635,1599.98332688484,1000,1599.98332688484,1399.99166344242,1200,1224.98645309393,1299.98749516363,1349.99791586061,1799.99166344242,1849.99583172121,1999.99166344242,2000.01112930437,2474.99687379091,1992.99403936133,1999.99166344242,1664.99787417782,1737.99478965151,1866.98053413805,1845.00229255333,1834.00587727309,1602.008253192,1883.00279274679,1999.98265996024,2000.01250483637,2083.00904516497,2200.00279274679,2000.00833655758,1992.00867001988,1934.01037901419,1800.01667311516,1800.01667311516,1800.01667311516,1920.01444725429,2000,2000,1920.01444725429,1706.61222972997,1683.26320302307,1750.01042069697,2000.00554381079,2000,2000.00558549358,1800.00833655758,1799.99028791042,1783.00054187624,1810.0100038691,1850.00625241818,1867.00554381079,1889.99124661454,1899.98436895454,1737.49531068636,1682.99082978666,1400.00364724394,1999.97915860605,2274.9593592818,1849.98957930303,2224.97394825757,2649.96456963029,2799.9583172121,1650.00625241818,1999.99791586061,1999.98957930303,1649.99791586061,1725.0003334623,1825.00729448788,2499.97223926326,1733.00279274679,1750.00279274679,1800.00279274679,1999.99353916788,1999.99720725321,1999.99824932291,1999.99629023188,2000,2000.00070860739,2000.00762795019,2000.00554381079,2200.00741953625
"3","UG2011L103",1,1000,1000,1000,1400,1400,1400,1200,1100,800,1100,1100,1100,1000,1600,1600,1600,1600,1500,1100,1325,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1043.75,1000,1000,1000,1266.6667,1600,1600,1600,1000,1600,1400,1200,1225,1300,1350,1800,1850,2000,2000,2475,1993,2000,1665,1738,1867,1845,1834,1602,1883,2000,2000,2083,2200,2000,1992,1934,1800,1800,1800,1920,2000,2000,1920,1706.6,1683.25,1750,2000,2000,2000,1800,1800,1783,1810,1850,1867,1890,1900,1737.5,1683,1400,2000,2275,1850,2225,2650,2800,1650,2000,2000,1650,1725,1825,2500,1733,1750,1800,2000,2000,2000,2000,2000,2000,2000,2000,2200
"4","UG2011L104",1,1000,1000,1000,1400,1400,1400,1200,1100,800,1100,1100,1100,1000,1600,1600,1600,1600,1500,1100,1325,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1043.75,1000,1000,1000,1266.6667,1600,1600,1600,1000,1600,1400,1200,1225,1300,1350,1800,1850,2000,2000,2475,1993,2000,1665,1738,1867,1845,1834,1602,1883,2000,2000,2083,2200,2000,1992,1934,1800,1800,1800,1920,2000,2000,1920,1706.6,1683.25,1750,2000,2000,2000,1800,1800,1783,1810,1850,1867,1890,1900,1737.5,1683,1400,2000,2275,1850,2225,2650,2800,1650,2000,2000,1650,1725,1825,2500,1733,1750,1800,2000,2000,2000,2000,2000,2000,2000,2000,2200
"5","UG2011L105",1,1022.0342329603,1088.1369318412,1088.1369318412,1104.04026780448,1252.02013390224,1400,1200,1243.39847490883,1212.74258295513,1224.67008492759,1400.74253599722,1372.64995102535,1384.09666403672,1426.68005796289,1241.24341190263,1247.3017639142,1237.93756892358,1243.32592992338,1255.51517893198,1255.0966104207,1248.90349297387,1244.22139547856,1230.17510299263,1245.69064433217,1245.59764999482,1175.5747285208,1242.29180701577,1168.30187396689,1094.31194091801,1149.57348398564,1038.12677097426,1038.12677097426,1038.12677097426,871.500276895955,873.501032916007,834.575769870032,811.25751096069,673.879870163724,816.384124924355,859.626130100193,882.486823805257,852.020133902239,919.943603767753,974.41983996231,922.768657785726,982.146732470273,1086.84106189745,1191.46483086014,1441.24341190263,1479.40413909666,1135.79953630926,1780.67643291362,1754.87724115832,1245.28540679614,1697.42858184637,1360.79523217214,1454.82660825012,1456.02392469962,1519.24856666927,1514.36110287151,1523.84251085569,1725.85179510427,1862.68450501551,1861.9376628394,1926.22850033892,1825.62306741969,1525.21530770232,1567.92735442572,1674.44696534765,1645.04711196957,1581.88937777894,1572.52518278832,1679.70755402398,1531.15164303166,1523.79138576903,1531.72768792622,1508.21205533388,1585.74409783443,1587.33606731137,1558.97169429331,2000,1966.97304962943,1975.38006493505,1940.27725195657,1646.52991090933,1736.63745948357,1841.3742854207,1846.73227469445,1611.97675907455,1952.1133735273,1928.00450090188,1910.27523321104,1419.27995384026,1889.8288351985,1499.85412049512,1535.94965192817,1587.85399591818,1623.94126495557,1765.76840685931,1683.51316287851,1813.14133916924,1677.27817709463,1732.39392670706,1758.27005662454,1771.07249136943,1867.56613810625,1686.81310509089,1762.04092322465,1848.57407631103,1809.43929732221,1615.2873986722,1887.62664637548,2274.52004868195,1963.00503347556,1963.567026782,1858.0698265539,2110.15519624863,2243.34118046521
"6","UG2011L106",1,1060.94918505571,1243.79674022283,1243.79674022283,1400,1400,1400,1200,1343.79674022283,1226.64429538996,1343.79674022283,1343.79674022283,1343.79674022283,1243.79674022283,1478.10162988858,1478.10162988858,1417.15244483288,1417.15244483288,1378.10162988858,1221.89837011142,1309.76270373607,1100,1100,1100,1127.08825580616,1039.05081494429,1112.18983701114,978.101629888584,978.101629888584,978.101629888584,978.101629888584,978.101629888584,978.101629888584,978.101629888584,910.423657690639,878.101629888584,908.576222416438,939.050814944292,1043.18633447934,1173.35570461004,1280.01677845753,1356.20325977717,1000,1356.20325977717,1278.10162988858,1200,1026.91514856895,1117.15244483288,1319.52540747215,1678.10162988858,1789.05081494429,1878.10162988858,2162.73432409874,2429.28811120822,1905.84266537034,1878.10162988858,1633.91591562159,1661.81351868036,1582.36730578984,1878.52205178064,1919.93835092855,1722.6793864103,1923.83595398732,1746.45139016825,2182.84755516712,2215.25973157089,2240.83595398732,2121.89837011142,2118.77430491587,2085.76347078871,2043.79674022283,2043.79674022283,2043.79674022283,2131.24987540308,2000,2000,2131.24987540308,1885.42490895345,1876.30654366395,1902.37296263927,2081.06241612409,2000,2081.67190797465,1921.89837011142,1657.9883988202,1790.92339405724,1956.2780441337,1941.42377758356,1948.06241612409,1762.00671138301,1671.4405560411,1668.93216681233,1548.91179287744,1453.33053692374,1695.25407472146,1680.74544570685,1697.62703736073,1844.06759340182,2131.93192702648,2190.50814944292,1741.42377758356,1969.52540747215,1847.62703736073,1619.52540747215,1729.87593480446,1931.66107384749,2094.07842752898,1773.83595398732,1790.83595398732,1840.83595398732,1905.52876316365,1959.16404601268,1974.4013422766,1945.75522530042,2000,2010.36136145947,2111.53700865195,2081.06241612409,2308.48954939916
"7","UG2011L107",1,1057.28488109355,1229.13952437421,1229.13952437421,1400,1400,1400,1200,1329.13952437421,1200.99416765487,1329.13952437421,1329.13952437421,1329.13952437421,1229.13952437421,1485.43023781289,1485.43023781289,1428.14535671934,1428.14535671934,1385.43023781289,1214.56976218711,1310.67877972661,1100,1100,1100,1125.45969255322,1042.71511890645,1111.45697621871,985.430237812895,985.430237812895,985.430237812895,985.430237812895,985.430237812895,985.430237812895,985.430237812895,918.439322607854,885.430237812895,914.072678359671,942.715118906447,1056.62211689535,1199.00583234513,1299.25437425885,1370.86047562579,1000,1370.86047562579,1285.43023781289,1200,1038.82413644595,1128.14535671934,1321.35755945322,1685.4302378129,1792.71511890645,1885.43023781289,2152.95063251979,2432.03633917984,1911.08262003622,1885.43023781289,1635.78471064229,1666.39389863306,1599.47960529311,1876.50668460145,1914.77168234191,1715.42406456523,1921.38087033268,1761.69489465082,2171.85464328066,2207.30819197301,2238.38087033268,2114.56976218711,2111.15255267459,2076.63935392295,2029.13952437421,2029.13952437421,2029.13952437421,2118.54939787025,2000,2000,2118.54939787025,1874.67384112848,1864.69986086383,1893.21220273388,2076.18889185443,2000,2076.76174066536,1914.56976218711,1666.52622705202,1790.44703454216,1947.48371462453,1935.92732164033,1943.18889185443,1769.70174970354,1685.18169589918,1673.05450876975,1556.97326159418,1450.12427095686,1713.57559453224,1716.47240933786,1706.78779726612,1866.9694931653,2163.0785107048,2227.15118906447,1735.92732164033,1971.35755945322,1856.78779726612,1621.35755945322,1729.58279048748,1925.24854191372,2118.48269191694,1771.38087033268,1788.38087033268,1838.38087033268,1911.20843430499,1961.61912966732,1975.94034994071,1949.01645582674,2000,2009.7384297859,2104.8313324012,2076.18889185443,2301.96708834652
"8","UG2011L108",1,1046.79759011117,1187.19036044467,1187.19036044467,1400,1400,1400,1200,1287.19036044467,1127.58313077818,1287.19036044467,1287.19036044467,1287.19036044467,1187.19036044467,1506.40481977766,1506.40481977766,1459.60722966649,1459.60722966649,1406.40481977766,1193.59518022234,1313.30060247221,1100,1100,1100,1120.79872094901,1053.20240988883,1109.35951802223,1006.40481977766,1006.40481977766,1006.40481977766,1006.40481977766,1006.40481977766,1006.40481977766,1006.40481977766,941.380271631818,906.404819777663,929.803614833247,953.202409888831,1095.07552065985,1272.41686922182,1354.31265191636,1412.80963955533,1000,1412.80963955533,1306.40481977766,1200,1072.9078321387,1159.60722966649,1326.60120494442,1706.40481977766,1803.20240988883,1906.40481977766,2124.94956559682,2439.90180741662,1926.07944614103,1906.40481977766,1641.1332290433,1679.50301236104,1648.45525418084,1870.73867456114,1899.98460205675,1694.65922842011,1914.35438537448,1805.32202513754,2140.39277033351,2184.55077054124,2231.35438537448,2093.59518022234,2089.33898743123,2050.52599937681,1987.19036044467,1987.19036044467,1987.19036044467,2082.20044732531,2000,2000,2082.20044732531,1843.90412938617,1831.48136667713,1866.99397527792,2062.24079484785,2000,2062.70877074897,1893.59518022234,1690.96161504098,1789.08368671445,1922.3142162668,1920.19638516675,1929.24079484785,1791.72506076655,1724.50903708312,1684.85271112494,1580.04530175543,1440.94789134727,1766.01204944416,1818.72349641611,1733.00602472208,1932.5150618052,2252.22048405507,2332.02409888831,1720.19638516675,1976.60120494442,1883.00602472208,1626.60120494442,1728.74380720889,1906.89578269455,2188.32804985962,1764.35438537448,1781.35438537448,1831.35438537448,1927.46373532769,1968.64561462552,1980.34501215331,1958.35014480106,2000,2007.9555903189,2085.63958990344,2062.24079484785,2283.29971039788
"9","UG2011L109",1,1100,1400,1400,1400,1400,1400,1200,1500,1500,1500,1500,1500,1400,1400,1400,1300,1300,1300,1300,1300,1100,1100,1100,1144.444,1000,1120,900,900,900,900,900,900,900,825,800,850,900,900,900,1075,1200,1000,1200,1200,1200,900,1000,1300,1600,1750,1800,2267,2400,1850,1800,1614,1613,1400,1900,1975,1800,1950,1584,2300,2300,2267,2200,2200,2183,2200,2200,2200,2266.6,2000,2000,2266.6,2000,2000,2000,2133,2000,2134,2000,1567,1796,2050,2000,2000,1680,1525,1625,1463,1487.5,1500,1300,1600,1600,1800,1800,1800,1950,1750,1600,1733,2000,1834,1800,1817,1867,1845,1933,1958,1911,2000,2017,2183,2133,2378
"10","UG2011L110",1,1100,1400,1400,1400,1400,1400,1200,1443.95967233706,1387.91934467411,1387.91934467411,1471.97983616853,1387.91934467411,1400,1456.04032766294,1343.95967233706,1328.02016383147,1300,1328.02016383147,1412.08065532589,1384.06049149441,1324.16131065177,1310.15122873604,1268.12098298883,1329.68866550952,1280.20163831472,1332.95324511918,1236.24196597766,1236.24196597766,1236.24196597766,1180.20163831472,1068.12098298883,1068.12098298883,1068.12098298883,1021.1411468203,996.141146820301,896.700254372343,843.959672337057,843.959672337057,787.919344674114,976.929426589849,1087.91934467411,1000,1200,1386.80090540872,1256.04032766294,1180.20163831472,1224.16131065177,1412.08065532589,1543.95967233706,1703.29991374864,1781.32007758011,2098.87901701117,2231.87901701117,1719.42603654534,1912.08065532589,1532.1811216121,1614.12080655326,1512.08065532589,1874.22144927505,1886.45628229255,1827.45976055484,1978.02016383147,1817.12776307784,2131.87901701117,2119.55014492532,2098.87901701117,1975.83868934823,1914.19432891899,1833.30835538323,1877.76811593808,1947.81852551676,1919.79836168528,2027.53196218988,1925.46636420829,1903.44251543675,2027.53196218988,1891.73008695519,1905.10691316834,1901.92942658985,1832.62384372662,2000,1946.82530560577,1950.12410837998,1697.57396345466,1784.23153119078,1937.91934467411,1985.98991808426,2000,1849.98880710984,1679.11090107309,1688.04536862081,1586.28872085848,1487.5,1500,1339.22822936406,1600,1600,1687.91934467411,1800,1912.08065532589,1921.97983616853,1890.10081915736,1824.16131065177,1882.62767486006,2000,2207.2285822352,1912.08065532589,1919.55379962319,1857.4731442973,1819.78185255168,1933,1981.53693761844,1960.87589162002,2000,2007.4731442973,2080.44620037681,2226.58734719711,2390.32887208585
