"","FNID","weights","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"1","UG2011L101",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,1833.3333,1500,1775,1650,1600,1471,1630,1867,1818,1834,1729,2009,2050,2300,2246,2334,2800,2777,2767,2700,2533,2450,2180,2166.8,2121.5,2180,2060,2366.75,2500,2493,2483,2584,2000,1950,1988,1960,2100,2050,2230,2475,1387.5,2500,1700,1200,1900,2000,2000,2000,2000,2000,1850,1825,2000,2200,2350,3000,1933,2900,2975,3000,3000,3000,3000,3000,3000,3000,2800,2800
"2","UG2011L102",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1749.9811216565,1833.31092566836,1499.99160962511,1774.98007285964,1649.98959593514,1599.98741443767,1470.99282622947,1629.98439390271,1866.97482887534,1817.97826892904,1833.97902406278,1728.99077058762,2008.98493927708,2049.98531684395,2299.97902406278,2245.981289464,2333.98598807394,2799.96908146854,2776.971598581,2766.97621328719,2699.97902406278,2532.98603002581,2449.98951203139,2180.00083903749,2166.80139280223,2121.50329322214,2180.00083903749,2060.00587326242,2366.74300452494,2499.98741443767,2492.98770810079,2482.95456611998,2583.99018326138,2000.00839037489,1949.9758776722,1987.97969529277,1959.97650695031,2099.98217045336,2049.9944204007,2229.98951203139,2474.97902406278,1387.52569552309,2499.97831088092,1700.0120611639,1200.03356149955,1899.9811216565,1999.97902406278,2000,2000,2000.02798190025,2000,1850.00629278117,1825.00734157803,2000,2199.99160962511,2349.98531684395,2999.96329210987,1933.00281077559,2899.962243313,2974.95909692242,2999.95804812556,2999.95804812556,2999.95804812556,2999.95804812556,2999.96853609417,2999.96329210987,2999.96538970359,2799.97763965092,2799.97763965092
"3","UG2011L103",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,1833.3333,1500,1775,1650,1600,1471,1630,1867,1818,1834,1729,2009,2050,2300,2246,2334,2800,2777,2767,2700,2533,2450,2180,2166.8,2121.5,2180,2060,2366.75,2500,2493,2483,2584,2000,1950,1988,1960,2100,2050,2230,2475,1387.5,2500,1700,1200,1900,2000,2000,2000,2000,2000,1850,1825,2000,2200,2350,3000,1933,2900,2975,3000,3000,3000,3000,3000,3000,3000,2800,2800
"4","UG2011L104",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,1833.3333,1500,1775,1650,1600,1471,1630,1867,1818,1834,1729,2009,2050,2300,2246,2334,2800,2777,2767,2700,2533,2450,2180,2166.8,2121.5,2180,2060,2366.75,2500,2493,2483,2584,2000,1950,1988,1960,2100,2050,2230,2475,1387.5,2500,1700,1200,1900,2000,2000,2000,2000,2000,1850,1825,2000,2200,2350,3000,1933,2900,2975,3000,3000,3000,3000,3000,3000,3000,2800,2800
"5","UG2011L105",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1287.60089028993,1315.88528308427,1151.53123376942,1310.4446433419,1240.05720401867,1127.41448278835,1110.70943953185,1188.41131143925,1260.50221955235,1256.71821761343,1279.17960490558,1339.69738723108,1446.75463565669,1706.98591467479,1773.52000843901,1860.44574137921,1543.27639496584,1036.15451225573,1198.28619301102,1271.94926095008,1289.69939725581,1295.42049187877,1292.1205496664,1238.40658370969,1432.02468019896,1463.42906283789,1448.09405397019,1444.85878115968,1521.70473689172,1525.44246079905,1538.64859320619,1491.56481217199,1494.21123033656,1538.61094215541,1499.71265674891,1660.58466539902,1668.58137647081,1682.3021927513,1727.26946692622,1742.81388005632,1429.66685022077,1435.49451314005,1576.53211194961,1763.3484197609,1376.27386368251,1421.07027800553,1613.52111986036,1593.05536823121,1654.46701266177,1652.10030742596,1723.69228466193,1858.19145853513,1699.39162551097,1631.20486835084,1588.42874759453,1663.61777058091,1787.23494515132,1628.54105957699,1535.19592424227,1540.48686692577,1615.47075847234,1564.54233034623,1428.18685865978,1595.81874161493,1912.82200926454,1952.55776091608,1946.64487339756,2134.27522258689,2430.23495478237
"6","UG2011L106",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475.7286672492,1508.27100001915,1378.10162988853,1485.49137098527,1498.84602106178,1417.1524448328,1366.7768935547,1403.26903159267,1501.3048896656,1502.2832214113,1529.25407472133,1594.91179287739,1790.19242564992,1836.67785230493,1995.25407472133,1974.16663465143,2130.42972191385,2350.80450613925,2364.37401717269,2421.41812073399,2395.25407472133,2330.03921376441,2297.62703736067,2192.18983701115,2187.0351294385,2169.34511026875,2192.18983701115,2145.32885907803,2265.11723391956,2317.1524448328,2314.4188877867,1822.92032584641,2441.37890696958,2121.89837011147,1599.54218592953,1693.00594433025,1618.68456368789,1840.96596351313,1968.93758387587,2077.62703736067,2170.25407472133,1760.81375846637,2184.89271326186,1875.22890703523,1687.59348044587,1625.7286672492,1695.25407472133,2000,2000,2406.53106432174,2000,1941.4237775836,1931.66107384753,2000,2078.10162988853,2136.67785230493,2466.69463076233,1973.83595398734,2351.4573344984,2380.7454457066,2390.50814944267,2390.50814944267,2390.50814944267,2390.50814944267,2542.881112082,2466.69463076233,2497.1692232902,2475.14084365294,2475.14084365294
"7","UG2011L107",0.999999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492.2180350789,1527.81395326255,1385.43023781285,1502.89681480551,1507.93349488793,1428.14535671927,1373.04285332998,1416.90024233189,1523.29071343854,1521.26431593527,1547.57559453211,1602.97326159413,1803.34727687406,1849.50291617248,2013.57559453211,1990.50943032265,2142.66849714745,2377.81042634034,2389.18135499648,2442.19472419942,2413.57559453211,2342.24134595839,2306.78779726606,2191.45697621871,2185.81858052307,2166.46863165846,2191.45697621871,2140.19883353101,2271.22746077646,2328.14535671927,2325.15529839582,1862.60473775656,2449.95337824103,2114.56976218715,1620.61193371193,1710.74117550709,1639.20466587597,1856.5392553523,1973.81110814554,2086.78779726606,2188.57559453211,1738.36989669816,2203.83716474621,1864.69403314403,1658.27904874861,1642.2180350789,1713.57559453211,2000,2000,2382.09015689416,2000,1935.92732164036,1925.24854191376,2000,2085.43023781284,2149.50291617248,2498.7572904312,1971.38087033269,2384.43607015781,2416.47240933762,2427.15118906423,2427.15118906423,2427.15118906423,2427.15118906423,2570.36339179817,2498.7572904312,2527.39973097799,2494.67158377123,2494.67158377123
"8","UG2011L108",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1539.41084449972,1583.7461683396,1406.40481977765,1552.71144697192,1533.94197652429,1459.60722966648,1390.97612090989,1455.91296478643,1586.21445933295,1575.58848322412,1600.01204944413,1626.04530175542,1840.99665150089,1886.20843461089,2066.01204944413,2037.28274810416,2177.69604902868,2455.10176088065,2460.18031494735,2501.65766406964,2466.01204944413,2377.16402492979,2333.00602472207,2189.35951802224,2182.33679991691,2158.23610823727,2189.35951802224,2125.51662615565,2288.71501848962,2359.60722966648,2355.88306097426,1976.18209909598,2474.49363913985,2093.59518022235,1680.91385686075,1761.49966386192,1697.93349537742,1901.11024202751,1987.75920515214,2113.00602472206,2241.01204944413,1674.13523943094,2258.05645912523,1834.54307156963,1574.3807208894,1689.41084449972,1766.01204944413,2000,2000,2312.13992604153,2000,1920.19638516676,1906.89578269456,2000,2106.40481977765,2186.20843461089,2590.52108652723,1964.35438537449,2478.82168899943,2518.72349641605,2532.02409888826,2532.02409888826,2532.02409888826,2532.02409888826,2649.01807416619,2590.52108652723,2613.91988158281,2550.56884470744,2550.56884470744
"9","UG2011L109",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,1300,1300,1300,1402,1300,1300,1258,1267,1300,1334,1509,1650,1700,1800,1800,2000,2063,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,1400,2350,2200,1375,1504,1400,1675,1917,1980,1975,2000,1983,1987.5,2000,1450,1500,2000,2000,2667,2000,2000,2000,2000,2000,2000,2125,2000,2000,2000,2000,2000,2000,2000,2250,2125,2175,2267,2267
"10","UG2011L110",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430.76074586664,1505.48122011072,1496.14114682013,1496.14114682013,1501.19137996332,1412.08065532579,1251.24491493328,1295.54701953414,1397.57396345454,1330.26177693796,1296.45298046586,1438.94959042138,1607.96975425283,1679.26507876473,1771.97983616855,1706.41265280297,1645.26472589388,1448.79800881468,1457.77784498324,1569.54631379244,1630.630270945,1667.61688720251,1667.61688720251,1723.6572148654,1677.1437429052,1776.50324385151,1723.6572148654,1728.25252173376,1700.30521032827,1695.63705103396,1735.98608695124,1545.14444864689,1864.69076243934,1770.1706868256,1403.02016383145,1481.02346565821,1472.85242596176,1590.93950850566,1813.88579710028,1860.44731966594,1722.81852551698,1656.75299306478,2272.72849401716,1987.5,2000,1309.89918084277,1780.20163831447,2000,2000,2293.2110144885,2280.20163831447,2700.50409578617,2560.40327662894,2280.20163831447,2000,2280.20163831447,2615.35286705032,2280.20163831447,1719.79836168553,2280.20163831447,2280.20163831447,1906.41265280297,1719.79836168553,2000,2203.4865280398,2335.15122873585,2002.39579079829,2397.57396345454,2397.57396345454
