"","FNID","weights","X2006.01.01","X2006.02.01","X2006.03.01","X2006.04.01","X2006.05.01","X2006.06.01","X2006.07.01","X2006.08.01","X2006.09.01","X2006.10.01","X2006.11.01","X2006.12.01","X2007.01.01","X2007.02.01","X2007.03.01","X2007.04.01","X2007.05.01","X2007.06.01","X2007.07.01","X2007.08.01","X2007.09.01","X2007.10.01","X2007.11.01","X2007.12.01","X2008.01.01","X2008.02.01","X2008.03.01","X2008.04.01","X2008.05.01","X2008.06.01","X2008.07.01","X2008.08.01","X2008.09.01","X2008.10.01","X2008.11.01","X2008.12.01","X2009.01.01","X2009.02.01","X2009.03.01","X2009.04.01","X2009.05.01","X2009.06.01","X2009.07.01","X2009.08.01","X2009.09.01","X2009.10.01","X2009.11.01","X2009.12.01","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"1","TZ2009L101",1,63087.064711952,70295.2843156125,76039.186143794,85581.4923117398,86434.2227307743,78682.7677333494,72829.5169151188,71859.6108748645,73347.0212255185,73917.6639559239,72799.5532482645,72500.4153409936,71935.3263425009,64224.9570223012,62412.1982095182,63802.6655449032,56817.7808202118,54547.8086341353,54325.083092022,55349.169467304,57852.8015292007,59980.6220022155,61123.3607569603,63389.8383794658,80339.6440349525,79262.6822076007,80718.7796468517,84898.2923052211,84926.2840869205,98289.2259409823,94477.2915752166,107267.2421336,105153.001335669,106866.685687498,108131.665358148,117030.256514107,121656.434986153,128652.481246746,131863.860296892,118036.011224648,113890.075068844,114911.969466085,115000,110647.276804157,108140.594304549,112052.182469286,114539.441917441,114578.735540958,120772.818151133,121714.600968854,119392.400938496,109047.643829321,106687.41288229,101150.386362654,96768.9462624478,94258.6537464344,93615.6374114879,102734.049471031,101188.619126527,108643.168719451,114290.072642125,116272.561099899,120155.088746147,126743.349698531,131018.237445342,131618.071436078,126613.233528974,125752.210291982,138931.539498778,147462.35361995,152551.779820011,165163.403847868,175966.830324323,177701.041890152,184169.480107674,191323.855809969,190934.624641148,179834.812109777,177027.013786166,173105.902942038,166379.136466432,175956.626757342,178062.740762325,184246.119562141,188361.580574402,186271.639650007,182472.290297197,175711.95611522,153860.94107369,142450.173491311,135294.223818466,130899.148238348,130024.834165279,108853.169096824,129165.244419028,135667.996030804,134781.769965994,135276.428724192,144062.66228117,145821.485302267,130151.679709515,132437.965709482,130214.902221674,131828.604608896,128150.356131314,136730.768895964,156440.949802775,148995.006881603,154713.273679653,161309.557445604,170863.845847294,172480.469799789,165116.877464247,160617.486647067,160231.220419961,170544.093848717,176510.747230553,177506.850230018,172223.612682943,173953.332327488,169353.276350998,183716.607495609,171724.580572111,157506.035183455,149580.578012689,150512.610209723,142069.851542921,140852.206158211,153340.044092797,157191.345212478,157145.338091556
"2","TZ2009L102",1,61520.8680418755,69607.0068686018,74736.1367741208,81375,79613.64,75333.33,71750,70363.64,71791.67,70937.5,69950,69562.5,70777.6350225938,66488.8105898206,67428.5536304895,66603.7159604405,55431.0540090375,56161.4863841762,54961.4863841762,55329.189107341,57899.3783661011,62575.1484869984,61793.7836610114,62214.9053706199,76885.7162632789,77388.8244327732,79879.4999242904,81738.5136158238,84488.2027988744,91280.5391993067,91760.2569593311,92534.189864437,96947.9141046697,104098.309584073,100841.076131782,111677.027231648,120000,125838.513615824,130000,118746.581013556,115834.628403956,113959.628403956,115000,105838.513615824,100012.432677977,110000,114161.486384176,110838.513615824,115838.513615824,120000,111677.027231648,105838.513615824,107503.108169494,93674.4889148767,91114.9157528344,87413.1316635447,88695.5136158238,96298.7222287382,96509.3245084828,104591.677870798,109596.284039559,110844.729954812,116341.621785318,125838.513615824,134161.486384176,100062.163389886,124847.773053897,123750,130525.911349069,139700.321199164,151440.706586202,161677.027231648,176550.913109684,178779.376566517,188785.730054273,198726.688728793,184275.849587978,163909.966906811,160845.763580197,161198.784418108,155854.054463295,170763.986762724,173136.655635604,181028.26836893,182677.027231648,185392.423756213,179246.759267207,165213.505675203,147081.846270865,138947.483686304,131777.956221758,126532.066936611,126705.559303967,118604.955275388,123618.032129659,124972.846776152,120691.214172178,121177.895896921,133643.642134458,130804.325529448,125879.105019796,123566.139675163,124770.203101713,123988.453290987,120984.546799941,126665.713546647,141199.093599882,143695.427720494,150910.800964702,157641.094088652,157447.547492089,165083.048372396,158902.980407956,156398.652326285,157170.468453286,164663.81062879,170058.651067429,176341.404325904,177142.466324885,177747.348227434,176217.36422031,182584.080535548,174936.515791727,162595.836701042,150602.857703361,150426.390106631,145279.05039688,145185.583340879,151824.60064457,152704.472329313,155129.035386
"3","TZ2009L103",1,61471.84343348,69494.3054366984,74851.9920460485,81375,79613.64,75333.33,71750,70363.64,71791.67,70937.5,69950,69562.5,71459.4793674541,67827.7049397281,69994.7678011455,68153.3621987594,55703.7917469817,56781.3448795038,55581.3448795038,55825.075903603,57973.7613855405,63554.5249096159,62537.6138554045,62425.6572590313,76600.5813554283,76731.774427726,80338.1952108328,81118.6551204962,83905.5358132665,88763.0459063835,90532.9371385826,88443.1237952752,95003.7899199244,103343.321936764,99715.1651608694,110437.310240992,120000,125218.655120496,130000,119155.687620472,115679.663780124,113804.663780124,115000,105218.655120496,98524.772289191,110000,114781.344879504,110218.655120496,115218.655120496,120000,110437.310240992,105218.655120496,107131.193072298,91242.7840377068,89828.7093750297,86340.4045515308,88075.6551204963,94257.9001187218,95393.5792168932,103573.250362975,108046.637801241,109481.041265092,115349.848192794,125218.655120496,134781.344879504,92623.8614459549,123538.755883464,123750,128083.544905779,138166.171423228,151655.301597284,160437.310240992,176541.367288856,179113.232352101,190094.375309608,201516.051957767,182678.474245519,159725.92206335,155529.361237472,157355.661747077,153374.620481985,169090.36882534,171741.974021117,179857.417657105,181437.310240992,183758.253613471,177955.346078042,162514.555006358,145604.525121781,137466.682651628,130925.650790682,126015.514058114,126214.848326141,123486.340926092,122791.543804914,121989.777767388,116946.239895297,117381.26261304,129717.830340151,125959.139614871,125513.549670761,120621.811822357,122352.754969935,120424.266942853,118266.715241328,123190.042991647,135763.430482656,141131.445040421,149159.700715402,156612.748844903,154629.918715728,163481.829907266,157250.065744315,154585.566227452,155897.898962379,163310.411590092,169322.631090077,177150.567605704,179759.013005361,179480.596552068,180122.472740874,182614.32963012,176689.599588213,163752.120738226,151417.59970962,150599.08268343,146968.164796648,147050.241666523,151194.328526521,150873.038419018,153609.142355457
"4","TZ2009L104",1,61415.487864512,69116.1015079063,76248.0388934545,83422.469503008,82907.2317237653,77828.7968128397,71199.2183488981,68907.2877730925,69969.8354389423,69963.8443556053,69360.550888555,68992.2324396074,71277.2843312737,65921.1433883133,69574.4357409987,67602.8641303768,56477.7102497087,57196.8582011164,55456.4315185707,55362.4296777801,57153.5738417456,63119.2851400371,62171.1372638864,62608.4221475485,76997.2724000031,75536.995495607,82547.2708188511,85058.4160875936,84134.7133036444,87869.9995571609,87836.4366894983,85222.8586526579,93230.1407073622,100206.290983616,99344.0060531261,106228.567423812,120042.848696136,127544.28247142,131269.998800903,119679.783102826,114304.921785488,113551.18898012,115000,106278.568540131,101111.41319245,108764.280156005,113764.280156005,108708.576851029,117664.258820601,122685.683168669,113964.2517088,105519.997155279,106970.005912705,93977.7717191362,91002.9905189779,88255.3836287056,89563.1218599503,92079.761497834,95169.3586389877,101276.252540188,105546.441371314,106861.860052692,113183.591319127,121185.718727676,131100.021335404,96542.8131371293,120005.938537544,119580.858884534,120344.093506586,131965.211920893,146092.937936794,153692.324014434,170570.51156801,173734.644452777,180953.493277973,194152.807582118,180902.833717976,157704.500397357,155545.093186111,155713.458797539,151852.681599409,166501.423901541,173752.278543556,180053.081464725,181169.121976021,184199.0161517,176715.922813331,158140.941220987,140841.367861816,133920.947871017,128456.242076139,122141.048150959,119844.435256571,119455.000059886,120368.489908968,119498.202142096,114841.759080735,115309.066917574,127085.693503815,126506.585866986,127394.776753326,121609.741493515,117265.491223026,112314.331654237,113300.525584712,118624.257037543,132545.045309191,137869.823848915,145779.408639795,156988.907488582,155903.157819764,163196.065068749,157434.247133747,152716.706772818,151812.47664978,164724.329899413,173079.734882388,177128.245744262,180782.461650566,181403.730418519,182442.428913792,185827.455360557,185148.716534964,168376.855972295,159520.972865289,153854.57103474,146280.459367792,145636.813050127,152536.995788601,150416.941731469,151477.926647044
"5","TZ2009L105",1,61465.9020437195,69480.6469260967,74866.0327767931,81375,79613.64,75333.33,71750,70363.64,71791.67,70937.5,69950,69562.5,71542.1134392283,67989.9682079392,70305.7723985501,68341.1669073371,55736.8453756913,56856.4667629348,55656.4667629348,55885.1734103479,57982.7760115522,63673.217485437,62627.7601155218,62451.1986993978,76566.02528905,76652.1452312891,80393.7854045718,81043.5332370652,83834.9212428413,88457.9458890165,90384.1958093891,87947.3193646302,94768.1776447312,103251.823482745,99578.7137718052,110287.06647413,120000,125143.533237065,130000,119205.268063537,115660.883309266,113785.883309266,115000,105143.533237065,98344.4797689564,110000,114856.466762935,110143.533237065,115143.533237065,120000,110287.06647413,105143.533237065,107086.119942239,90948.0808890067,89672.8314669103,86210.398620065,88000.5332370652,94010.5688297134,95258.3598267173,103449.825108498,107858.833092663,109315.773121543,115229.653179304,125143.533237065,134856.466762935,91722.3988447822,123380.113490034,123750,127787.549660684,137980.244761736,151681.308793328,160287.06647413,176540.210411851,179153.692998517,190252.972629908,201854.100433207,182484.885151917,159218.84935019,154885.055867661,156889.906069804,153074.132948261,168887.539740076,171572.949783397,179715.519931492,181287.06647413,183560.205284869,177798.837146102,162187.463808835,145425.485634562,137287.221430155,130822.358200965,125952.911987776,126155.378087123,124077.925758112,122691.380041641,121628.253703376,116492.379017047,116921.141077024,129242.053403629,125371.941900844,125469.247291227,120264.98287606,122059.779624554,119992.316113125,117937.335831236,122768.819566872,135104.671662472,140820.710881796,148947.481394709,156488.121640291,154288.444682404,163287.775057987,157049.745729958,154365.834718416,155743.673735695,163146.390469808,169233.431365691,177248.631712335,180076.1174997,179690.652362518,180595.740606489,182617.995578031,176902.059298932,163892.253099579,151516.339913202,150620.011640154,147172.871928997,147276.223316261,151117.944595448,150651.083302233,153424.943497284
"6","TZ2009L106",1,61467.3214817608,69483.9100362977,74862.6783516249,81375,79613.64,75333.33,71750,70363.64,71791.67,70937.5,69950,69562.5,71522.3716027704,67951.2024199855,70231.4713049722,68296.2990972054,55728.9486411082,56838.5196388822,55638.5196388822,55870.8157111057,57980.6223566659,63644.8610294338,62606.2235666586,62445.0966772199,76574.2809661142,76671.1691827849,80380.5045327728,81061.4803611179,83851.7915394508,88530.836338644,90419.7311150133,88065.7703833777,94824.46700461,103273.683079842,99611.3129279344,110322.960722236,120000,125161.480361118,130000,119193.422961662,115665.370090279,113790.370090279,115000,105161.480361118,98387.5528666828,110000,114838.519638882,110161.480361118,115161.480361118,120000,110322.960722236,105161.480361118,107096.888216671,91018.4874566653,89710.0717493195,86241.4579129505,88018.4803611178,94069.6579409444,95290.6646500121,103479.312233317,107903.700902795,109355.256794459,115258.368577789,125161.480361118,134838.519638882,91937.764333414,123418.014226609,123750,127858.264918876,138024.663893767,151675.095498981,160322.960722236,176540.486797561,179144.026677502,190215.082661608,201773.33837497,182531.134890601,159339.992437545,155038.984761235,157001.178238931,153145.921444471,168935.996975018,171613.330812515,179749.420254115,181322.960722236,183607.520364837,177836.228184353,162265.608099558,145468.259374259,137330.095925007,130847.035496537,125967.868044134,126169.585927879,123936.592156197,122715.309839496,121714.62423788,116600.809438551,117031.067211847,129355.719719104,125512.227390714,125479.831428166,120350.23171531,122129.77340836,120095.512076428,118016.026791357,122869.45268086,135262.053582714,140894.947365728,148998.182020158,156517.895919095,154370.025129497,163334.13606884,157097.603530957,154418.33005627,155780.519181375,163185.576220465,169254.741780791,177225.203536597,180000.359099649,179640.468614242,180482.673724958,182617.119758377,176851.301242687,163858.774534371,151492.750213347,150615.011571393,147123.966015954,147222.234777685,151136.193231185,150704.109874959,153468.949845461
"7","TZ2009L107",1,61640.7637713302,69925.5625797464,75327.9865611011,81399.7435562532,80339.7845443902,75664.6819500197,71932.1068145242,69813.4228574952,71194.2321923269,70730.4050312377,69871.6804481772,69634.0418982997,71868.6882654646,68649.425692748,70598.7709545276,68374.6726308898,55980.7374272835,56891.5575436299,55643.3608963543,56024.0983236378,57963.8525145433,64068.6882654646,63306.0647963937,62945.8189872992,77379.5888127795,76981.9664727559,81241.0234518622,81122.9094936496,83700,87804.6931407867,90592.3727313608,87180.7374272835,94547.3557952227,103370.879056763,100010.826804587,110903.687136417,120602.458090945,124819.262572717,129879.508381811,119426.516199098,115041.368724397,113950.819162829,115000,105000,98602.4580909449,110602.458090945,115602.458090945,109819.262572717,116506.145227362,121807.374272835,111807.374272835,105120.491618189,106578.279336339,91118.3722341072,89793.7083732067,86460.1725954023,87857,93255.3266637286,94864.4469295374,102934.278708374,106997.971672816,109138.565360917,121220.379789006,125301.229045472,134096.312863583,92108.6033183071,123167.730188496,124303.899968815,127265.497474166,137893.575816943,151974.272577124,159913.908738804,176985.264886717,179805.624527143,191369.318422776,203622.740898285,181941.251086571,158310.245809094,154661.97263196,155566.56152647,152387.039107948,169162.703900039,171977.950111289,180012.554127246,182479.03461327,183592.567975568,177713.190655813,161393.058661922,145063.301998086,137379.445716855,131591.451220332,126352.088711274,126543.793388637,125961.322613681,123240.526423937,122048.28210518,117344.711784851,117723.822006682,129520.384651443,125417.262551206,126682.686325654,120361.383066912,122101.976124472,119443.10654308,117661.341670339,122515.972102924,134911.8688545,141158.098979555,149399.659338269,157650.715061447,155279.083951434,163845.749393001,157470.257372657,154595.672731532,156118.553848533,162841.193430037,169138.277138464,177782.913442509,181278.355190484,180889.033980577,182166.884959191,183159.25983505,177362.25135109,164701.230275162,152378.50597361,151507.658533959,148540.343582185,148547.043383259,151752.586874695,150988.464854888,153677.988414927
"8","TZ2009L108",1,61699.0430531106,69263.516360397,80349.9417505668,88340.871746638,92206.5065448743,84432.24317829,70257.7271611355,64332.1611811491,64430.2234332766,67230.0817275629,67800.6600485261,67780.8990031916,70613.1768769054,60971.1752286581,65813.6261528201,64336.4861661586,58454.5046112805,57445.7200266769,54322.8600133385,53895.1584317834,55067.9061261432,61603.943016387,61698.8768102131,63767.4568502284,79957.7737137954,74221.5121855942,88913.1768769054,95396.7308974852,85168.355402058,87715.9827965892,83449.5785676081,81362.6152820119,91107.1249166347,93974.5290954644,100806.40737338,99087.8458460357,121362.615282012,133228.600133385,134046.169302592,120838.569993331,109986.274086557,113484.425459095,115000,109318.692358994,109727.476943598,107043.922923018,112043.922923018,105272.523056402,127043.922923018,132725.230564024,127043.922923018,107000,106046.169302592,104003.034463319,95720.3830697408,94715.5572826791,93619.8630838417,88040.9957442835,95298.0284918065,96103.2991860708,99886.4941470084,102057.998351753,121439.255369985,112725.230564024,120000,116362.615282012,112887.117353372,110787.380721417,104078.042285727,119050.549911013,133178.784008574,138520.175115662,157285.437298494,161827.269587652,159765.218643101,176574.868501428,177669.360842988,156529.223813834,162079.290855183,154155.927963558,150085.163455126,163088.969035823,181173.653820503,182648.913973733,184561.155135289,187448.08468507,175283.428356212,149662.780285899,130714.222580964,127611.679744728,125253.168554858,114410.518015862,106123.626129787,107297.52995029,116797.270482397,118321.374749904,116454.960366196,116966.172756287,126520.228498189,134231.844119188,134798.597555878,128001.477291177,108413.771772008,96578.515154153,104486.018162633,111798.98795503,131606.371024771,134147.272421112,140944.41890987,161577.426710175,164615.437467987,165737.101865758,160882.376691692,151107.075944331,144519.230461223,169238.013828316,182782.724186595,177097.774744502,182226.880622303,186133.927559232,186031.418011566,194522.130820598,203901.696451363,179497.619320094,179466.955798524,163164.042150629,145202.214071741,142408.181617758,157836.147941473,152407.895461918,148908.229615853
"9","TZ2009L109",1,62980.9906659402,72176.2196852702,81419.9732551635,74403.3150727071,104166.351342326,77780.3821859011,72144.9635260143,73961.1474290935,71529.1214149298,78676.4065932372,74499.6663820351,69596.1690349605,73397.3310562809,65454.8487436044,64572.9092461627,63900.6672359298,57165.8807026729,54245.4623081333,56182.9177851093,57001.6455235973,52523.3983899964,57735.0975849947,61127.4018055751,62442.7933644142,74776.2454258116,70182.6067333715,82826.0673337156,82247.1529641849,82338.7899488355,87055.4227127673,92130.9579201175,102742.437180222,97246.0693340314,99055.5360453665,110639.668638658,109096.974872089,118193.949744178,127290.924616267,128193.949744178,115928.936935758,109408.519514075,113223.23564306,115000,107742.437180222,109096.974872089,105916.369846507,112729.092461627,110000,128193.949744178,127290.924616267,122290.924616267,106374.55476976,102742.437180222,92742.4371802222,92817.6591733772,92742.4371802222,93451.944023222,102778.51801607,101419.706026156,94217.0530738131,115486.327263202,108709.519395113,113148.21942172,123645.462308133,135451.512563956,130000,129993.046706515,134042.695633156,142132.066126005,151213.460795362,157339.746096531,159861.061697734,166778.154110606,167965.920578031,184541.164747377,196266.477835651,184799.109306898,162357.873871516,145767.989814553,149986.655281404,157565.281165424,163323.132470713,166328.063441743,175645.534518807,187601.690656052,170810.588988796,173204.410278219,168064.390704944,158632.117589538,134792.025127911,129586.098432622,132074.688776922,128442.281654353,129503.336179649,129819.394974418,128201.520875848,130000,129962.343852166,129699.021724867,131003.351219622,134853.325197421,128752.889402371,131839.412052311,124750.215187067,126414.785448125,129071.521761779,144540.606928389,150650.645913633,150075.221993155,157902.084471513,161310.265125293,175451.512563956,172419.490839088,170758.685837745,160872.398023646,164130.176030491,171406.606574573,180575.628165712,173458.184923253,160316.572858961,185955.068845933,184459.853013078,168498.696535805,162732.729384988,156663.914223267,160088.356916893,160291.487058544,158152.710746953,157205.715662769,160205.897975584,155452.896462812
"10","TZ2009L110",1,61850,70363.64,73958.33,81375,79613.64,75333.33,71750,70363.64,71791.67,70937.5,69950,69562.5,66200,57500,50200,56200,53600,52000,50800,52000,57400,56000,56800,60800,78800,81800,76800,85900,88400,108182,1e+05,120000,110000,109167,108400,120000,120000,130000,130000,116000,116875,115000,115000,110000,110000,110000,110000,115000,120000,120000,120000,110000,110000,110000,99750,94615,92857,110000,104000,111429,120000,120000,123000,130000,130000,150000,133636,123750,146923,150000,150000,170000,176615,176538,180000,180000,195000,192000,196538,187000,172500,182000,182500,188888.9,191000,196363.6,187916.8,183333.2,157000,148889,137500,130000,130000,85833.25,129166.75,145000,145833.5,146667,160000,163333,128333.3,143333.2,141000,147917,139231,150000,177692,160909,162667,164545,176364,175833,170000,168571,165714,173750,175000,170909,159576,166111,150000,182381,163167,154833,145133,149267,133939,132667,156056,165000,165333
