"FNID","weights","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"UG2011L101",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,2000,1500,1650,1553,1800,1288,1448,1800,1736,1767,1700,1867,1925,2100,1954,1950,1934,1850,1850,1834,1900,1900,1460,1725,1601.5,1460,1566.6,1450,1567,1720,1734,1784,1978,1800,1579,1640,1613,1600,1780,1875,712.5,1800,1000,650,2000,2300,2275,2450,2425,2350,2700,2650,2450,2600,2650,2500,2500,2500,2500,2567,2800,2800,3000,3000,3100,3000,3000,3000
"UG2011L102",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1499.97082204847,1999.94998065452,1499.97082204847,1649.96456963029,1552.97786643963,1799.95414893331,1287.9838270783,1447.97436508544,1799.96873790908,1735.95544109974,1766.95552446531,1699.9583172121,1866.95135618652,1924.94964719222,2099.96665376968,1953.95189806277,1949.95206479392,1933.95273171853,1849.96456963029,1849.95623307271,1833.95689999731,1899.95414893331,1899.95414893331,1459.97248935999,1724.9614434212,1601.4665912455,1459.97248935999,1566.5680459748,1449.97290618787,1566.96802930168,1719.96165183514,1733.97461518217,1783.9610682761,1977.95923423344,1799.95519100301,1578.96423616798,1639.96498645817,1612.96715396314,1599.99929139261,1779.99822848151,1874.99739482576,712.541161753048,1799.99929139261,1000.03334623032,650.014588975764,1999.9583172121,2299.94581237573,2274.94685444543,2449.9604013515,2425.00312620909,2349.98541102424,2699.97082204847,2649.97290618787,2449.98124274545,2599.97499032726,2649.97290618787,2499.98474409963,2499.98611963163,2499.97915860605,2499.97915860605,2566.97636585926,2799.96665376968,2799.96665376968,2999.96248549089,2999.96873790908,3099.9583172121,2999.96456963029,2999.96802930168,2999.97082204847
"UG2011L103",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,2000,1500,1650,1553,1800,1288,1448,1800,1736,1767,1700,1867,1925,2100,1954,1950,1934,1850,1850,1834,1900,1900,1460,1725,1601.5,1460,1566.6,1450,1567,1720,1734,1784,1978,1800,1579,1640,1613,1600,1780,1875,712.5,1800,1000,650,2000,2300,2275,2450,2425,2350,2700,2650,2450,2600,2650,2500,2500,2500,2500,2567,2800,2800,3000,3000,3100,3000,3000,3000
"UG2011L104",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,2000,1500,1650,1553,1800,1288,1448,1800,1736,1767,1700,1867,1925,2100,1954,1950,1934,1850,1850,1834,1900,1900,1460,1725,1601.5,1460,1566.6,1450,1567,1720,1734,1784,1978,1800,1579,1640,1613,1600,1780,1875,712.5,1800,1000,650,2000,2300,2275,2450,2425,2350,2700,2650,2450,2600,2650,2500,2500,2500,2500,2567,2800,2800,3000,3000,3100,3000,3000,3000
"UG2011L105",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544.242077226194,740.633246297945,719.567951221168,825.667491079935,1531.74079721422,798.995716966641,841.818546208892,846.649447516159,791.837777412075,568.558019562707,589.298371650908,635.615698989499,720.624136124233,791.6618919821,803.589318717651,866.064162614583,881.218786220358,752.13672770673,735.900920201175,774.554959690133,663.539401196934,667.661722829375,714.482697782496,629.566824290398,1076.82113763664,1108.44914788451,925.526556485921,1101.79191435382,936.866055088087,947.198101538658,959.648780138235,818.548597035698,746.558533730556,752.488195748073,684.155180642771,941.317907667855,957.029964645018,960.154060408884,990.126724865855,1014.8139125634,879.179360745041,782.140165942581,985.548743155876,1176.27386368241,661.570450426683,1207.39022286331,1145.32779178689,1265.14474129119,1315.80062376614,1347.86509505896,1328.35400467058,1165.2733456927,1098.65969063903,1248.51389718384,1096.67177364362,1192.30164054528,1452.04155201234,1265.84858038295,1353.04614563806,1168.07131301586,1189.0016983329,1030.63350857638,1104.62344162526,1263.86081868371,1281.36760443973,1255.2886313871,1265.51374017324,1268.25758984585,1307.92928460431
"UG2011L106",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073.35570461004,1268.6097793315,1073.35570461004,1131.93192702648,1229.35982735419,1129.55896438721,1051.51716198385,1073.1625119074,1342.88111208219,1084.45321175448,1116.6721954556,1090.50814944292,1155.72301039989,1188.73384452705,1612.40651955434,1250.64640445713,1249.08437185936,1242.83624146827,1331.93192702648,1210.03355691507,1203.78542652398,1229.55896438721,1229.55896438721,1057.73537863233,1161.2200382347,1112.9922817785,1057.73537863233,1099.36354736294,1053.8302971379,1099.51975062272,1159.26749748749,1362.81946301074,1214.73461157969,1381.91697015518,1144.79626065114,1056.05599222202,1128.02684553205,1132.72042176102,1589.63863854053,1754.09659635132,1836.90675934018,1314.37320242512,1789.63863854053,1487.59348044566,863.322147694978,1390.50814944292,1507.6605942758,1497.89789053972,1870.98274197077,2470.71188879178,2136.67785230502,2273.35570461004,2253.8302971379,2175.72866724931,2234.30488966575,2253.8302971379,2276.92598269611,2297.03921376449,2195.25407472146,2195.25407472146,2221.41812073413,2312.40651955433,2312.40651955433,2451.45733449863,2542.88111208219,2490.50814944292,2481.93192702648,2532.51975062272,2573.35570461004
"UG2011L107",0.999999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099.00583234513,1312.58142687737,1099.00583234513,1163.0785107048,1248.81728139323,1169.86630797092,1065.73466135701,1095.69798127465,1370.36339179835,1123.62462110992,1155.77031873179,1127.15118906447,1198.48543763824,1232.99863638988,1641.72095125158,1292.9324721804,1291.22386742414,1284.38944839911,1363.0785107048,1248.5087485177,1241.67432949266,1269.86630797092,1269.86630797092,1081.91978478255,1195.11484988464,1142.36167803517,1081.91978478255,1127.45410153682,1077.64827289191,1127.62496201245,1192.97909393931,1385.13507414026,1248.95921058622,1417.75386290505,1184.18752824431,1087.49572021732,1158.80699881416,1161.5951369828,1590.26157021409,1755.65392553524,1839.19694931653,1278.18820079883,1790.26157021409,1458.27904874842,850.497083827433,1427.15118906447,1555.29654578381,1544.6177660572,1905.79362961125,2467.96366082016,2149.50291617256,2299.00583234513,2277.64827289191,2192.21803507901,2256.29071343868,2277.64827289191,2290.3373351976,2309.24134595847,2213.57559453223,2213.57559453223,2242.19472419955,2341.72095125158,2341.72095125158,2484.43607015802,2570.36339179835,2527.15118906447,2513.0785107048,2560.62496201245,2599.00583234513
"UG2011L108",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1172.41686922182,1438.42891866598,1172.41686922182,1252.22048405507,1304.50479650969,1285.22650877714,1106.42535036867,1160.19482081631,1449.01807416624,1235.73376171161,1267.66971351383,1232.02409888831,1320.87212340266,1359.68511145708,1725.61927911065,1413.95581011711,1411.82771372156,1403.31532813935,1452.22048405507,1358.62530383273,1350.11291825052,1385.22650877714,1385.22650877714,1151.13590526629,1292.12229147169,1226.41731525898,1151.13590526629,1207.84967420778,1145.8156642774,1208.06248384734,1289.46217097725,1449.00267622298,1346.91050836168,1520.31956871277,1296.92590630494,1177.47667684617,1246.90024306618,1244.23498992399,1592.0444096811,1760.11102420275,1845.75150618052,1174.62620234779,1792.0444096811,1374.38072088935,813.79156538909,1532.02409888831,1691.63132855481,1678.3307260826,2005.4228939439,2460.09819258338,2186.20843461091,2372.41686922182,2345.8156642774,2239.41084449974,2319.21445933299,2345.8156642774,2328.72082019312,2344.16402492981,2266.01204944416,2266.01204944416,2301.65766406967,2425.61927911065,2425.61927911065,2578.82168899948,2649.01807416623,2632.02409888831,2602.22048405507,2641.06248384734,2672.41686922182
"UG2011L109",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,800,1022,700,900,833,1050,667,700,700,700,717,1300,800,800,800,1000,800,800,800,800,800,800,800,800,800,800,800,800,1125,850,1000,725,721,800,825,1583,1737.5,1812.5,1700,1783,1800,1000,1000,1000,1000,1500,2500,2000,2000,2000,2000,2000,2000,2134,2167,2000,2000,2000,2000,2000,2100,2250,2100,2150,2233,2300
"UG2011L110",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659.899180842642,700.995402448691,697.446200376814,757.969754252793,1093.73161940857,643.959672337057,768.305229992083,725.402570887149,741.778197853812,623.848947699534,573.909262758378,609.775072462661,684.869111531005,761.271858853725,1047.81852551676,805.043629489665,795.516773786965,687.919344674114,755.103768112938,654.295148076348,711.45628229255,715.939508505585,856.040327662943,654.295148076348,706.412652802885,815.523170762635,654.295148076348,726.250928795567,689.415621422714,706.412652802885,725.466364208286,872.818525516756,761.45628229255,807.221272839475,640.939508505585,660.476446124021,727.147574038174,748.224751101768,1097.69076243891,1202.78185486931,1217.07151858123,1146.60176432844,1792.5268557027,1800,803.858853179699,1280.20163831472,1280.20163831472,1420.30245747207,1500,1939.59672337057,1719.79836168528,1411.5765595391,1439.59672337057,1579.69754252793,1439.59672337057,1719.79836168528,2339.10759924637,1793.21101448817,1775.83868934823,1775.83868934823,1719.79836168528,1439.59672337057,1439.59672337057,1483.55639570762,1587.04292374738,1446.00937617345,1505.53623187615,1542.02275991591,1683.55639570762
