,address,lat,lon,mkt
1,"market misuku, Malawi",-9.6838889,33.4580556,MISUKU
2,"market nthalire, Malawi",-10.3496794,33.6371591,NTHALIRE
3,"market chitipa, Malawi",-9.7025691,33.2688117,CHITIPA
4,"market karonga, Malawi",-9.952536,33.9248222,KARONGA
5,"market chilumba, Malawi",-10.4363667,34.2449384,CHILUMBA
6,"market rumphi, Malawi",-11.0171949,33.8550829,RUMPHI
7,"market hewe, Malawi",-11.19237,33.46928,HEWE
8,"market mzuzu, Malawi",-11.4534657,34.0151765,MZUZU
9,"market mzimba, Malawi",-11.8991825,33.5923941,MZIMBA
10,"market embangweni, Malawi",-12.166667,33.46667,EMBANGWENI
11,"market jenda, Malawi",-12.3616171,33.5560069,JENDA
12,"market mpamba, Malawi",-11.387301,34.164471,MPAMBA
13,"market nkhatabay, Malawi",-11.6074425,34.2975444,NKHATABAY
14,"market chintheche, Malawi",-11.8313678,34.1671013,CHINTHECHE
15,"market dwangwa, Malawi",-12.51761,34.1302442,DWANGWA
16,"market nkhotakota, Malawi",-12.9244032,34.2844333,NKHOTAKOTA
17,"market mwansambo, Malawi",-13.64076,34.118465,MWANSAMBO
18,"market salima, Malawi",-13.7699015,34.4403805,SALIMA
19,"market dowa, Malawi",-13.6514687,33.9359756,DOWA
20,"market ntchisi, Malawi",-13.2841992,33.8857747,NTCHISI
21,"market malomo, Malawi",-13.1588567,33.81461,MALOMO
22,"market mponela, Malawi",-13.5319974,33.7350084,MPONELA
23,"market madisi, Malawi",-13.4190694,33.6035874,MADISI
24,"market bowe, Malawi",-13.27938,33.689625,BOWE
25,"market santhe, Malawi",-13.4358472,33.39069,SANTHE
26,"market kasungu, Malawi",-13.0356794,33.4719832,KASUNGU
27,"market chamama, Malawi",-12.95,33.766667,CHAMAMA
28,"market nkhamenya, Malawi",-12.5694861,33.5106933,NKHAMENYA
29,"market chatoloma, Malawi",-12.81557795,33.43434,CHATOLOMA
30,"market mkanda, Malawi",-13.5021082,32.9944636,MKANDA
31,"market mchinji, Malawi",-13.8000058,32.8930441,MCHINJI
32,"market nsundwe, Malawi",-14.025452,33.482221,NSUNDWE
33,"market nambuma, Malawi",-13.7042673,33.6090045,NAMBUMA
34,"market kasiya, Malawi",-13.76667,33.38333,KASIYA
35,"market lilongwe, Malawi",-13.9857232,33.7723006,LILONGWE
36,"market mitundu, Malawi",-14.2502227,33.776942,MITUNDU
37,"market nanjiri, Malawi",-14.071895,33.834488,NANJIRI
38,"market nkhoma, Malawi",-14.0490934,34.10671,NKHOMA
39,"market thete, Malawi",-14.3139829,34.0780622,THETE
40,"market mtakataka, Malawi",-14.2168487,34.5126785,MTAKATAKA
41,"market chimbiya, Malawi",-14.59522,35.7987,CHIMBIYA
42,"market bembeke, Malawi",-14.403275,34.36941,BEMBEKE
43,"market lizulu, Malawi",-14.4384467,34.4225975,LIZULU
44,"market sharpevaley, Malawi",-14.60627,34.73305,SHARPEVALEY
45,"market tsangano, Malawi",-15.15,34.5833333,TSANGANO
46,"market ntcheu, Malawi",-14.8219765,34.6358702,NTCHEU
47,"market ntonda, Malawi",-14.9809721,34.7561246,NTONDA
48,"market balaka, Malawi",-14.9876054,34.9561748,BALAKA
49,"market ntaja, Malawi",-14.8741267,35.5302127,NTAJA
50,"market namwera, Malawi",-14.3472444,35.48367,NAMWERA
51,"market monkey bay, Malawi",-14.0821483,34.9148236,MONKEY BAY
52,"market mangochi, Malawi",-14.4861733,35.253304,MANGOCHI
53,"market liwonde, Malawi",-15.0695237,35.2313307,LIWONDE
54,"market jali, Malawi",-15.494794,35.469223,JALI
55,"market mayaka, Malawi",-15.58018384,35.3545,MAYAKA
56,"market zomba, Malawi",-15.3867787,35.3183313,ZOMBA
57,"market thondwe, Malawi",-15.499956,35.4457934,THONDWE
58,"market chiradzulu, Malawi",-15.6759485,35.1406293,CHIRADZULU
59,"market lunzu, Malawi",-15.6532763,35.0204648,LUNZU
60,"market limbe, Malawi",-15.8170242,35.0544387,LIMBE
61,"market bvumbwe, Malawi",-15.9298101,35.078989,BVUMBWE
62,"market mwanza, Malawi",-15.5997929,34.5140637,MWANZA
63,"market neno, Malawi",-15.6850711,34.5749882,NENO
64,"market luchenza, Malawi",-16.0100923,35.3082117,LUCHENZA
65,"market migowi, Malawi",-15.720144,35.6834674,MIGOWI
66,"market phalombe, Malawi",-15.7633303,35.6587503,PHALOMBE
67,"market muloza, Malawi",-16.078665,35.734588,MULOZA
68,"market chikwawa, Malawi",-16.0437784,34.8016945,CHIKWAWA
69,"market ngabu, Malawi",-16.4404738,34.8693141,NGABU
70,"market nchalo, Malawi",-16.2715916,34.8706935,NCHALO
71,"market bangula, Malawi",-16.573253,35.1103736,BANGULA
72,"market nsanje, Malawi",-16.9205934,35.253304,NSANJE
73,"market chilinga, Malawi",-15.0379336,35.2164495,CHILINGA
