"","FNID","mkt","weights"
"1","TZ2009L101","Morogoro",0.0414850621476257
"2","TZ2009L101","Dodoma",0.0549601350029955
"3","TZ2009L101","Tanga",0.201068542793083
"4","TZ2009L101","Babati",0.165643498615411
"5","TZ2009L101","Moshi",0.461827861706198
"6","TZ2009L101","Arusha",0.0750148997346872
"7","TZ2009L102","Tanga",0.832297276835784
"8","TZ2009L102","Moshi",0.167702723164216
"9","TZ2009L103","Tanga",0.956268975900981
"10","TZ2009L103","Moshi",0.0437310240990189
"11","TZ2009L104","Morogoro",0.255713708027046
"12","TZ2009L104","Tanga",0.740001422359358
"13","TZ2009L104","Dar Es Salaam",0.00428486961359653
"14","TZ2009L105","Tanga",0.971293352586948
"15","TZ2009L105","Moshi",0.0287066474130518
"16","TZ2009L106","Tanga",0.967703927776351
"17","TZ2009L106","Moshi",0.0322960722236493
"18","TZ2009L107","Tanga",0.939754190906015
"19","TZ2009L107","Dar Es Salaam",0.0602458090939855
"20","TZ2009L108","Morogoro",0.863738471798587
"21","TZ2009L108","Dar Es Salaam",0.136261528201413
"22","TZ2009L109","Arusha",0.90969748720928
"23","TZ2009L109","Musoma",0.0903025127907198
"24","TZ2009L110","Moshi",1
"25","TZ2009L111","Moshi",0.467522216095208
"26","TZ2009L111","Arusha",0.532477783904792
"27","TZ2009L112","Babati",0.322007925490856
"28","TZ2009L112","Arusha",0.677992074509144
"29","TZ2009L113","Babati",0.00210726700721157
"30","TZ2009L113","Moshi",0.569935599574365
"31","TZ2009L113","Arusha",0.427957133418424
"32","TZ2009L114","Babati",0.228307501073403
"33","TZ2009L114","Moshi",0.00857280715886577
"34","TZ2009L114","Arusha",0.584491869505531
"35","TZ2009L114","Musoma",0.0655973890752286
"36","TZ2009L114","Singida",0.113030433186972
"37","TZ2009L115","Babati",1
"38","TZ2009L116","Babati",1
"39","TZ2009L117","Morogoro",0.185574074403116
"40","TZ2009L117","Dodoma",0.545357751869549
"41","TZ2009L117","Babati",0.244935165648327
"42","TZ2009L117","Singida",0.00722874032613208
"43","TZ2009L117","Iringa",0.0169042677528767
"44","TZ2009L118","Babati",0.988861455639323
"45","TZ2009L118","Arusha",0.0001522081333134
"46","TZ2009L118","Singida",0.0109863362273632
"47","TZ2009L119","Babati",1
"48","TZ2009L120","Singida",0.659640788385139
"49","TZ2009L120","Tabora",0.340359211614861
"50","TZ2009L121","Dodoma",1
"51","TZ2009L122","Babati",0.01051375779835
"52","TZ2009L122","Singida",0.988796601338191
"53","TZ2009L122","Shinyanga",0.000689640863459345
"54","TZ2009L123","Dodoma",0.997446594710335
"55","TZ2009L123","Singida",0.00255340528966496
"56","TZ2009L124","Dodoma",0.0492423338642662
"57","TZ2009L124","Singida",0.905685263744525
"58","TZ2009L124","Tabora",0.0450724023912084
"59","TZ2009L125","Babati",0.691784819053604
"60","TZ2009L125","Singida",0.308215180946396
"61","TZ2009L126","Musoma",0.329303460732406
"62","TZ2009L126","Mwanza",0.670696539267594
"63","TZ2009L127","Mwanza",0.0265058137161316
"64","TZ2009L127","Bukoba",0.973494186283868
"65","TZ2009L128","Musoma",0.183971168074704
"66","TZ2009L128","Mwanza",0.0194374801148595
"67","TZ2009L128","Bukoba",0.611131738025558
"68","TZ2009L128","Kigoma",0.185459613784879
"69","TZ2009L129","Musoma",0.217306840949541
"70","TZ2009L129","Shinyanga",0.176153862027371
"71","TZ2009L129","Tabora",0.000116454706686719
"72","TZ2009L129","Mwanza",0.606189068377172
"73","TZ2009L129","Bukoba",0.00023377393922948
"74","TZ2009L130","Bukoba",1
"75","TZ2009L131","Musoma",0.0459993151518098
"76","TZ2009L131","Singida",0.00756746398415165
"77","TZ2009L131","Shinyanga",0.658165208262267
"78","TZ2009L131","Tabora",0.108706461974775
"79","TZ2009L131","Mwanza",0.179561550626997
"80","TZ2009L132","Mwanza",1
"81","TZ2009L133","Tabora",0.000637422395159861
"82","TZ2009L133","Mwanza",0.193335391503956
"83","TZ2009L133","Bukoba",0.251332878520437
"84","TZ2009L133","Kigoma",0.554694307580448
"85","TZ2009L134","Shinyanga",0.0655052801324977
"86","TZ2009L134","Tabora",0.934355538670258
"87","TZ2009L134","Mwanza",0.00013918119724416
"88","TZ2009L135","Babati",0.00529492488185822
"89","TZ2009L135","Singida",0.0129528871214269
"90","TZ2009L135","Shinyanga",0.981752187996715
"91","TZ2009L136","Shinyanga",0.238949693420893
"92","TZ2009L136","Tabora",0.761050306579107
"93","TZ2009L137","Kigoma",1
"94","TZ2009L138","Tabora",0.926459082679442
"95","TZ2009L138","Kigoma",0.0735409173205576
"96","TZ2009L139","Musoma",0.00174285721112651
"97","TZ2009L139","Mwanza",0.997143744370982
