"","FNID","mkt","weights"
"1","UG2011L101","Mbarara",1
"2","UG2011L102","Mbarara",0.999916096251123
"3","UG2011L103","Mbarara",1
"4","UG2011L104","Mbarara",1
"5","UG2011L105","Mbarara",0.0194401376762952
"6","UG2011L106","Mbarara",0.0267785057289566
"7","UG2011L108","Mbarara",0.0665549298658395
"8","UG2011L135","Mbarara",0.142273425680517
"9","UG2011L137","Mbarara",4.14183347468948e-06
"10","UG2011L138","Mbarara",0.494808594098722
"11","UG2011L139","Mbarara",0.227271711412192
"12","UG2011L140","Mbarara",0.0929106095635404
"13","UG2011L141","Mbarara",0.0131211312159526
"14","UG2011L105","Kiboga",0.0127402275587137
"15","UG2011L106","Kiboga",0.245762206843621
"16","UG2011L107","Kiboga",0.145697621871537
"17","UG2011L108","Kiboga",0.00250673208932711
"18","UG2011L109","Kiboga",1
"19","UG2011L110","Kiboga",0.303304245930079
"20","UG2011L111","Kiboga",0.947798181761858
"21","UG2011L112","Kiboga",0.0290132874959431
"22","UG2011L113","Kiboga",0.776623790318691
"23","UG2011L114","Kiboga",0.0250089848764924
"24","UG2011L118","Kiboga",3.42672274784855e-06
"25","UG2011L135","Kiboga",0.24785669640475
"26","UG2011L137","Kiboga",0.0129444609585772
"27","UG2011L138","Kiboga",0.306410589012376
"28","UG2011L139","Kiboga",0.0307165653864513
"29","UG2011L140","Kiboga",0.0674042527892895
"30","UG2011L141","Kiboga",0.00894009546969824
"31","UG2011L134","Owino",0.324127164546447
"32","UG2011L135","Owino",0.511026767463779
"33","UG2011L136","Owino",0.43789598558177
"34","UG2011L137","Owino",0.252939177894846
"35","UG2011L138","Owino",0.0483009306632505
"36","UG2011L140","Owino",0.547956444294429
"37","UG2011L141","Owino",0.273552278694001
"38","UG2011L133","Jinja",0.380906183935358
"39","UG2011L134","Jinja",0.367359214321498
"40","UG2011L135","Jinja",0.0449533566760029
"41","UG2011L136","Jinja",0.159296400665144
"42","UG2011L137","Jinja",0.050849832810741
"43","UG2011L138","Jinja",0.00515943016719077
"44","UG2011L140","Jinja",0.0205466463527803
"45","UG2011L141","Jinja",0.0876018946915251
"46","UG2011L127","Iganga",0.1971167298831
"47","UG2011L129","Iganga",0.937720841911368
"48","UG2011L130","Iganga",0.787704789546764
"49","UG2011L131","Iganga",1
"50","UG2011L132","Iganga",0.993695704815614
"51","UG2011L133","Iganga",0.619093816064642
"52","UG2011L134","Iganga",0.308513621132055
"53","UG2011L136","Iganga",0.402807613753086
"54","UG2011L137","Iganga",0.515234091140113
"55","UG2011L138","Iganga",0.0327498628284868
"56","UG2011L140","Iganga",0.0503432904660441
"57","UG2011L141","Iganga",0.459708475955968
"58","UG2011L113","Lira",0.0521090210912265
"59","UG2011L114","Lira",0.643753924052937
"60","UG2011L116","Lira",0.000317444720759187
"61","UG2011L118","Lira",0.999163650730934
"62","UG2011L119","Lira",0.0462113093207579
"63","UG2011L121","Lira",0.614633908346853
"64","UG2011L122","Lira",0.660065533115791
"65","UG2011L123","Lira",0.569545130574756
"66","UG2011L124","Lira",0.78433297339391
"67","UG2011L127","Lira",0.226299991658975
"68","UG2011L132","Lira",0.00630429518438557
"69","UG2011L137","Lira",0.109601384399364
"70","UG2011L138","Lira",0.0114091116659243
"71","UG2011L139","Lira",0.00558177028319493
"72","UG2011L140","Lira",0.0518001674188825
"73","UG2011L141","Lira",0.0760456184448241
"74","UG2011L105","Gulu",0.187283899812562
"75","UG2011L110","Gulu",0.424110799187955
"76","UG2011L113","Gulu",0.0606025277492564
"77","UG2011L114","Gulu",0.331237091070571
"78","UG2011L115","Gulu",1
"79","UG2011L116","Gulu",0.999682555279241
"80","UG2011L117","Gulu",1
"81","UG2011L118","Gulu",0.000832922546318483
"82","UG2011L119","Gulu",0.953788690679242
"83","UG2011L120","Gulu",1
"84","UG2011L121","Gulu",0.385027507278305
"85","UG2011L122","Gulu",0.339934466884209
"86","UG2011L137","Gulu",0.0152070001473257
"87","UG2011L139","Gulu",0.203982894443902
"88","UG2011L140","Gulu",0.113336986527208
"89","UG2011L141","Gulu",0.0674599544063926
"90","UG2011L105","Kapchorwa",0.739899330488707
"91","UG2011L121","Kapchorwa",0.000338584374840978
"92","UG2011L123","Kapchorwa",0.430454869425244
"93","UG2011L124","Kapchorwa",0.21566702660609
"94","UG2011L125","Kapchorwa",1
"95","UG2011L126","Kapchorwa",1
"96","UG2011L127","Kapchorwa",0.576583278457924
"97","UG2011L128","Kapchorwa",1
"98","UG2011L129","Kapchorwa",0.0622791580886317
"99","UG2011L130","Kapchorwa",0.212295210453236
"100","UG2011L139","Kapchorwa",0.101658864665352
"101","UG2011L140","Kapchorwa",0.0449391356895373
"102","UG2011L102","Mbarara",4.19518744384641e-05
"103","UG2011L102","Kiboga",4.19518744384641e-05
"104","UG2011L105","Mbarara",0.0203182022318609
"105","UG2011L105","Kiboga",0.0203182022318609
"106","UG2011L106","Mbarara",0.363729643713711
"107","UG2011L106","Kiboga",0.363729643713711
"108","UG2011L107","Mbarara",0.427151189064231
"109","UG2011L107","Kiboga",0.427151189064231
"110","UG2011L108","Mbarara",0.465469169022417
"111","UG2011L108","Kiboga",0.465469169022417
"112","UG2011L135","Mbarara",0.0269448768874754
"113","UG2011L135","Kiboga",0.0269448768874754
"114","UG2011L138","Mbarara",0.0505807407820245
