"","case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","slope","ag_percent","dist_road","dist_popcenter","dist_agmkt","dist_headquater","elevation","ea_id","reside","hh_a01","FS_month","FS_year","rCSI","HDDS","FCS","Month","dummy_terrain_rough","nutri_severe_constraint","nutri_moderate_constraint","yearmon","FNID"
"1","0101014002017101",0,1,0,1,1.29999995231628,0,1.20000004768372,23,87.8000030517578,23,1197,"1114002","rural","1",12,2010,5,6,62.5,"December",0,0,0,Dec 2010,"TZ2009L146"
"2","0101014002017101",0,1,0,1,1.29999995231628,0,1.20000004768372,23,87.8000030517578,23,1197,"1114002","rural","1",12,2010,5,6,62.5,"December",0,0,0,Dec 2010,"TZ2009L155"
"3","0101014002028401",0,1,0,1,1.20000004768372,8,0.100000001490116,23.5,87.6999969482422,23.5,1193,"1114002","rural","1",12,2010,9,8,75,"December",0,0,0,Dec 2010,"TZ2009L146"
"4","0101014002028401",0,1,0,1,1.20000004768372,8,0.100000001490116,23.5,87.6999969482422,23.5,1193,"1114002","rural","1",12,2010,9,8,75,"December",0,0,0,Dec 2010,"TZ2009L155"
"5","0101014002029701",1,0,1,0,1.70000004768372,8,0,23.3999996185303,87.5,23.3999996185303,1199,"1114002","rural","1",12,2010,0,7,66.5,"December",0,0,0,Dec 2010,"TZ2009L146"
"6","0101014002029701",1,0,1,0,1.70000004768372,8,0,23.3999996185303,87.5,23.3999996185303,1199,"1114002","rural","1",12,2010,0,7,66.5,"December",0,0,0,Dec 2010,"TZ2009L155"
"7","0101014002029704",1,0,1,0,5.90000009536743,0,0.400000005960464,7.09999990463257,7.59999990463257,443.799987792969,30,"1114002","urban","3",1,2011,0,7,62.5,"January",0,0,1,Jan 2011,"TZ2009L146"
"8","0101014002029704",1,0,1,0,5.90000009536743,0,0.400000005960464,7.09999990463257,7.59999990463257,443.799987792969,30,"1114002","urban","3",1,2011,0,7,62.5,"January",0,0,1,Jan 2011,"TZ2009L155"
"9","0101014002040901",0,1,1,0,1.70000004768372,8,0.400000005960464,23.3999996185303,87.4000015258789,23.3999996185303,1200,"1114002","rural","1",12,2010,1,5,59.5,"December",0,0,0,Dec 2010,"TZ2009L146"
"10","0101014002040901",0,1,1,0,1.70000004768372,8,0.400000005960464,23.3999996185303,87.4000015258789,23.3999996185303,1200,"1114002","rural","1",12,2010,1,5,59.5,"December",0,0,0,Dec 2010,"TZ2009L155"
