"","cellphone","number_celphones","rcsi","logFCS","hdds","housing_index","nutri_reten_constrained","nutri_avail_constrained","dist_km","maize_price","maize_mktthin","rice_price","rice_mktthin","tmean","floodmax","raincytot","day1rain","maxdaysnorain"
"1",0.5,0.625,1.875,4.1049085,5.625,1.0790704,1,1,68.351639,31309.334,0,107381,0,25.6760730179651,0,694.3630366,35,153
"3",1,2,0,4.1351666,7,-0.88582069,1,1,68.351639,30735.666,0,110601,0,25.3968589676243,0,577.06914502,64,160
"5",0.125,0.125,3.5,4.1442909,6.625,-0.09987174,1,1,101.88775,41413,0,111042,0,24.324371094737,0,679.09614063,64,157
"8",0,0,0,4.4716387,5,-0.88583499,1,1,101.88775,38214,0,129615,0,24.324371094737,0,679.09614063,64,157
"10",0.25,0.25,4.75,4.0104165,4.625,1.0790704,1,1,85.40641,33393,0,119035.5,0,25.1102082392904,0,584.68785741,36,146
"12",1,1,0,4.2972856,7,-0.88583499,1,1,85.40641,29869.75,0,92948,0,24.8483373014453,0,548.29436396,64,154
"16",0.25,0.25,0.5,4.1034207,5.875,-0.88583499,1,1,56.884155,40000,0,133333.33,0,25.3968589676243,0,538.097987190001,66,157
"18",0.40000001,0.5,9.5,4.0174208,5,0.057321627,1,1,61.438313,33393,0,119035.5,0,24.6475295151529,0,611.216567750001,36,149
"22",0.11111111,0.22222222,5.6666665,4.0194011,5.3333335,0.51143301,1,1,28.666489,38182,0,120000,0,23.4623532448101,0,503.308448656,65,165
"24",1,1,0,2.8903718,2,-0.88582069,1,1,28.666489,42000,0,163750,0,23.4623532448101,0,503.308448656,65,165
"25",1,1,0,4.2626801,5,2.2580109,1,1,28.666489,42000,0,148100,0,23.4623532448101,0,503.308448656,65,165
"27",0.30000001,0.5,6,4.0246458,4.9000001,1.31486,1,1,19.80728,29495.801,0,92533.398,0,25.3599344703708,0,488.044644961001,65,163
"29",1,2,0,3.9415817,6,-0.88583499,1,1,19.80728,40213.281,0,151650,0,25.3599344703708,0,488.044644961,65,163
"30",0.22222222,0.22222222,2,4.0565248,5.1111112,2.2580109,1,1,61.060646,45591,0,140000,0,NA,NA,NA,NA,NA
"32",0.25,0.375,9.75,4.1662798,5.75,0.4849484,1,1,23.532375,33786,0,125857,0,23.6215126132483,0,716.21755888,35,157
"34",0,0,16,3.8525376,4,2.2580109,1,1,34.58548,39607.25,0,117500,0,NA,NA,NA,NA,NA
"37",0,0,6.125,4.0150781,5.25,1.865032,1,1,41.823093,33786,0,125857,0,NA,NA,NA,NA,NA
"40",0,0,18,3.831645,6,2.2580109,1,1,87.188705,39166.668,0,125666.66,0,23.5027794367218,0,539.164673,45,166
"41",0.5,0.83333331,9.333333,4.0523014,5.6666665,1.2100639,1,1,87.188705,30052,0,112133.34,0,23.5027794367218,0,539.164673,45,166
"43",0.36363637,0.54545456,15.090909,3.8867538,4.7272725,1.4005997,1,1,80.073021,40000,0,125000,0,23.7755265167228,0,332.90689598,57,178
"46",1,1,0,4.3502779,8,-0.88582069,1,1,35.592255,40000,0,125000,0,22.1180527472059,643.6367416,465.4326847,44,168
"48",1,1.8888888,1.8888888,4.3653932,7.4444447,-0.88582069,1,1,35.592255,31083,0,117917,0,22.1180527472059,643.6367416,465.4326847,44,168
"51",1,2.25,0.25,4.344996,7.375,-0.69398791,1,1,18.019566,40000,0,125000,0,NA,NA,NA,NA,NA
"54",0.875,1.75,3,4.3508081,7.375,-0.88582605,1,1,14.142997,31083,0,117917,0,22.3907998272069,733.799842400001,487.365537,44,161
