"","cellphone","number_celphones","rCSI","HDDS","asset_index","housing_index","nutri_reten_constrained","nutri_avail_constrained","dist_km","maize_price","maize_mktthin","rice_price","rice_mktthin","tmean","lhz_maxdaysnorain","floodmax","raincytot","day1rain","maxdaysnorain","logFCS"
"1",0.818181818181818,1.18181818181818,5.27272727272727,2.27272727272727,NA,1.38707110454545,0.727272727272727,0.727272727272727,63.5990362672436,42830,0,125833.3,0,NA,NA,NA,NA,NA,NA,2.61933005001322
"2",1,1,0,6,-0.39868104,2.2580109,1,1,63.5990362672436,36327,0,151731,0,NA,NA,NA,NA,NA,NA,4.21212759787848
"3",1,1,0,3,NA,2.2580109,1,1,63.5990362672436,63900,0,168500,0,NA,NA,NA,NA,NA,NA,2.70805020110221
"4",1,1,0,3,NA,2.2580109,1,1,63.5990362672436,48729.25,0,125208.25,0,NA,NA,NA,NA,NA,NA,2.70805020110221
"5",0.666666666666667,1,2,6,-0.398681031111111,1.90869469,1,1,63.5990362672436,38167,0,127222,0,NA,NA,NA,NA,NA,NA,4.02066395292252
"6",0.428571428571429,1.28571428571429,1.57142857142857,5.28571428571429,-0.398681028571429,0.910656547142857,0,0,149.129690070619,32214,0,98571,0,NA,NA,NA,NA,NA,NA,-Inf
"7",1,3,22,5,-0.39868104,2.2580252,0,0,149.129690070619,32950,0,92750,0,NA,NA,NA,NA,NA,NA,4.40671924726425
"8",0.818181818181818,1.18181818181818,7.18181818181818,1.72727272727273,NA,1.10803772272727,0,0,149.129690070619,75667,0,183333,0,NA,NA,NA,NA,NA,NA,2.11491946914968
"9",1,2.28571428571429,1,2,NA,0.461533662857143,0.428571428571429,0.428571428571429,35.3077414750969,79312.5,0,158750,0,NA,NA,NA,NA,NA,NA,2.8830062370439
"10",1,2,3,6,-0.39868104,-0.88582069,1,1,35.3077414750969,50313,0,124583,0,NA,NA,NA,NA,NA,NA,4.11903717481247
"11",1,2.5,0,2.5,NA,-0.88582784,0.5,0.5,35.3077414750969,59166.5,0,146666.8,0,NA,NA,NA,NA,NA,NA,3.38424660582431
"12",0.833333333333333,1.5,17.6666666666667,6.33333333333333,-0.39868104,0.686092721666667,0.333333333333333,0.333333333333333,35.3077414750969,36000,0,120000,0,NA,NA,NA,NA,NA,NA,4.24410277698296
"13",1,5,0,2,NA,-0.88582069,1,1,35.3077414750969,73033.4,0,144749.8,0,NA,NA,NA,NA,NA,NA,1.6094379124341
"14",1,1,0,0,-0.39867809,-0.88582069,1,1,35.3077414750969,46904,0,155769,0,NA,NA,NA,NA,NA,NA,-Inf
"15",0.888888888888889,1.55555555555556,1.55555555555556,6.11111111111111,-0.398680676666667,0.511436205555556,0.222222222222222,0.222222222222222,99.2029375488182,36666.6666666667,0,121666.666666667,0,NA,NA,NA,NA,NA,NA,4.29562948045547
