"","cropyear","value","FS_year","FNID"
"1","2008",0,"2008",NA
"2","2008",0,"2008",NA
"3","2008",0,"2008",NA
"4","2008",0,"2008",NA
"5","2008",0,"2008",NA
"6","2008",0,"2008",NA
"7","2008",0,"2008",NA
"8","2008",0,"2008",NA
"9","2008",0,"2008",NA
"10","2008",0,"2008",NA
"11","2008",0,"2008",NA
"12","2008",0,"2008",NA
"13","2008",0,"2008",NA
"14","2008",0,"2008",NA
"15","2008",0,"2008",NA
"16","2008",0,"2008",NA
"17","2008",0,"2008",NA
"18","2008",0,"2008",NA
"19","2008",0,"2008",NA
"20","2008",0,"2008",NA
"21","2008",0,"2008",NA
"22","2008",0,"2008",NA
"23","2008",0,"2008",NA
"24","2008",0,"2008",NA
"25","2008",0,"2008",NA
"26","2008",0,"2008",NA
"27","2008",0,"2008",NA
"28","2008",0,"2008",NA
"29","2008",0,"2008",NA
"30","2008",0,"2008",NA
"31","2008",0,"2008",NA
"32","2008",0,"2008",NA
"33","2008",0,"2008",NA
"34","2008",0,"2008",NA
"35","2008",0,"2008",NA
"36","2008",0,"2008",NA
"37","2008",0,"2008",NA
"38","2008",0,"2008",NA
"39","2008",0,"2008",NA
"40","2008",0,"2008",NA
"41","2008",0,"2008",NA
"42","2008",0,"2008",NA
"43","2008",0,"2008",NA
"44","2008",0,"2008",NA
"45","2008",0,"2008",NA
"46","2008",0,"2008",NA
"47","2008",0,"2008",NA
"48","2008",0,"2008",NA
"49","2008",0,"2008",NA
"50","2008",0,"2008",NA
"51","2008",0,"2008",NA
"52","2008",0,"2008",NA
"53","2008",0,"2008",NA
"54","2008",0,"2008",NA
"55","2008",0,"2008",NA
"56","2008",0,"2008",NA
"57","2008",0,"2008",NA
"58","2008",0,"2008",NA
"59","2008",0,"2008",NA
"60","2008",0,"2008",NA
"61","2009",0,"2009",NA
"62","2009",0,"2009",NA
"63","2009",0,"2009",NA
"64","2009",0,"2009",NA
"65","2009",0,"2009",NA
"66","2009",0,"2009",NA
"67","2009",0,"2009",NA
"68","2009",0,"2009",NA
"69","2009",0,"2009",NA
"70","2009",0,"2009",NA
"71","2009",0,"2009",NA
"72","2009",0,"2009",NA
"73","2009",0,"2009",NA
"74","2009",0,"2009",NA
"75","2009",0,"2009",NA
"76","2009",0,"2009",NA
"77","2009",0,"2009",NA
"78","2009",0,"2009",NA
"79","2009",0,"2009",NA
"80","2009",0,"2009",NA
"81","2009",0,"2009",NA
"82","2009",0,"2009",NA
"83","2009",0,"2009",NA
"84","2009",0,"2009",NA
"85","2009",0,"2009",NA
"86","2009",0,"2009",NA
"87","2009",0,"2009",NA
"88","2009",0,"2009",NA
"89","2009",0,"2009",NA
"90","2009",0,"2009",NA
"91","2009",0,"2009",NA
"92","2009",0,"2009",NA
"93","2009",0,"2009",NA
"94","2009",0,"2009",NA
"95","2009",0,"2009",NA
"96","2009",0,"2009",NA
"97","2009",0,"2009",NA
"98","2009",0,"2009",NA
"99","2009",0,"2009",NA
"100","2009",0,"2009",NA
"101","2009",0,"2009",NA
"102","2009",0,"2009",NA
"103","2009",0,"2009",NA
"104","2009",0,"2009",NA
"105","2009",0,"2009",NA
"106","2009",0,"2009",NA
"107","2009",0,"2009",NA
"108","2009",0,"2009",NA
"109","2009",0,"2009",NA
"110","2009",0,"2009",NA
"111","2009",0,"2009",NA
"112","2009",0,"2009",NA
"113","2009",0,"2009",NA
"114","2009",0,"2009",NA
"115","2009",0,"2009",NA
"116","2009",0,"2009",NA
"117","2009",0,"2009",NA
"118","2009",0,"2009",NA
"119","2009",0,"2009",NA
"120","2009",0,"2009",NA
"121","2010",0,"2010",NA
"122","2010",0,"2010",NA
"123","2010",0,"2010",NA
"124","2010",0,"2010",NA
"125","2010",0,"2010",NA
"126","2010",0,"2010",NA
"127","2010",0,"2010",NA
"128","2010",0,"2010",NA
"129","2010",0,"2010",NA
"130","2010",0,"2010",NA
"131","2010",0,"2010",NA
"132","2010",0,"2010",NA
"133","2010",0,"2010",NA
"134","2010",0,"2010",NA
"135","2010",0,"2010",NA
"136","2010",0,"2010",NA
"137","2010",0,"2010",NA
"138","2010",0,"2010",NA
"139","2010",0,"2010",NA
"140","2010",0,"2010",NA
"141","2010",0,"2010",NA
"142","2010",0,"2010",NA
"143","2010",0,"2010",NA
"144","2010",0,"2010",NA
"145","2010",0,"2010",NA
"146","2010",0,"2010",NA
"147","2010",0,"2010",NA
"148","2010",0,"2010",NA
"149","2010",0,"2010",NA
"150","2010",0,"2010",NA
"151","2010",0,"2010",NA
"152","2010",0,"2010",NA
"153","2010",0,"2010",NA
"154","2010",0,"2010",NA
"155","2010",0,"2010",NA
"156","2010",0,"2010",NA
"157","2010",0,"2010",NA
"158","2010",0,"2010",NA
"159","2010",0,"2010",NA
"160","2010",0,"2010",NA
"161","2010",0,"2010",NA
"162","2010",0,"2010",NA
"163","2010",0,"2010",NA
"164","2010",0,"2010",NA
"165","2010",0,"2010",NA
"166","2010",0,"2010",NA
"167","2010",0,"2010",NA
"168","2010",0,"2010",NA
"169","2010",0,"2010",NA
"170","2010",0,"2010",NA
"171","2010",0,"2010",NA
"172","2010",0,"2010",NA
"173","2010",0,"2010",NA
