"","id","cropyear","raincytot","FS_year","day1rain","maxdaysnorain","FNID","floodmax","lhz_growingdays","lhz_day1rain","tmean","lhz_raincytot","lhz_maxdaysnorain","lhz_floodmax"
"1","10101204","2008",1109.36810967795,2009,NA,104,"MW2012C3010102",0,213,50,21.5640745064462,1080.72857186222,61,0
"2","10101204","2008",1109.36810967795,2009,NA,104,"MW2012C3010508",0,213,50,22.4521626521724,832.24097283833,64,0
"3","10101374","2008",1096.2172632292,2009,51,105,"MW2012C3010102",0,213,50,21.5640745064462,1080.72857186222,61,0
"4","10101706","2008",1285.92304008472,2009,49,107,"MW2012C3010102",0,213,50,21.5640745064462,1080.72857186222,61,0
"5","10102379","2008",1523.52584195043,2009,49,101,"MW2012C3010107",0,213,49,22.6969510503778,1446.7152377928,91,0
"6","10103452","2008",1187.75197550265,2009,49,104,"MW2012C3010102",0,213,50,21.5640745064462,1080.72857186222,61,0
"7","10103681","2008",1054.40848891948,2009,50,101,"MW2012C3010102",0,213,50,21.5640745064462,1080.72857186222,61,0
"8","10105352","2008",1067.64218685594,2009,38,97,"MW2012C3010102",0,213,50,21.5640745064462,1080.72857186222,61,0
"9","10120288","2008",1002.00285014393,2009,52,101,"MW2012C3010102",0,213,50,21.5640745064462,1080.72857186222,61,0
"10","10201210","2008",1282.36714786216,2009,50,97,"MW2012C3010210",0,213,52,25.3918637414494,1287.4925270462,79,0
"11","10201247","2008",1282.36714786216,2009,50,97,"MW2012C3010210",0,213,52,25.3918637414494,1287.4925270462,79,0
"12","10201688","2008",1150.1551608713,2009,52,91,"MW2012C3010210",0,213,52,25.3918637414494,1287.4925270462,79,0
"13","10201688","2008",1150.1551608713,2009,52,91,"MW2012C3010201",0,213,50,24.6251729902528,955.561203222804,78,0
"14","10201688","2008",1150.1551608713,2009,52,91,"MW2012C3010417",0,213,52,22.1384038647576,676.753409484029,83,0
"15","10201688","2008",1150.1551608713,2009,52,91,"MW2012C3010508",0,213,50,22.4521626521724,832.24097283833,64,0
"16","10201688","2008",1150.1551608713,2009,52,91,"MW2012C3010209",0,213,53,22.9873326834379,923.203764783709,87,0
"17","10201688","2008",1150.1551608713,2009,52,91,"MW2012C3020403",0,213,52,24.2560847083914,746.685023125976,82,0
"18","10202514","2008",1452.72597979281,2009,52,89,"MW2012C3010210",0,213,52,25.3918637414494,1287.4925270462,79,0
"19","10202514","2008",1452.72597979281,2009,52,89,"MW2012C3010201",0,213,50,24.6251729902528,955.561203222804,78,0
