"","date","year","month","day","MISUKU","NTHALIRE","CHITIPA","KARONGA","CHILUMBA","RUMPHI","HEWE","MZUZU","MZIMBA","EMBANGWENI","JENDA","MPAMBA","NKHATABAY","CHINTHECHE","DWANGWA","NKHOTAKOTA","MWANSAMBO","SALIMA","DOWA","NTCHISI","MALOMO","MPONELA","MADISI","BOWE","SANTHE","KASUNGU","CHAMAMA","NKHAMENYA","CHATOLOMA","MKANDA","MCHINJI","NSUNDWE","NAMBUMA","KASIYA","LILONGWE","MITUNDU","NANJIRI","NKHOMA","THETE","MTAKATAKA","CHIMBIYA","BEMBEKE TURN OFF","LIZULU","SHARPEVALEY","TSANGANO TURN OFF","NTCHEU","NTONDA","BALAKA","NTAJA","NAMWERA","MONKEY BAY","MANGOCHI","LIWONDE","JALI","MAYAKA","ZOMBA","THONDWE","CHIRADZULU","LUNZU","LIMBE","BVUMBWE","MWANZA","NENO","LUCHENZA","MIGOWI","PHALOMBE","MULOZA","CHIKWAWA","NGABU","NCHALO","BANGULA","NSANJE","CHILINGA"
"1","2008-01-01","2008","01","01","136","108.19","167.18","240.25",NA,"169.56",NA,"132.81","149.15",NA,NA,"85.1","91.48","133.16","177.78",NA,"130",NA,"120","140",NA,NA,NA,NA,"90","150.63",NA,NA,NA,NA,"150","240","100",NA,"200","168","83.55","91.06",NA,"190","110","120","112.34",NA,NA,NA,NA,NA,"139",NA,"150.76","200","174.67","149.33",NA,"140",NA,"200","160","101.63","132.12","185","230.77","130",NA,"151.82",NA,NA,NA,"147.86","153.18","75",NA
"2","2008-01-08","2008","01","08","193.33","110.92","164","240.25",NA,"169.56",NA,"104.07","149.15",NA,NA,"85.1","99.05","133.06","177.78",NA,"130","92.4","120","140",NA,"130",NA,NA,"92.4","155",NA,NA,NA,NA,"130","142.05","105",NA,"200","168","83.33","91.37",NA,"190","110","120","112.34",NA,NA,NA,NA,"135.58","140",NA,"147.51","200","174.67","149.33",NA,"145.6",NA,"200","150","101.63","130","185","230.77","130",NA,"150.3",NA,NA,NA,"147.86","153.18","170",NA
"3","2008-01-15","2008","01","15","193.33","111.11","162.5","210",NA,"187.33","126.79","109.2","149.16",NA,NA,"174.07","100.95","133.58",NA,NA,"130","180","120","140",NA,"120",NA,NA,"92.4","155.24",NA,NA,NA,NA,"150","141.19","105","83.6","200","165","84.27","105.93",NA,NA,"120",NA,NA,"130","164.44","172.5",NA,"135.58","140",NA,"144.71","210","167.74","150.4",NA,"145.6",NA,"200","140","105.61","130","185","230.17","130",NA,"153.16","120","223.4",NA,"147.86","153.18","212",NA
"4","2008-01-22","2008","01","22","193.33","111.11","162.5","233.33",NA,"187.33","126.79","109.2","149.16",NA,NA,"174.07","111","133.72","250",NA,"138.68","180",NA,"140",NA,"130",NA,NA,"92.4","155.24",NA,NA,NA,NA,"150","141.19","105","83.6","200","160","84.27","105.93",NA,NA,"120",NA,NA,"130","164.44","172.5",NA,"135.58","140",NA,"152.01","210","167.74","150.4",NA,"145.6",NA,"200","140","105.61","130","185","230.77","130",NA,"155.67","120","223.4","155","147.86",NA,"212.5",NA
"5","2008-01-29","2008","01","29",NA,"110.72","185","250",NA,NA,"125.23",NA,NA,NA,NA,NA,NA,NA,"250",NA,"130",NA,NA,"140",NA,NA,NA,NA,NA,"140",NA,NA,NA,NA,NA,"200",NA,NA,"130","160",NA,"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,"134.22",NA,NA,"156.87","203.33",NA,NA,NA,"130",NA,NA,NA,NA,NA,"185","230.77","140",NA,NA,NA,"219.87","155",NA,NA,"212.5",NA
"6","2008-02-05","2008","02","05","193.33","121.48","205","285.71","200","187.33","109.05","132.81",NA,NA,NA,NA,NA,"134.36","250",NA,"130",NA,NA,"150","109.61","130",NA,NA,"110","155.26",NA,NA,NA,NA,"160","200","130",NA,"200","163","102",NA,"130",NA,NA,NA,NA,"150","173.15",NA,NA,"153.47","142",NA,"149.9","210.2","160.29","169.26",NA,NA,NA,"200","150","158.37","130","185","230.77",NA,NA,NA,"136.11","204.08",NA,"147.86",NA,"212.5",NA
"7","2008-02-12","2008","02","12",NA,"121.48","205",NA,NA,"205.24",NA,"106.2",NA,NA,NA,NA,NA,"134.36","250","305","130",NA,"120","150",NA,"130",NA,"115",NA,"155.26",NA,NA,NA,NA,"165","200","130",NA,"200","165","102","100","130",NA,NA,"110","110.2","130","160",NA,NA,NA,"145",NA,"158.11","218.33","168.29","150.11",NA,"170.65",NA,"200","150","187.01","130","185","230.33","155",NA,"186.72","136.11",NA,"140","147.86",NA,NA,NA
"8","2008-02-19","2008","02","19","191.25",NA,"205","191.49",NA,"205.24","138.1","136.2",NA,NA,NA,NA,NA,NA,"250","315","135","200","130","150",NA,NA,NA,NA,NA,"158.35",NA,NA,NA,NA,"170","200",NA,"200","200",NA,"102","100","130",NA,NA,"130.25",NA,"130",NA,NA,NA,"183.47","144",NA,"161.13","209.17","158","165",NA,NA,"185.5","200","150","187.01","130","180",NA,NA,NA,"168.41","125","205.17","120","147.86","194.91",NA,NA
"9","2008-02-26","2008","02","26","191.25",NA,"205","191.49",NA,"205.24","123.57",NA,NA,NA,NA,"190.53","124.13","136.49","250","305",NA,"120","130","160",NA,NA,NA,NA,"115",NA,NA,NA,NA,NA,NA,"200",NA,NA,"200","165","102",NA,NA,NA,"135","140",NA,NA,"150",NA,NA,NA,"138",NA,NA,NA,NA,"169.89",NA,NA,"185.5","200","170",NA,NA,"185","230.77","165",NA,"149.05","150","209.17","100","147.86",NA,"170",NA
"10","2008-03-04","2008","03","04","191.25",NA,"205","250","200","205.24","123.57","129.18",NA,NA,NA,NA,"134.14","136.9","250","320",NA,"180","135","160",NA,NA,NA,NA,"115","150.15",NA,NA,NA,NA,"170","180",NA,NA,"200","170","101.07",NA,"130",NA,"135",NA,NA,NA,NA,NA,NA,"155.3","138",NA,"153.16","220",NA,"159.89",NA,NA,"185.5","200","170","202.22",NA,"185","230.71","165",NA,"116.91","150","212.06","110","142","121.43","170",NA
"11","2008-03-11","2008","03","11",NA,NA,"257.44","270","200","205.24",NA,"134.2","156.63",NA,"187.5","284.15","151.43",NA,"250","322",NA,"180","135","150",NA,NA,NA,NA,"110","165.24",NA,NA,NA,NA,"165.5","180",NA,NA,"200","170","101.07",NA,"130",NA,"150",NA,"120.22",NA,"160",NA,NA,"165.3","144",NA,"190.69","209.2","315","171.34",NA,NA,"185.5","200","170","202.22",NA,"185",NA,"165",NA,"161.59","140","210.98","100","157.5","121.43","170",NA
"12","2008-03-18","2008","03","18","189.38",NA,"257.44","240","200","267.14",NA,"133","156.09",NA,"185.5","284.15","132.33",NA,"250","320",NA,"180","135","150",NA,NA,NA,NA,"110","165.24",NA,NA,NA,NA,"160",NA,NA,NA,"200","170.22","101.07",NA,"130","200","150",NA,NA,NA,NA,NA,NA,"135.58","182",NA,"149.63","285.5","168","150","96.4",NA,"185.5","175","180","187.17","130","185",NA,"150",NA,"161.59","140",NA,"100","140","121.43","127.5",NA
"13","2008-03-25","2008","03","25","189.38",NA,NA,"200","200","222.86",NA,"133","154.19",NA,"185.5","319.67","132.33","137.9","250","320",NA,"180","135",NA,NA,NA,NA,NA,"115","165.24",NA,NA,NA,NA,"160","184",NA,NA,"200","170.8","101.07",NA,"130","200","150",NA,NA,NA,"120",NA,NA,"155.3",NA,NA,"150.22","283","168","150","96.4",NA,"185.5",NA,"180","187.17","130","185",NA,"150",NA,"161.59","140",NA,"100","142","121.43","127.5",NA
"14","2008-04-01","2008","04","01",NA,NA,"257.44","275",NA,"222.86",NA,"175","156.02",NA,NA,"245.9","183.14","136.98","250","320",NA,NA,"140","150",NA,NA,NA,NA,"110","165.24",NA,NA,NA,NA,"160","185",NA,NA,NA,"171.44","98.72",NA,"120","160","150","150","114",NA,"123.5",NA,NA,"133.81","180",NA,"144.35","200.4","162","100",NA,"120","185.5","175","180","153.68","150",NA,"190.54","165",NA,"114.27","140",NA,"90","142","121.43","127.5",NA
"15","2008-04-08","2008","04","08",NA,NA,"257.44","200",NA,"185.71",NA,"119.18","165",NA,NA,NA,"183.14",NA,"250","375",NA,NA,"140","150",NA,NA,NA,NA,"110","165",NA,NA,NA,NA,NA,NA,NA,NA,NA,"174","99.42",NA,"120",NA,NA,NA,"109",NA,"122.22",NA,NA,"133.81","180",NA,"144.35","200","105","120.26",NA,NA,"185.5","175","180","153.68",NA,"185",NA,"165",NA,"109.49","140",NA,"90","130","133.26","148.75",NA
"16","2008-04-15","2008","04","15","158.33",NA,"179.92","208.78","155",NA,NA,"129","150.11",NA,"170.45","197.18","189.21",NA,"250","375",NA,NA,"145","150",NA,NA,"120",NA,"115","155",NA,NA,NA,NA,NA,"180",NA,"160","200","170","99.42",NA,NA,"160",NA,NA,NA,NA,"120",NA,NA,"133.81","180",NA,"146.31","189.58","162","94.66","96.4",NA,"185.5","175","180","103.35",NA,"185","190.54","150",NA,"101.68","140","162.48","100","130","143.21","148.75",NA
