"UG2011L101","UG2011L102","UG2011L103","UG2011L104","UG2011L105","UG2011L106","UG2011L107","UG2011L108","UG2011L109","UG2011L110","UG2011L111","UG2011L112","UG2011L113","UG2011L114","UG2011L115","UG2011L116","UG2011L117","UG2011L118","UG2011L119","UG2011L120","UG2011L121","UG2011L122","UG2011L123","UG2011L124","UG2011L125","UG2011L126","UG2011L127","UG2011L128","UG2011L129","UG2011L130","UG2011L131","UG2011L132","UG2011L133","UG2011L134","UG2011L135","UG2011L136","UG2011L137","UG2011L138","UG2011L139","UG2011L140","UG2011L141","date_list"
"0","0","0.453258058667372","0","0.00679552497196019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0618776686722135","0","0","0.180041031025357","0.205913505877836","0.0222275634891378","0.0586752283348814","01/01/2008"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.104894384177553","0.0689137616156974","0.374047887909884","0.0920208274415483","0","0","0.106169762783552","0.0989194069173175","01/02/2008"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00626952091097888","0","0","0","0","0","0","01/03/2008"
"0","0.0255685858370972","0","0","0","0","0","0","0","0","0","0","0","0","0.03681084033563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00786619373015614","0","0","0","01/04/2008"
"0.458190853471424","1.09574935125833","1.21545710110892","0.00904430473727287","0.038796637310472","0.0377694695318792","0","0.134837018525015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0314640093257425","0","1.06778620914816","0.113528674511663","0.524417593468587","0","0.0281829557224634","0","0.124765251217051","0.173576033453528","0.237146841755762","0.153837396078311","0.0399910942856787","01/05/2008"
"3.63210947527564","1.70561184577246","2.13133097342573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.098603944129925","0","0","0","0","0","0","0","0","0.0208769312265251","0","0","0","0","0.229631225471589","0.168427268901357","0.367812739884524","0.233590264127807","0","0.222045017378695","0.871322738756644","0.162850069451631","0.385855354967325","0.33285876771325","01/06/2008"
"0.630367182057584","0.905898760346059","1.133974302301","1.37883036805817","0.187551736067156","0.27210258586157","0","0.619656799921249","0","0","0.0955443834406172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.412770178517416","0.47810273063624","0.0920847250563302","0.0548871873035112","0.354344750934471","0.281272416286139","0.164136052489707","0.172286435587015","01/07/2008"
"0","0.0441166615509633","0.0667610091622535","0.487754554115292","0.0269684237643474","0.515043388184426","0","0.0424490746127671","1.68027666583108","0.272113230246576","0.0265787213324704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0150600592490449","0","1.16632456944842","0.514643795902283","0.129389021888162","0.53627295170614","0.330014076395821","0.412911343688412","0.183158755881922","0.125850151714391","0.044407218177712","0.11475112752037","1.35888225694375","01/08/2008"
"0.00335398520407784","0.195855066047573","0.529919952845806","0.923985891138716","0.0135824085040823","0","0","0","0","0.0116940090323733","0.0768740619700295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.175666511775104","0.307833228564139","1.30316763223631","0.0171817303048117","0.0357029049394673","0.157668160975276","0.125247112408466","0.858272620051584","01/09/2008"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01/10/2008"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0424805430663714","0.106615128351999","0","0.076155635699905","0","0","0.00272152354595172","01/11/2008"
"0.0504132079745674","0.151853722024253","1.77343573661035","0","0","0","0","0","0.266197813854934","0.303939919193234","1.69596417674551","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.643539637190827","0.704735120979116","1.59871726170979","0.300294990366466","0.299158220255673","0.0951336880501644","0.477684451881777","0.612390720662232","01/12/2008"
"0","0.532613821199691","1.99782734202368","1.38184144058044","0.988805778410314","0.208335756878984","0","0","0","1.01694297245239","0.0104450212772751","0.0335751775553876","0.00419633758352062","0","0.93160391440253","0.749118232396478","0.596818647544563","0","0","0.688684091632678","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.186891506753258","0.0123463511290346","0.477633638418646","0.0929676431108176","0.107124441834971","01/13/2008"
"0.47755158856709","3.27479603272256","3.58850498828069","3.66568553391734","1.10246514370144","3.06608480654625","7.03367272964724","0.757417257365118","2.64563820691495","1.06383708859777","2.81452167946902","5.02440691465854","4.59773584214452","0.606086526963485","0.0370881520854738","0.0763415174337605","0","0.45909073686895","0","0","0.00391148006254009","0","0","0","0","0","0.566230621964683","0","1.96550625131667","0","0.166189878927123","1.10747363052052","2.52971778226622","4.66072938935237","3.5195457855426","4.32300942095804","2.15891715331842","1.92988885122478","1.22373928492175","2.71481064200446","2.1922196263263","01/14/2008"
"4.81690707230356","3.33207716213831","0.182005913406541","1.94544909430697","3.94540855280263","3.48508377738104","2.63771354701203","5.65917349054242","1.39617494997029","1.02040071121978","2.92564139123475","0.470153357530962","2.70180584444683","2.38528982894401","0.385796992952562","0.417730926433709","0.690022324029935","1.11838041224218","0.489025720051315","0.7508545213081","0.23551574946287","3.65501024833513","0.472513919210142","1.91953398181292","0.0560069454508627","0.0132858423741128","1.45828227045058","0","10.3460951684352","7.16008770646996","12.1283518809474","5.7282819351188","9.94642253503057","4.43443624791561","4.59735684340372","7.19574303543973","3.72942840302606","4.78640597541183","3.13889697041484","4.20172057587881","5.75204636255239","01/15/2008"
"0","0","0","0","7.31633140122727","1.4725143401045","0.826989627823289","0.645657374187189","0","1.28442626038468","4.47369533131134","6.71112680611544","8.05799290975152","6.42225034382696","0.0765670329448884","0.815996457123892","3.04452751773912","5.09222921659231","5.29072836529714","0.452213826185141","2.36826902602274","0.409137034557147","2.94894249684984","0.901643571012185","0.749110989346562","2.21668181634702","5.89469543932567","12.3826016960061","10.8487646874393","11.1686761837364","12.3974083443005","11.1740562722864","12.0354396880486","10.4644912545159","5.15334579043255","9.37269782318621","7.34637107916185","3.51476980946754","3.72567680859838","5.20754637029188","7.45930921842107","01/16/2008"
"7.81768192830833","1.92047941196565","5.0073159646424","0","0.134031514366691","0.940144440963449","1.22833093495907","1.6510509098073","0.49672927307839","0.00724580184139142","0.100107623217307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.07400448346512","1.49279433913298","0.72134331535217","0.179618153633859","1.74222664998291","0.578963242356072","0.926292232359943","1.09294929004953","01/17/2008"
"0","0.39094080441056","0.551567463721288","0.40214258572189","0.0371991063224292","0.360560676225759","0","0.892100023027947","0","1.57745206762013","2.81450397990198","1.30623288574895","0.0684591197856412","0","0","0.0358226698658959","0","0","0","0","0.019255829469828","0","0.308162686036657","0.0523406630060212","0.263491045615769","0.0678328116288997","0","0","0.486560577928182","0","1.47563421358244","0","0.3624513559729","0.406904776226242","0.557311232818558","4.7880728063913","0.974829608971407","0.154326513269686","0.469426074871435","0.426074141218133","5.77567428393726","01/18/2008"
"0","0.149985687969452","2.13885833935118","5.1775721369097","0.654024766622363","4.01474273926459","2.03371591892553","3.29899250222456","3.81876223921075","0.699970732058149","0.430367819510849","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.683346077032459","0","3.29497688093425","0.0610414471985497","0.406319268056914","0","0.146391035080893","3.82789649009489","0.511483832628799","0","1.4955734747373","0.291063703289734","1.05469086965071","01/19/2008"
"0.131337832497691","0.323320531503322","0","0","0.0166696223500827","2.42607079743479","0","0.320503477985074","3.65607917620712","1.18052567239817","1.61065323891885","0","0","0.129703615972095","0.0145744330258727","0.0302126998097975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.743627398439044","0.188911129863752","7.1219749760158","3.74910069639757","3.37668468615599","9.79290410023172","2.53598693328718","1.55618387649006","0.120529233670642","2.86124496891431","7.68421305762926","01/20/2008"
"4.4413678051684","2.30550977542315","0.251405152703909","0.749822926885166","0.63071016074632","4.01505400955381","4.48174955715279","4.19017977868738","3.17679758366754","1.53636914363114","2.62719261232644","0.531695409615411","1.31522736651156","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0824570109279507","0","2.13987827276967","0.526859939728245","0.0054930216118289","0.0539688958613752","1.05092095051227","2.72880167493515","4.93187168345739","1.50415865839984","0.736403145092826","3.7722670601699","1.00751796369935","2.48742008143835","1.0907436369471","01/21/2008"
"2.75597370702765","2.99671437216148","2.68123755426337","3.06669380697112","1.74005856867517","1.16255850774808","1.29320481657285","2.24001238985911","2.55077928950121","0.0592190066241628","1.54661709262332","1.42523667184176","0.667045922790303","0.0277421694105566","0.154647010580886","0.0218949657768414","0.149392884201944","0.385806037099332","0.0101049581606592","0","0","0","0","0","0","0","0.58337911678873","0.345075623947597","2.20184576704575","2.14142571694534","3.70942077944756","4.67296847477063","8.62403122850369","7.22217761195188","3.94002278484149","7.30391942824264","2.76963069121241","3.27135770043626","0.976785504658295","3.04913276781003","4.86164166330811","01/22/2008"
"4.09705718351751","4.29031169179999","3.43412780546031","2.34496845358108","1.6681173104767","1.41305094007468","5.23956126020178","0.768961373291072","0.815307194709419","0.556672134150454","2.07171509163566","3.12904345201316","3.31622797299433","1.60803445174281","0.0139712182738968","0.215919599037453","0.0476436203824409","1.08072093336196","0.577230826140517","0.00381240094209434","0.35921060659846","0","0.0305392842191786","0","0","0.017080552985322","3.44802667341164","0","2.76149553741152","4.90498172512095","4.51991703618909","5.19345528095006","4.49655989672229","4.77407429470106","4.96698549628652","5.39451145117784","3.56145407873226","3.79663715233776","1.11908644661445","3.91374998199836","3.69431879155831","01/23/2008"
