"","MW2012C3999918","MW2012C3030519","MW2012C3030506","MW2012C3031005","MW2012C3030404","MW2012C3010107","MW2012C3010102","MW2012C3020815","MW2012C3020803","MW2012C3020403","MW2012C3010209","MW2012C3010201","MW2012C3010210","MW2012C3020103","MW2012C3020619","MW2012C3020703","MW2012C3030816","MW2012C3030613","MW2012C3010508","MW2012C3031313","MW2012C3010311","MW2012C3010309","MW2012C3020211","MW2012C3020209","MW2012C3020213","MW2012C3031116","MW2012C3020915","MW2012C3020913","MW2012C3020303","MW2012C3030904","MW2012C3010417","MW2012C3030716","MW2012C3010611","MW2012C3031213","MW2012C3031206","MW2012C3030206","MW2012C3030115","MW2012C3030112","MW2012C3030114","MW2012C3020515","MW2012C3020513","MW2012C3020813","MW2012C3030606","MW2012C3010517","MW2012C3020203","MW2012C3020503","MW2012C3030306","MW2012C3030514","MW2012C3030414","MW2012C3020603","MW2012C3030214","MW2012C3030204","MW2012C3030804","MW2012C3010503","MW2012C3010509","MW2012C3031105","MW2012C3010409","MW2012C3030714","MW2012C3030314","MW2012C3030304","date1"
"mat","302.984580993652","304.364486694336","306.0419921875","308.094403076172","304.049499511719","298.210998535156","297.039749145508","303.040985107422","301.371203613281","303.521993001302","299.155334472656","300.722503662109","301.402008056641","305.081256866455","302.399993896484","306.046249389648","302.851989746094","306.46132405599","301.186248779297","305.574330647786","305.029998779297","302.186004638672","306.242004394531","304.761993408203","305.441009521484","307.210494995117","NaN","303.724005126953","303.26899210612","303.234008789062","298.178009033203","305.804000854492","NaN","305.747985839844","305.978500366211","305.512008666992","305.845001220703","306.342000325521","304.845748901367","303.790985107422","304.741485595703","301.841995239258","307","299.342661539714","303.834495544434","303.605987548828","305.623001098633","304.868988037109","303.859985351562","303.006505330404","305.186508178711","304.365661621094","303.669006347656","303.087005615234","303.950500488281","308.123667399089","298.511993408203","304.239013671875","304.669006347656","304.704986572266","01/02/2008"
"mat","306.81575012207","306.561492919922","307.760009765625","310.602606201172","306.233993530273","304.156005859375","303.758499145508","306.667495727539","304.701806640625","304.801340738932","305.239329020182","306.449996948242","306.572998046875","305.837501525879","304.199005126953","305.209991455078","304.704010009766","308.001658121745","305.766628265381","307.059000651042","307.408004760742","306.416999816895","309.264007568359","307.731994628906","309.535491943359","309.315994262695","NaN","306.507202148438","305.82899983724","304.964996337891","305.933990478516","308.355499267578","NaN","307.734008789062","307.828002929688","307.243499755859","307.059997558594","307.754333496094","305.586494445801","306.842987060547","308.337005615234","306.227996826172","309.065002441406","307.332672119141","307.650001525879","306.709991455078","307.20125579834","307.18798828125","305.934997558594","304.685663859049","306.878494262695","306.214670817057","305.484497070312","306.236999511719","306.474250793457","309.774993896484","305.144012451172","306.532989501953","306.186004638672","305.947998046875","01/03/2008"
"mat","301.275917053223","304.442504882812","304.567993164062","309.543194580078","304.40950012207","299.463989257812","297.989501953125","300.853500366211","298.964801025391","298.985005696615","299.207336425781","300.947006225586","302.175994873047","299.080875396729","298.888000488281","298.64949798584","303.377014160156","304.12900797526","297.973621368408","302.613342285156","300.928497314453","299.519752502441","302.313995361328","300.614990234375","302.192001342773","309.756500244141","NaN","300.295404052734","299.580332438151","302.605010986328","298.093994140625","307.571502685547","NaN","302.148986816406","302.86100769043","302.359512329102","301.733993530273","301.559326171875","300.632247924805","301.572998046875","301.957000732422","299.613998413086","306.7080078125","298.87700398763","300.759750366211","301.115997314453","303.302253723145","305.209014892578","303.675994873047","298.606333414714","302.142501831055","301.480336507161","303.764511108398","298.364990234375","299.18074798584","310.911336263021","298.015014648438","305.143005371094","302.850006103516","302.355010986328","01/04/2008"
"mat","301.758328755697","303.505996704102","305.222991943359","307.988000488281","303.136001586914","300.625","298.804992675781","301.688491821289","300.036596679687","300.102335611979","300.135996500651","302.141998291016","303.996002197266","300.340377807617","300.384002685547","300.084495544434","301.9580078125","304.864674886068","298.454498291016","304.097676595052","301.177993774414","299.9892578125","302.348999023438","300.835998535156","302.352508544922","307.298492431641","NaN","302.173205566406","300.127655029297","302.183013916016","298.653015136719","305.535995483398","NaN","305.033996582031","305.548004150391","304.884506225586","302.949005126953","303.582672119141","302.14900970459","302.352996826172","302.752502441406","300.578491210938","306.059997558594","299.519327799479","301.260749816895","302.053009033203","304.850746154785","304.247985839844","302.764007568359","300.007329305013","304.399993896484","303.332000732422","302.589492797852","298.792999267578","299.495246887207","309.246988932292","298.713012695312","303.507995605469","303.438995361328","303.096984863281","01/05/2008"
"mat","301.311414082845","302.43049621582","303.558990478516","306.995599365234","302.220504760742","298.960998535156","297.915496826172","301.104995727539","299.571795654297","299.586995442708","299.432332356771","300.838500976562","301.653015136719","299.501129150391","300.341003417969","300.630752563477","301.621002197266","303.706665039062","299.759880065918","302.546671549479","301.815505981445","301.258995056152","301.751007080078","300.639007568359","301.149993896484","306.332504272461","NaN","300.858795166016","299.18266805013","301.635986328125","300.226989746094","304.553497314453","NaN","302.903991699219","303.29850769043","302.770004272461","302.032501220703","302.035329182943","300.954742431641","301.811004638672","301.954498291016","299.93798828125","304.872985839844","300.919657389323","300.274002075195","301.536010742188","302.963500976562","303.040985107422","301.820007324219","300.046503702799","302.511993408203","301.894002278646","301.976501464844","298.669006347656","299.556251525879","307.837331136068","301.243988037109","302.621002197266","302.006011962891","301.947998046875","01/06/2008"
"mat","303.816668192546","303.124008178711","304.153015136719","308.828796386719","303.113510131836","299.652008056641","298.755752563477","307.618499755859","305.069799804687","304.964660644531","300.196329752604","301.666000366211","302.453002929688","303.753746032715","306.325988769531","304.129241943359","302.522003173828","304.942677815755","301.645000457764","303.487345377604","303.539505004883","302.234252929688","305.842010498047","303.385009765625","306.566497802734","308.275497436523","NaN","303.026007080078","304.184000651042","302.337005615234","301.22900390625","305.966003417969","NaN","303.430999755859","303.833999633789","303.386001586914","307.451507568359","305.072336832682","304.392501831055","308.575988769531","308.816513061523","305.264007568359","306.075988769531","303.605662027995","305.891510009766","309.016998291016","303.509002685547","303.738006591797","302.510009765625","304.974670410156","303.164993286133","302.994669596354","302.822494506836","301.980010986328","302.263008117676","310.576670328776","299.553985595703","303.717010498047","302.625","302.68798828125","01/07/2008"
"mat","301.713081359863","306.290496826172","307.346008300781","309.829205322266","306.150497436523","298.009002685547","296.969253540039","302.441497802734","301.534606933594","300.552337646484","298.028004964193","299.524505615234","300.213989257812","299.892883300781","301.613006591797","300.395004272461","305.558013916016","307.197998046875","298.447124481201","306.052327473958","301.959503173828","300.154754638672","303.157012939453","301.985992431641","303.047012329102","309.144500732422","NaN","303.939605712891","300.582997639974","305.669006347656","298.088012695312","308.059005737305","NaN","306.179992675781","306.807510375977","306.400009155273","303.294494628906","304.429331461589","303.481254577637","302.815002441406","303.121002197266","302.278503417969","308.730987548828","298.995666503906","301.800498962402","302.576995849609","306.654258728027","306.881988525391","305.699005126953","301.194000244141","306.337005615234","306.122324625651","306.126495361328","299.510986328125","300.482490539551","309.470326741536","298.055999755859","306.601989746094","305.842010498047","305.929992675781","01/08/2008"
"mat","300.645080566406","301.670501708984","302.873992919922","305.088000488281","301.443008422852","298.653991699219","297.521751403809","301.572998046875","299.889599609375","300.154998779297","298.491668701172","300.037002563477","301.061004638672","300.222625732422","300.442993164062","300.332748413086","300.993988037109","302.236663818359","298.41136932373","301.565663655599","300.841506958008","299.562507629395","302.566986083984","300.739013671875","302.649505615234","305.101501464844","NaN","300.694195556641","300.308664957682","301.244995117188","298.713012695312","303.434005737305","NaN","302.522003173828","302.886993408203","302.438003540039","302.470993041992","302.180002848307","301.647247314453","302.315002441406","302.806991577148","300.283493041992","303.584991455078","299.688659667969","301.444000244141","302.045989990234","302.36474609375","302.194000244141","301.147003173828","300.113835652669","302.351501464844","302.347330729167","301.277496337891","298.861999511719","299.368255615234","306.322336832682","298.475006103516","301.739013671875","301.450988769531","301.584991455078","01/09/2008"
"mat","299.035250345866","300.589508056641","301.821014404297","303.166595458984","300.378005981445","298.092987060547","296.767997741699","300.406509399414","298.471606445312","298.610656738281","298.292999267578","300.015502929688","300.826995849609","298.476749420166","299.088989257812","298.748252868652","299.789001464844","300.917663574219","296.602867126465","300.448333740234","299.58349609375","298.28125","301.178985595703","298.889007568359","301.50700378418","303.271499633789","NaN","299.421801757812","299.005330403646","300.066009521484","297.325988769531","302.119491577148","NaN","301.502990722656","301.894012451172","301.467498779297","301.520492553711","301.198669433594","300.455505371094","301.264007568359","301.428009033203","298.8330078125","302.375","298.187998453776","300.15650177002","300.56298828125","301.369255065918","301.070007324219","300.109008789062","298.552993774414","301.300994873047","300.97699991862","300.207504272461","296.799987792969","297.516494750977","303.917663574219","297.136993408203","300.647003173828","300.471008300781","300.503997802734","01/10/2008"
"mat","300.577751159668","301.136505126953","302.372985839844","304.340002441406","300.904495239258","299.505004882812","298.241752624512","300.655502319336","298.938598632812","299.800333658854","299.705332438151","301.264999389648","302.074005126953","300.319999694824","299.697998046875","300.416000366211","300.149993896484","301.855662027995","299.07287979126","300.999664306641","302.520492553711","301.347747802734","302.903991699219","301.756988525391","302.524505615234","303.763000488281","NaN","299.865997314453","300.114664713542","300.373992919922","298.89599609375","302.628494262695","NaN","301.776000976562","302.259994506836","301.853500366211","301.630508422852","301.385335286458","300.806503295898","301.39599609375","302.036514282227","299.348999023438","303.243988037109","299.555002848307","301.136756896973","301.257995605469","301.863998413086","301.630004882812","300.643005371094","299.547668457031","301.710510253906","301.443339029948","300.723999023438","299.746002197266","300.541748046875","304.612670898438","299.475006103516","301.165985107422","301","300.963989257812","01/11/2008"
