TZ2009L101,TZ2009L102,TZ2009L103,TZ2009L104,TZ2009L105,TZ2009L106,TZ2009L107,TZ2009L108,TZ2009L109,TZ2009L110,TZ2009L111,TZ2009L112,TZ2009L113,TZ2009L114,TZ2009L115,TZ2009L116,TZ2009L117,TZ2009L118,TZ2009L119,TZ2009L120,TZ2009L121,TZ2009L122,TZ2009L123,TZ2009L124,TZ2009L125,TZ2009L126,TZ2009L127,TZ2009L128,TZ2009L129,TZ2009L130,TZ2009L131,TZ2009L132,TZ2009L133,TZ2009L134,TZ2009L135,TZ2009L136,TZ2009L137,TZ2009L138,TZ2009L139,TZ2009L140,TZ2009L141,TZ2009L142,TZ2009L143,TZ2009L144,TZ2009L145,TZ2009L146,TZ2009L147,TZ2009L148,TZ2009L149,TZ2009L150,TZ2009L151,TZ2009L152,TZ2009L153,TZ2009L154,TZ2009L155,TZ2009L156,TZ2009L157,TZ2009L158,TZ2009L159,TZ2009L160,TZ2009L161,TZ2009L162,TZ2009L163,TZ2009L164,TZ2009L165,TZ2009L166,TZ2009L167,TZ2009L168,TZ2009L169,TZ2009L170,TZ2009L171,TZ2009L172,TZ2009L173,TZ2009L174,TZ2009L175,TZ2009L176,TZ2009L177,TZ2009L178,TZ2009L198,TZ2009L199,date1
303.3983168,304.5299988,304.3599854,305.1978027,302.9839966,303.9578857,305.1266683,306.8165719,303.528656,297.0859985,300.515508,300.9419861,304.2250033,303.5342092,301.2024994,303.0695038,303.3707998,302.3955994,304.9979858,304.4600067,305.0565033,304.1560847,303.911747,303.6420001,302.4571446,302.7789993,301.2839966,301.3739532,302.365225,301.730011,303.7122986,301.6589966,300.225228,300.7687807,304.6368265,301.0985006,299.9532471,299.9071481,301.9303813,303.838623,307.013504,305.8143982,305.8499496,306.2169996,304.5920105,306.0965669,304.6694946,304.0580139,306.408632,305.8540039,305.9879913,306.3229741,306.0127513,306.6110026,304.4169378,304.2598368,297.5178146,297.2889099,300.6029968,297.3013306,297.0414001,297.0973307,300.5789978,298.4217529,298.4907183,298.2339986,302.4639893,304.2412994,301.1360046,302.138171,300.1494189,306.0108032,297.1762466,298.4662753,302.1626209,306.735555,299.4578367,295.1579689,301.4752625,303.010639,1/2/2008
304.998092,305.5843302,305.0784912,306.0640625,303.7364014,304.6201138,305.721344,307.6055734,305.103658,298.8179932,302.4835052,303.5209961,306.2040932,305.4612785,302.8690033,305.684494,304.8647319,304.5323975,306.6040039,304.4530029,306.0789948,304.9888357,305.012001,304.2369367,304.437718,304.3077545,303.7219849,302.9861008,303.9664294,303.2250061,304.6345505,303.4880066,302.4720029,303.6452188,305.7964711,303.8803355,301.0947495,303.3075692,303.5185017,305.1873741,308.0258713,307.2236023,306.1015503,307.7350704,306.8349915,306.8275651,306.7595062,305.4620056,305.980684,306.6050008,306.7407532,306.5050935,306.2150014,307.058665,305.9771252,306.2189992,302.0459347,300.1199063,305.2160034,302.1563314,301.5719971,301.9598338,304.360199,302.7420044,303.2425711,302.9193319,304.8190002,302.4924988,304.8037964,303.3716546,302.0412646,307.4543945,301.4104996,301.3603654,304.1319493,306.4648494,303.1243804,298.1660892,302.9576162,304.5240331,1/3/2008
306.0084998,306.5060018,305.6514893,305.6525981,304.2376038,305.0185581,305.8159993,306.9752808,305.8713277,300.3619995,304.0244954,305.2170105,307.8825462,306.8938999,305.3359985,307.6484985,304.393634,306.7676025,308.6619873,305.6094971,307.2507401,306.2308375,306.1071205,304.8982939,305.5331421,305.5374985,305.0140076,304.17005,305.0495313,304.8959961,305.8025986,305.1069946,303.2245456,304.3929377,306.9780579,304.7535095,301.7517548,303.9808611,304.9827926,304.402504,308.1531258,306.2896057,305.864576,306.7605678,306.1069946,307.0634381,305.6364899,303.8760071,308.1997922,307.8833313,308.2945023,308.0789301,308.0695801,308.0473328,305.5108738,304.0313314,300.9107533,299.1757285,301.9494934,298.8633321,299.173999,298.8128306,302.7268005,300.1642532,300.7218584,300.6636658,300.2430115,303.3607025,300.1431946,301.5061393,301.2587328,306.1389954,299.2979965,300.4936357,303.1975693,306.8348886,302.5233807,296.6884137,304.1025381,304.7951416,1/4/2008
304.7587509,305.4876607,304.3424988,304.0652669,303.2780029,303.8383314,305.1756694,305.348999,306.2723287,297.9750061,302.2026622,305.0360107,306.8348194,306.3150351,304.3349915,306.8349915,303.5964671,305.5600037,306.6669922,304.8744965,305.8219986,305.4935837,304.3018723,304.0455897,304.5865696,304.2174988,304.3500061,304.4305481,303.8086118,305.3779907,304.2044243,304.303009,302.5257277,302.6144094,305.6091757,303.0108337,301.9832458,301.869424,304.207209,303.1594963,306.3096237,304.3868042,303.2178764,304.1737867,303.3980103,306.3941332,303.1160126,302.3439941,304.6698994,306.0600077,305.7749939,305.2215227,305.7179998,306.8383382,304.6789074,304.1256663,300.9676857,300.1988137,304.1304932,301.0233358,301.239801,300.9523417,303.8368042,302.5524979,302.1427133,302.5800069,299.6019897,300.6322968,299.7931946,300.2756905,299.5570518,304.6360046,300.618248,299.6079989,302.275238,302.9200733,301.3762292,298.0210607,303.5957548,303.3524819,1/5/2008
304.8393423,305.2566732,304.8824921,305.0687378,303.5858032,304.4027846,305.6519979,306.5148577,306.1246643,298.4370117,302.2599996,304.2179871,305.8813615,306.4835174,303.2075043,305.4645081,303.7111989,305.2891968,306.9249878,301.2409973,305.3732452,301.3620885,303.941124,301.8043554,303.643437,302.3844986,301.0700073,302.1720993,302.3955508,302.6229858,301.0992256,301.0440063,300.6643164,300.5540648,300.6040578,300.4246674,300.7087479,300.7031424,303.3128213,303.9841232,307.5656281,305.7219971,305.2205498,305.5232871,304.8540039,307.1024303,304.6930084,303.3760071,306.4021076,307.3396708,306.9199905,306.5915244,306.3658346,307.3589986,304.5234985,304.0616608,299.3338737,298.4859064,301.1414948,298.1300049,298.323999,297.9101715,302.2371948,299.7490082,300.6540004,300.4643351,301.8739929,302.7548981,301.552002,301.212757,299.4288426,305.3786011,297.814743,298.4456399,302.4123811,306.5261875,299.8286318,295.7261765,303.0598304,303.2481849,1/6/2008
304.8938404,306.2176717,306.45401,306.6996623,305.0814026,306.0896674,306.7306722,308.4655675,304.5529989,299.0350037,301.9513346,302.6159973,305.5001776,304.9520337,302.5845032,304.8540039,303.943633,303.9872009,306.3080139,304.1815033,306.4575043,304.6267522,304.8436279,303.657293,303.4001421,302.7815018,300.8309937,301.8279999,302.0824691,301.9150085,303.1203758,300.6300049,300.2729575,300.0831547,304.7124688,300.2756653,299.7149963,300.1014317,302.6407623,303.694622,308.6947479,306.3356018,305.2752235,306.3275713,305.4410095,307.5924324,305.0919952,304.7510071,305.829055,304.8016663,306.7434998,306.0564779,303.735082,308.3043213,304.9336557,304.957667,297.9938145,297.4407238,301.7360077,298.4516602,298.2858032,298.4128316,302.0115967,299.1412506,299.9325736,299.4319967,301.6940002,302.7112,300.6346069,301.7681727,300.3230029,305.2870056,298.2714996,299.1881797,302.2640003,304.7477021,299.8030774,295.3633252,302.1968764,303.132659,1/7/2008
304.6512271,305.4303385,305.6205139,305.7902039,303.8010071,304.7006632,305.5816549,307.1937169,304.3726705,298.4360046,301.7860006,303.1419983,305.6877275,304.9887948,303.6620026,305.5679932,304.0644358,304.8608032,307.7449951,305.5740051,307.0322418,305.8889999,304.4762535,304.8850008,304.4558585,302.5162582,301.2179871,302.5962982,302.0263479,303.4590149,303.0394249,300.6329956,300.8744049,300.8548727,305.8677081,300.9430033,300.1835022,300.4601397,301.8947027,301.4172516,306.9592514,304.9050049,302.1444244,305.058354,304.144989,305.7833942,303.4305115,304.7080078,303.0339452,304.3446757,304.6115036,303.6516651,303.3374151,305.7036641,305.2319355,305.462499,297.1986847,296.8378157,299.4029999,296.9943339,296.7281982,297.1461639,298.6080017,298.0844955,297.5494298,297.9263306,299.5159912,299.9634003,299.1282043,299.2763451,296.7788937,304.784198,296.1000061,295.7898171,299.7308539,302.2792618,298.7023798,294.6229984,301.6419682,301.5869694,1/8/2008
302.6772953,304.4319967,304.8294983,304.273936,303.1857971,304.2242228,305.1226705,305.4385725,304.5323385,297.6059875,300.7845052,301.6950073,304.1846369,304.5055142,301.5059967,303.54599,302.0874664,302.807196,305.2090149,303.9884949,304.8050079,303.8092499,302.7548752,303.466472,302.5977173,302.6419983,300.5629883,301.3884018,302.4429178,302.1499939,303.2376762,300.7609863,300.1144534,301.7697515,303.9101221,302.272995,299.7175064,300.7094291,302.2042326,300.7392426,305.4792519,303.3174011,301.9875992,303.6365683,302.6650085,304.7048711,302.1094971,302.2090149,302.5802114,304.1523234,303.6920013,302.9874994,302.9355825,304.4903259,303.3026276,303.0911662,297.8034401,298.1290894,300.4075012,297.726003,297.6684021,298.1988271,300.4838013,299.5170059,298.9874268,299.1023356,299.696991,300.2797058,298.348407,298.8753104,297.4142119,302.5565979,296.9919968,296.7753629,299.5847618,302.5947786,299.5991145,296.0582958,301.8356755,301.2759262,1/9/2008
303.1114759,304.4803365,304.6240082,304.7820658,302.9660034,304.0312195,304.8896688,306.2352862,302.885671,297.144989,300.0265045,299.2619934,303.7205478,302.6311067,299.2445068,301.9225006,302.0647013,300.5508057,302.8710022,302.1010132,302.6917496,302.980751,301.140625,301.3957071,300.8298514,302.7350006,302.526001,301.4538025,302.5897155,301.6149902,302.1102501,302.625,301.4848189,302.1612206,303.4692383,302.4450073,300.3632584,301.5607125,302.1850577,301.4469986,306.1212425,304.7519958,303.3137253,304.8389282,303.6059875,305.4186534,303.2919922,303.6879883,304.4826837,304.8213298,304.9352493,304.6742597,304.4959157,305.6700033,302.2551241,302.2881673,297.803751,297.3980019,299.8394928,296.1333313,295.9605957,295.6016642,299.7026062,298.0042496,297.9341431,298.1189982,299.822998,301.3274994,299.0111938,299.9739317,298.167262,302.5995911,296.452507,296.993816,299.8575687,303.9142953,299.7995451,294.9387952,301.698507,301.8264394,1/10/2008
302.4519098,303.9003296,304.4179993,304.0169332,302.6578064,303.7114461,304.5663452,305.9734323,303.2966715,296.4819946,299.4161631,299.947998,303.0698187,302.7112406,298.7505035,301.3939972,301.7487335,300.2972046,302.6170044,301.2294922,303.3622589,302.0780843,301.8521233,300.843881,300.0411421,303.6515045,302.2330017,302.1157501,303.0113457,302.5450134,302.425248,302.9710083,301.1414101,302.4968443,303.2147037,302.713501,300.5635071,301.9050031,302.9029999,302.5584984,306.279377,304.9522034,304.6201973,305.1672865,304.2609863,305.215129,303.9904938,303.0400085,304.3753662,303.7856649,304.5455017,304.7095264,303.6679204,305.5079956,302.3825331,302.8366648,298.0639381,297.5678156,301.2634888,298.2276713,297.7317993,297.7898356,301.2210022,298.9629974,299.1564287,298.9646606,301.2120056,302.7812988,300.617395,301.3282071,299.7813207,303.739801,297.7350006,298.8202681,301.3283343,304.6485935,300.5271896,295.5046773,302.1940467,302.3971121,1/11/2008
