"","UG2011L101","UG2011L102","UG2011L103","UG2011L104","UG2011L105","UG2011L106","UG2011L107","UG2011L108","UG2011L109","UG2011L110","UG2011L111","UG2011L112","UG2011L113","UG2011L114","UG2011L115","UG2011L116","UG2011L117","UG2011L118","UG2011L119","UG2011L120","UG2011L121","UG2011L122","UG2011L123","UG2011L124","UG2011L125","UG2011L126","UG2011L127","UG2011L128","UG2011L129","UG2011L130","UG2011L131","UG2011L132","UG2011L133","UG2011L134","UG2011L135","UG2011L136","UG2011L137","UG2011L138","UG2011L139","UG2011L140","UG2011L141","date1"
"mat","297.600997924805","301.363226996528","302.605010986328","302.80549621582","302.440002441406","302.391494750977","302.060668945312","303.053009033203","303.398986816406","307.017166137695","303.818716866629","304.920989990234","304.727498372396","305.923665364583","306.320001220703","306.957331339518","306.686874389648","305.961458646334","306.376007080078","307.548004150391","306.087998334099","305.088996887207","305.877069091797","305.449249267578","305.148506164551","304.565494537354","306.782115263097","302.803253173828","306.049001057943","306.920013427734","306.310501098633","306.978830973307","306.17399597168","304.912333170573","303.190930596713","304.420501708984","304.818099975586","303.204969406128","304.306419372559","303.459991455078","304.03153008355","01/02/2008"
"mat","299.673004150391","302.788275824653","304.356994628906","303.946990966797","303.494995117188","303.646499633789","303.240997314453","304.342987060547","304.631988525391","309.331832885742","305.153141566685","305.863006591797","305.656997680664","307.32666015625","309.358795166016","310.145111083984","309.154376983643","307.424689659706","308.096008300781","310.120010375977","308.049000459559","307.290245056152","307.709065755208","307.15625","307.178009033203","305.697250366211","307.885530359605","303.221748352051","306.852996826172","307.515014648438","307.48649597168","308.419326782227","307.070495605469","306.73833211263","305.256862245757","305.758514404297","306.580899047852","305.050344467163","305.633916219076","306.072998046875","305.55748969184","01/03/2008"
"mat","300.973007202148","304.159052530924","306.226013183594","304.628494262695","305.618001302083","304.733505249023","304.265004475911","305.046997070312","305.945007324219","311.459004720052","306.348284040179","308.066009521484","308.004999796549","309.667663574219","310.510998535156","312.10772535536","311.85912322998","309.156456580529","310.44499206543","311.632995605469","310.050411448759","309.262748718262","309.670930989583","308.978248596191","309.229507446289","308.35950088501","309.149645637063","305.711250305176","307.596659342448","307.408996582031","306.245498657227","306.396001180013","304.639999389648","305.219665527344","305.433169660897","304.898010253906","307.273400878906","305.542531967163","307.941167195638","304.571014404297","305.634776475694","01/04/2008"
"mat","299.494491577148","304.27338663737","305.424011230469","304.756011962891","306.10400390625","305.761993408203","305.184000651042","305.869995117188","307.018005371094","309.304173787435","307.415858677455","308.114013671875","307.620666503906","307.943328857422","309.396398925781","309.417890760634","308.974624633789","308.606766920823","308.444000244141","309.738510131836","309.578234504251","308.711250305176","309.281331380208","308.789001464844","308.454002380371","308.078502655029","309.39552935432","306.094757080078","308.779998779297","308.891998291016","308.232498168945","308.209503173828","307.439010620117","306.975331624349","306.959206416689","306.508499145508","307.784799194336","306.685220718384","307.113833109538","307.165985107422","306.687266710069","01/05/2008"
"mat","298.828506469727","302.616334703234","303.721984863281","303.989501953125","305.40532430013","304.174499511719","303.705332438151","304.502990722656","305.559997558594","309.251998901367","306.357434953962","306.876007080078","306.264831542969","306.620666503906","310.589801025391","309.93527730306","307.272624969482","307.727001483624","306.794998168945","309.50700378418","308.576055190142","308.029006958008","308.224332682292","307.803245544434","307.078498840332","306.648498535156","309.031887278837","305.192497253418","308.13633219401","308.635009765625","307.491012573242","308.375996907552","305.967498779297","306.182332356771","305.541343952047","304.896499633789","306.399700927734","305.39524936676","305.677998860677","304.950012207031","305.175756835937","01/06/2008"
"mat","299.251495361328","302.053387112088","303.635986328125","302.691497802734","304.585662841797","303.498001098633","302.856669108073","303.589996337891","305.174987792969","309.659001668294","306.859283447266","307.615997314453","307.394500732422","309.004333496094","309.572802734375","310.502446492513","310.543125152588","308.677079420823","309.754501342773","310.787506103516","309.410237031824","308.383995056152","308.242197672526","308.104248046875","307.75","306.322246551514","308.124527875115","304.317245483398","307.322001139323","307.524993896484","306.942993164062","307.287501017253","305.68701171875","305.230662027995","305.103170460668","304.546997070312","306.600302124023","304.682123184204","306.4523340861","304.386993408203","304.802376302083","01/07/2008"
"mat","300.370498657227","303.337332831489","304.412994384766","303.414505004883","304.440663655599","303.817001342773","303.096995035807","304.381011962891","305.157989501953","309.859502156576","306.220711844308","307.162994384766","306.826833089193","307.803334554036","309.451995849609","310.282665676541","309.286998748779","307.739612285907","308.462997436523","310.508987426758","308.279530244715","307.090995788574","307.096333821615","306.815246582031","306.01350402832","305.333122253418","307.711174460018","303.858741760254","307.652659098307","308.009002685547","307.422012329102","307.457834879557","306.524993896484","305.962677001953","305.86069146518","305.838500976562","307.008599853516","305.506909370422","305.837999979655","306.126007080078","305.813488769531","01/08/2008"
"mat","297.891510009766","301.458777533637","302.502990722656","302.38249206543","304.89365641276","302.726989746094","302.306660970052","302.820007324219","304.026000976562","308.607833862305","305.589141845703","306.558990478516","306.392995198568","306.95399983724","308.711193847656","308.95639207628","308.026504516602","306.928767277644","307.432998657227","308.934509277344","306.78758688534","304.945251464844","306.036936442057","305.250747680664","305.444000244141","305.294750213623","308.306294160731","304.572242736816","308.858001708984","309.444000244141","308.497497558594","309.183502197266","307.109008789062","306.467661539714","304.738307558257","305.361999511719","306.50729675293","304.42546749115","304.803164164225","305.342987060547","305.227465820312","01/09/2008"
"mat","298.479995727539","301.890058729384","303.634002685547","303.332000732422","301.103668212891","303.256500244141","302.841664632161","303.748992919922","304.679992675781","308.157826741536","305.91785975865","306.779998779297","307.071670532227","307.480997721354","307.010406494141","308.197553846571","307.671123504639","306.875150240385","307.599014282227","309.093002319336","306.927353802849","305.411003112793","305.130135091146","304.501998901367","303.980003356934","302.967994689941","305.587998334099","300.431251525879","304.352335611979","305.078002929688","305.03450012207","305.585169474284","305.092498779297","304.770670572917","305.039448705213","304.757995605469","305.54870300293","304.435215950012","305.291002909342","305.239013671875","304.99275648329","01/10/2008"
"mat","298.763000488281","302.401831732856","303.467010498047","303.279998779297","302.830342610677","302.983993530273","302.542327880859","303.704986572266","304.039001464844","308.418329874674","305.036281040737","306.179992675781","305.892506917318","307.761678059896","307.803204345703","308.923889160156","308.415378570557","307.354928823618","308.144989013672","309.610000610352","307.482823988971","305.988250732422","306.106667073568","305.572998046875","305.071754455566","304.317749023438","306.71705717199","302.408760070801","305.651336669922","306.346984863281","305.984008789062","306.510503133138","306.166000366211","305.552327473958","304.732586038524","305.514999389648","306.059896850586","304.478094100952","305.053250630697","305.628997802734","305.666821967231","01/11/2008"
"mat","298.561996459961","301.913889567057","303.385986328125","302.695999145508","304.945007324219","303.439987182617","303.159657796224","303.427001953125","304.872009277344","308.897664388021","306.020433698382","307.394989013672","307.078165690104","308.346659342448","308.351000976562","309.217776828342","309.542373657227","307.942002516526","309.132995605469","309.720993041992","307.875001795152","306.327499389648","306.653068033854","305.931251525879","305.85050201416","305.853630065918","308.436406752642","304.795753479004","307.620330810547","308.158996582031","306.886993408203","307.965504964193","305.184509277344","305.72900390625","304.863450675175","304.265502929688","306.355303955078","304.799251556396","305.856915791829","304.200012207031","304.848933919271","01/12/2008"
