"","UG2011L101","UG2011L102","UG2011L103","UG2011L104","UG2011L105","UG2011L106","UG2011L107","UG2011L108","UG2011L109","UG2011L110","UG2011L111","UG2011L112","UG2011L113","UG2011L114","UG2011L115","UG2011L116","UG2011L117","UG2011L118","UG2011L119","UG2011L120","UG2011L121","UG2011L122","UG2011L123","UG2011L124","UG2011L125","UG2011L126","UG2011L127","UG2011L128","UG2011L129","UG2011L130","UG2011L131","UG2011L132","UG2011L133","UG2011L134","UG2011L135","UG2011L136","UG2011L137","UG2011L138","UG2011L139","UG2011L140","UG2011L141","date1"
"mat","284.827011108398","287.382052951389","289.963012695312","289.434509277344","287.654663085938","288.403991699219","288.461669921875","288.924987792969","289.170013427734","293.007166544596","290.48785836356","292.109008789062","291.130167643229","291.434000651042","292.475598144531","292.480275472005","292.563247680664","291.326460618239","291.673004150391","291.697494506836","290.886411779067","290.002746582031","291.37407023112","291.307006835938","291.464744567871","289.369003295898","291.713407628676","286.902000427246","290.659006754557","291.178985595703","291.009506225586","291.247166951497","290.430999755859","289.438659667969","289.039585508149","289.526000976562","290.746292114258","288.61912727356","290.555501302083","289.204986572266","290.193531629774","01/02/2008"
"mat","283.918502807617","286.499776204427","288.730987548828","288.197494506836","286.691660563151","286.998001098633","286.704335530599","287.809997558594","287.859008789062","291.420003255208","289.105856759208","290.273010253906","289.588165283203","289.756001790365","290.698803710938","290.207943386502","290.749500274658","290.010385366587","289.55500793457","287.723999023438","288.870113597197","287.217498779297","289.649532063802","288.609252929688","289.379005432129","288.203510284424","290.72682279699","286.24324798584","289.990325927734","290.320007324219","289.412994384766","289.913167317708","288.349487304688","288.822662353516","288.100757467336","288.049499511719","289.744897460938","287.864656448364","288.814165751139","288.036987304688","289.179734971788","01/03/2008"
"mat","283.695510864258","286.419664171007","288.227996826172","287.708999633789","286.664998372396","286.453002929688","286.244333902995","287.285003662109","287.190002441406","290.726328531901","288.849138532366","290.990997314453","289.516504923503","288.877675374349","290.055004882813","290.110110812717","289.449123382568","290.09130859375","288.557998657227","289.936996459961","290.085822610294","288.2294921875","290.129400634766","289.251495361328","289.438003540039","288.466621398926","290.548178280101","286.107002258301","289.188334147135","289.785003662109","288.940002441406","289.495000203451","288.861999511719","288.927327473958","288.272859770676","288.84001159668","289.482501220703","288.279062271118","288.300666809082","288.580993652344","289.375136311849","01/04/2008"
"mat","282.935012817383","286.569946289062","288.31201171875","289.862014770508","287.051005045573","289.098510742188","288.93300374349","289.808013916016","289.959991455078","292.667500813802","290.714717320033","291.552001953125","290.747334798177","290.855997721354","291.292401123047","291.689056396484","291.73225402832","290.45692561223","291.025497436523","291.230499267578","290.654352524701","289.301750183105","290.630600992839","289.988998413086","289.766998291016","288.687252044678","290.879180908203","286.516754150391","289.978993733724","290.696990966797","290.035003662109","290.727330525716","289.813995361328","289.885335286458","289.442102892645","289.483001708984","290.371997070312","289.058248519897","290.170588175456","288.701995849609","290.180868191189","01/05/2008"
"mat","285.436996459961","288.85883585612","290.399993896484","291.175491333008","288.400329589844","290.869491577148","290.584665934245","291.527008056641","291.875","293.581995646159","292.92671421596","293.789001464844","292.646494547526","291.714335123698","292.007202148438","292.119501749674","292.074871063232","291.923767089844","291.462509155273","291.308990478516","291.113764145795","289.514747619629","290.840932210286","290.084999084473","289.845001220703","289.199378967285","292.584706025965","287.580001831055","291.814331054688","292.893005371094","292.342498779297","292.546834309896","291.829498291016","291.813659667969","292.03534461712","291.531509399414","292.355197143555","291.369812011719","291.353167215983","291.85400390625","291.532510715061","01/06/2008"
"mat","285.051498413086","288.266387939453","289.858001708984","289.846496582031","286.446004231771","289.432495117188","289.222005208333","290.029998779297","290.529998779297","293.137664794922","291.459572928292","292.217010498047","291.228830973307","291.50200398763","291.434197998047","292.069281684028","292.076499938965","291.787078857422","291.589996337891","291.710510253906","291.166412353516","288.83024597168","290.022534179688","289.37525177002","289.266242980957","287.801872253418","291.245057947495","285.44750213623","289.292663574219","290.108001708984","289.658493041992","290.270833333333","289.382507324219","289.457997639974","289.897585112473","289.397506713867","290.682800292969","289.592875480652","290.379002888997","289.18701171875","290.022491455078","01/07/2008"
"mat","284.210494995117","287.367609659831","288.953002929688","288.710510253906","287.028666178385","287.975494384766","287.648671468099","288.617004394531","289.260986328125","293.912668863932","291.535287039621","293.371002197266","292.190836588542","291.678344726562","293.076202392578","293.531112670898","293.564380645752","290.771841195913","292.40251159668","293.110000610352","291.507354736328","289.444496154785","290.609932454427","289.341239929199","288.571250915527","288.034748077393","291.026293586282","285.681503295898","289.276997884115","290.221008300781","289.471008300781","290.216171264648","289.1875","289.924662272135","290.090515136719","289.330001831055","290.800802612305","289.839936256409","290.333999633789","289.730987548828","290.062242296007","01/08/2008"
"mat","283.953002929688","287.758722941081","289.209991455078","290.435501098633","287.394673665365","290.242004394531","289.960662841797","290.627990722656","291.472991943359","293.82866414388","292.572004045759","292.871002197266","291.864832560221","291.942667643229","293.684204101562","292.941443549262","292.540500640869","292.091766357422","291.911499023438","292.246002197266","291.781824448529","289.646507263184","290.645465087891","290.366996765137","290.299247741699","288.392375946045","291.767353731043","286.082000732422","289.857666015625","291.102996826172","290.776000976562","291.975163777669","291.087493896484","290.998992919922","290.73737940295","290.602996826172","291.341998291016","290.000750541687","291.090082804362","290.402008056641","290.898356119792","01/09/2008"
"mat","284.224487304688","287.073555840386","288.946014404297","288.421997070312","286.626993815104","287.526504516602","287.285664876302","288.178009033203","288.399993896484","292.665496826172","289.851994105748","291.121002197266","290.275324503581","291.100667317708","292.460406494141","292.302113850911","292.445873260498","290.78415621244","291.537994384766","291.468505859375","290.547765395221","289.623252868652","290.35439860026","289.931503295898","289.064506530762","287.856750488281","290.531824448529","285.630744934082","289.118011474609","289.415985107422","288.747497558594","289.004999796549","288.748504638672","288.752665201823","289.021172885237","289.064498901367","290.092498779297","288.76328086853","289.783251444499","288.752014160156","290.115801323785","01/10/2008"
"mat","285.203002929688","288.39560953776","289.851013183594","289.083999633789","287.736002604167","288.834503173828","288.554992675781","289.450012207031","290.204010009766","292.713836669922","291.044281005859","291.915985107422","291.006332397461","291.359670003255","291.645196533203","291.917945014106","292.083377838135","291.372232290415","291.463500976562","291.436492919922","290.90794282801","288.48225402832","290.250002034505","289.025497436523","289.310249328613","289.011123657227","292.173235724954","287.186004638672","291.215667724609","291.781005859375","291.233001708984","291.322336832682","290.56950378418","290.210327148438","290.10644636483","290.273498535156","291.270492553711","290.041282653809","290.065246582031","289.966003417969","290.874088541667","01/11/2008"
"mat","284.560501098633","287.785280015734","289.430999755859","289.169998168945","288.070332845052","288.083999633789","287.669667561849","289.191986083984","289.010009765625","291.282338460286","290.409432547433","291.391998291016","290.655838012695","290.670328776042","291.231597900391","290.729276869032","290.416625976562","291.022998516376","290.183502197266","290.466995239258","290.963883343865","289.071998596191","291.502665201823","289.852500915527","291.036994934082","290.679874420166","292.494058048024","288.203247070312","291.519999186198","291.894012451172","291.505004882812","291.078328450521","290.973007202148","290.302337646484","290.048723944302","290.81999206543","291.158505249023","289.736874580383","289.645413716634","290.282012939453","291.085198974609","01/12/2008"
"mat","284.76399230957","287.644778781467","289.352996826172","288.970001220703","288.8056640625","288.774002075195","288.771006266276","289.255004882812","289.759002685547","293.549835205078","291.303571428571","293.207000732422","291.669169108073","291.729339599609","293.267999267578","293.002607557509","292.640369415283","291.661081167368","291.865005493164","292.044998168945","291.553001852596","289.831253051758","290.811063639323","290.113998413086","289.825996398926","289.272747039795","292.36888032801","287.56275177002","291.292999267578","292.075012207031","291.299499511719","291.482498168945","291.025497436523","290.35166422526","290.069206500876","290.677001953125","291.514102172852","289.641404151917","290.791330973307","290.368011474609","290.490578884549","01/13/2008"
"mat","284.462005615234","287.715169270833","289.419006347656","289.533493041992","287.898661295573","290.142501831055","289.847340901693","290.178985595703","291.630004882812","293.425165812174","293.096575055804","292.720001220703","291.895665486654","291.343007405599","291.627600097656","291.780220879449","292.123497009277","291.129690317007","291.398498535156","291.06298828125","290.351413502413","288.818244934082","290.575799560547","289.525253295898","290.159255981445","289.6057472229","291.886878518497","287.486991882324","290.957997639974","291.471984863281","290.775009155273","291.385004679362","290.121490478516","290.601674397786","291.056722706762","290.168487548828","291.353204345703","290.259780883789","290.706499735514","290.22900390625","290.847511121962","01/14/2008"
"mat","285.262496948242","288.497831556532","290.105010986328","290.218505859375","288.752665201823","289.445007324219","289.119995117188","290.371002197266","290.555999755859","293.637334187826","292.398428780692","294.18701171875","293.125493367513","293.075998942057","292.534600830078","292.813218858507","293.187007904053","292.921079195463","292.867004394531","292.009002685547","292.197114832261","290.446250915527","292.159067789714","291.001258850098","291.285751342773","290.483123779297","293.092821906595","287.890998840332","291.05766805013","292.102996826172","291.389495849609","292.578170776367","291.132995605469","291.390329996745","291.100723792767","290.375991821289","292.000100708008","290.856969833374","291.543581644694","290.799011230469","290.737021891276","01/15/2008"
"mat","283.733993530273","287.083887736003","288.391998291016","288.128997802734","287.836669921875","288.557510375977","288.037333170573","289.040008544922","290.174987792969","292.788996378581","292.041002546038","292.657012939453","292.174830118815","291.447662353516","292.054400634766","291.758053249783","291.653999328613","291.339233398438","291.167999267578","290.599502563477","290.431703455308","289.479995727539","291.49799601237","291.559761047363","291.50350189209","289.667121887207","292.473115808824","287.347747802734","291.033996582031","292.299011230469","291.7705078125","293.015167236328","291.657501220703","292.014333089193","291.454446726832","291.093505859375","291.827697753906","290.9008436203","290.207501729329","291.824005126953","291.142732747396","01/16/2008"
"mat","283.989501953125","288.011169433594","289.454010009766","290.02799987793","286.098002115885","289.373992919922","289.086669921875","290.264007568359","290.259002685547","292.20166015625","291.126286097935","291.967010498047","291.140665690104","290.256663004557","290.853002929687","290.963002522786","291.103496551514","290.147158109225","290.38200378418","290.301498413086","289.881528966567","288.709754943848","290.356862386068","289.737510681152","290.283493041992","288.466625213623","290.692585664637","285.274742126465","288.513326009115","289.786987304688","289.456497192383","291.007161458333","290.079010009766","290.761678059896","290.530346048289","289.774002075195","290.50700378418","290.282189369202","290.248250325521","290.048004150391","289.708510335286","01/17/2008"
"mat","284.054000854492","287.515891181098","288.742004394531","288.460494995117","287.861002604167","288.37451171875","287.893666585286","289.102996826172","289.880004882812","293.606165568034","291.589856828962","292.816986083984","291.821334838867","292.227661132812","293.013006591797","293.223554823134","293.284999847412","292.129615196815","292.568511962891","292.690994262695","291.541886273552","289.435997009277","290.843668619792","290.653755187988","291.040252685547","289.188499450684","291.687643612132","286.789001464844","290.616007486979","290.941009521484","290.525497436523","290.580164591471","289.351501464844","290.043334960938","290.163174333244","289.889999389648","291.498999023437","290.149938583374","290.455665588379","289.277008056641","290.967333306207","01/18/2008"
"mat","283.567993164062","287.369111802843","288.873992919922","289.381011962891","286.359334309896","289.105010986328","289.109008789062","289.497009277344","289.839996337891","292.640497843424","290.855420793806","292.015991210938","291.093673706055","290.581665039062","292.216607666016","291.485892401801","291.295497894287","290.101459209736","290.376495361328","289.93049621582","289.412527645336","288.263000488281","289.385998535156","289.380752563477","289.312995910645","287.305999755859","289.8903539321","284.96849822998","288.799987792969","289.608001708984","289.188003540039","289.970667521159","289.214004516602","289.697001139323","289.698381095097","289.384002685547","290.385705566406","289.573341369629","290.146914164225","289.365997314453","290.238844807943","01/19/2008"
"mat","284.982986450195","288.048444959852","289.726013183594","289.016510009766","287.232666015625","288.01399230957","287.528666178385","288.967987060547","289.462005615234","292.981501261393","291.618709019252","292.510986328125","291.575002034505","291.096995035807","292.845397949219","292.183113945855","292.18563079834","290.351078913762","291.08349609375","290.537002563477","289.120998606962","287.917251586914","289.168599446615","288.784248352051","289.436248779297","287.800254821777","290.369000603171","285.758255004883","289.5830078125","290.200012207031","289.672500610352","290.485168457031","289.250503540039","290.289001464844","290.307035248855","289.401000976562","290.915399169922","290.081812858582","290.120585123698","289.694000244141","290.473179796007","01/20/2008"
"mat","284.921493530273","288.35094028049","289.915985107422","289.90299987793","289.152994791667","289.697998046875","289.41899617513","290.188995361328","290.808013916016","294.228830973307","291.945578438895","293.319000244141","292.541834513346","292.597340901693","293.523004150391","293.648390028212","293.541130065918","292.086768517127","292.72151184082","292.765991210938","291.618530273438","289.766242980957","291.011934407552","290.330497741699","290.516242980957","289.961124420166","293.087414909812","288.52099609375","292.214009602865","293.273986816406","292.774490356445","293.632339477539","292.573013305664","292.249328613281","291.279587318157","291.981491088867","292.464401245117","291.0249376297","291.320503234863","291.821990966797","292.105644395616","01/21/2008"
