"","cat_FCS","cat_HDDS","cat_rCSI"
"1","0","1","0"
"2","1","1","1"
"3","1","1","0"
"4","1","1","0"
"5","0","1","0"
"6","0","1","0"
"7","1","1","0"
"8","1","1","0"
"9","1","1","0"
"10","1","1","0"
"11","1","1","0"
"12","1","1","0"
"13","1","1","0"
"14","1","1","0"
"15","1","1","1"
"16","1","1","1"
"17","1","1","1"
"18","1","1","1"
"19","1","1","0"
"20","0","1","0"
"21","1","1","0"
"22","1","1","0"
"23","0","1","0"
"24","0","1","0"
"25","0","1","0"
"26","0","1","0"
"27","0","1","1"
"28","0","1","1"
"29","0","1","1"
"30","0","1","1"
"31","1","1","0"
"32","1","1","0"
"33","1","1","0"
"34","1","1","0"
"35","1","1","0"
"36","1","1","1"
"37","1","1","1"
"38","1","1","1"
"39","1","1","0"
"40","0","1","0"
"41","1","1","1"
"42","1","1","1"
"43","0","1","0"
"44","0","1","0"
"45","1","1","1"
"46","1","1","1"
"47","1","1","0"
"48","1","1","0"
"49","1","1","0"
"50","1","1","0"
"51","1","1","0"
"52","0","1","1"
"53","0","1","1"
"54","0","1","1"
"55","1","1","0"
"56","1","1","0"
"57","1","1","0"
"58","0","1","0"
"59","1","1","1"
"60","0","0","0"
"61","0","1","0"
"62","1","1","0"
"63","2","1","0"
"64","1","1","0"
"65","1","1","0"
"66","0","1","0"
"67","0","1","0"
"68","0","1","0"
"69","0","1","0"
"70","0","1","0"
"71","0","1","0"
"72","0","0","0"
"73","0","0","0"
"74","0","0","0"
"75","0","0","0"
"76","0","0","0"
"77","0","0","0"
"78","0","1","0"
"79","1","1","1"
"80","1","1","1"
"81","0","1","1"
"82","0","1","1"
"83","1","1","0"
"84","0","1","1"
"85","1","1","0"
"86","1","1","0"
"87","1","1","0"
"88","0","1","0"
"89","0","1","0"
"90","0","1","0"
"91","1","1","0"
"92","1","1","0"
"93","1","1","0"
"94","1","1","0"
"95","1","1","0"
"96","0","0","0"
"97","0","0","0"
"98","0","0","0"
"99","1","1","0"
"100","1","1","0"
"101","1","1","0"
"102","1","1","0"
"103","0","1","0"
"104","0","1","0"
"105","0","1","0"
"106","1","1","0"
"107","0","1","0"
"108","0","1","0"
"109","0","1","0"
"110","0","1","0"
"111","0","1","0"
"112","0","0","0"
"113","0","0","0"
"114","0","0","0"
"115","0","0","0"
"116","0","0","0"
"117","1","1","0"
"118","1","1","1"
"119","0","1","0"
"120","0","1","0"
"121","1","1","0"
"122","1","1","0"
"123","1","1","0"
"124","0","1","0"
"125","0","1","0"
"126","0","1","0"
"127","0","1","1"
"128","0","1","1"
"129","0","1","1"
"130","1","1","0"
"131","0","1","0"
"132","0","1","0"
"133","0","0","0"
"134","0","0","0"
"135","0","1","0"
"136","0","1","0"
"137","0","1","0"
"138","0","1","0"
"139","0","1","0"
"140","0","1","0"
"141","0","1","0"
"142","0","1","0"
"143","0","1","0"
"144","0","1","0"
"145","0","1","0"
"146","1","1","1"
"147","1","1","1"
"148","0","1","0"
"149","0","1","0"
"150","0","1","0"
"151","0","1","0"
"152","0","1","0"
"153","0","1","0"
"154","0","1","0"
"155","0","1","1"
"156","0","1","1"
"157","0","1","1"
"158","0","1","1"
"159","0","1","1"
"160","0","1","1"
"161","0","1","0"
"162","0","1","0"
"163","0","1","0"
"164","0","1","1"
"165","0","1","1"
"166","0","1","0"
"167","0","1","1"
"168","0","1","1"
"169","0","1","1"
"170","0","1","1"
"171","0","1","1"
"172","0","1","1"
"173","0","1","0"
"174","0","1","0"
"175","0","1","0"
"176","0","1","0"
"177","0","1","0"
"178","0","1","0"
"179","0","1","0"
"180","1","1","0"
"181","0","1","0"
"182","0","1","0"
"183","0","1","0"
"184","0","1","0"
"185","0","1","1"
"186","0","1","1"
"187","0","0","0"
"188","0","1","0"
"189","0","1","0"
"190","0","1","0"
"191","0","1","0"
"192","0","1","0"
"193","0","1","0"
"194","0","1","0"
"195","0","1","0"
"196","0","1","0"
"197","0","1","0"
"198","0","1","0"
"199","0","1","0"
"200","0","1","0"
"201","0","1","0"
"202","0","1","0"
"203","0","1","0"
"204","0","1","0"
"205","0","1","0"
"206","0","1","0"
"207","0","1","0"
"208","0","1","0"
"209","0","1","0"
"210","1","1","1"
"211","1","1","1"
"212","1","1","1"
"213","0","1","0"
"214","0","1","0"
"215","0","1","0"
"216","1","1","0"
"217","1","1","0"
"218","1","1","0"
"219","1","1","0"
"220","1","1","0"
"221","1","1","0"
"222","1","1","0"
"223","1","1","0"
"224","0","1","1"
"225","0","1","1"
"226","0","1","1"
"227","0","1","1"
"228","0","1","1"
"229","0","1","1"
"230","0","1","1"
"231","0","1","1"
"232","0","1","0"
"233","0","1","0"
"234","0","1","0"
"235","0","1","0"
"236","0","1","0"
"237","0","1","0"
"238","0","1","0"
"239","1","1","0"
"240","1","1","0"
"241","1","1","0"
"242","1","1","0"
"243","1","1","0"
"244","1","1","0"
"245","0","1","0"
"246","0","1","0"
"247","0","1","0"
"248","0","1","0"
"249","0","1","0"
"250","0","0","0"
"251","0","0","0"
"252","0","0","0"
"253","0","0","0"
"254","0","1","0"
"255","0","1","0"
"256","0","0","0"
"257","0","0","0"
"258","0","1","1"
"259","0","1","0"
"260","0","0","0"
"261","0","0","0"
"262","0","0","0"
"263","1","1","1"
"264","1","1","0"
"265","1","1","0"
"266","1","1","0"
"267","0","1","0"
"268","0","1","0"
"269","1","1","0"
"270","0","1","0"
"271","0","1","1"
"272","0","1","0"
"273","0","1","0"
"274","0","1","0"
"275","0","1","0"
"276","0","1","0"
"277","0","1","0"
"278","0","1","0"
"279","1","1","1"
"280","1","1","1"
"281","0","1","1"
"282","0","1","1"
"283","1","1","0"
"284","1","1","0"
"285","1","1","1"
"286","0","1","0"
"287","0","1","0"
"288","0","1","0"
"289","0","1","0"
"290","0","1","0"
"291","1","1","0"
"292","0","1","1"
"293","0","1","0"
"294","0","1","0"
"295","0","1","0"
"296","0","1","0"
"297","0","1","1"
"298","0","1","1"
"299","1","1","0"
"300","0","1","0"
"301","1","1","0"
"302","1","1","1"
"303","1","1","0"
"304","1","1","0"
"305","1","1","1"
"306","1","1","1"
"307","0","1","1"
"308","0","1","1"
"309","0","1","1"
"310","0","1","1"
"311","0","1","0"
"312","0","1","0"
"313","0","1","0"
"314","0","1","0"
"315","1","1","1"
"316","1","1","0"
"317","1","1","0"
"318","1","1","0"
"319","1","1","0"
"320","1","1","0"
"321","1","1","0"
"322","1","1","1"
"323","0","1","0"
"324","0","1","0"
"325","0","1","0"
"326","0","1","0"
"327","0","1","0"
"328","0","1","0"
"329","0","0","0"
"330","0","0","0"
"331","0","0","0"
"332","0","0","0"
"333","0","0","0"
"334","0","0","0"
"335","0","0","0"
"336","0","0","0"
"337","0","1","0"
"338","0","1","0"
"339","0","1","0"
"340","0","1","0"
"341","0","0","0"
