"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,135,"MWI","Malawi",1,"Balaka","MW.BA",NA,"","District","District","",""
2,135,"MWI","Malawi",2,"Blantyre","MW.BL",NA,"","District","District","",""
3,135,"MWI","Malawi",3,"Chikwawa","MW.CK",NA,"","District","District","",""
4,135,"MWI","Malawi",4,"Chiradzulu","MW.CR",NA,"","District","District","",""
5,135,"MWI","Malawi",5,"Chitipa","MW.CT",NA,"","District","District","",""
6,135,"MWI","Malawi",6,"Dedza","MW.DE",NA,"","District","District","",""
7,135,"MWI","Malawi",7,"Dowa","MW.DO",NA,"","District","District","",""
8,135,"MWI","Malawi",8,"Karonga","MW.KR",NA,"","District","District","",""
9,135,"MWI","Malawi",9,"Kasungu","MW.KS",NA,"","District","District","",""
10,135,"MWI","Malawi",10,"Likoma","MW.LK",NA,"","District","District","","<Null>"
11,135,"MWI","Malawi",11,"Lilongwe","MW.LI",NA,"","District","District","",""
12,135,"MWI","Malawi",12,"Machinga","MW.MA",NA,"","District","District","","Kasupe|Kasupi|Liwonde"
13,135,"MWI","Malawi",13,"Mangochi","MW.MG",NA,"","District","District","","Mangoche|Fort Johnston"
14,135,"MWI","Malawi",14,"Mchinji","MW.MC",NA,"","District","District","","Fort Manning"
15,135,"MWI","Malawi",15,"Mulanje","MW.MJ",NA,"","District","District","","Mlange|Mlanje"
16,135,"MWI","Malawi",16,"Mwanza","MW.MN",NA,"","District","District","",""
17,135,"MWI","Malawi",17,"Mzimba","MW.MZ",NA,"","District","District","",""
18,135,"MWI","Malawi",18,"Neno","MW.NN",NA,"","District","District","",""
19,135,"MWI","Malawi",19,"Nkhata Bay","MW.NA",NA,"","District","District","","Chinteche"
20,135,"MWI","Malawi",20,"Nkhotakota","MW.NK",NA,"","District","District","","Kota Kota"
21,135,"MWI","Malawi",21,"Nsanje","MW.NS",NA,"","District","District","","Port Herald"
22,135,"MWI","Malawi",22,"Ntcheu","MW.NU",NA,"","District","District","","Ncheu"
23,135,"MWI","Malawi",23,"Ntchisi","MW.NI",NA,"","District","District","","Nchisi"
24,135,"MWI","Malawi",24,"Phalombe","MW.PH",NA,"","District","District","",""
25,135,"MWI","Malawi",25,"Rumphi","MW.RU",NA,"","District","District","","Rumpi"
26,135,"MWI","Malawi",26,"Salima","MW.SA",NA,"","District","District","",""
27,135,"MWI","Malawi",27,"Thyolo","MW.TH",NA,"","District","District","","Cholo"
28,135,"MWI","Malawi",28,"Zomba","MW.ZO",NA,"","District","District","",""
