"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,135,"MWI","Malawi",1,"Balaka",1,"Balaka Town",1,"n.a. (1951)",NA,"","Unknown","Unknown","",""
2,135,"MWI","Malawi",1,"Balaka",1,"Balaka Town",2,"n.a. (1953)",NA,"","Unknown","Unknown","",""
3,135,"MWI","Malawi",1,"Balaka",1,"Balaka Town",3,"n.a. (1954)",NA,"","Unknown","Unknown","",""
4,135,"MWI","Malawi",1,"Balaka",1,"Balaka Town",4,"n.a. (1957)",NA,"","Unknown","Unknown","",""
5,135,"MWI","Malawi",1,"Balaka",1,"Balaka Town",5,"n.a. (1958)",NA,"","Unknown","Unknown","",""
6,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",6,"n.a. (1785)",NA,"","Unknown","Unknown","",""
7,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",7,"n.a. (1793)",NA,"","Unknown","Unknown","",""
8,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",8,"n.a. (1803)",NA,"","Unknown","Unknown","",""
9,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",9,"n.a. (1805)",NA,"","Unknown","Unknown","",""
10,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",10,"n.a. (1807)",NA,"","Unknown","Unknown","",""
11,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",11,"n.a. (1809)",NA,"","Unknown","Unknown","",""
12,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",12,"n.a. (1814)",NA,"","Unknown","Unknown","",""
13,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",13,"n.a. (1829)",NA,"","Unknown","Unknown","",""
14,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",14,"n.a. (1831)",NA,"","Unknown","Unknown","",""
15,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",15,"n.a. (1832)",NA,"","Unknown","Unknown","",""
16,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",16,"n.a. (1834)",NA,"","Unknown","Unknown","",""
17,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",17,"n.a. (1844)",NA,"","Unknown","Unknown","",""
18,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",18,"n.a. (1847)",NA,"","Unknown","Unknown","",""
19,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",19,"n.a. (1849)",NA,"","Unknown","Unknown","",""
20,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",20,"n.a. (1850)",NA,"","Unknown","Unknown","",""
21,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",21,"n.a. (1854)",NA,"","Unknown","Unknown","",""
22,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo",22,"n.a. (1862)",NA,"","Unknown","Unknown","",""
